	gene_id_Covid1_R1_
A1BG	2
A1BG_AS1	0
A1CF	1
A2M	0
A2M_AS1	0
A2ML1	1
A2MP1	1
A3GALT2	0
A4GALT	2
A4GNT	0
AA06	0
AAAS	0
AACS	3
AACSP1	7
AADAC	0
AADACL2	0
AADACL2_AS1	0
AADACL3	0
AADACL4	0
AADACP1	0
AADAT	0
AAED1	0
AAGAB	1
AAK1	11
AAMDC	0
AAMP	3
AANAT	0
AAR2	0
AARD	0
AARS	3
AARS2	115
AARSD1	0
AASDH	0
AASDHPPT	0
AASS	0
AATBC	8
AATF	5
AATK	23
AATK_AS1	0
ABALON	2
ABAT	1
ABCA1	34
ABCA10	1
ABCA11P	0
ABCA12	0
ABCA13	10
ABCA17P	0
ABCA2	4
ABCA3	4
ABCA4	1
ABCA5	0
ABCA6	4
ABCA7	17
ABCA8	6
ABCA9	0
ABCA9_AS1	0
ABCB1	1
ABCB10	0
ABCB11	0
ABCB4	2
ABCB5	0
ABCB6	5
ABCB7	0
ABCB8	0
ABCB9	1
ABCC1	7
ABCC10	2
ABCC11	1
ABCC12	0
ABCC13	0
ABCC2	0
ABCC3	1
ABCC4	0
ABCC5	2
ABCC5_AS1	0
ABCC6	1
ABCC6P1	0
ABCC6P2	0
ABCC8	1
ABCC9	0
ABCD1	4
ABCD2	0
ABCD3	2
ABCD4	0
ABCE1	3
ABCF1	3
ABCF2	0
ABCF3	2
ABCG1	6
ABCG2	0
ABCG4	1
ABCG5	0
ABCG8	0
ABHD1	0
ABHD10	3
ABHD11	2
ABHD11_AS1	0
ABHD12	1
ABHD12B	0
ABHD13	14
ABHD14A	0
ABHD14A_ACY1	0
ABHD14B	1
ABHD15	2
ABHD16A	0
ABHD16B	1
ABHD17A	3
ABHD17B	2
ABHD17C	0
ABHD2	6
ABHD3	0
ABHD4	0
ABHD5	0
ABHD6	0
ABHD8	1
ABI1	7
ABI2	3
ABI3	14
ABI3BP	1
ABL1	28
ABL2	3
ABLIM1	5
ABLIM2	2
ABLIM3	0
ABO	1
ABR	9
ABRA	0
ABRACL	1
ABT1	3
ABTB1	11
ABTB2	4
ACAA1	3
ACAA2	0
ACACA	0
ACACB	5
ACAD10	0
ACAD11	3
ACAD8	2
ACAD9	0
ACADL	0
ACADM	4
ACADS	1
ACADSB	0
ACADVL	10
ACAN	1
ACAP1	2
ACAP2	12
ACAP3	1
ACAT1	0
ACAT2	1
ACBD3	12
ACBD4	3
ACBD5	20
ACBD6	1
ACBD7	0
ACCS	1
ACCSL	0
ACD	1
ACE	9
ACE2	0
ACER1	0
ACER2	0
ACER3	1
ACHE	2
ACIN1	17
ACKR1	0
ACKR2	0
ACKR3	0
ACKR4	0
ACLY	0
ACMSD	0
ACO1	3
ACO2	2
ACOT1	0
ACOT11	1
ACOT12	0
ACOT13	0
ACOT2	0
ACOT4	0
ACOT6	0
ACOT7	5
ACOT8	0
ACOT9	0
ACOX1	1
ACOX2	0
ACOX3	0
ACOXL	0
ACP1	1
ACP2	1
ACP5	0
ACP6	2
ACPP	0
ACPT	0
ACR	0
ACRBP	0
ACRC	0
ACRV1	0
ACSBG1	0
ACSBG2	2
ACSF2	0
ACSF3	3
ACSL1	92
ACSL3	0
ACSL4	1
ACSL5	2
ACSL6	0
ACSM1	2
ACSM2A	0
ACSM2B	0
ACSM3	0
ACSM4	1
ACSM5	0
ACSM6	0
ACSS1	4
ACSS2	2
ACSS3	2
ACTA1	34
ACTA2	3
ACTA2_AS1	0
ACTB	277
ACTBL2	0
ACTC1	0
ACTG1	73
ACTG1P17	0
ACTG1P20	0
ACTG1P4	2
ACTG2	1
ACTL10	0
ACTL6A	0
ACTL6B	1
ACTL7A	0
ACTL7B	0
ACTL8	0
ACTL9	4
ACTN1	12
ACTN1_AS1	0
ACTN2	0
ACTN3	2
ACTN4	49
ACTR10	2
ACTR1A	2
ACTR1B	1
ACTR2	13
ACTR3	13
ACTR3B	0
ACTR3BP2	0
ACTR3BP5	0
ACTR3C	0
ACTR5	2
ACTR6	1
ACTR8	1
ACTRT1	0
ACTRT2	2
ACTRT3	0
ACVR1	0
ACVR1B	2
ACVR1C	655
ACVR2A	4
ACVR2B	1
ACVR2B_AS1	1
ACVRL1	3
ACY1	1
ACY3	0
ACYP1	5
ACYP2	0
ADA	20
ADAD1	0
ADAD2	4
ADAL	0
ADAM10	1
ADAM11	68
ADAM12	0
ADAM15	3
ADAM17	5
ADAM18	0
ADAM19	5
ADAM1A	0
ADAM2	0
ADAM20	0
ADAM20P1	0
ADAM21	0
ADAM21P1	0
ADAM22	1
ADAM23	3
ADAM28	4
ADAM29	0
ADAM30	0
ADAM32	4
ADAM33	2
ADAM3A	0
ADAM5	0
ADAM6	0
ADAM7	0
ADAM8	25
ADAM9	25
ADAMDEC1	0
ADAMTS1	8
ADAMTS10	3
ADAMTS12	0
ADAMTS13	3
ADAMTS14	0
ADAMTS15	5
ADAMTS16	0
ADAMTS17	0
ADAMTS18	93
ADAMTS19	0
ADAMTS19_AS1	0
ADAMTS2	4
ADAMTS20	0
ADAMTS3	8
