	gene_id_NP32_R1_
A1BG	1
A1BG_AS1	0
A1CF	0
A2M	11
A2M_AS1	1
A2ML1	1
A2MP1	2
A3GALT2	0
A4GALT	53
A4GNT	0
AA06	0
AAAS	8
AACS	41
AACSP1	51
AADAC	0
AADACL2	3
AADACL2_AS1	2
AADACL3	0
AADACL4	0
AADACP1	1
AADAT	0
AAED1	0
AAGAB	7
AAK1	41
AAMDC	3
AAMP	84
AANAT	3
AAR2	11
AARD	0
AARS	38
AARS2	15
AARSD1	1
AASDH	0
AASDHPPT	10
AASS	2
AATBC	8
AATF	62
AATK	32
AATK_AS1	1
ABALON	2
ABAT	20
ABCA1	62
ABCA10	1
ABCA11P	4
ABCA12	10
ABCA13	267
ABCA17P	2
ABCA2	17
ABCA3	81
ABCA4	4
ABCA5	8
ABCA6	0
ABCA7	106
ABCA8	0
ABCA9	5
ABCA9_AS1	0
ABCB1	1
ABCB10	14
ABCB11	15
ABCB4	6
ABCB5	1
ABCB6	14
ABCB7	0
ABCB8	20
ABCB9	7
ABCC1	46
ABCC10	18
ABCC11	0
ABCC12	2
ABCC13	0
ABCC2	5
ABCC3	31
ABCC4	4
ABCC5	26
ABCC5_AS1	0
ABCC6	7
ABCC6P1	0
ABCC6P2	0
ABCC8	2
ABCC9	1
ABCD1	18
ABCD2	0
ABCD3	48
ABCD4	21
ABCE1	3
ABCF1	100
ABCF2	16
ABCF3	45
ABCG1	53
ABCG2	1
ABCG4	0
ABCG5	1
ABCG8	0
ABHD1	2
ABHD10	3
ABHD11	44
ABHD11_AS1	11
ABHD12	32
ABHD12B	8
ABHD13	14
ABHD14A	0
ABHD14A_ACY1	0
ABHD14B	8
ABHD15	12
ABHD16A	32
ABHD16B	4
ABHD17A	14
ABHD17B	15
ABHD17C	11
ABHD2	138
ABHD3	13
ABHD4	4
ABHD5	8
ABHD6	5
ABHD8	9
ABI1	40
ABI2	21
ABI3	24
ABI3BP	0
ABL1	102
ABL2	16
ABLIM1	61
ABLIM2	12
ABLIM3	3
ABO	9
ABR	89
ABRA	2
ABRACL	10
ABT1	3
ABTB1	57
ABTB2	24
ACAA1	18
ACAA2	1
ACACA	39
ACACB	34
ACAD10	29
ACAD11	2
ACAD8	29
ACAD9	17
ACADL	1
ACADM	7
ACADS	9
ACADSB	5
ACADVL	132
ACAN	3
ACAP1	12
ACAP2	19
ACAP3	42
ACAT1	3
ACAT2	1
ACBD3	229
ACBD4	5
ACBD5	34
ACBD6	28
ACBD7	8
ACCS	15
ACCSL	0
ACD	6
ACE	48
ACE2	2
ACER1	2
ACER2	3
ACER3	7
ACHE	9
ACIN1	228
ACKR1	0
ACKR2	1
ACKR3	5
ACKR4	0
ACLY	61
ACMSD	0
ACO1	16
ACO2	42
ACOT1	3
ACOT11	8
ACOT12	0
ACOT13	27
ACOT2	9
ACOT4	0
ACOT6	0
ACOT7	27
ACOT8	3
ACOT9	15
ACOX1	18
ACOX2	0
ACOX3	32
ACOXL	0
ACP1	4
ACP2	12
ACP5	14
ACP6	11
ACPP	0
ACPT	1
ACR	0
ACRBP	2
ACRC	1
ACRV1	1
ACSBG1	7
ACSBG2	0
ACSF2	10
ACSF3	22
ACSL1	72
ACSL3	24
ACSL4	6
ACSL5	17
ACSL6	0
ACSM1	33
ACSM2A	0
ACSM2B	0
ACSM3	3
ACSM4	0
ACSM5	0
ACSM6	4
ACSS1	21
ACSS2	24
ACSS3	7
ACTA1	1
ACTA2	4
ACTA2_AS1	0
ACTB	687
ACTBL2	5
ACTC1	2
ACTG1	811
ACTG1P17	0
ACTG1P20	2
ACTG1P4	3
ACTG2	4
ACTL10	7
ACTL6A	13
ACTL6B	0
ACTL7A	1
ACTL7B	0
ACTL8	0
ACTL9	0
ACTN1	81
ACTN1_AS1	0
ACTN2	1
ACTN3	1
ACTN4	517
ACTR10	15
ACTR1A	26
ACTR1B	17
ACTR2	74
ACTR3	34
ACTR3B	4
ACTR3BP2	0
ACTR3BP5	0
ACTR3C	1
ACTR5	4
ACTR6	1
ACTR8	42
ACTRT1	0
ACTRT2	3
ACTRT3	0
ACVR1	8
ACVR1B	31
ACVR1C	3782
ACVR2A	1
ACVR2B	13
ACVR2B_AS1	2
ACVRL1	5
ACY1	2
ACY3	2
ACYP1	7
ACYP2	4
ADA	88
ADAD1	0
ADAD2	3
ADAL	1
ADAM10	45
ADAM11	18
ADAM12	14
ADAM15	39
ADAM17	17
ADAM18	0
ADAM19	24
ADAM1A	8
ADAM2	0
ADAM20	0
ADAM20P1	1
ADAM21	0
ADAM21P1	0
ADAM22	1
ADAM23	0
ADAM28	30
ADAM29	0
ADAM30	0
ADAM32	1
ADAM33	0
ADAM3A	0
ADAM5	0
ADAM6	1
ADAM7	1
ADAM8	51
ADAM9	101
ADAMDEC1	2
ADAMTS1	4
ADAMTS10	10
ADAMTS12	4
ADAMTS13	7
ADAMTS14	3
ADAMTS15	29
ADAMTS16	9
ADAMTS17	6
ADAMTS18	32
ADAMTS19	3
ADAMTS19_AS1	1
ADAMTS2	11
ADAMTS20	2
ADAMTS3	20
ADAMTS4	1
ADAMTS5	2
ADAMTS6	9
ADAMTS7	7
ADAMTS7P1	0
ADAMTS8	42
ADAMTS9	2
ADAMTS9_AS1	1
ADAMTS9_AS2	0
ADAMTSL1	295
ADAMTSL2	4
ADAMTSL3	24
