	gene_id_NPS_327_R1_
A1BG	10
A1BG_AS1	2
A1CF	9
A2M	1899
A2M_AS1	15
A2ML1	209
A2MP1	9
A3GALT2	2
A4GALT	2448
A4GNT	1
AA06	0
AAAS	228
AACS	555
AACSP1	2
AADAC	36
AADACL2	157
AADACL2_AS1	134
AADACL3	6
AADACL4	0
AADACP1	183
AADAT	106
AAED1	196
AAGAB	935
AAK1	2205
AAMDC	295
AAMP	5830
AANAT	3
AAR2	219
AARD	0
AARS	1065
AARS2	237
AARSD1	14
AASDH	234
AASDHPPT	410
AASS	637
AATBC	143
AATF	2376
AATK	26
AATK_AS1	6
ABALON	78
ABAT	430
ABCA1	1008
ABCA10	123
ABCA11P	87
ABCA12	802
ABCA13	27862
ABCA17P	27
ABCA2	327
ABCA3	123
ABCA4	59
ABCA5	1488
ABCA6	60
ABCA7	1225
ABCA8	8
ABCA9	24
ABCA9_AS1	1
ABCB1	150
ABCB10	304
ABCB11	643
ABCB4	27
ABCB5	28
ABCB6	286
ABCB7	427
ABCB8	275
ABCB9	97
ABCC1	1234
ABCC10	353
ABCC11	30
ABCC12	1
ABCC13	0
ABCC2	43
ABCC3	691
ABCC4	760
ABCC5	1674
ABCC5_AS1	37
ABCC6	143
ABCC6P1	3
ABCC6P2	12
ABCC8	0
ABCC9	2
ABCD1	216
ABCD2	137
ABCD3	2263
ABCD4	355
ABCE1	709
ABCF1	4859
ABCF2	887
ABCF3	602
ABCG1	607
ABCG2	8
ABCG4	0
ABCG5	6
ABCG8	0
ABHD1	25
ABHD10	610
ABHD11	529
ABHD11_AS1	45
ABHD12	473
ABHD12B	277
ABHD13	649
ABHD14A	7
ABHD14A_ACY1	0
ABHD14B	477
ABHD15	220
ABHD16A	465
ABHD16B	72
ABHD17A	240
ABHD17B	497
ABHD17C	311
ABHD2	6710
ABHD3	346
ABHD4	266
ABHD5	1149
ABHD6	250
ABHD8	93
ABI1	3313
ABI2	988
ABI3	242
ABI3BP	37
ABL1	684
ABL2	413
ABLIM1	7385
ABLIM2	73
ABLIM3	103
ABO	535
ABR	1593
ABRA	6
ABRACL	703
ABT1	458
ABTB1	214
ABTB2	50
ACAA1	396
ACAA2	78
ACACA	1854
ACACB	639
ACAD10	378
ACAD11	113
ACAD8	432
ACAD9	445
ACADL	16
ACADM	964
ACADS	184
ACADSB	771
ACADVL	1522
ACAN	0
ACAP1	250
ACAP2	2345
ACAP3	508
ACAT1	410
ACAT2	252
ACBD3	5263
ACBD4	181
ACBD5	910
ACBD6	740
ACBD7	659
ACCS	138
ACCSL	0
ACD	147
ACE	142
ACE2	214
ACER1	0
ACER2	414
ACER3	506
ACHE	41
ACIN1	6432
ACKR1	6
ACKR2	91
ACKR3	84
ACKR4	51
ACLY	1320
ACMSD	6
ACO1	524
ACO2	1042
ACOT1	39
ACOT11	231
ACOT12	0
ACOT13	1180
ACOT2	129
ACOT4	32
ACOT6	4
ACOT7	139
ACOT8	129
ACOT9	655
ACOX1	1270
ACOX2	180
ACOX3	734
ACOXL	14
ACP1	1145
ACP2	241
ACP5	154
ACP6	278
ACPP	130
ACPT	0
ACR	13
ACRBP	67
ACRC	72
ACRV1	1
ACSBG1	69
ACSBG2	15
ACSF2	318
ACSF3	250
ACSL1	702
ACSL3	2429
ACSL4	509
ACSL5	758
ACSL6	18
ACSM1	12
ACSM2A	0
ACSM2B	0
ACSM3	25
ACSM4	0
ACSM5	18
ACSM6	26
ACSS1	486
ACSS2	473
ACSS3	256
ACTA1	4
ACTA2	40
ACTA2_AS1	0
ACTB	22966
ACTBL2	1
ACTC1	6
ACTG1	19512
ACTG1P17	20
ACTG1P20	67
ACTG1P4	20
ACTG2	0
ACTL10	80
ACTL6A	1142
ACTL6B	1
ACTL7A	5
ACTL7B	0
ACTL8	0
ACTL9	1
ACTN1	1152
ACTN1_AS1	2
ACTN2	2
ACTN3	0
ACTN4	16222
ACTR10	863
ACTR1A	596
ACTR1B	276
ACTR2	4274
ACTR3	2363
ACTR3B	180
ACTR3BP2	0
ACTR3BP5	0
ACTR3C	147
ACTR5	94
ACTR6	429
ACTR8	660
ACTRT1	0
ACTRT2	1
ACTRT3	23
ACVR1	316
ACVR1B	766
ACVR1C	120
ACVR2A	459
ACVR2B	349
ACVR2B_AS1	36
ACVRL1	67
ACY1	28
ACY3	51
ACYP1	310
ACYP2	118
ADA	44
ADAD1	0
ADAD2	5
ADAL	335
ADAM10	2477
ADAM11	9
ADAM12	456
ADAM15	891
ADAM17	551
ADAM18	0
ADAM19	266
ADAM1A	221
ADAM2	0
ADAM20	46
ADAM20P1	36
ADAM21	11
ADAM21P1	2
ADAM22	48
ADAM23	13
ADAM28	2686
ADAM29	0
ADAM30	0
ADAM32	36
ADAM33	0
ADAM3A	0
ADAM5	0
ADAM6	0
ADAM7	5
ADAM8	141
ADAM9	3708
ADAMDEC1	389
ADAMTS1	3
ADAMTS10	5
ADAMTS12	8
ADAMTS13	24
ADAMTS14	53
ADAMTS15	7
ADAMTS16	11
ADAMTS17	139
ADAMTS18	2
ADAMTS19	1
ADAMTS19_AS1	0
ADAMTS2	13
ADAMTS20	0
ADAMTS3	26
ADAMTS4	3
ADAMTS5	0
ADAMTS6	12
ADAMTS7	16
ADAMTS7P1	16
ADAMTS8	39
ADAMTS9	55
ADAMTS9_AS1	0
ADAMTS9_AS2	0
ADAMTSL1	30
ADAMTSL2	1
ADAMTSL3	133
ADAMTSL4	194
ADAMTSL4_AS1	88
ADAMTSL5	16
ADAP1	96
ADAP2	224
ADAR	4555
ADARB1	107
ADARB2	358
ADARB2_AS1	6
ADAT1	364
ADAT2	460
ADAT3	31
ADCK1	110
ADCK2	247
ADCK3	400
ADCK4	280
ADCK5	119
ADCY1	15
ADCY10	14
ADCY10P1	63
ADCY2	412
ADCY3	171
ADCY4	71
ADCY5	29
ADCY6	956
ADCY7	314
ADCY8	0
ADCY9	648
ADCYAP1	1
ADCYAP1R1	0
ADD1	2753
ADD2	3
ADD3	1969
ADD3_AS1	10
ADGB	2816
ADGRA1	0
ADGRA1_AS1	0
ADGRA2	3
ADGRA3	228
ADGRB1	12
ADGRB2	99
ADGRB3	9
ADGRD1	0
ADGRE1	4
ADGRE2	73
ADGRE3	22
ADGRE4P	18
ADGRE5	774
ADGRF1	2986
ADGRF2	13
ADGRF3	80
ADGRF4	20
ADGRF5	14
ADGRG1	1753
ADGRG2	34
ADGRG3	5
ADGRG4	1
ADGRG5	48
ADGRG6	150
ADGRG7	0
ADGRL1	230
ADGRL2	275
ADGRL3	1
ADGRL3_AS1	0
ADGRL4	0
ADGRV1	945
ADH1A	38
ADH1B	1
ADH1C	6996
ADH4	107
ADH5	684
ADH6	149
ADH7	4575
ADHFE1	139
ADI1	1452
ADIG	0
ADIPOQ	7
ADIPOQ_AS1	0
ADIPOR1	3528
ADIPOR2	736
ADIRF	967
ADK	294
ADM	155
ADM2	30
ADM5	24
ADNP	1842
ADNP_AS1	183
ADNP2	473
ADO	289
ADORA1	10
ADORA2A	0
ADORA2A_AS1	4
ADORA2B	157
ADORA3	15
ADPGK	194
ADPGK_AS1	54
ADPRH	209
ADPRHL1	96
ADPRHL2	471
ADPRM	92
ADRA1A	4
ADRA1B	2
ADRA1D	0
ADRA2A	24
ADRA2B	9
ADRA2C	0
ADRB1	336
ADRB2	124
ADRB3	5
ADRBK1	1167
ADRBK2	365
ADRM1	1466
ADSL	432
ADSS	1407
ADSSL1	222
ADTRP	413
AEBP1	10
