	gene_id_WB51_
A1BG	6
A1BG_AS1	3
A1CF	0
A2M	199
A2M_AS1	49
A2ML1	3
A2MP1	8
A3GALT2	6
A4GALT	4
A4GNT	1
AA06	0
AAAS	30
AACS	10
AACSP1	0
AADAC	0
AADACL2	0
AADACL2_AS1	0
AADACL3	0
AADACL4	0
AADACP1	0
AADAT	1
AAED1	34
AAGAB	115
AAK1	465
AAMDC	8
AAMP	106
AANAT	3
AAR2	74
AARD	0
AARS	250
AARS2	77
AARSD1	0
AASDH	37
AASDHPPT	37
AASS	17
AATBC	64
AATF	287
AATK	150
AATK_AS1	0
ABALON	239
ABAT	87
ABCA1	877
ABCA10	5
ABCA11P	6
ABCA12	1
ABCA13	19
ABCA17P	0
ABCA2	230
ABCA3	9
ABCA4	0
ABCA5	69
ABCA6	0
ABCA7	573
ABCA8	0
ABCA9	1
ABCA9_AS1	0
ABCB1	63
ABCB10	881
ABCB11	0
ABCB4	15
ABCB5	20
ABCB6	65
ABCB7	142
ABCB8	40
ABCB9	0
ABCC1	269
ABCC10	69
ABCC11	1
ABCC12	0
ABCC13	353
ABCC2	19
ABCC3	167
ABCC4	1550
ABCC5	175
ABCC5_AS1	1
ABCC6	22
ABCC6P1	0
ABCC6P2	0
ABCC8	0
ABCC9	0
ABCD1	113
ABCD2	9
ABCD3	56
ABCD4	79
ABCE1	128
ABCF1	285
ABCF2	90
ABCF3	98
ABCG1	215
ABCG2	252
ABCG4	1
ABCG5	0
ABCG8	0
ABHD1	4
ABHD10	38
ABHD11	11
ABHD11_AS1	0
ABHD12	44
ABHD12B	6
ABHD13	156
ABHD14A	8
ABHD14A_ACY1	0
ABHD14B	59
ABHD15	30
ABHD16A	180
ABHD16B	22
ABHD17A	164
ABHD17B	64
ABHD17C	6
ABHD2	1120
ABHD3	87
ABHD4	82
ABHD5	203
ABHD6	8
ABHD8	21
ABI1	430
ABI2	94
ABI3	121
ABI3BP	6
ABL1	113
ABL2	104
ABLIM1	231
ABLIM2	0
ABLIM3	40
ABO	3
ABR	354
ABRA	1
ABRACL	44
ABT1	88
ABTB1	1553
ABTB2	42
ACAA1	202
ACAA2	79
ACACA	140
ACACB	29
ACAD10	59
ACAD11	9
ACAD8	38
ACAD9	76
ACADL	0
ACADM	107
ACADS	47
ACADSB	36
ACADVL	510
ACAN	0
ACAP1	255
ACAP2	1024
ACAP3	92
ACAT1	47
ACAT2	28
ACBD3	137
ACBD4	12
ACBD5	118
ACBD6	110
ACBD7	1
ACCS	28
ACCSL	0
ACD	14
ACE	12
ACE2	0
ACER1	0
ACER2	37
ACER3	166
ACHE	49
ACIN1	664
ACKR1	66
ACKR2	17
ACKR3	0
ACKR4	8
ACLY	491
ACMSD	2
ACO1	24
ACO2	226
ACOT1	1
ACOT11	1
ACOT12	0
ACOT13	62
ACOT2	15
ACOT4	1
ACOT6	0
ACOT7	15
ACOT8	50
ACOT9	187
ACOX1	200
ACOX2	2
ACOX3	33
ACOXL	2
ACP1	620
ACP2	86
ACP5	120
ACP6	3
ACPP	97
ACPT	5
ACR	0
ACRBP	102
ACRC	27
ACRV1	1
ACSBG1	4
ACSBG2	0
ACSF2	27
ACSF3	160
ACSL1	2561
ACSL3	184
ACSL4	296
ACSL5	162
ACSL6	281
ACSM1	5
ACSM2A	0
ACSM2B	0
ACSM3	22
ACSM4	0
ACSM5	0
ACSM6	0
ACSS1	127
ACSS2	98
ACSS3	0
ACTA1	0
ACTA2	60
ACTA2_AS1	2
ACTB	22853
ACTBL2	0
ACTC1	0
ACTG1	2765
ACTG1P17	1
ACTG1P20	31
ACTG1P4	2
ACTG2	0
ACTL10	2
ACTL6A	24
ACTL6B	0
ACTL7A	0
ACTL7B	1
ACTL8	0
ACTL9	0
ACTN1	652
ACTN1_AS1	0
ACTN2	0
ACTN3	0
ACTN4	735
ACTR10	175
ACTR1A	214
ACTR1B	90
ACTR2	1343
ACTR3	1143
ACTR3B	20
ACTR3BP2	0
ACTR3BP5	0
ACTR3C	6
ACTR5	41
ACTR6	59
ACTR8	57
ACTRT1	0
ACTRT2	0
ACTRT3	8
ACVR1	48
ACVR1B	146
ACVR1C	3
ACVR2A	62
ACVR2B	14
ACVR2B_AS1	0
ACVRL1	6
ACY1	0
ACY3	0
ACYP1	11
ACYP2	8
ADA	87
ADAD1	0
ADAD2	0
ADAL	128
ADAM10	694
ADAM11	0
ADAM12	5
ADAM15	134
ADAM17	408
ADAM18	0
ADAM19	327
ADAM1A	16
ADAM2	0
ADAM20	2
ADAM20P1	2
ADAM21	0
ADAM21P1	0
ADAM22	12
ADAM23	4
ADAM28	139
ADAM29	0
ADAM30	0
ADAM32	9
ADAM33	1
ADAM3A	0
ADAM5	0
ADAM6	0
ADAM7	0
ADAM8	978
ADAM9	205
ADAMDEC1	3
ADAMTS1	4
ADAMTS10	32
ADAMTS12	0
ADAMTS13	6
ADAMTS14	3
ADAMTS15	0
ADAMTS16	0
ADAMTS17	8
ADAMTS18	0
ADAMTS19	0
ADAMTS19_AS1	0
ADAMTS2	1
ADAMTS20	0
ADAMTS3	19
ADAMTS4	2
ADAMTS5	0
ADAMTS6	14
ADAMTS7	1
ADAMTS7P1	0
ADAMTS8	0
ADAMTS9	0
ADAMTS9_AS1	0
ADAMTS9_AS2	0
ADAMTSL1	0
ADAMTSL2	0
ADAMTSL3	0
ADAMTSL4	491
ADAMTSL4_AS1	83
ADAMTSL5	0
ADAP1	173
ADAP2	155
ADAR	3824
ADARB1	93
ADARB2	0
ADARB2_AS1	0
ADAT1	192
ADAT2	24
ADAT3	5
ADCK1	6
ADCK2	30
ADCK3	91
ADCK4	50
ADCK5	18
ADCY1	9
ADCY10	7
ADCY10P1	28
ADCY2	0
ADCY3	49
ADCY4	36
ADCY5	1
ADCY6	0
ADCY7	933
ADCY8	0
ADCY9	52
ADCYAP1	0
ADCYAP1R1	0
ADD1	1435
ADD2	162
ADD3	615
ADD3_AS1	0
ADGB	3
ADGRA1	0
ADGRA1_AS1	0
ADGRA2	11
ADGRA3	22
ADGRB1	3
ADGRB2	0
ADGRB3	1
ADGRD1	20
ADGRE1	137
ADGRE2	389
ADGRE3	63
ADGRE4P	12
ADGRE5	1969
ADGRF1	0
ADGRF2	0
