	gene_id_WB23_
A1BG	33
A1BG_AS1	13
A1CF	44
A2M	213
A2M_AS1	62
A2ML1	82
A2MP1	17
A3GALT2	22
A4GALT	33
A4GNT	20
AA06	9
AAAS	99
AACS	100
AACSP1	38
AADAC	11
AADACL2	4
AADACL2_AS1	8
AADACL3	37
AADACL4	23
AADACP1	10
AADAT	18
AAED1	35
AAGAB	124
AAK1	493
AAMDC	15
AAMP	113
AANAT	43
AAR2	107
AARD	11
AARS	146
AARS2	174
AARSD1	3
AASDH	40
AASDHPPT	40
AASS	46
AATBC	111
AATF	141
AATK	316
AATK_AS1	54
ABALON	137
ABAT	123
ABCA1	491
ABCA10	45
ABCA11P	17
ABCA12	77
ABCA13	132
ABCA17P	62
ABCA2	714
ABCA3	205
ABCA4	135
ABCA5	111
ABCA6	66
ABCA7	801
ABCA8	31
ABCA9	39
ABCA9_AS1	7
ABCB1	102
ABCB10	259
ABCB11	33
ABCB4	42
ABCB5	59
ABCB6	121
ABCB7	82
ABCB8	240
ABCB9	69
ABCC1	367
ABCC10	193
ABCC11	78
ABCC12	80
ABCC13	47
ABCC2	102
ABCC3	413
ABCC4	483
ABCC5	201
ABCC5_AS1	8
ABCC6	143
ABCC6P1	33
ABCC6P2	4
ABCC8	192
ABCC9	48
ABCD1	93
ABCD2	33
ABCD3	60
ABCD4	166
ABCE1	92
ABCF1	176
ABCF2	159
ABCF3	143
ABCG1	171
ABCG2	82
ABCG4	95
ABCG5	30
ABCG8	48
ABHD1	50
ABHD10	48
ABHD11	45
ABHD11_AS1	19
ABHD12	76
ABHD12B	19
ABHD13	115
ABHD14A	38
ABHD14A_ACY1	0
ABHD14B	125
ABHD15	59
ABHD16A	224
ABHD16B	39
ABHD17A	245
ABHD17B	26
ABHD17C	39
ABHD2	468
ABHD3	83
ABHD4	127
ABHD5	99
ABHD6	32
ABHD8	71
ABI1	313
ABI2	88
ABI3	104
ABI3BP	46
ABL1	179
ABL2	152
ABLIM1	288
ABLIM2	134
ABLIM3	175
ABO	36
ABR	347
ABRA	13
ABRACL	23
ABT1	69
ABTB1	561
ABTB2	125
ACAA1	142
ACAA2	67
ACACA	197
ACACB	245
ACAD10	139
ACAD11	8
ACAD8	63
ACAD9	112
ACADL	8
ACADM	62
ACADS	61
ACADSB	66
ACADVL	485
ACAN	169
ACAP1	502
ACAP2	353
ACAP3	278
ACAT1	52
ACAT2	35
ACBD3	97
ACBD4	109
ACBD5	103
ACBD6	55
ACBD7	34
ACCS	73
ACCSL	55
ACD	75
ACE	175
ACE2	29
ACER1	21
ACER2	67
ACER3	131
ACHE	83
ACIN1	443
ACKR1	27
ACKR2	27
ACKR3	19
ACKR4	17
ACLY	396
ACMSD	14
ACO1	46
ACO2	205
ACOT1	7
ACOT11	95
ACOT12	20
ACOT13	61
ACOT2	39
ACOT4	26
ACOT6	5
ACOT7	84
ACOT8	58
ACOT9	55
ACOX1	132
ACOX2	62
ACOX3	80
ACOXL	33
ACP1	174
ACP2	105
ACP5	94
ACP6	25
ACPP	52
ACPT	41
ACR	31
ACRBP	300
ACRC	53
ACRV1	15
ACSBG1	58
ACSBG2	56
ACSF2	108
ACSF3	148
ACSL1	1521
ACSL3	132
ACSL4	157
ACSL5	143
ACSL6	127
ACSM1	36
ACSM2A	43
ACSM2B	41
ACSM3	24
ACSM4	24
ACSM5	28
ACSM6	23
ACSS1	158
ACSS2	138
ACSS3	20
ACTA1	9
ACTA2	46
ACTA2_AS1	31
ACTB	13004
ACTBL2	13
ACTC1	29
ACTG1	1912
ACTG1P17	18
ACTG1P20	57
ACTG1P4	15
ACTG2	36
ACTL10	34
ACTL6A	30
ACTL6B	58
ACTL7A	9
ACTL7B	8
ACTL8	32
ACTL9	12
ACTN1	495
ACTN1_AS1	8
ACTN2	48
ACTN3	145
ACTN4	512
ACTR10	88
ACTR1A	186
ACTR1B	82
ACTR2	546
ACTR3	669
ACTR3B	69
ACTR3BP2	9
ACTR3BP5	13
ACTR3C	17
ACTR5	52
ACTR6	51
ACTR8	75
ACTRT1	4
ACTRT2	23
ACTRT3	13
ACVR1	56
ACVR1B	115
ACVR1C	32
ACVR2A	67
ACVR2B	92
ACVR2B_AS1	11
ACVRL1	72
ACY1	2
ACY3	37
ACYP1	23
ACYP2	9
ADA	100
ADAD1	14
ADAD2	54
ADAL	62
ADAM10	343
ADAM11	138
ADAM12	76
ADAM15	219
ADAM17	189
ADAM18	13
ADAM19	382
ADAM1A	21
ADAM2	14
ADAM20	28
ADAM20P1	27
ADAM21	16
ADAM21P1	20
ADAM22	90
ADAM23	56
ADAM28	90
ADAM29	17
ADAM30	13
ADAM32	22
ADAM33	109
ADAM3A	0
ADAM5	4
ADAM6	25
ADAM7	28
ADAM8	904
ADAM9	149
ADAMDEC1	13
ADAMTS1	36
ADAMTS10	204
ADAMTS12	45
ADAMTS13	203
ADAMTS14	152
ADAMTS15	84
ADAMTS16	65
ADAMTS17	102
ADAMTS18	54
ADAMTS19	25
ADAMTS19_AS1	9
ADAMTS2	180
ADAMTS20	31
ADAMTS3	45
ADAMTS4	86
ADAMTS5	45
ADAMTS6	86
ADAMTS7	127
ADAMTS7P1	75
ADAMTS8	68
ADAMTS9	87
ADAMTS9_AS1	16
ADAMTS9_AS2	30
ADAMTSL1	84
ADAMTSL2	218
ADAMTSL3	44
ADAMTSL4	231
ADAMTSL4_AS1	57
ADAMTSL5	94
ADAP1	162
ADAP2	81
ADAR	1445
ADARB1	137
ADARB2	109
ADARB2_AS1	9
ADAT1	90
ADAT2	52
ADAT3	38
ADCK1	54
ADCK2	41
ADCK3	141
ADCK4	120
ADCK5	71
ADCY1	112
ADCY10	80
ADCY10P1	77
ADCY2	49
ADCY3	154
ADCY4	126
ADCY5	155
ADCY6	133
ADCY7	540
ADCY8	46
ADCY9	132
ADCYAP1	29
ADCYAP1R1	100
ADD1	611
ADD2	117
ADD3	483
ADD3_AS1	14
ADGB	30
ADGRA1	104
ADGRA1_AS1	36
ADGRA2	144
ADGRA3	36
ADGRB1	253
ADGRB2	210
ADGRB3	25
ADGRD1	105
ADGRE1	85
ADGRE2	200
ADGRE3	54
ADGRE4P	39
ADGRE5	1205
ADGRF1	51
ADGRF2	46
ADGRF3	86
ADGRF4	22
ADGRF5	40
ADGRG1	239
ADGRG2	59
ADGRG3	346
