	gene_id_WB40_
A1BG	0
A1BG_AS1	0
A1CF	0
A2M	76
A2M_AS1	19
A2ML1	0
A2MP1	9
A3GALT2	0
A4GALT	0
A4GNT	0
AA06	0
AAAS	7
AACS	9
AACSP1	0
AADAC	0
AADACL2	0
AADACL2_AS1	0
AADACL3	0
AADACL4	0
AADACP1	0
AADAT	0
AAED1	20
AAGAB	42
AAK1	213
AAMDC	0
AAMP	22
AANAT	3
AAR2	38
AARD	0
AARS	50
AARS2	17
AARSD1	0
AASDH	15
AASDHPPT	28
AASS	19
AATBC	14
AATF	121
AATK	29
AATK_AS1	0
ABALON	61
ABAT	9
ABCA1	403
ABCA10	1
ABCA11P	2
ABCA12	0
ABCA13	7
ABCA17P	0
ABCA2	59
ABCA3	3
ABCA4	0
ABCA5	30
ABCA6	1
ABCA7	90
ABCA8	0
ABCA9	0
ABCA9_AS1	0
ABCB1	63
ABCB10	174
ABCB11	0
ABCB4	6
ABCB5	9
ABCB6	15
ABCB7	42
ABCB8	12
ABCB9	2
ABCC1	81
ABCC10	16
ABCC11	0
ABCC12	0
ABCC13	61
ABCC2	2
ABCC3	34
ABCC4	303
ABCC5	30
ABCC5_AS1	0
ABCC6	2
ABCC6P1	0
ABCC6P2	0
ABCC8	0
ABCC9	0
ABCD1	24
ABCD2	21
ABCD3	21
ABCD4	37
ABCE1	70
ABCF1	113
ABCF2	14
ABCF3	43
ABCG1	46
ABCG2	115
ABCG4	0
ABCG5	0
ABCG8	0
ABHD1	1
ABHD10	13
ABHD11	5
ABHD11_AS1	0
ABHD12	41
ABHD12B	1
ABHD13	75
ABHD14A	7
ABHD14A_ACY1	0
ABHD14B	39
ABHD15	26
ABHD16A	43
ABHD16B	6
ABHD17A	156
ABHD17B	20
ABHD17C	3
ABHD2	365
ABHD3	31
ABHD4	29
ABHD5	55
ABHD6	1
ABHD8	10
ABI1	220
ABI2	37
ABI3	63
ABI3BP	2
ABL1	51
ABL2	50
ABLIM1	197
ABLIM2	0
ABLIM3	11
ABO	1
ABR	118
ABRA	2
ABRACL	26
ABT1	63
ABTB1	213
ABTB2	2
ACAA1	51
ACAA2	56
ACACA	36
ACACB	11
ACAD10	13
ACAD11	4
ACAD8	22
ACAD9	24
ACADL	0
ACADM	54
ACADS	17
ACADSB	15
ACADVL	176
ACAN	0
ACAP1	107
ACAP2	406
ACAP3	29
ACAT1	25
ACAT2	9
ACBD3	101
ACBD4	1
ACBD5	54
ACBD6	61
ACBD7	0
ACCS	14
ACCSL	0
ACD	3
ACE	4
ACE2	0
ACER1	0
ACER2	15
ACER3	53
ACHE	13
ACIN1	237
ACKR1	8
ACKR2	1
ACKR3	2
ACKR4	1
ACLY	172
ACMSD	2
ACO1	6
ACO2	58
ACOT1	4
ACOT11	5
ACOT12	0
ACOT13	23
ACOT2	13
ACOT4	0
ACOT6	0
ACOT7	14
ACOT8	15
ACOT9	48
ACOX1	68
ACOX2	3
ACOX3	8
ACOXL	0
ACP1	126
ACP2	26
ACP5	42
ACP6	2
ACPP	20
ACPT	3
ACR	0
ACRBP	43
ACRC	8
ACRV1	0
ACSBG1	5
ACSBG2	0
ACSF2	10
ACSF3	22
ACSL1	942
ACSL3	67
ACSL4	119
ACSL5	74
ACSL6	46
ACSM1	3
ACSM2A	0
ACSM2B	0
ACSM3	3
ACSM4	0
ACSM5	0
ACSM6	0
ACSS1	42
ACSS2	22
ACSS3	0
ACTA1	0
ACTA2	2
ACTA2_AS1	0
ACTB	5809
ACTBL2	0
ACTC1	0
ACTG1	1043
ACTG1P17	0
ACTG1P20	12
ACTG1P4	2
ACTG2	0
ACTL10	0
ACTL6A	4
ACTL6B	0
ACTL7A	0
ACTL7B	0
ACTL8	0
ACTL9	0
ACTN1	149
ACTN1_AS1	0
ACTN2	0
ACTN3	2
ACTN4	293
ACTR10	43
ACTR1A	87
ACTR1B	40
ACTR2	480
ACTR3	405
ACTR3B	11
ACTR3BP2	0
ACTR3BP5	0
ACTR3C	1
ACTR5	22
ACTR6	14
ACTR8	32
ACTRT1	0
ACTRT2	0
ACTRT3	1
ACVR1	11
ACVR1B	52
ACVR1C	4
ACVR2A	26
ACVR2B	8
ACVR2B_AS1	0
ACVRL1	2
ACY1	0
ACY3	0
ACYP1	1
ACYP2	2
ADA	68
ADAD1	0
ADAD2	0
ADAL	39
ADAM10	288
ADAM11	0
ADAM12	4
ADAM15	103
ADAM17	205
ADAM18	0
ADAM19	143
ADAM1A	2
ADAM2	0
ADAM20	0
ADAM20P1	0
ADAM21	0
ADAM21P1	0
ADAM22	5
ADAM23	0
ADAM28	45
ADAM29	0
ADAM30	0
ADAM32	5
ADAM33	0
ADAM3A	0
ADAM5	0
ADAM6	0
ADAM7	0
ADAM8	365
ADAM9	107
ADAMDEC1	1
ADAMTS1	0
ADAMTS10	12
ADAMTS12	0
ADAMTS13	1
ADAMTS14	0
ADAMTS15	0
ADAMTS16	0
ADAMTS17	4
ADAMTS18	0
ADAMTS19	0
ADAMTS19_AS1	0
ADAMTS2	0
ADAMTS20	0
ADAMTS3	3
ADAMTS4	0
ADAMTS5	0
ADAMTS6	12
ADAMTS7	0
ADAMTS7P1	0
ADAMTS8	0
ADAMTS9	0
ADAMTS9_AS1	0
ADAMTS9_AS2	0
ADAMTSL1	0
ADAMTSL2	0
ADAMTSL3	0
ADAMTSL4	47
ADAMTSL4_AS1	19
ADAMTSL5	1
ADAP1	82
ADAP2	57
ADAR	1234
ADARB1	35
ADARB2	3
ADARB2_AS1	0
ADAT1	56
ADAT2	4
ADAT3	0
ADCK1	3
ADCK2	13
ADCK3	60
ADCK4	12
ADCK5	3
ADCY1	1
ADCY10	1
ADCY10P1	19
ADCY2	0
ADCY3	87
ADCY4	3
ADCY5	0
ADCY6	0
ADCY7	262
ADCY8	0
ADCY9	32
ADCYAP1	0
ADCYAP1R1	0
ADD1	216
ADD2	20
ADD3	296
ADD3_AS1	0
ADGB	0
ADGRA1	0
ADGRA1_AS1	0
ADGRA2	10
ADGRA3	5
ADGRB1	1
ADGRB2	1
ADGRB3	0
ADGRD1	2
ADGRE1	45
ADGRE2	179
ADGRE3	6
ADGRE4P	0
ADGRE5	664
ADGRF1	0
ADGRF2	0
ADGRF3	3
ADGRF4	0
ADGRF5	0
ADGRG1	35
ADGRG2	1
ADGRG3	96
ADGRG4	0
ADGRG5	27
ADGRG6	0
ADGRG7	0
ADGRL1	6
ADGRL2	1
ADGRL3	0
ADGRL3_AS1	0
ADGRL4	0
ADGRV1	0
ADH1A	0
ADH1B	0
ADH1C	0
ADH4	0
ADH5	37
ADH6	0
ADH7	0
ADHFE1	13
ADI1	31
ADIG	0
ADIPOQ	0
ADIPOQ_AS1	0
ADIPOR1	4630
ADIPOR2	161
ADIRF	0
ADK	38
ADM	71
ADM2	1
ADM5	0
ADNP	154
ADNP_AS1	5
ADNP2	70
ADO	54
ADORA1	0
ADORA2A	5
ADORA2A_AS1	27
ADORA2B	3
ADORA3	2
ADPGK	147
ADPGK_AS1	7
ADPRH	30
ADPRHL1	0
ADPRHL2	21
ADPRM	22
ADRA1A	0
ADRA1B	0
ADRA1D	0
ADRA2A	1
ADRA2B	0
ADRA2C	0
ADRB1	2
ADRB2	39
ADRB3	0
ADRBK1	432
ADRBK2	107
ADRM1	57
ADSL	49
ADSS	65
ADSSL1	0
ADTRP	5
AEBP1	1
AEBP2	56
AEN	38
AES	198
AFAP1	6
AFAP1_AS1	1
AFAP1L1	0
AFAP1L2	3
AFF1	567
AFF2	5
AFF3	17
AFF4	313
AFG3L1P	19
AFG3L2	82
AFM	0
AFMID	4
AFP	0
AFTPH	138
AGA	16
AGAP1	15
AGAP1_IT1	0
AGAP11	1
AGAP2	23
AGAP2_AS1	0
AGAP3	48
AGAP4	13
AGAP5	28
AGAP6	6
AGAP7P	1
AGAP9	11
AGBL1	0
AGBL1_AS1	0
AGBL2	0
AGBL3	1
AGBL4	1
AGBL4_IT1	0
AGBL5	33
AGBL5_AS1	0
AGER	25
AGFG1	401
AGFG2	15
AGGF1	206
AGK	48
AGL	21
AGMAT	0
AGMO	0
AGO1	174
AGO2	411
AGO3	32
AGO4	176
AGPAT1	43
AGPAT2	28
AGPAT3	154
AGPAT4	30
AGPAT4_IT1	1
AGPAT5	15
AGPS	66
AGR2	0
AGR3	0
AGRN	81
AGRP	0
AGT	0
AGTPBP1	502
AGTR1	1
AGTR2	0
AGTRAP	33
AGXT	0
AGXT2	0
AHCTF1	178
AHCTF1P1	7
AHCY	20
AHCYL1	45
AHCYL2	7
AHDC1	17
AHI1	21
AHNAK	4548
AHNAK2	0
AHR	492
AHRR	4
AHSA1	43
AHSA2	85
AHSG	0
AHSP	63
AICDA	0
AIDA	104
AIF1	225
AIF1L	0
AIFM1	15
AIFM2	8
AIFM3	10
AIG1	5
AIM1	232
AIM1L	0
AIM2	7
AIMP1	65
AIMP2	1
AIP	33
AIPL1	0
AIRE	1
AIRN	8
AJAP1	0
AJUBA	0
AK1	21
AK2	105
AK3	37
AK4	1
AK5	2
AK6	7
AK7	3
AK8	2
AK9	21
AKAP1	19
AKAP10	59
AKAP11	62
AKAP12	5
AKAP13	841
AKAP14	0
AKAP17A	202
AKAP2	0
AKAP3	0
AKAP4	0
AKAP5	12
AKAP6	2
AKAP7	466
AKAP8	127
AKAP8L	117
AKAP9	433
AKIP1	1
AKIRIN1	227
AKIRIN2	61
AKNA	458
AKNAD1	0
AKR1A1	52
AKR1B1	44
AKR1B10	0
AKR1B15	0
AKR1C1	5
AKR1C2	0
AKR1C3	8
AKR1C4	1
AKR1C6P	12
AKR1C8P	2
AKR1D1	0
AKR1E2	100
AKR7A2	12
AKR7A2P1	0
AKR7A3	0
AKR7L	0
AKT1	177
AKT1S1	27
AKT2	199
AKT3	50
AKTIP	14
ALAD	44
ALAS1	53
ALAS2	4033
ALB	0
ALCAM	33
ALDH16A1	32
ALDH18A1	19
ALDH1A1	7
ALDH1A2	0
ALDH1A3	0
ALDH1B1	8
ALDH1L1	0
ALDH1L1_AS1	0
ALDH1L1_AS2	0
ALDH1L2	0
ALDH2	240
ALDH3A1	0
ALDH3A2	14
ALDH3B1	39
ALDH3B2	0
ALDH4A1	6
ALDH5A1	64
ALDH6A1	6
ALDH7A1	0
ALDH8A1	0
ALDH9A1	45
ALDOA	659
ALDOB	0
ALDOC	8
ALG1	4
ALG10	8
ALG10B	19
ALG11	6
ALG12	20
ALG13	60
ALG14	5
ALG1L	0
ALG1L2	0
ALG1L9P	2
ALG2	44
ALG3	10
ALG5	26
ALG6	31
ALG8	19
ALG9	32
ALK	1
ALKBH1	11
ALKBH2	3
ALKBH3	11
ALKBH3_AS1	0
ALKBH4	16
ALKBH5	222
ALKBH6	5
ALKBH7	25
ALKBH8	20
ALLC	0
ALMS1	204
ALMS1_IT1	1
ALMS1P	0
ALOX12	7
ALOX12_AS1	1
ALOX12B	0
ALOX12P2	1
ALOX15	0
ALOX15B	0
ALOX15P1	0
ALOX5	275
ALOX5AP	83
ALOXE3	0
ALPI	0
ALPK1	62
ALPK2	3
ALPK3	2
ALPL	35
ALPP	0
ALPPL2	0
ALS2	20
ALS2CL	11
ALS2CR11	0
ALS2CR12	611
ALX1	0
ALX3	1
ALX4	0
ALYREF	80
AMACR	0
AMBN	0
AMBP	0
AMBRA1	76
AMD1	209
AMDHD1	1
AMDHD2	10
AMELX	0
AMELY	0
AMER1	5
AMER2	0
AMER3	0
AMFR	351
AMH	0
AMHR2	0
AMICA1	76
AMIGO1	0
AMIGO2	25
AMIGO3	6
AMMECR1	32
AMMECR1L	28
AMN	0
AMN1	8
AMOT	1
AMOTL1	8
AMOTL2	0
AMPD1	0
AMPD2	149
AMPD3	63
AMPH	0
AMT	7
AMTN	0
AMY1A	0
AMY1B	0
AMY1C	0
AMY2A	0
AMY2B	18
AMZ1	1
AMZ2	60
AMZ2P1	13
ANAPC1	63
ANAPC10	25
ANAPC11	17
ANAPC13	21
ANAPC15	8
ANAPC16	91
ANAPC1P1	2
ANAPC2	23
ANAPC4	33
ANAPC5	91
ANAPC7	20
ANG	0
ANGEL1	22
ANGEL2	43
ANGPT1	4
ANGPT2	2
ANGPT4	1
ANGPTL1	1
ANGPTL2	0
ANGPTL3	4
ANGPTL4	1
ANGPTL5	0
ANGPTL6	1
ANGPTL7	1
ANHX	0
ANK1	497
ANK2	0
ANK3	20
ANKAR	15
ANKDD1A	40
ANKDD1B	0
ANKEF1	1
ANKFN1	0
ANKFY1	105
ANKH	81
ANKHD1	14
ANKHD1_EIF4EBP3	2
ANKIB1	122
ANKK1	0
ANKLE1	2
ANKLE2	106
ANKMY1	18
ANKMY2	23
ANKRA2	44
ANKRD1	0
ANKRD10	113
ANKRD11	201
ANKRD12	673
ANKRD13A	248
ANKRD13B	1
ANKRD13C	145
ANKRD13D	93
ANKRD16	0
ANKRD17	387
ANKRD18A	3
ANKRD18B	0
ANKRD18DP	5
ANKRD19P	1
ANKRD2	0
ANKRD20A1	0
ANKRD20A11P	19
ANKRD20A12P	0
ANKRD20A19P	0
ANKRD20A2	0
ANKRD20A3	0
ANKRD20A4	8
ANKRD20A5P	5
ANKRD20A8P	3
ANKRD20A9P	6
ANKRD22	5
ANKRD23	4
ANKRD24	3
ANKRD26	65
ANKRD26P1	0
ANKRD26P3	2
ANKRD27	50
ANKRD28	110
ANKRD29	0
ANKRD30A	0
ANKRD30B	0
ANKRD30BL	0
ANKRD30BP2	0
ANKRD30BP3	0
ANKRD31	2
ANKRD33	0
ANKRD33B	40
ANKRD34A	0
ANKRD34B	0
ANKRD34C	0
ANKRD34C_AS1	0
ANKRD35	0
ANKRD36	167
ANKRD36B	33
ANKRD36BP1	43
ANKRD36BP2	1837
ANKRD36C	117
ANKRD37	1
ANKRD39	7
ANKRD40	32
ANKRD42	36
ANKRD44	294
ANKRD44_IT1	18
ANKRD45	4
ANKRD46	3
ANKRD49	51
ANKRD50	30
ANKRD52	42
ANKRD53	0
ANKRD54	3
ANKRD55	3
ANKRD6	5
ANKRD60	0
ANKRD61	5
ANKRD62	0
ANKRD62P1_PARP4P3	0
ANKRD63	0
ANKRD65	0
ANKRD66	0
ANKRD7	0
ANKRD9	22
ANKS1A	25
ANKS1B	0
ANKS3	14
ANKS4B	0
ANKS6	4
ANKUB1	0
ANKZF1	33
ANLN	60
ANO1	0
ANO1_AS2	0
ANO10	22
ANO2	3
ANO3	0
ANO4	0
ANO5	7
ANO6	154
ANO7	0
ANO8	11
ANO9	20
ANOS1	0
ANP32A	98
ANP32A_IT1	14
ANP32AP1	0
ANP32B	224
ANP32C	0
ANP32D	0
ANP32E	124
ANPEP	435
ANTXR1	0
ANTXR2	112
ANTXRL	0
ANTXRLP1	8
ANXA1	570
ANXA10	0
ANXA11	228
ANXA13	0
ANXA2	489
ANXA2P1	0
ANXA2P2	2
ANXA2P3	0
ANXA2R	10
ANXA3	14
ANXA4	41
ANXA5	219
ANXA6	397
ANXA7	184
ANXA8	1
ANXA8L1	0
ANXA9	0
AOAH	268
AOAH_IT1	0
AOC1	0
AOC2	1
AOC3	0
AOC4P	0
AOX1	0
AOX2P	0
AP1AR	9
AP1B1	114
AP1B1P1	0
AP1G1	307
AP1G2	22
AP1M1	54
AP1M2	0
AP1S1	10
AP1S2	107
AP1S3	0
AP2A1	380
AP2A2	42
AP2B1	307
AP2M1	251
AP2S1	99
AP3B1	219
AP3B2	0
AP3D1	93
AP3M1	51
AP3M2	36
AP3S1	61
AP3S2	4
AP4B1	21
AP4B1_AS1	0
AP4E1	64
AP4M1	4
AP4S1	22
AP5B1	295
AP5M1	51
AP5S1	13
AP5Z1	66
APAF1	50
APBA1	0
APBA2	30
APBA3	18
APBB1	27
APBB1IP	101
APBB2	0
APBB3	9
APC	141
APC2	6
APCDD1	0
APCDD1L	0
APCDD1L_AS1	0
APCS	0
APEH	40
APELA	0
APEX1	35
APEX2	3
APH1A	134
APH1B	10
API5	85
APIP	15
APITD1	0
APITD1_CORT	0
APLF	233
APLN	0
APLNR	0
APLP1	0
APLP2	762
APMAP	123
APOA1	0
APOA1_AS	1
APOA1BP	26
APOA2	10
APOA4	0
APOA5	0
APOB	0
APOBEC1	0
APOBEC2	9
APOBEC3A	37
APOBEC3A_B	0
APOBEC3B	27
APOBEC3B_AS1	2
APOBEC3C	33
APOBEC3D	2
APOBEC3F	12
APOBEC3G	78
APOBEC3H	13
APOBEC4	0
APOBR	147
APOC1	0
APOC1P1	0
APOC2	0
APOC3	0
APOC4	0
APOC4_APOC2	0
APOD	0
APOE	0
APOF	0
APOH	0
APOL1	28
APOL2	32
APOL3	125
APOL4	0
APOL5	0
APOL6	441
APOLD1	2
APOM	4
APOO	5
APOOL	31
APOOP5	0
APOPT1	46
APP	121
APPBP2	36
APPL1	103
APPL2	70
APRT	44
APTR	9
APTX	16
AQP1	43
AQP10	3
AQP11	3
AQP12A	0
AQP12B	0
AQP2	0
AQP3	34
AQP4	0
AQP4_AS1	0
AQP5	0
AQP6	0
AQP7	0
AQP7P1	0
AQP7P3	0
AQP8	0
AQP9	123
AQR	141
AR	0
ARAF	104
ARAP1	374
ARAP2	394
ARAP3	11
ARC	0
ARCN1	143
AREG	4
AREL1	158
ARF1	594
ARF3	117
ARF4	140
ARF5	53
ARF6	454
ARFGAP1	33
ARFGAP2	84
ARFGAP3	89
ARFGEF1	214
ARFGEF2	227
ARFGEF3	1
ARFIP1	7
ARFIP2	22
ARFRP1	24
ARG1	35
ARG2	29
ARGFX	0
ARGFXP2	2
ARGLU1	225
ARHGAP1	41
ARHGAP10	35
ARHGAP11A	27
ARHGAP11B	9
ARHGAP12	54
ARHGAP15	132
ARHGAP17	55
ARHGAP18	69
ARHGAP19	30
ARHGAP19_SLIT1	0
ARHGAP20	0
ARHGAP21	121
ARHGAP22	3
ARHGAP23	14
ARHGAP24	23
ARHGAP25	81
ARHGAP26	342
ARHGAP26_AS1	6
ARHGAP26_IT1	3
ARHGAP27	154
ARHGAP28	0
ARHGAP29	0
ARHGAP30	269
ARHGAP31	72
ARHGAP31_AS1	3
ARHGAP32	5
ARHGAP33	2
ARHGAP35	82
ARHGAP36	0
ARHGAP39	0
ARHGAP4	195
ARHGAP40	0
ARHGAP42	49
ARHGAP44	0
ARHGAP5	153
ARHGAP5_AS1	0
ARHGAP6	11
ARHGAP8	0
ARHGAP9	161
ARHGDIA	151
ARHGDIB	621
ARHGDIG	0
ARHGEF1	312
ARHGEF10	1
ARHGEF10L	40
ARHGEF11	80
ARHGEF12	1152
ARHGEF15	0
ARHGEF16	0
ARHGEF17	3
ARHGEF18	104
ARHGEF19	4
ARHGEF2	321
ARHGEF25	0
ARHGEF26	0
ARHGEF26_AS1	0
ARHGEF28	0
ARHGEF3	128
ARHGEF3_AS1	0
ARHGEF33	0
ARHGEF34P	0
ARHGEF35	1
ARHGEF37	12
ARHGEF38	0
ARHGEF38_IT1	0
ARHGEF39	11
ARHGEF4	2
ARHGEF40	78
ARHGEF5	4
ARHGEF6	164
ARHGEF7	130
ARHGEF7_AS1	0
ARHGEF7_AS2	0
ARHGEF9	25
ARHGEF9_IT1	0
ARID1A	169
ARID1B	156
ARID2	193
ARID3A	33
ARID3B	75
ARID3C	0
ARID4A	181
ARID4B	370
ARID5A	152
ARID5B	80
ARIH1	222
ARIH2	123
ARIH2OS	5
ARL1	22
ARL10	1
ARL11	13
ARL13A	0
ARL13B	32
ARL14	0
ARL14EP	23
ARL14EPL	0
ARL15	26
ARL16	7
ARL17A	3
ARL17B	0
ARL2	4
ARL2_SNX15	0
ARL2BP	74
ARL3	9
ARL4A	182
ARL4C	772
ARL4D	1
ARL5A	115
ARL5B	56
ARL5C	0
ARL6	0
ARL6IP1	315
ARL6IP4	153
ARL6IP5	266
ARL6IP6	25
ARL8A	75
ARL8B	209
ARL9	0
ARMC1	41
ARMC10	7
ARMC12	0
ARMC2	13
ARMC2_AS1	0
ARMC3	0
ARMC4	0
ARMC5	28
ARMC6	10
