	gene_id_NPS_241_R1_
A1BG	1
A1BG_AS1	1
A1CF	0
A2M	6
A2M_AS1	0
A2ML1	0
A2MP1	0
A3GALT2	0
A4GALT	28
A4GNT	0
AA06	0
AAAS	6
AACS	15
AACSP1	1
AADAC	0
AADACL2	4
AADACL2_AS1	3
AADACL3	0
AADACL4	0
AADACP1	1
AADAT	2
AAED1	2
AAGAB	6
AAK1	20
AAMDC	4
AAMP	52
AANAT	3
AAR2	4
AARD	0
AARS	22
AARS2	2
AARSD1	0
AASDH	4
AASDHPPT	7
AASS	8
AATBC	5
AATF	58
AATK	10
AATK_AS1	0
ABALON	0
ABAT	7
ABCA1	19
ABCA10	5
ABCA11P	0
ABCA12	2
ABCA13	436
ABCA17P	0
ABCA2	6
ABCA3	15
ABCA4	7
ABCA5	25
ABCA6	2
ABCA7	27
ABCA8	0
ABCA9	4
ABCA9_AS1	0
ABCB1	3
ABCB10	3
ABCB11	5
ABCB4	1
ABCB5	2
ABCB6	17
ABCB7	2
ABCB8	3
ABCB9	0
ABCC1	20
ABCC10	8
ABCC11	0
ABCC12	0
ABCC13	0
ABCC2	2
ABCC3	5
ABCC4	8
ABCC5	37
ABCC5_AS1	1
ABCC6	3
ABCC6P1	1
ABCC6P2	0
ABCC8	1
ABCC9	8
ABCD1	8
ABCD2	6
ABCD3	36
ABCD4	9
ABCE1	5
ABCF1	50
ABCF2	5
ABCF3	15
ABCG1	19
ABCG2	1
ABCG4	3
ABCG5	0
ABCG8	0
ABHD1	0
ABHD10	2
ABHD11	14
ABHD11_AS1	2
ABHD12	8
ABHD12B	5
ABHD13	13
ABHD14A	1
ABHD14A_ACY1	0
ABHD14B	3
ABHD15	3
ABHD16A	4
ABHD16B	1
ABHD17A	2
ABHD17B	4
ABHD17C	0
ABHD2	71
ABHD3	1
ABHD4	8
ABHD5	4
ABHD6	3
ABHD8	0
ABI1	44
ABI2	19
ABI3	3
ABI3BP	2
ABL1	13
ABL2	10
ABLIM1	79
ABLIM2	1
ABLIM3	3
ABO	4
ABR	35
ABRA	0
ABRACL	6
ABT1	7
ABTB1	17
ABTB2	0
ACAA1	5
ACAA2	4
ACACA	26
ACACB	17
ACAD10	13
ACAD11	0
ACAD8	10
ACAD9	6
ACADL	4
ACADM	22
ACADS	0
ACADSB	6
ACADVL	58
ACAN	0
ACAP1	4
ACAP2	31
ACAP3	5
ACAT1	5
ACAT2	2
ACBD3	147
ACBD4	3
ACBD5	90
ACBD6	11
ACBD7	4
ACCS	8
ACCSL	0
ACD	0
ACE	0
ACE2	3
ACER1	0
ACER2	3
ACER3	4
ACHE	4
ACIN1	166
ACKR1	0
ACKR2	0
ACKR3	5
ACKR4	0
ACLY	26
ACMSD	1
ACO1	14
ACO2	27
ACOT1	0
ACOT11	2
ACOT12	0
ACOT13	14
ACOT2	2
ACOT4	0
ACOT6	0
ACOT7	5
ACOT8	3
ACOT9	6
ACOX1	13
ACOX2	2
ACOX3	8
ACOXL	0
ACP1	8
ACP2	4
ACP5	0
ACP6	3
ACPP	0
ACPT	2
ACR	0
ACRBP	2
ACRC	1
ACRV1	0
ACSBG1	2
ACSBG2	0
ACSF2	3
ACSF3	14
ACSL1	32
ACSL3	23
ACSL4	10
ACSL5	18
ACSL6	1
ACSM1	0
ACSM2A	0
ACSM2B	0
ACSM3	1
ACSM4	0
ACSM5	2
ACSM6	0
ACSS1	28
ACSS2	7
ACSS3	9
ACTA1	0
ACTA2	28
ACTA2_AS1	0
ACTB	448
ACTBL2	3
ACTC1	0
ACTG1	312
ACTG1P17	0
ACTG1P20	3
ACTG1P4	0
ACTG2	0
ACTL10	2
ACTL6A	19
ACTL6B	0
ACTL7A	0
ACTL7B	0
ACTL8	0
ACTL9	0
ACTN1	33
ACTN1_AS1	0
ACTN2	0
ACTN3	0
ACTN4	240
ACTR10	7
ACTR1A	9
ACTR1B	3
ACTR2	72
ACTR3	41
ACTR3B	2
ACTR3BP2	0
ACTR3BP5	0
ACTR3C	4
ACTR5	4
ACTR6	10
ACTR8	13
ACTRT1	0
ACTRT2	0
