	gene_id_FLU_30_S39_
A1BG	8
A1BG_AS1	2
A1CF	0
A2M	360
A2M_AS1	63
A2ML1	1
A2MP1	27
A3GALT2	19
A4GALT	0
A4GNT	0
AA06	0
AAAS	74
AACS	64
AACSP1	0
AADAC	0
AADACL2	0
AADACL2_AS1	0
AADACL3	0
AADACL4	0
AADACP1	0
AADAT	0
AAED1	73
AAGAB	462
AAK1	1822
AAMDC	19
AAMP	364
AANAT	48
AAR2	117
AARD	0
AARS	191
AARS2	90
AARSD1	0
AASDH	199
AASDHPPT	320
AASS	39
AATBC	98
AATF	660
AATK	846
AATK_AS1	0
ABALON	113
ABAT	638
ABCA1	3521
ABCA10	16
ABCA11P	17
ABCA12	0
ABCA13	700
ABCA17P	1
ABCA2	740
ABCA3	23
ABCA4	0
ABCA5	250
ABCA6	19
ABCA7	1259
ABCA8	0
ABCA9	3
ABCA9_AS1	0
ABCB1	95
ABCB10	532
ABCB11	2
ABCB4	22
ABCB5	12
ABCB6	59
ABCB7	284
ABCB8	53
ABCB9	5
ABCC1	646
ABCC10	155
ABCC11	2
ABCC12	0
ABCC13	148
ABCC2	136
ABCC3	185
ABCC4	1126
ABCC5	339
ABCC5_AS1	1
ABCC6	38
ABCC6P1	0
ABCC6P2	0
ABCC8	0
ABCC9	0
ABCD1	169
ABCD2	189
ABCD3	404
ABCD4	167
ABCE1	371
ABCF1	389
ABCF2	254
ABCF3	272
ABCG1	262
ABCG2	176
ABCG4	0
ABCG5	0
ABCG8	0
ABHD1	10
ABHD10	243
ABHD11	67
ABHD11_AS1	6
ABHD12	100
ABHD12B	269
ABHD13	1160
ABHD14A	9
ABHD14A_ACY1	0
ABHD14B	86
ABHD15	139
ABHD16A	773
ABHD16B	54
ABHD17A	214
ABHD17B	340
ABHD17C	63
ABHD2	9509
ABHD3	1334
ABHD4	378
ABHD5	2301
ABHD6	44
ABHD8	33
ABI1	2497
ABI2	187
ABI3	242
ABI3BP	29
ABL1	277
ABL2	583
ABLIM1	584
ABLIM2	7
ABLIM3	107
ABO	4
ABR	1592
ABRA	21
ABRACL	421
ABT1	226
ABTB1	2507
ABTB2	47
ACAA1	1628
ACAA2	435
ACACA	268
ACACB	110
ACAD10	274
ACAD11	7
ACAD8	146
ACAD9	164
ACADL	0
ACADM	276
ACADS	77
ACADSB	209
ACADVL	959
ACAN	2
ACAP1	1449
ACAP2	12533
ACAP3	122
ACAT1	154
ACAT2	61
ACBD3	587
ACBD4	20
ACBD5	608
ACBD6	185
ACBD7	6
ACCS	172
ACCSL	9
ACD	43
ACE	10
ACE2	13
ACER1	0
ACER2	52
ACER3	697
ACHE	10
ACIN1	2519
ACKR1	11
ACKR2	5
ACKR3	10
ACKR4	9
ACLY	2029
ACMSD	2
ACO1	457
ACO2	310
ACOT1	3
ACOT11	3
ACOT12	0
ACOT13	459
ACOT2	27
ACOT4	8
ACOT6	1
ACOT7	21
ACOT8	142
ACOT9	600
ACOX1	4403
ACOX2	6
ACOX3	109
ACOXL	5
ACP1	863
ACP2	92
ACP5	103
ACP6	59
ACPP	627
ACPT	1
ACR	0
ACRBP	123
ACRC	64
ACRV1	0
ACSBG1	9
ACSBG2	1
ACSF2	50
ACSF3	185
ACSL1	38528
ACSL3	905
ACSL4	5747
ACSL5	914
ACSL6	270
ACSM1	7
ACSM2A	0
ACSM2B	0
ACSM3	12
ACSM4	0
ACSM5	0
ACSM6	5
ACSS1	253
ACSS2	555
ACSS3	4
ACTA1	0
ACTA2	76
ACTA2_AS1	20
ACTB	96307
ACTBL2	0
ACTC1	0
ACTG1	16015
ACTG1P17	3
ACTG1P20	54
ACTG1P4	5
ACTG2	0
ACTL10	7
ACTL6A	151
ACTL6B	0
ACTL7A	0
ACTL7B	0
