	gene_id_NPS_104_R1_
A1BG	3
A1BG_AS1	0
A1CF	2
A2M	240
A2M_AS1	12
A2ML1	24
A2MP1	1
A3GALT2	1
A4GALT	270
A4GNT	0
AA06	4
AAAS	63
AACS	95
AACSP1	5
AADAC	1
AADACL2	114
AADACL2_AS1	44
AADACL3	2
AADACL4	0
AADACP1	45
AADAT	70
AAED1	55
AAGAB	161
AAK1	397
AAMDC	54
AAMP	508
AANAT	2
AAR2	47
AARD	0
AARS	290
AARS2	38
AARSD1	3
AASDH	66
AASDHPPT	95
AASS	102
AATBC	13
AATF	385
AATK	11
AATK_AS1	0
ABALON	55
ABAT	151
ABCA1	168
ABCA10	62
ABCA11P	27
ABCA12	70
ABCA13	9224
ABCA17P	0
ABCA2	144
ABCA3	22
ABCA4	19
ABCA5	684
ABCA6	29
ABCA7	227
ABCA8	1
ABCA9	17
ABCA9_AS1	0
ABCB1	16
ABCB10	113
ABCB11	134
ABCB4	11
ABCB5	8
ABCB6	59
ABCB7	65
ABCB8	73
ABCB9	10
ABCC1	286
ABCC10	55
ABCC11	5
ABCC12	0
ABCC13	0
ABCC2	14
ABCC3	30
ABCC4	91
ABCC5	519
ABCC5_AS1	6
ABCC6	61
ABCC6P1	5
ABCC6P2	6
ABCC8	0
ABCC9	2
ABCD1	15
ABCD2	95
ABCD3	603
ABCD4	56
ABCE1	129
ABCF1	443
ABCF2	122
ABCF3	128
ABCG1	237
ABCG2	0
ABCG4	1
ABCG5	6
ABCG8	0
ABHD1	2
ABHD10	125
ABHD11	132
ABHD11_AS1	48
ABHD12	69
ABHD12B	92
ABHD13	118
ABHD14A	10
ABHD14A_ACY1	0
ABHD14B	97
ABHD15	61
ABHD16A	148
ABHD16B	33
ABHD17A	51
ABHD17B	155
ABHD17C	61
ABHD2	1498
ABHD3	91
ABHD4	39
ABHD5	122
ABHD6	69
ABHD8	15
ABI1	616
ABI2	380
ABI3	48
ABI3BP	8
ABL1	188
ABL2	111
ABLIM1	937
ABLIM2	14
ABLIM3	16
ABO	73
ABR	366
ABRA	4
ABRACL	97
ABT1	118
ABTB1	82
ABTB2	12
ACAA1	85
ACAA2	15
ACACA	597
ACACB	147
ACAD10	95
ACAD11	31
ACAD8	85
ACAD9	110
ACADL	7
ACADM	333
ACADS	27
ACADSB	117
ACADVL	352
ACAN	0
ACAP1	66
ACAP2	451
ACAP3	81
ACAT1	245
ACAT2	49
ACBD3	676
ACBD4	34
ACBD5	256
ACBD6	126
ACBD7	140
ACCS	30
ACCSL	0
ACD	36
ACE	29
ACE2	26
ACER1	0
ACER2	21
ACER3	46
ACHE	7
ACIN1	1030
ACKR1	0
ACKR2	13
ACKR3	31
ACKR4	9
ACLY	330
ACMSD	0
ACO1	75
ACO2	288
ACOT1	8
ACOT11	47
ACOT12	0
ACOT13	143
ACOT2	40
ACOT4	10
ACOT6	0
ACOT7	21
ACOT8	22
ACOT9	102
ACOX1	223
ACOX2	17
ACOX3	158
ACOXL	7
ACP1	211
ACP2	46
ACP5	32
ACP6	69
ACPP	9
ACPT	0
ACR	3
