	gene_id_NP198_R1_
A1BG	0
A1BG_AS1	0
A1CF	0
A2M	1
A2M_AS1	0
A2ML1	53
A2MP1	1
A3GALT2	0
A4GALT	0
A4GNT	0
AA06	0
AAAS	18
AACS	14
AACSP1	2
AADAC	0
AADACL2	0
AADACL2_AS1	0
AADACL3	0
AADACL4	0
AADACP1	0
AADAT	0
AAED1	0
AAGAB	4
AAK1	3
AAMDC	0
AAMP	12
AANAT	1
AAR2	1
AARD	0
AARS	7
AARS2	4
AARSD1	0
AASDH	0
AASDHPPT	0
AASS	0
AATBC	1
AATF	19
AATK	12
AATK_AS1	224
ABALON	0
ABAT	9
ABCA1	31
ABCA10	0
ABCA11P	0
ABCA12	0
ABCA13	15
ABCA17P	1
ABCA2	10
ABCA3	1
ABCA4	0
ABCA5	0
ABCA6	0
ABCA7	33
ABCA8	3
ABCA9	0
ABCA9_AS1	1
ABCB1	2
ABCB10	0
ABCB11	1
ABCB4	0
ABCB5	2
ABCB6	4
ABCB7	1
ABCB8	0
ABCB9	0
ABCC1	6
ABCC10	1
ABCC11	0
ABCC12	0
ABCC13	0
ABCC2	3
ABCC3	1
ABCC4	1
ABCC5	2
ABCC5_AS1	0
ABCC6	109
ABCC6P1	0
ABCC6P2	0
ABCC8	0
ABCC9	2
ABCD1	10
ABCD2	2
ABCD3	0
ABCD4	4
ABCE1	0
ABCF1	10
ABCF2	2
ABCF3	2
ABCG1	7
ABCG2	0
ABCG4	2
ABCG5	0
ABCG8	0
ABHD1	0
ABHD10	3
ABHD11	1
ABHD11_AS1	2
ABHD12	5
ABHD12B	3
ABHD13	8
ABHD14A	0
ABHD14A_ACY1	0
ABHD14B	0
ABHD15	0
ABHD16A	3
ABHD16B	0
ABHD17A	0
ABHD17B	3
ABHD17C	2
ABHD2	3
ABHD3	0
ABHD4	0
ABHD5	2
ABHD6	0
ABHD8	3
ABI1	7
ABI2	8
ABI3	9
ABI3BP	0
ABL1	2
ABL2	10
ABLIM1	15
ABLIM2	3
ABLIM3	19
ABO	1
ABR	13
ABRA	0
ABRACL	0
ABT1	0
ABTB1	5
ABTB2	28
ACAA1	11
ACAA2	0
ACACA	40
ACACB	1
ACAD10	0
ACAD11	0
ACAD8	6
ACAD9	6
ACADL	1
ACADM	1
ACADS	0
ACADSB	0
ACADVL	8
ACAN	23
ACAP1	5
ACAP2	6
ACAP3	7
ACAT1	0
ACAT2	0
ACBD3	12
ACBD4	0
ACBD5	11
ACBD6	0
ACBD7	0
ACCS	0
ACCSL	0
ACD	5
ACE	0
ACE2	0
ACER1	0
ACER2	0
ACER3	2
ACHE	2
ACIN1	2316
ACKR1	1
ACKR2	0
ACKR3	0
ACKR4	0
ACLY	0
ACMSD	0
ACO1	15
ACO2	3
ACOT1	0
ACOT11	0
ACOT12	1
ACOT13	3
ACOT2	0
ACOT4	0
ACOT6	0
ACOT7	0
ACOT8	4
ACOT9	5
ACOX1	8
ACOX2	1
ACOX3	4
ACOXL	19
ACP1	0
ACP2	4
ACP5	2
ACP6	0
ACPP	5
ACPT	2
ACR	0
ACRBP	1
ACRC	8
ACRV1	0
ACSBG1	1
ACSBG2	3
ACSF2	0
ACSF3	1
ACSL1	85
ACSL3	5
ACSL4	0
ACSL5	2
ACSL6	0
ACSM1	4
ACSM2A	0
ACSM2B	0
ACSM3	0
ACSM4	0
ACSM5	0
ACSM6	0
ACSS1	1
ACSS2	0
ACSS3	0
ACTA1	3
ACTA2	16
ACTA2_AS1	0
ACTB	312
ACTBL2	0
ACTC1	0
ACTG1	167
ACTG1P17	1
ACTG1P20	1
ACTG1P4	0
ACTG2	2
ACTL10	0
ACTL6A	0
ACTL6B	2
ACTL7A	0
ACTL7B	0
ACTL8	0
ACTL9	0
ACTN1	16
ACTN1_AS1	0
ACTN2	3
ACTN3	2
ACTN4	48
ACTR10	0
ACTR1A	4
ACTR1B	1
ACTR2	9
ACTR3	11
ACTR3B	0
ACTR3BP2	0
ACTR3BP5	0
ACTR3C	0
ACTR5	0
ACTR6	0
ACTR8	2
ACTRT1	0
ACTRT2	0
ACTRT3	0
ACVR1	0
ACVR1B	7
ACVR1C	344
ACVR2A	1
ACVR2B	2
ACVR2B_AS1	0
ACVRL1	3
ACY1	0
ACY3	0
ACYP1	4
ACYP2	0
ADA	1
ADAD1	0
ADAD2	9
ADAL	5
ADAM10	3
ADAM11	3
ADAM12	0
ADAM15	3
ADAM17	7
ADAM18	0
ADAM19	35
ADAM1A	0
ADAM2	1
ADAM20	0
ADAM20P1	0
ADAM21	0
ADAM21P1	2
ADAM22	1
ADAM23	0
ADAM28	1
ADAM29	0
ADAM30	0
ADAM32	0
ADAM33	0
ADAM3A	0
ADAM5	0
ADAM6	0
ADAM7	0
ADAM8	31
ADAM9	18
ADAMDEC1	0
ADAMTS1	151
ADAMTS10	1
ADAMTS12	0
ADAMTS13	3
ADAMTS14	3
ADAMTS15	3
ADAMTS16	3
ADAMTS17	2
ADAMTS18	4
ADAMTS19	0
ADAMTS19_AS1	0
ADAMTS2	0
ADAMTS20	0
ADAMTS3	2
ADAMTS4	0
ADAMTS5	0
ADAMTS6	0
ADAMTS7	0
ADAMTS7P1	4
ADAMTS8	0
ADAMTS9	9
ADAMTS9_AS1	0
ADAMTS9_AS2	1
ADAMTSL1	6
ADAMTSL2	1
ADAMTSL3	1
ADAMTSL4	38
ADAMTSL4_AS1	5
ADAMTSL5	1
ADAP1	4
ADAP2	0
ADAR	45
ADARB1	6
ADARB2	16
ADARB2_AS1	0
ADAT1	0
ADAT2	4
ADAT3	1
ADCK1	15
ADCK2	545
ADCK3	31
ADCK4	3
ADCK5	2
ADCY1	7
ADCY10	0
ADCY10P1	0
ADCY2	0
ADCY3	5
ADCY4	5
ADCY5	26
ADCY6	3
ADCY7	3
ADCY8	21
ADCY9	21
ADCYAP1	0
ADCYAP1R1	2
ADD1	12
ADD2	3
ADD3	2
ADD3_AS1	1
ADGB	0
ADGRA1	1
ADGRA1_AS1	1
ADGRA2	8
ADGRA3	0
ADGRB1	2
ADGRB2	2
ADGRB3	3
ADGRD1	1
ADGRE1	0
ADGRE2	6
ADGRE3	4
ADGRE4P	0
ADGRE5	20
ADGRF1	1
ADGRF2	0
ADGRF3	5
ADGRF4	0
ADGRF5	0
ADGRG1	13
ADGRG2	0
ADGRG3	16
ADGRG4	7
ADGRG5	0
ADGRG6	2
ADGRG7	4
ADGRL1	108
ADGRL2	1
ADGRL3	0
ADGRL3_AS1	0
ADGRL4	0
ADGRV1	12
ADH1A	0
ADH1B	0
ADH1C	0
ADH4	0
ADH5	0
ADH6	0
ADH7	0
ADHFE1	1
ADI1	0
ADIG	0
ADIPOQ	0
ADIPOQ_AS1	0
ADIPOR1	7
ADIPOR2	6
ADIRF	1
ADK	1
ADM	28
ADM2	0
ADM5	0
ADNP	6
ADNP_AS1	0
ADNP2	5
ADO	4
ADORA1	2
ADORA2A	0
ADORA2A_AS1	1
ADORA2B	3
ADORA3	0
ADPGK	5
ADPGK_AS1	0
ADPRH	30
ADPRHL1	14
ADPRHL2	4
ADPRM	0
ADRA1A	5
ADRA1B	0
ADRA1D	1
ADRA2A	0
ADRA2B	3
ADRA2C	0
ADRB1	6
ADRB2	10
ADRB3	3
ADRBK1	23
ADRBK2	3
ADRM1	8
ADSL	0
ADSS	1
ADSSL1	0
ADTRP	0
AEBP1	0
AEBP2	22
AEN	0
AES	7
AFAP1	15
AFAP1_AS1	2
AFAP1L1	47
AFAP1L2	1
AFF1	38
AFF2	2
AFF3	7
AFF4	10
AFG3L1P	1
AFG3L2	3
AFM	0
AFMID	1
AFP	0
AFTPH	8
AGA	0
AGAP1	18
AGAP1_IT1	0
AGAP11	0
AGAP2	0
AGAP2_AS1	1
AGAP3	10
AGAP4	0
AGAP5	0
AGAP6	0
AGAP7P	0
AGAP9	0
AGBL1	0
AGBL1_AS1	0
AGBL2	7
AGBL3	0
AGBL4	1
AGBL4_IT1	0
AGBL5	2
AGBL5_AS1	0
AGER	9
AGFG1	0
AGFG2	1
AGGF1	2
AGK	24
AGL	1
AGMAT	0
AGMO	0
AGO1	6
AGO2	2
AGO3	1
AGO4	6
AGPAT1	4
AGPAT2	4
AGPAT3	8
AGPAT4	8
AGPAT4_IT1	0
AGPAT5	5
AGPS	2
AGR2	1
AGR3	0
AGRN	96
AGRP	0
AGT	101
AGTPBP1	1
AGTR1	0
AGTR2	5
AGTRAP	0
AGXT	0
AGXT2	1
AHCTF1	0
AHCTF1P1	0
AHCY	7
AHCYL1	3
AHCYL2	1
AHDC1	7
AHI1	2
AHNAK	55
AHNAK2	11
AHR	3
AHRR	37
AHSA1	13
AHSA2	1
AHSG	0
AHSP	0
AICDA	0
AIDA	0
AIF1	14
AIF1L	26
AIFM1	6
AIFM2	3
AIFM3	2
AIG1	0
AIM1	18
AIM1L	45
AIM2	2
AIMP1	0
AIMP2	0
AIP	0
AIPL1	1
AIRE	5
AIRN	0
AJAP1	0
AJUBA	2
AK1	5
AK2	2
AK3	0
AK4	1
AK5	2
AK6	0
AK7	0
AK8	3
AK9	5
AKAP1	17
AKAP10	1
AKAP11	1
AKAP12	7
AKAP13	76
AKAP14	0
AKAP17A	26
AKAP2	2
AKAP3	2
AKAP4	0
AKAP5	0
AKAP6	1
AKAP7	0
AKAP8	3
AKAP8L	3
AKAP9	19
AKIP1	0
AKIRIN1	8
AKIRIN2	4
AKNA	20
AKNAD1	0
AKR1A1	2
AKR1B1	0
AKR1B10	0
AKR1B15	0
AKR1C1	1
AKR1C2	0
AKR1C3	1
AKR1C4	0
AKR1C6P	0
AKR1C8P	0
AKR1D1	0
AKR1E2	4
AKR7A2	2
AKR7A2P1	0
AKR7A3	0
AKR7L	0
AKT1	2
AKT1S1	17
AKT2	5
AKT3	0
AKTIP	0
ALAD	0
ALAS1	6
ALAS2	0
ALB	2
ALCAM	10
ALDH16A1	1
ALDH18A1	0
ALDH1A1	2
ALDH1A2	8
ALDH1A3	26
ALDH1B1	12
ALDH1L1	4
ALDH1L1_AS1	0
ALDH1L1_AS2	2
ALDH1L2	0
ALDH2	9
ALDH3A1	0
ALDH3A2	3
ALDH3B1	0
ALDH3B2	18
ALDH4A1	0
ALDH5A1	0
ALDH6A1	0
ALDH7A1	0
ALDH8A1	3
ALDH9A1	1
ALDOA	57
ALDOB	0
ALDOC	3
ALG1	3
ALG10	0
ALG10B	1
ALG11	0
ALG12	3
ALG13	4
ALG14	0
ALG1L	0
ALG1L2	0
ALG1L9P	0
ALG2	0
ALG3	0
ALG5	0
ALG6	1
ALG8	0
ALG9	13
ALK	0
ALKBH1	0
ALKBH2	5
ALKBH3	0
ALKBH3_AS1	6
ALKBH4	3
ALKBH5	43
ALKBH6	2
ALKBH7	4
ALKBH8	0
ALLC	1
ALMS1	2
ALMS1_IT1	0
ALMS1P	2
ALOX12	35
ALOX12_AS1	0
ALOX12B	6
ALOX12P2	0
ALOX15	2
ALOX15B	0
ALOX15P1	0
ALOX5	16
ALOX5AP	0
ALOXE3	0
ALPI	0
ALPK1	11
ALPK2	0
ALPK3	8
ALPL	52
ALPP	0
ALPPL2	0
ALS2	3
ALS2CL	27
ALS2CR11	1
ALS2CR12	2
ALX1	2
ALX3	2
ALX4	1
ALYREF	8
AMACR	1
AMBN	0
AMBP	11
AMBRA1	12
AMD1	0
AMDHD1	3
AMDHD2	3
AMELX	0
AMELY	0
AMER1	4
AMER2	0
AMER3	2
AMFR	0
AMH	1
AMHR2	0
AMICA1	20
AMIGO1	155
AMIGO2	2
AMIGO3	0
AMMECR1	4
AMMECR1L	6
AMN	4
AMN1	0
AMOT	5
AMOTL1	5
AMOTL2	14
AMPD1	0
AMPD2	3
AMPD3	9
AMPH	0
AMT	1
AMTN	0
AMY1A	0
AMY1B	0
AMY1C	0
AMY2A	0
AMY2B	0
AMZ1	5
AMZ2	0
AMZ2P1	0
ANAPC1	0
ANAPC10	0
ANAPC11	2
ANAPC13	0
ANAPC15	0
ANAPC16	878
ANAPC1P1	0
ANAPC2	5
ANAPC4	1
ANAPC5	0
ANAPC7	0
ANG	0
ANGEL1	18
ANGEL2	3
ANGPT1	0
ANGPT2	0
ANGPT4	0
ANGPTL1	0
ANGPTL2	2
ANGPTL3	9
ANGPTL4	0
ANGPTL5	0
ANGPTL6	0
ANGPTL7	0
ANHX	0
ANK1	0
ANK2	3
ANK3	5
ANKAR	0
ANKDD1A	1
ANKDD1B	2
ANKEF1	2
ANKFN1	0
ANKFY1	16
ANKH	6
ANKHD1	0
ANKHD1_EIF4EBP3	0
ANKIB1	3
ANKK1	3
ANKLE1	3
ANKLE2	24
ANKMY1	7
ANKMY2	0
ANKRA2	3
ANKRD1	0
ANKRD10	3
ANKRD11	68
ANKRD12	10
ANKRD13A	9
ANKRD13B	0
ANKRD13C	0
ANKRD13D	2
ANKRD16	1
ANKRD17	27
ANKRD18A	0
ANKRD18B	0
ANKRD18DP	0
ANKRD19P	1
ANKRD2	0
ANKRD20A1	0
ANKRD20A11P	1
ANKRD20A12P	0
ANKRD20A19P	0
ANKRD20A2	0
ANKRD20A3	0
ANKRD20A4	0
ANKRD20A5P	2
ANKRD20A8P	0
ANKRD20A9P	0
ANKRD22	2
ANKRD23	0
ANKRD24	2
ANKRD26	5
ANKRD26P1	6
ANKRD26P3	1
ANKRD27	0
ANKRD28	1
ANKRD29	0
ANKRD30A	3
ANKRD30B	1
ANKRD30BL	2
ANKRD30BP2	0
ANKRD30BP3	0
ANKRD31	0
ANKRD33	0
ANKRD33B	5
ANKRD34A	1
ANKRD34B	0
ANKRD34C	1
ANKRD34C_AS1	1
ANKRD35	8
ANKRD36	0
ANKRD36B	3
ANKRD36BP1	0
ANKRD36BP2	0
ANKRD36C	5
ANKRD37	0
ANKRD39	0
ANKRD40	0
ANKRD42	24
ANKRD44	1
ANKRD44_IT1	1
ANKRD45	2
ANKRD46	0
ANKRD49	0
ANKRD50	10
ANKRD52	2
ANKRD53	0
ANKRD54	1
ANKRD55	0
ANKRD6	3
ANKRD60	0
ANKRD61	0
ANKRD62	0
ANKRD62P1_PARP4P3	0
ANKRD63	0
ANKRD65	2
ANKRD66	0
ANKRD7	0
ANKRD9	0
ANKS1A	6
ANKS1B	2
ANKS3	0
ANKS4B	1
ANKS6	3
ANKUB1	0
ANKZF1	11
ANLN	5
ANO1	8
ANO1_AS2	0
ANO10	1
ANO2	4
ANO3	2
ANO4	0
ANO5	6
ANO6	1
ANO7	26
ANO8	1
ANO9	9
ANOS1	0
ANP32A	23
ANP32A_IT1	2
ANP32AP1	0
ANP32B	5
ANP32C	0
ANP32D	0
ANP32E	10
ANPEP	12
ANTXR1	3
ANTXR2	4
ANTXRL	0
ANTXRLP1	0
ANXA1	52
ANXA10	0
ANXA11	17
ANXA13	0
ANXA2	8
ANXA2P1	0
ANXA2P2	0
ANXA2P3	0
ANXA2R	0
ANXA3	3
ANXA4	3
ANXA5	9
ANXA6	23
ANXA7	7
ANXA8	0
ANXA8L1	3
ANXA9	6
AOAH	11
AOAH_IT1	0
AOC1	3
AOC2	2
AOC3	0
AOC4P	0
AOX1	1
AOX2P	0
AP1AR	0
AP1B1	16
AP1B1P1	3
AP1G1	2
AP1G2	1
AP1M1	8
AP1M2	0
AP1S1	0
AP1S2	0
AP1S3	0
AP2A1	11
AP2A2	2
AP2B1	4
AP2M1	5
AP2S1	0
AP3B1	10
AP3B2	1
AP3D1	31
AP3M1	0
AP3M2	0
AP3S1	0
AP3S2	10
AP4B1	2
AP4B1_AS1	0
AP4E1	0
AP4M1	0
AP4S1	2
AP5B1	34
AP5M1	0
AP5S1	1
AP5Z1	1
APAF1	15
APBA1	5
APBA2	7
APBA3	0
APBB1	0
APBB1IP	11
APBB2	3
APBB3	8
APC	2
APC2	19
APCDD1	0
APCDD1L	6
APCDD1L_AS1	2
APCS	0
APEH	1
APELA	0
APEX1	0
APEX2	0
APH1A	7
APH1B	1
API5	0
APIP	0
APITD1	0
APITD1_CORT	0
APLF	0
APLN	4
APLNR	4
APLP1	0
APLP2	28
APMAP	0
APOA1	0
APOA1_AS	0
APOA1BP	2
APOA2	0
APOA4	19
APOA5	0
APOB	2
APOBEC1	4
APOBEC2	0
APOBEC3A	3
APOBEC3A_B	0
APOBEC3B	0
APOBEC3B_AS1	0
APOBEC3C	0
APOBEC3D	0
APOBEC3F	5
APOBEC3G	1
APOBEC3H	1
APOBEC4	0
APOBR	85
APOC1	0
APOC1P1	0
APOC2	0
APOC3	0
APOC4	0
APOC4_APOC2	0
APOD	6
APOE	0
APOF	0
APOH	0
APOL1	23
APOL2	13
APOL3	8
APOL4	0
APOL5	0
APOL6	41
APOLD1	6
APOM	0
APOO	1
APOOL	0
APOOP5	2
APOPT1	0
APP	7
APPBP2	1
APPL1	411
APPL2	0
APRT	0
APTR	0
APTX	10
AQP1	0
AQP10	1
AQP11	0
AQP12A	0
AQP12B	3
AQP2	2
AQP3	14
AQP4	0
AQP4_AS1	0
AQP5	4
AQP6	0
AQP7	0
AQP7P1	0
AQP7P3	0
AQP8	3
AQP9	15
AQR	2
AR	7
ARAF	2
ARAP1	50
ARAP2	5
ARAP3	10
ARC	5
ARCN1	10
AREG	5
AREL1	1
ARF1	12
ARF3	4
ARF4	1
ARF5	1
ARF6	17
ARFGAP1	13
ARFGAP2	5
ARFGAP3	73
ARFGEF1	13
ARFGEF2	3
ARFGEF3	6
ARFIP1	0
ARFIP2	0
ARFRP1	8
ARG1	0
ARG2	0
ARGFX	0
ARGFXP2	0
ARGLU1	54
ARHGAP1	1
ARHGAP10	10
ARHGAP11A	0
ARHGAP11B	0
ARHGAP12	3
ARHGAP15	0
ARHGAP17	8
ARHGAP18	0
ARHGAP19	2
ARHGAP19_SLIT1	0
ARHGAP20	0
ARHGAP21	2
ARHGAP22	1
ARHGAP23	1
ARHGAP24	1
ARHGAP25	12
ARHGAP26	34
ARHGAP26_AS1	0
ARHGAP26_IT1	4
ARHGAP27	52
ARHGAP28	2
ARHGAP29	1
ARHGAP30	49
ARHGAP31	4
ARHGAP31_AS1	3
ARHGAP32	7
ARHGAP33	9
ARHGAP35	3
ARHGAP36	0
ARHGAP39	20
ARHGAP4	21
ARHGAP40	0
ARHGAP42	0
ARHGAP44	7
ARHGAP5	7
ARHGAP5_AS1	0
ARHGAP6	145
ARHGAP8	0
ARHGAP9	84
ARHGDIA	26
ARHGDIB	20
ARHGDIG	0
ARHGEF1	48
ARHGEF10	19
ARHGEF10L	32
ARHGEF11	22
ARHGEF12	4
ARHGEF15	11
ARHGEF16	8
ARHGEF17	7
ARHGEF18	10
ARHGEF19	4
ARHGEF2	36
ARHGEF25	1
ARHGEF26	5
ARHGEF26_AS1	0
ARHGEF28	9
ARHGEF3	1
ARHGEF3_AS1	0
ARHGEF33	0
ARHGEF34P	1
ARHGEF35	0
ARHGEF37	4
ARHGEF38	1
ARHGEF38_IT1	0
ARHGEF39	0
ARHGEF4	7
ARHGEF40	5
ARHGEF5	1
ARHGEF6	0
ARHGEF7	12
ARHGEF7_AS1	0
ARHGEF7_AS2	0
ARHGEF9	5
ARHGEF9_IT1	0
ARID1A	12
ARID1B	12
ARID2	0
ARID3A	5
ARID3B	3
ARID3C	0
ARID4A	26
ARID4B	41
ARID5A	26
ARID5B	13
ARIH1	40
ARIH2	10
ARIH2OS	0
ARL1	0
ARL10	0
ARL11	4
ARL13A	2
ARL13B	2
ARL14	0
ARL14EP	0
ARL14EPL	0
ARL15	0
ARL16	3
ARL17A	0
ARL17B	0
ARL2	0
ARL2_SNX15	0
ARL2BP	2
ARL3	0
ARL4A	0
ARL4C	16
ARL4D	0
ARL5A	0
ARL5B	8
ARL5C	0
ARL6	0
ARL6IP1	0
ARL6IP4	5
ARL6IP5	0
ARL6IP6	1
ARL8A	3
ARL8B	0
ARL9	1
ARMC1	0
ARMC10	0
ARMC12	0
ARMC2	0
ARMC2_AS1	0
ARMC3	3
ARMC4	0
ARMC5	2
ARMC6	1
ARMC7	1
