	gene_id_FLU_27_S195_
A1BG	16
A1BG_AS1	1
A1CF	0
A2M	61
A2M_AS1	21
A2ML1	0
A2MP1	10
A3GALT2	14
A4GALT	0
A4GNT	0
AA06	0
AAAS	64
AACS	25
AACSP1	0
AADAC	0
AADACL2	0
AADACL2_AS1	0
AADACL3	0
AADACL4	0
AADACP1	0
AADAT	3
AAED1	37
AAGAB	302
AAK1	1023
AAMDC	13
AAMP	173
AANAT	47
AAR2	93
AARD	0
AARS	139
AARS2	46
AARSD1	0
AASDH	87
AASDHPPT	246
AASS	10
AATBC	97
AATF	505
AATK	279
AATK_AS1	0
ABALON	51
ABAT	259
ABCA1	1527
ABCA10	8
ABCA11P	30
ABCA12	0
ABCA13	351
ABCA17P	0
ABCA2	409
ABCA3	12
ABCA4	0
ABCA5	100
ABCA6	3
ABCA7	1723
ABCA8	0
ABCA9	0
ABCA9_AS1	0
ABCB1	51
ABCB10	206
ABCB11	0
ABCB4	11
ABCB5	5
ABCB6	34
ABCB7	112
ABCB8	53
ABCB9	6
ABCC1	422
ABCC10	105
ABCC11	0
ABCC12	0
ABCC13	115
ABCC2	52
ABCC3	145
ABCC4	530
ABCC5	94
ABCC5_AS1	0
ABCC6	19
ABCC6P1	1
ABCC6P2	0
ABCC8	0
ABCC9	0
ABCD1	184
ABCD2	35
ABCD3	159
ABCD4	97
ABCE1	144
ABCF1	282
ABCF2	159
ABCF3	198
ABCG1	65
ABCG2	67
ABCG4	0
ABCG5	0
ABCG8	0
ABHD1	3
ABHD10	97
ABHD11	54
ABHD11_AS1	9
ABHD12	35
ABHD12B	114
ABHD13	465
ABHD14A	6
ABHD14A_ACY1	0
ABHD14B	33
ABHD15	75
ABHD16A	583
ABHD16B	16
ABHD17A	104
ABHD17B	150
ABHD17C	9
ABHD2	4969
ABHD3	880
ABHD4	206
ABHD5	972
ABHD6	26
ABHD8	36
ABI1	1477
ABI2	93
ABI3	134
ABI3BP	20
ABL1	170
ABL2	366
ABLIM1	340
ABLIM2	5
ABLIM3	116
ABO	3
ABR	1288
ABRA	17
ABRACL	255
ABT1	130
ABTB1	1677
ABTB2	36
ACAA1	947
ACAA2	254
ACACA	151
ACACB	40
ACAD10	155
ACAD11	4
ACAD8	152
ACAD9	109
ACADL	0
ACADM	164
ACADS	55
ACADSB	92
ACADVL	657
ACAN	0
ACAP1	1287
ACAP2	6860
ACAP3	64
ACAT1	104
ACAT2	34
ACBD3	307
ACBD4	11
ACBD5	412
ACBD6	57
ACBD7	0
ACCS	78
ACCSL	1
ACD	34
ACE	16
ACE2	8
ACER1	0
ACER2	24
ACER3	959
ACHE	7
ACIN1	1626
ACKR1	5
ACKR2	18
ACKR3	0
ACKR4	1
ACLY	1428
ACMSD	2
ACO1	330
ACO2	317
ACOT1	5
ACOT11	1
ACOT12	2
ACOT13	223
ACOT2	12
ACOT4	5
ACOT6	0
ACOT7	21
ACOT8	91
ACOT9	655
ACOX1	2451
ACOX2	2
ACOX3	108
ACOXL	5
ACP1	345
ACP2	91
ACP5	94
ACP6	36
ACPP	1221
ACPT	5
ACR	0
ACRBP	52
ACRC	78
ACRV1	0
ACSBG1	6
ACSBG2	3
ACSF2	38
ACSF3	145
ACSL1	25377
ACSL3	519
ACSL4	3914
ACSL5	628
ACSL6	88
ACSM1	8
ACSM2A	0
ACSM2B	0
ACSM3	9
ACSM4	2
ACSM5	0
ACSM6	1
ACSS1	176
ACSS2	380
ACSS3	8
ACTA1	0
ACTA2	52
ACTA2_AS1	15
ACTB	117681
ACTBL2	0
ACTC1	0
ACTG1	13294
ACTG1P17	0
ACTG1P20	30
ACTG1P4	11
ACTG2	1
ACTL10	0
ACTL6A	60
ACTL6B	0
ACTL7A	0
ACTL7B	0
ACTL8	0
ACTL9	0
ACTN1	6471
ACTN1_AS1	0
ACTN2	0
ACTN3	0
ACTN4	4089
ACTR10	318
ACTR1A	1140
ACTR1B	191
ACTR2	10255
ACTR3	6279
ACTR3B	40
ACTR3BP2	0
ACTR3BP5	0
ACTR3C	9
ACTR5	23
ACTR6	105
ACTR8	168
ACTRT1	0
ACTRT2	0
ACTRT3	0
ACVR1	116
ACVR1B	205
ACVR1C	5
ACVR2A	113
ACVR2B	21
ACVR2B_AS1	2
ACVRL1	18
ACY1	0
ACY3	0
ACYP1	0
ACYP2	16
ADA	55
ADAD1	0
ADAD2	0
ADAL	68
ADAM10	4867
ADAM11	1
ADAM12	4
ADAM15	216
ADAM17	1021
ADAM18	0
ADAM19	338
ADAM1A	17
ADAM2	0
ADAM20	1
ADAM20P1	5
ADAM21	4
ADAM21P1	0
ADAM22	28
ADAM23	6
ADAM28	70
ADAM29	0
ADAM30	0
ADAM32	28
ADAM33	0
ADAM3A	0
ADAM5	0
ADAM6	0
ADAM7	0
ADAM8	5124
ADAM9	547
ADAMDEC1	6
ADAMTS1	3
ADAMTS10	6
ADAMTS12	0
ADAMTS13	2
ADAMTS14	0
ADAMTS15	0
ADAMTS16	0
ADAMTS17	7
ADAMTS18	0
ADAMTS19	0
ADAMTS19_AS1	0
ADAMTS2	4
ADAMTS20	0
ADAMTS3	6
ADAMTS4	1
ADAMTS5	1
ADAMTS6	17
ADAMTS7	2
ADAMTS7P1	0
ADAMTS8	0
ADAMTS9	0
ADAMTS9_AS1	0
ADAMTS9_AS2	0
ADAMTSL1	0
ADAMTSL2	0
ADAMTSL3	0
ADAMTSL4	811
ADAMTSL4_AS1	541
ADAMTSL5	7
ADAP1	492
ADAP2	282
ADAR	15474
ADARB1	92
ADARB2	0
ADARB2_AS1	0
ADAT1	317
ADAT2	15
ADAT3	3
ADCK1	18
ADCK2	48
ADCK3	191
ADCK4	194
ADCK5	21
ADCY1	1
ADCY10	26
ADCY10P1	209
ADCY2	0
ADCY3	74
ADCY4	39
ADCY5	2
ADCY6	3
ADCY7	2706
ADCY8	0
ADCY9	80
ADCYAP1	0
ADCYAP1R1	0
ADD1	2643
ADD2	23
ADD3	2132
ADD3_AS1	10
ADGB	0
ADGRA1	0
ADGRA1_AS1	0
ADGRA2	19
ADGRA3	13
ADGRB1	2
ADGRB2	0
ADGRB3	0
ADGRD1	12
ADGRE1	2781
ADGRE2	5052
ADGRE3	659
ADGRE4P	20
ADGRE5	9733
ADGRF1	0
ADGRF2	0
ADGRF3	10
ADGRF4	0
ADGRF5	0
ADGRG1	85
ADGRG2	23
ADGRG3	2766
ADGRG4	0
ADGRG5	20
ADGRG6	0
ADGRG7	0
ADGRL1	55
ADGRL2	0
ADGRL3	0
ADGRL3_AS1	0
ADGRL4	0
ADGRV1	0
ADH1A	0
ADH1B	0
ADH1C	0
ADH4	2
ADH5	210
ADH6	0
ADH7	0
ADHFE1	10
ADI1	169
ADIG	0
ADIPOQ	0
ADIPOQ_AS1	0
ADIPOR1	10877
ADIPOR2	556
ADIRF	0
ADK	85
ADM	2406
ADM2	7
ADM5	0
ADNP	1033
ADNP_AS1	8
ADNP2	181
ADO	78
ADORA1	0
ADORA2A	5
ADORA2A_AS1	76
ADORA2B	22
ADORA3	6
ADPGK	805
ADPGK_AS1	24
ADPRH	117
ADPRHL1	2
ADPRHL2	95
ADPRM	88
ADRA1A	0
ADRA1B	0
ADRA1D	0
ADRA2A	1
ADRA2B	1
ADRA2C	0
ADRB1	5
ADRB2	211
ADRB3	0
ADRBK1	3226
ADRBK2	1041
ADRM1	257
ADSL	213
ADSS	443
ADSSL1	6
ADTRP	19
AEBP1	9
AEBP2	249
AEN	62
AES	312
AFAP1	138
AFAP1_AS1	8
AFAP1L1	3
AFAP1L2	11
AFF1	4094
AFF2	1317
AFF3	89
AFF4	1575
AFG3L1P	28
AFG3L2	133
AFM	0
AFMID	32
AFP	0
AFTPH	1781
AGA	97
AGAP1	19
