	gene_id_NP53_1_
DSCR4	0
DSCR8	0
DSCR9	0
DSE	8
DSEL	2
DSG1	0
DSG1_AS1	0
DSG2	29
DSG2_AS1	1
DSG3	5
DSG4	0
DSN1	2
DSP	773
DSPP	3
DST	119
DSTN	150
DSTNP2	5
DSTYK	20
DTD1	16
DTD2	8
DTHD1	276
DTL	0
DTNA	2
DTNB	16
DTNBP1	8
DTWD1	7
DTWD2	4
DTX1	6
DTX2	39
DTX2P1_UPK3BP1_PMS2P11	18
DTX3	8
DTX3L	103
DTX4	64
DTYMK	0
DUOX1	192
DUOX2	296
DUOXA1	48
DUOXA2	16
DUPD1	0
DUS1L	32
DUS2	0
DUS3L	9
DUS4L	2
DUSP1	74
DUSP10	8
DUSP11	9
DUSP12	5
DUSP13	0
DUSP14	31
DUSP15	4
DUSP16	31
DUSP18	21
DUSP19	7
DUSP2	6
DUSP21	0
DUSP22	715
DUSP23	6
DUSP26	0
DUSP27	0
DUSP28	0
DUSP3	9
DUSP4	66
DUSP5	31
DUSP5P1	1
DUSP6	8
DUSP7	10
DUSP8	2
DUSP9	3
DUT	9
DUX4	0
DUXA	0
DUXAP10	0
DUXAP8	1
DVL1	29
DVL2	8
DVL3	58
DXO	5
DYDC1	10
DYDC2	47
DYM	23
DYNAP	0
DYNC1H1	464
DYNC1I1	5
DYNC1I2	46
DYNC1LI1	22
DYNC1LI2	90
DYNC2H1	235
DYNC2LI1	30
DYNLL1	120
DYNLL2	32
DYNLRB1	28
DYNLRB2	18
DYNLT1	133
DYNLT3	13
DYRK1A	75
DYRK1B	12
DYRK2	51
DYRK3	10
DYRK4	7
DYSF	3
DYTN	1
DYX1C1	5
DYX1C1_CCPG1	0
DZANK1	36
DZIP1	32
DZIP1L	291
DZIP3	114
E2F1	1
E2F2	0
E2F3	4
E2F4	13
E2F5	9
E2F6	4
E2F7	7
E2F8	53
E4F1	19
EAF1	16
EAF2	0
EAPP	21
EARS2	10
EBAG9	18
EBF1	0
EBF2	0
EBF3	3
EBF4	3
EBI3	0
EBLN1	0
EBLN2	3
EBLN3	30
EBNA1BP2	48
EBP	7
EBPL	8
ECD	12
ECE1	61
ECE2	1
ECEL1	0
ECEL1P2	0
ECH1	19
ECHDC1	37
ECHDC2	18
ECHDC3	0
ECHS1	28
ECI1	9
ECI2	9
ECM1	135
ECM2	1
ECRP	0
ECSCR	0
ECSIT	7
ECT2	2
ECT2L	116
EDA	7
EDA2R	0
EDAR	2
EDARADD	13
EDC3	10
EDC4	20
EDDM3A	0
EDDM3B	98
EDEM1	14
EDEM2	4
EDEM3	32
EDF1	61
EDIL3	1
EDN1	2
EDN2	2
EDN3	0
EDNRA	0
EDNRB	0
EDNRB_AS1	0
EDRF1	16
EDRF1_AS1	0
EEA1	54
EED	25
EEF1A1	370
EEF1A2	2
EEF1B2	34
EEF1D	88
EEF1DP3	2
EEF1E1	1
EEF1E1_BLOC1S5	0
EEF1G	77
EEF2	345
EEF2K	97
EEF2KMT	2
EEFSEC	9
EEPD1	12
EFCAB1	100
EFCAB10	21
EFCAB11	23
EFCAB12	70
EFCAB13	5
EFCAB14	65
EFCAB14_AS1	0
EFCAB2	76
EFCAB3	0
EFCAB5	0
EFCAB6	61
EFCAB6_AS1	0
EFCAB7	9
EFCAB9	0
EFCC1	4
EFEMP1	43
EFEMP2	4
EFHB	99
EFHC1	150
EFHC2	37
EFHD1	2
EFHD2	114
EFNA1	3
EFNA2	3
EFNA3	1
EFNA4	2
EFNA5	6
EFNB1	2
EFNB2	6
EFNB3	14
EFR3A	52
EFR3B	3
EFS	0
EFTUD1	21
EFTUD1P1	2
EFTUD2	39
EGF	1
EGFEM1P	0
EGFL6	5
EGFL7	1
EGFL8	0
EGFLAM	5
EGFLAM_AS2	0
EGFLAM_AS4	0
EGFR	69
EGFR_AS1	2
EGLN1	18
EGLN2	1
EGLN3	14
EGOT	7
EGR1	64
EGR2	4
EGR3	11
EGR4	0
EHBP1	8
EHBP1L1	51
EHD1	23
EHD2	2
EHD3	9
EHD4	89
EHD4_AS1	4
EHF	272
EHHADH	16
EHHADH_AS1	0
EHMT1	62
EHMT1_IT1	1
EHMT2	23
EI24	18
EID1	95
EID2	10
EID2B	2
EID3	21
EIF1	74
EIF1AD	12
EIF1AX	9
EIF1AX_AS1	0
EIF1AY	22
EIF1B	12
EIF1B_AS1	0
EIF2A	17
EIF2AK1	48
EIF2AK2	175
EIF2AK3	28
EIF2AK4	25
EIF2B1	10
EIF2B2	8
EIF2B3	11
EIF2B4	29
EIF2B5	22
EIF2B5_AS1	0
EIF2D	17
EIF2S1	20
EIF2S2	33
EIF2S3	20
EIF3A	337
EIF3B	82
EIF3C	0
EIF3CL	0
EIF3D	69
EIF3E	20
EIF3F	10
EIF3G	49
EIF3H	29
EIF3I	25
EIF3IP1	0
EIF3J	42
EIF3J_AS1	8
EIF3K	28
EIF3L	19
EIF3M	10
EIF4A1	0
EIF4A2	58
EIF4A3	26
EIF4B	90
EIF4E	8
EIF4E1B	1
EIF4E2	44
EIF4E3	15
EIF4EBP1	6
EIF4EBP2	53
EIF4EBP3	0
EIF4ENIF1	22
EIF4G1	220
EIF4G2	256
EIF4G3	122
EIF4H	57
EIF5	166
EIF5A	44
EIF5A2	3
EIF5AL1	0
EIF5B	143
EIF6	27
ELAC1	7
ELAC2	39
ELANE	0
ELAVL1	47
ELAVL2	1
ELAVL3	2
ELAVL4	2
ELDR	0
ELF1	48
ELF2	33
ELF3	489
ELF4	13
ELF5	3
ELFN1	0
ELFN1_AS1	0
ELFN2	4
ELK1	8
ELK2AP	0
ELK3	31
ELK4	49
ELL	27
ELL2	35
ELL3	6
ELMO1	1
ELMO1_AS1	0
ELMO2	20
ELMO3	20
ELMOD1	0
ELMOD2	12
ELMOD3	15
ELMSAN1	62
ELN	30
ELOF1	15
ELOVL1	15
ELOVL2	0
ELOVL2_AS1	0
ELOVL3	0
ELOVL4	1
ELOVL5	68
ELOVL6	1
ELOVL7	4
ELP2	13
ELP3	11
ELP4	3
ELP5	24
ELP6	8
ELSPBP1	0
EMB	53
EMBP1	1
EMC1	27
EMC10	16
EMC2	26
EMC3	20
EMC3_AS1	8
EMC4	11
EMC6	2
EMC7	29
EMC8	5
EMC9	3
EMCN	0
EMD	20
EME1	1
EME2	5
EMG1	25
EMID1	0
EMILIN1	1
EMILIN2	1
EMILIN3	2
EML1	22
EML2	34
EML2_AS1	0
EML3	47
EML4	44
EML5	13
EML6	22
EMP1	67
EMP2	67
EMP3	3
EMX1	2
EMX2	0
EMX2OS	13
EN1	0
EN2	1
ENAH	245
ENAM	7
ENC1	20
ENDOD1	15
ENDOG	4
ENDOU	0
ENDOV	11
ENG	8
ENGASE	21
ENHO	8
ENKD1	21
ENKUR	116
ENO1	111
ENO1_AS1	0
ENO2	16
ENO3	3
ENO4	12
ENOPH1	13
ENOSF1	30
ENOX1	3
ENOX1_AS2	0
ENOX2	19
ENPEP	12
ENPP1	5
ENPP2	1
ENPP3	12
ENPP4	39
ENPP5	55
ENPP6	1
ENPP7	0
ENPP7P13	0
ENSA	79
ENTHD1	2
ENTHD2	2
ENTPD1	7
ENTPD1_AS1	9
ENTPD2	1
ENTPD3	5
ENTPD3_AS1	3
ENTPD4	34
ENTPD5	5
ENTPD6	23
ENTPD7	18
ENTPD8	1
ENY2	17
EOGT	12
EOMES	0
EP300	108
EP300_AS1	6
EP400	171
EP400NL	5
EPAS1	545
EPB41	24
EPB41L1	140
EPB41L2	14
EPB41L3	4
EPB41L4A	23
EPB41L4A_AS1	4
EPB41L4A_AS2	8
EPB41L4B	66
EPB41L5	23
EPB42	1
EPC1	35
EPC2	25
EPCAM	50
EPDR1	4
EPG5	46
EPGN	13
EPHA1	13
EPHA1_AS1	0
EPHA10	0
EPHA2	99
EPHA3	0
EPHA4	3
EPHA5	6
EPHA5_AS1	0
EPHA6	0
EPHA7	0
EPHA8	0
EPHB1	4
EPHB2	5
EPHB3	11
EPHB4	8
EPHB6	5
EPHX1	148
EPHX2	26
EPHX3	2
EPHX4	0
EPM2A	2
EPM2AIP1	12
EPN1	50
EPN2	24
EPN2_AS1	0
EPN2_IT1	1
EPN3	24
EPO	0
EPOR	2
EPPIN	17
EPPIN_WFDC6	7
EPPK1	12
EPRS	43
EPS15	80
EPS15L1	31
EPS8	27
EPS8L1	113
EPS8L2	167
EPS8L3	2
EPSTI1	140
EPT1	15
EPX	3
EPYC	0
EQTN	0
ERAL1	11
ERAP1	40
ERAP2	9
ERAS	0
ERBB2	104
ERBB2IP	107
ERBB3	73
ERBB4	37
ERC1	68
ERC2	2
ERC2_IT1	0
ERCC1	10
ERCC2	7
ERCC3	36
ERCC4	34
ERCC5	1
ERCC6	12
ERCC6_PGBD3	0
ERCC6L	0
ERCC6L2	24
ERCC8	6
EREG	24
ERF	42
ERG	3
ERGIC1	34
ERGIC2	24
ERGIC3	97
ERH	19
ERI1	4
ERI2	3
ERI3	9
ERI3_IT1	0
ERICH1	31
ERICH1_AS1	0
ERICH2	21
ERICH3	892
ERICH3_AS1	7
ERICH4	3
ERICH5	55
ERICH6	2
ERICH6_AS1	11
ERICH6B	0
ERLEC1	40
ERLIN1	28
ERLIN2	36
ERMAP	10
ERMARD	6
ERMN	0
ERMP1	36
ERN1	8
ERN2	103
ERO1A	31
ERO1B	8
ERP27	0
ERP29	58
ERP44	28
ERRFI1	22
ERV3_1	2
ERVFRD_1	2
ERVH48_1	3
ERVK13_1	38
ERVMER34_1	0
ERVV_1	0
ERVV_2	0
ERVW_1	1
ESAM	4
ESCO1	25
ESCO2	0
ESD	5
ESF1	26
ESM1	0
ESPL1	8
ESPN	84
ESPNL	7
ESPNP	1
ESR1	4
ESR2	6
ESRG	0
ESRP1	50
ESRP2	23
ESRRA	12
ESRRB	2
ESRRG	15
ESX1	0
ESYT1	16
ESYT2	90
ESYT3	2
ETAA1	18
ETF1	46
ETFA	17
ETFB	23
ETFDH	6
ETHE1	3
ETNK1	44
ETNK2	4
ETNPPL	0
ETS1	8
ETS2	60
ETV1	5
ETV2	9
ETV3	20
ETV3L	0
ETV4	3
ETV5	6
ETV6	150
ETV7	23
EVA1A	2
EVA1B	6
EVA1C	16
EVADR	0
EVC	16
EVC2	6
EVI2A	2
EVI2B	6
EVI5	67
EVI5L	16
EVL	31
EVPL	114
EVPLL	4
EVX1	3
EVX1_AS	0
EVX2	0
EWSAT1	0
EWSR1	254
EXD1	0
EXD2	28
EXD3	9
EXO1	0
EXO5	2
EXOC1	35
EXOC2	16
EXOC3	64
EXOC3_AS1	4
EXOC3L1	1
EXOC3L2	1
EXOC3L4	5
EXOC4	72
EXOC5	22
EXOC6	13
EXOC6B	25
EXOC7	102
EXOC8	10
EXOG	1
EXOSC1	6
EXOSC10	51
EXOSC2	10
EXOSC3	9
EXOSC4	5
EXOSC5	2
EXOSC6	14
EXOSC7	14
EXOSC8	4
EXOSC9	9
EXPH5	137
EXT1	39
EXT2	14
EXTL1	1
EXTL2	16
EXTL3	9
EXTL3_AS1	2
EYA1	33
EYA2	87
EYA3	10
EYA4	21
EYS	4
EZH1	68
EZH2	12
EZR	1760
EZR_AS1	8
F10	0
F10_AS1	0
F11	0
F11_AS1	0
F11R	153
F12	1
F13A1	0
F13B	0
F2	1
F2R	2
F2RL1	6
F2RL2	2
F2RL3	0
F3	194
F5	6
F7	0
F8	5
F8A1	0
F8A2	0
F8A3	0
F9	2
FA2H	8
FAAH	6
FAAH2	6
FAAHP1	1
FAAP100	4
FAAP20	14
FAAP24	0
FABP1	0
FABP12	0
FABP2	0
FABP3	0
FABP4	0
FABP5	7
FABP5P3	0
FABP6	51
FABP7	0
FABP9	0
FADD	5
FADS1	7
FADS2	12
FADS3	1
FADS6	0
FAF1	21
FAF2	26
FAH	58
FAHD1	6
FAHD2A	4
FAHD2B	3
FAHD2CP	2
FAIM	13
FAIM2	2
FALEC	3
FAM101A	0
FAM101B	0
FAM102A	100
FAM102B	7
FAM103A1	1
FAM104A	13
FAM104B	8
FAM105A	1
FAM106A	3
FAM106B	0
FAM106CP	0
FAM107A	23
FAM107B	168
FAM109A	7
FAM109B	4
FAM110A	12
FAM110B	1
FAM110C	5
FAM110D	0
FAM111A	38
FAM111B	3
FAM114A1	35
FAM114A2	2
FAM117A	10
FAM117B	9
FAM118A	9
FAM118B	9
FAM120A	82
FAM120AOS	21
FAM120B	40
FAM120C	17
FAM122A	12
FAM122B	14
FAM122C	5
FAM124A	2
FAM124B	0
FAM126A	3
FAM126B	23
FAM127A	7
FAM127B	8
FAM127C	3
FAM129A	95
FAM129B	228
FAM129C	3
FAM131A	5
FAM131B	0
FAM131C	1
FAM132A	0
FAM132B	1
FAM133A	0
FAM133B	11
FAM133CP	0
FAM133DP	0
FAM134A	14
FAM134B	23
FAM134C	15
FAM135A	22
FAM135B	0
FAM136A	26
FAM138A	0
FAM138B	0
FAM138C	0
FAM138D	0
FAM138E	0
FAM138F	0
FAM13A	64
FAM13A_AS1	1
FAM13B	44
FAM13C	8
FAM149A	35
FAM149B1	12
FAM150A	1
FAM150B	439
FAM151A	1
FAM151B	6
FAM153A	0
FAM153B	1
FAM153C	1
FAM155A	1
FAM155A_IT1	0
FAM155B	2
FAM156A	0
FAM156B	0
FAM157A	2
FAM157B	0
FAM157C	1
FAM159A	0
FAM159B	233
FAM160A1	30
FAM160A2	10
FAM160B1	17
FAM160B2	26
FAM161A	25
FAM161B	8
FAM162A	6
FAM162B	1
FAM163A	0
FAM163B	0
FAM166A	5
FAM166B	30
FAM167A	6
FAM167A_AS1	0
FAM167B	0
FAM168A	38
FAM168B	55
FAM169A	17
FAM169B	0
FAM170A	0
FAM170B	1
FAM170B_AS1	0
FAM171A1	32
FAM171A2	3
FAM171B	2
FAM172A	53
FAM172BP	0
FAM173A	5
FAM173B	8
FAM174A	28
FAM174B	11
FAM175A	15
FAM175B	14
FAM177A1	34
FAM177B	2
FAM178B	0
FAM179A	98
FAM179B	64
FAM180A	5
FAM180B	0
FAM181A	0
FAM181A_AS1	2
FAM181B	1
FAM182A	2
FAM182B	0
FAM183A	42
FAM183B	0
FAM183CP	1
FAM184A	35
FAM184B	2
FAM185A	4
FAM186A	4
FAM186B	5
FAM187B	0
FAM188A	5
FAM188B	1
FAM189A1	0
FAM189A2	0
FAM189B	7
FAM192A	32
FAM193A	40
FAM193B	27
FAM195A	1
FAM195B	10
FAM196A	2
FAM196B	0
FAM197Y2	0
FAM197Y5	0
FAM198A	0
FAM198B	14
FAM199X	23
FAM19A1	0
FAM19A2	2
FAM19A3	0
FAM19A4	1
FAM19A5	2
FAM200A	6
FAM200B	7
FAM201A	4
FAM204A	15
FAM205A	1
FAM205BP	0
FAM205C	0
FAM206A	12
FAM207A	3
FAM208A	50
FAM208B	55
FAM209A	0
FAM209B	2
FAM20A	5
FAM20B	43
FAM20C	1
FAM210A	3
FAM210B	43
FAM212A	0
FAM212B	2
FAM212B_AS1	0
FAM213A	18
FAM213B	13
FAM214A	42
FAM214B	11
FAM215A	0
FAM216A	2
FAM216B	236
FAM217A	0
FAM217B	10
FAM218A	0
FAM219A	9
FAM219B	17
FAM21A	52
FAM21C	32
FAM21EP	0
FAM220A	1
FAM221A	14
FAM221B	3
FAM222A	3
FAM222A_AS1	0
FAM222B	29
FAM223A	0
FAM223B	0
FAM224A	0
FAM224B	0
FAM225A	0
FAM225B	0
FAM226A	0
FAM226B	0
FAM227A	147
FAM227B	8
FAM228A	0
FAM228B	5
FAM229A	2
FAM229B	21
FAM230B	0
FAM230C	0
FAM231A	0
FAM231B	0
FAM231C	0
FAM231D	0
FAM24A	0
FAM24B	0
FAM24B_CUZD1	0
FAM25A	37
FAM25BP	0
FAM25C	0
FAM25G	0
FAM26D	0
FAM26E	0
FAM26F	1
FAM27B	0
FAM27C	0
FAM27E2	1
FAM27E3	6
FAM27L	0
FAM32A	43
FAM35A	9
FAM35BP	0
FAM35DP	0
FAM3A	15
FAM3B	9
FAM3C	23
FAM3D	22
FAM41AY1	0
FAM41AY2	0
FAM41C	0
FAM43A	6
FAM43B	2
FAM45A	8
FAM45B	0
FAM46A	61
FAM46B	2
FAM46C	40
FAM46D	0
FAM47A	0
FAM47B	0
FAM47C	0
FAM47E	1
FAM47E_STBD1	0
FAM49A	1
FAM49B	15
FAM50A	52
FAM50B	4
FAM53A	2
FAM53B	68
FAM53B_AS1	1
FAM53C	19
FAM57A	3
FAM57B	2
FAM58A	4
FAM60A	17
FAM63A	16
FAM63B	17
FAM64A	1
FAM65A	22
FAM65B	23
FAM65C	6
FAM66A	0
FAM66B	0
FAM66C	0
FAM66D	1
FAM66E	0
FAM69A	11
FAM69B	0
FAM69C	0
FAM71A	4
FAM71B	0
FAM71C	0
FAM71D	0
FAM71E1	0
FAM71E2	2
FAM71F1	0
FAM71F2	8
FAM72A	0
FAM72B	0
FAM72C	0
FAM72D	0
FAM73A	13
FAM73B	30
FAM74A1	0
FAM74A3	0
FAM74A4	0
FAM74A6	0
FAM74A7	0
FAM76A	24
FAM76B	23
FAM78A	0
FAM78B	7
FAM81A	12
FAM81B	93
FAM83A	2
FAM83A_AS1	0
FAM83B	5
FAM83C	2
FAM83C_AS1	1
FAM83D	14
FAM83E	20
FAM83F	14
FAM83G	10
FAM83H	77
FAM83H_AS1	34
FAM84A	61
FAM84B	23
FAM86B1	0
FAM86B2	2
FAM86B3P	9
FAM86C1	4
FAM86C2P	4
FAM86DP	5
FAM86EP	3
FAM86FP	1
FAM86HP	4
FAM86JP	2
FAM87A	0
FAM87B	4
FAM89A	16
FAM89B	211
FAM8A1	33
FAM90A1	0
FAM90A10P	0
FAM90A25P	1
FAM90A27P	0
FAM90A2P	0
FAM90A7P	0
FAM91A1	17
FAM92A1	5
FAM92A1P2	0
FAM92B	65
FAM95A	0
FAM95B1	0
FAM95C	7
FAM96A	17
FAM96B	11
FAM98A	20
FAM98B	19
FAM98C	5
FAM99A	0
FAM99B	0
FAM9A	1
FAM9B	0
FAM9C	0
FAN1	18
FANCA	9
FANCB	1
FANCC	5
FANCD2	3
FANCD2OS	0
FANCE	2
FANCF	55
FANCG	7
FANCI	11
FANCL	6
FANCM	3
FANK1	94
FANK1_AS1	3
FAP	0
FAR1	40
FAR2	9
FAR2P1	0
FAR2P2	2
FARP1	44
FARP2	48
FARS2	15
FARSA	27
FARSB	22
FAS	17
FAS_AS1	0
FASLG	0
FASN	38
FASTK	14
FASTKD1	4
FASTKD2	16
FASTKD3	6
FASTKD5	8
FAT1	41
FAT2	32
FAT3	1
FAT4	1
FATE1	0
FAU	91
FAXC	2
FAXDC2	14
FBF1	35
FBL	48
FBLIM1	8
FBLL1	0
FBLN1	1
FBLN2	2
FBLN5	5
FBLN7	1
FBN1	4
FBN2	2
FBN3	4
FBP1	13
FBP2	0
FBRS	76
FBRSL1	36
FBXL12	6
FBXL13	15
FBXL14	15
FBXL15	5
FBXL16	6
FBXL17	18
FBXL18	22
FBXL19	16
FBXL19_AS1	5
FBXL2	17
FBXL20	40
FBXL21	0
FBXL22	1
FBXL3	25
FBXL4	9
FBXL5	60
FBXL6	4
FBXL7	5
FBXL8	6
FBXO10	1
FBXO11	44
FBXO15	22
FBXO16	4
FBXO17	5
FBXO18	37
FBXO2	20
FBXO21	21
FBXO22	6
FBXO22_AS1	0
FBXO24	3
FBXO25	5
FBXO27	6
FBXO28	16
FBXO3	38
FBXO3_AS1	0
FBXO30	11
FBXO31	23
FBXO32	25
FBXO33	11
FBXO34	25
FBXO36	46
FBXO38	24
FBXO39	4
FBXO4	6
FBXO40	0
FBXO41	4
FBXO42	22
FBXO43	4
FBXO44	9
FBXO45	4
FBXO46	19
FBXO47	0
FBXO48	2
FBXO5	3
FBXO6	9
FBXO7	28
FBXO8	16
FBXO9	29
FBXW10	3
FBXW11	16
FBXW12	1
FBXW2	26
FBXW4	63
FBXW4P1	11
FBXW5	15
FBXW7	25
FBXW8	12
FBXW9	14
FCAMR	0
FCAR	0
FCER1A	0
FCER1G	2
FCER2	0
FCF1	30
FCGBP	47
FCGR1A	0
FCGR1B	0
FCGR1C	0
FCGR2A	2
FCGR2B	1
FCGR2C	0
FCGR3A	3
FCGR3B	4
FCGRT	10
FCHO1	4
FCHO2	25
FCHSD1	25
FCHSD2	21
FCMR	0
FCN1	0
FCN2	0
FCN3	2
FCRL1	1
FCRL2	0
FCRL3	0
FCRL4	0
FCRL5	0
FCRL6	0
FCRLA	0
FCRLB	0
FDCSP	1
FDFT1	81
FDPS	25
FDPSP2	9
FDX1	9
FDX1L	4
FDXACB1	2
FDXR	29
FECH	17
FEM1A	14
FEM1B	22
FEM1C	24
FEN1	7
FENDRR	0
FER	30
FER1L4	50
FER1L5	47
FER1L6	76
FER1L6_AS1	2
FER1L6_AS2	0
FERD3L	0
FERMT1	6
FERMT2	8
FERMT3	2
FES	5
FETUB	0
FEV	53
FEZ1	4
FEZ2	17
FEZF1	5
FEZF1_AS1	9
FEZF2	0
FFAR1	0
FFAR2	7
FFAR3	0
FFAR4	2
FGA	1
FGB	3
FGD1	6
FGD2	16
FGD3	1
FGD4	24
FGD5	1
FGD5_AS1	45
FGD5P1	0
FGD6	10
FGF1	0
FGF10	0
FGF10_AS1	0
FGF11	8
FGF12	1
FGF12_AS1	0
FGF13	11
FGF13_AS1	0
FGF14	8
FGF14_AS1	0
FGF14_AS2	5
FGF14_IT1	2
FGF16	0
FGF17	1
FGF18	3
FGF19	0
FGF2	1
FGF20	0
FGF21	0
FGF22	0
FGF23	0
FGF3	1
FGF4	0
FGF5	2
FGF6	2
FGF7	0
FGF8	19
FGF9	23
FGFBP1	1
FGFBP2	2
FGFBP3	4
FGFR1	9
FGFR1OP	35
FGFR1OP2	16
FGFR2	30
FGFR3	35
FGFR4	2
FGFRL1	12
FGG	0
FGGY	9
FGL1	1
FGL2	14
FGR	1
FH	6
FHAD1	573
FHDC1	9
FHIT	1
FHL1	0
FHL2	13
FHL3	1
FHL5	0
FHOD1	23
FHOD3	18
FIBCD1	3
FIBIN	5
FIBP	8
FICD	6
FIG4	6
FIGF	2
FIGLA	0
FIGN	0
FIGNL1	7
FIGNL2	4
FILIP1	64
FILIP1L	5
FIP1L1	41
FIRRE	0
FIS1	19
FITM1	0
FITM2	0
FIZ1	3
FJX1	4
FKBP10	1
FKBP11	4
FKBP14	1
FKBP15	36
FKBP1A	7
FKBP1A_SDCBP2	0
FKBP1AP1	7
FKBP1B	2
FKBP2	21
FKBP3	11
FKBP4	33
FKBP5	51
FKBP6	1
FKBP7	0
FKBP8	95
FKBP9	37
FKBP9P1	1
FKBPL	1
FKRP	6
FKSG29	0
FKTN	6
FLAD1	11
FLCN	28
FLG	86
FLG_AS1	0
FLG2	0
FLI1	2
FLII	103
FLJ10038	2
FLJ12825	0
FLJ13224	2
FLJ16171	0
FLJ16779	0
FLJ20021	1
FLJ21408	2
FLJ22447	0
FLJ22763	0
FLJ23867	7
FLJ25758	0
FLJ26245	0
FLJ26850	9
FLJ27354	0
FLJ30679	0
FLJ31104	0
FLJ31356	4
FLJ31662	0
FLJ32255	4
FLJ33360	1
FLJ33534	0
FLJ33581	0
FLJ34503	1
FLJ35934	0
FLJ36000	0
FLJ36777	0
FLJ37035	5
FLJ37201	0
FLJ37453	8
FLJ37505	0
FLJ38122	9
FLJ38576	2
FLJ40194	0
FLJ40288	1
FLJ41200	0
FLJ41278	17
FLJ41941	1
FLJ42102	0
FLJ42351	0
FLJ42393	4
FLJ42627	2
FLJ42969	0
FLJ43315	1
FLJ43879	0
FLJ44635	0
FLJ45079	0
FLJ45513	0
FLJ46066	0
FLJ46284	0
FLJ46906	0
FLNA	25
FLNB	170
FLNC	15
FLOT1	62
FLOT2	47
FLRT1	3
FLRT2	0
FLRT3	1
FLT1	0
FLT3	0
FLT3LG	6
FLT4	6
FLVCR1	20
FLVCR1_AS1	2
FLVCR2	2
FLYWCH1	26
FLYWCH2	5
FMN1	82
FMN2	2
FMNL1	12
FMNL2	45
FMNL3	10
FMO1	0
FMO2	32
FMO3	108
FMO4	8
FMO5	18
FMO6P	2
FMO9P	0
FMOD	1
FMR1	102
FMR1_AS1	3
FMR1NB	0
FN1	14
FN3K	10
FN3KRP	8
FNBP1	45
FNBP1L	48
FNBP4	92
FNDC1	2
FNDC3A	68
FNDC3B	81
FNDC4	5
FNDC5	0
FNDC7	0
FNDC8	1
FNDC9	1
FNIP1	20
FNIP2	13
FNTA	20
FNTB	0
FOCAD	19
FOCAD_AS1	0
FOLH1	1
FOLH1B	0
FOLR1	3
FOLR2	0
FOLR3	0
FOPNL	6
FOS	116
FOSB	128
FOSL1	2
FOSL2	73
FOXA1	142
FOXA2	1
FOXA3	7
FOXB1	1
FOXB2	0
FOXC1	35
FOXC2	9
FOXC2_AS1	0
FOXCUT	0
FOXD1	1
FOXD2	1
FOXD2_AS1	0
FOXD3	3
FOXD3_AS1	0
FOXD4	0
FOXD4L1	0
FOXD4L3	0
FOXD4L4	0
FOXD4L5	0
FOXD4L6	0
FOXE1	3
FOXE3	5
FOXF1	0
FOXF2	1
FOXG1	19
FOXG1_AS1	0
FOXH1	0
FOXI1	1
FOXI2	2
FOXI3	0
FOXJ1	351
FOXJ2	10
FOXJ3	43
FOXK1	42
FOXK2	28
FOXL1	0
FOXL2	4
FOXL2NB	0
FOXM1	2
FOXN1	0
FOXN2	7
FOXN3	43
FOXN3_AS1	0
FOXN3_AS2	1
FOXN4	3
FOXO1	21
FOXO3	31
FOXO3B	0
FOXO4	11
FOXO6	4
FOXP1	77
FOXP1_AS1	4
FOXP2	25
FOXP3	1
FOXP4	32
FOXP4_AS1	0
FOXQ1	72
FOXR1	0
FOXR2	0
FOXRED1	8
FOXRED2	0
FOXS1	1
FPGS	29
FPGT	4
FPGT_TNNI3K	0
FPR1	0
FPR2	0
FPR3	5
FRA10AC1	23
FRAS1	19
FRAT1	2
FRAT2	13
FREM1	0
FREM2	6
FREM3	0
FRG1	6
FRG1BP	6
FRG1CP	10
FRG1DP	0
FRG1HP	4
FRG1JP	2
FRG2	0
FRG2B	0
FRG2C	0
FRG2DP	0
FRG2EP	0
FRK	33
FRMD1	0
FRMD3	24
FRMD4A	16
FRMD4B	38
FRMD5	0
FRMD6	6
FRMD6_AS1	0
FRMD6_AS2	0
FRMD7	0
FRMD8	16
FRMD8P1	0
FRMPD1	12
FRMPD2	111
FRMPD2B	4
FRMPD3	1
FRMPD3_AS1	0
FRMPD4	1
FRRS1	4
FRRS1L	2
FRS2	17
FRS3	1
FRY	9
FRY_AS1	0
FRYL	54
FRZB	2
FSBP	0
FSCB	0
FSCN1	2
FSCN2	1
FSCN3	2
FSD1	2
FSD1L	40
FSD2	2
FSHB	0
FSHR	1
FSIP1	14
FSIP2	15
FST	0
FSTL1	26
FSTL3	66
FSTL4	1
FSTL5	8
FTCD	0
FTCDNL1	0
FTH1	625
FTH1P18	1
FTH1P3	1
FTHL17	0
FTL	129
FTLP10	0
FTMT	0
FTO	77
FTO_IT1	2
FTSJ1	6
FTSJ2	8
FTSJ3	56
FTX	2
FUBP1	58
FUBP3	30
FUCA1	29
FUCA2	15
FUK	11
FUNDC1	5
FUNDC2	6
FUNDC2P2	0
FUOM	0
FURIN	15
FUS	121
FUT1	1
FUT10	2
FUT11	4
FUT2	61
FUT3	15
FUT4	8
FUT5	0
FUT6	7
FUT7	0
FUT8	4
FUT8_AS1	0
FUT9	0
FUZ	10
FXN	4
FXR1	66
FXR2	29
FXYD1	3
FXYD2	0
FXYD3	102
FXYD4	0
FXYD5	2
FXYD6	1
FXYD6_FXYD2	0
FXYD7	1
FYB	8
FYCO1	130
FYN	5
FYTTD1	38
FZD1	9
FZD10	0
FZD10_AS1	0
FZD2	1
FZD3	15
FZD4	9
FZD5	13
FZD6	23
