	gene_id_NP26_R1_
A1BG	2
A1BG_AS1	3
A1CF	0
A2M	4
A2M_AS1	0
A2ML1	2
A2MP1	2
A3GALT2	0
A4GALT	139
A4GNT	0
AA06	0
AAAS	14
AACS	71
AACSP1	89
AADAC	0
AADACL2	3
AADACL2_AS1	1
AADACL3	0
AADACL4	1
AADACP1	1
AADAT	3
AAED1	2
AAGAB	20
AAK1	56
AAMDC	16
AAMP	169
AANAT	1
AAR2	17
AARD	1
AARS	62
AARS2	30
AARSD1	1
AASDH	7
AASDHPPT	11
AASS	9
AATBC	15
AATF	164
AATK	35
AATK_AS1	3
ABALON	8
ABAT	45
ABCA1	43
ABCA10	6
ABCA11P	2
ABCA12	13
ABCA13	544
ABCA17P	5
ABCA2	71
ABCA3	194
ABCA4	10
ABCA5	14
ABCA6	1
ABCA7	145
ABCA8	0
ABCA9	2
ABCA9_AS1	0
ABCB1	6
ABCB10	19
ABCB11	10
ABCB4	5
ABCB5	3
ABCB6	20
ABCB7	3
ABCB8	27
ABCB9	6
ABCC1	77
ABCC10	45
ABCC11	1
ABCC12	1
ABCC13	0
ABCC2	16
ABCC3	22
ABCC4	10
ABCC5	108
ABCC5_AS1	5
ABCC6	13
ABCC6P1	0
ABCC6P2	0
ABCC8	2
ABCC9	14
ABCD1	26
ABCD2	1
ABCD3	65
ABCD4	26
ABCE1	4
ABCF1	133
ABCF2	38
ABCF3	55
ABCG1	71
ABCG2	0
ABCG4	4
ABCG5	0
ABCG8	0
ABHD1	1
ABHD10	3
ABHD11	79
ABHD11_AS1	13
ABHD12	40
ABHD12B	8
ABHD13	18
ABHD14A	0
ABHD14A_ACY1	0
ABHD14B	31
ABHD15	19
ABHD16A	40
ABHD16B	6
ABHD17A	20
ABHD17B	29
ABHD17C	19
ABHD2	293
ABHD3	16
ABHD4	8
ABHD5	23
ABHD6	8
ABHD8	9
ABI1	57
ABI2	41
ABI3	32
ABI3BP	1
ABL1	156
ABL2	31
ABLIM1	152
ABLIM2	12
ABLIM3	4
ABO	33
ABR	207
ABRA	2
ABRACL	7
ABT1	21
ABTB1	52
ABTB2	27
ACAA1	38
ACAA2	5
ACACA	97
ACACB	66
ACAD10	92
ACAD11	4
ACAD8	24
ACAD9	25
ACADL	2
ACADM	17
ACADS	19
ACADSB	8
ACADVL	168
ACAN	0
ACAP1	27
ACAP2	37
ACAP3	48
ACAT1	12
ACAT2	8
ACBD3	311
ACBD4	20
ACBD5	54
ACBD6	47
ACBD7	17
ACCS	20
ACCSL	0
ACD	8
ACE	61
ACE2	4
ACER1	1
ACER2	6
ACER3	9
ACHE	10
ACIN1	459
ACKR1	0
ACKR2	0
ACKR3	7
ACKR4	0
ACLY	85
ACMSD	0
ACO1	9
ACO2	86
ACOT1	4
ACOT11	34
ACOT12	0
ACOT13	51
ACOT2	32
ACOT4	7
ACOT6	0
ACOT7	29
ACOT8	4
ACOT9	27
ACOX1	44
ACOX2	3
ACOX3	47
ACOXL	3
ACP1	16
ACP2	12
ACP5	5
ACP6	21
ACPP	3
ACPT	0
ACR	4
ACRBP	1
ACRC	5
ACRV1	5
ACSBG1	14
ACSBG2	0
ACSF2	47
ACSF3	44
ACSL1	48
ACSL3	29
ACSL4	10
ACSL5	40
ACSL6	1
ACSM1	46
ACSM2A	0
ACSM2B	0
ACSM3	3
ACSM4	0
ACSM5	0
ACSM6	6
ACSS1	82
ACSS2	38
ACSS3	29
ACTA1	1
ACTA2	13
ACTA2_AS1	0
ACTB	1105
ACTBL2	5
ACTC1	3
ACTG1	1262
ACTG1P17	1
ACTG1P20	5
ACTG1P4	2
ACTG2	0
ACTL10	17
ACTL6A	13
ACTL6B	0
ACTL7A	0
ACTL7B	0
ACTL8	0
ACTL9	0
ACTN1	119
ACTN1_AS1	1
ACTN2	3
ACTN3	2
ACTN4	847
ACTR10	19
ACTR1A	35
ACTR1B	47
ACTR2	133
ACTR3	57
ACTR3B	11
ACTR3BP2	0
ACTR3BP5	0
ACTR3C	2
ACTR5	10
ACTR6	15
ACTR8	57
ACTRT1	0
ACTRT2	0
ACTRT3	3
ACVR1	24
ACVR1B	53
ACVR1C	4829
ACVR2A	5
ACVR2B	18
ACVR2B_AS1	4
ACVRL1	6
ACY1	5
ACY3	0
ACYP1	30
ACYP2	9
ADA	95
ADAD1	0
ADAD2	6
ADAL	3
ADAM10	70
ADAM11	11
ADAM12	26
ADAM15	69
ADAM17	14
ADAM18	0
ADAM19	8
ADAM1A	9
ADAM2	0
ADAM20	2
ADAM20P1	0
ADAM21	0
ADAM21P1	0
ADAM22	5
ADAM23	0
ADAM28	63
ADAM29	0
ADAM30	0
ADAM32	4
ADAM33	3
ADAM3A	1
ADAM5	0
ADAM6	0
ADAM7	1
ADAM8	19
ADAM9	147
ADAMDEC1	0
ADAMTS1	3
ADAMTS10	4
ADAMTS12	9
ADAMTS13	24
ADAMTS14	5
ADAMTS15	48
ADAMTS16	17
ADAMTS17	10
ADAMTS18	13
ADAMTS19	0
ADAMTS19_AS1	0
ADAMTS2	21
ADAMTS20	0
ADAMTS3	22
ADAMTS4	0
ADAMTS5	1
ADAMTS6	34
ADAMTS7	8
ADAMTS7P1	6
