	gene_id_NPS_109_R1_
A1BG	0
A1BG_AS1	0
A1CF	0
A2M	62
A2M_AS1	4
A2ML1	76
A2MP1	0
A3GALT2	2
A4GALT	406
A4GNT	0
AA06	0
AAAS	31
AACS	106
AACSP1	9
AADAC	7
AADACL2	40
AADACL2_AS1	37
AADACL3	1
AADACL4	0
AADACP1	48
AADAT	41
AAED1	31
AAGAB	145
AAK1	348
AAMDC	34
AAMP	384
AANAT	0
AAR2	44
AARD	0
AARS	157
AARS2	31
AARSD1	3
AASDH	30
AASDHPPT	96
AASS	91
AATBC	13
AATF	266
AATK	32
AATK_AS1	0
ABALON	32
ABAT	74
ABCA1	320
ABCA10	39
ABCA11P	17
ABCA12	78
ABCA13	5943
ABCA17P	2
ABCA2	102
ABCA3	38
ABCA4	14
ABCA5	410
ABCA6	1
ABCA7	204
ABCA8	6
ABCA9	11
ABCA9_AS1	0
ABCB1	0
ABCB10	59
ABCB11	69
ABCB4	8
ABCB5	11
ABCB6	76
ABCB7	53
ABCB8	62
ABCB9	21
ABCC1	404
ABCC10	53
ABCC11	1
ABCC12	0
ABCC13	1
ABCC2	3
ABCC3	176
ABCC4	131
ABCC5	425
ABCC5_AS1	7
ABCC6	24
ABCC6P1	2
ABCC6P2	0
ABCC8	0
ABCC9	16
ABCD1	33
ABCD2	18
ABCD3	420
ABCD4	75
ABCE1	123
ABCF1	462
ABCF2	89
ABCF3	111
ABCG1	289
ABCG2	1
ABCG4	1
ABCG5	1
ABCG8	0
ABHD1	2
ABHD10	83
ABHD11	94
ABHD11_AS1	9
ABHD12	43
ABHD12B	60
ABHD13	104
ABHD14A	6
ABHD14A_ACY1	0
ABHD14B	73
ABHD15	38
ABHD16A	80
ABHD16B	14
ABHD17A	28
ABHD17B	89
ABHD17C	102
ABHD2	1405
ABHD3	60
ABHD4	39
ABHD5	180
ABHD6	35
ABHD8	14
ABI1	494
ABI2	220
ABI3	18
ABI3BP	16
ABL1	147
ABL2	110
ABLIM1	1176
ABLIM2	23
ABLIM3	36
ABO	176
ABR	313
ABRA	0
ABRACL	81
ABT1	56
ABTB1	36
ABTB2	42
ACAA1	101
ACAA2	15
ACACA	444
ACACB	151
ACAD10	86
ACAD11	19
ACAD8	65
ACAD9	64
ACADL	5
ACADM	168
ACADS	14
ACADSB	84
ACADVL	354
ACAN	2
ACAP1	30
ACAP2	398
ACAP3	103
ACAT1	108
ACAT2	27
ACBD3	606
ACBD4	29
ACBD5	186
ACBD6	113
ACBD7	108
ACCS	24
ACCSL	0
ACD	24
ACE	28
ACE2	43
ACER1	0
ACER2	50
ACER3	52
ACHE	4
ACIN1	1021
ACKR1	1
ACKR2	20
ACKR3	28
ACKR4	7
ACLY	240
ACMSD	5
ACO1	94
ACO2	162
ACOT1	3
ACOT11	18
ACOT12	0
ACOT13	103
ACOT2	16
ACOT4	2
ACOT6	0
ACOT7	25
ACOT8	19
ACOT9	72
ACOX1	268
ACOX2	9
ACOX3	124
ACOXL	6
ACP1	137
ACP2	26
ACP5	20
ACP6	37
ACPP	11
ACPT	1
ACR	3
ACRBP	5
ACRC	7
ACRV1	1
ACSBG1	28
ACSBG2	1
ACSF2	84
ACSF3	49
ACSL1	225
ACSL3	408
ACSL4	61
ACSL5	118
ACSL6	2
ACSM1	10
ACSM2A	0
ACSM2B	1
ACSM3	8
ACSM4	0
ACSM5	0
ACSM6	3
ACSS1	118
ACSS2	88
ACSS3	41
ACTA1	2
ACTA2	12
ACTA2_AS1	0
ACTB	2442
ACTBL2	1
ACTC1	2
ACTG1	2160
ACTG1P17	0
ACTG1P20	9
ACTG1P4	5
ACTG2	2
ACTL10	4
ACTL6A	109
ACTL6B	0
ACTL7A	0
ACTL7B	0
ACTL8	0
ACTL9	1
ACTN1	169
ACTN1_AS1	1
ACTN2	4
ACTN3	3
ACTN4	1373
ACTR10	96
ACTR1A	97
ACTR1B	59
ACTR2	570
ACTR3	394
ACTR3B	27
ACTR3BP2	0
ACTR3BP5	0
ACTR3C	19
ACTR5	26
ACTR6	90
ACTR8	102
ACTRT1	0
ACTRT2	0
ACTRT3	1
ACVR1	72
ACVR1B	142
ACVR1C	879
ACVR2A	95
ACVR2B	80
ACVR2B_AS1	7
ACVRL1	4
ACY1	3
ACY3	2
ACYP1	80
ACYP2	16
ADA	9
ADAD1	0
ADAD2	7
ADAL	20
ADAM10	389
ADAM11	3
ADAM12	124
ADAM15	106
ADAM17	143
ADAM18	0
ADAM19	17
ADAM1A	27
ADAM2	0
ADAM20	10
ADAM20P1	6
ADAM21	7
ADAM21P1	0
ADAM22	15
ADAM23	12
ADAM28	509
ADAM29	0
ADAM30	0
ADAM32	11
ADAM33	1
ADAM3A	0
ADAM5	0
ADAM6	0
ADAM7	0
ADAM8	33
ADAM9	679
ADAMDEC1	4
ADAMTS1	10
ADAMTS10	0
ADAMTS12	2
ADAMTS13	8
ADAMTS14	5
ADAMTS15	14
ADAMTS16	3
ADAMTS17	19
ADAMTS18	6
ADAMTS19	0
ADAMTS19_AS1	0
ADAMTS2	7
ADAMTS20	0
ADAMTS3	13
ADAMTS4	4
ADAMTS5	0
ADAMTS6	16
ADAMTS7	8
ADAMTS7P1	5
ADAMTS8	28
ADAMTS9	48
ADAMTS9_AS1	3
ADAMTS9_AS2	5
ADAMTSL1	106
ADAMTSL2	2
ADAMTSL3	28
ADAMTSL4	78
ADAMTSL4_AS1	8
ADAMTSL5	7
ADAP1	27
ADAP2	6
ADAR	805
ADARB1	35
ADARB2	28
ADARB2_AS1	0
ADAT1	81
ADAT2	26
ADAT3	12
ADCK1	51
ADCK2	50
ADCK3	70
ADCK4	63
ADCK5	13
ADCY1	3
ADCY10	0
ADCY10P1	9
ADCY2	125
ADCY3	18
ADCY4	8
ADCY5	29
ADCY6	121
ADCY7	33
ADCY8	1
ADCY9	162
ADCYAP1	1
ADCYAP1R1	2
ADD1	432
ADD2	8
ADD3	445
ADD3_AS1	1
ADGB	660
ADGRA1	1
ADGRA1_AS1	0
ADGRA2	3
ADGRA3	97
ADGRB1	7
ADGRB2	10
ADGRB3	2
ADGRD1	0
ADGRE1	4
ADGRE2	7
ADGRE3	0
ADGRE4P	4
ADGRE5	131
ADGRF1	494
ADGRF2	9
ADGRF3	9
ADGRF4	6
ADGRF5	10
ADGRG1	411
ADGRG2	6
ADGRG3	9
ADGRG4	1
ADGRG5	3
ADGRG6	32
ADGRG7	0
ADGRL1	66
ADGRL2	29
ADGRL3	10
ADGRL3_AS1	0
ADGRL4	0
ADGRV1	264
ADH1A	4
ADH1B	6
ADH1C	1299
ADH4	36
ADH5	126
ADH6	18
ADH7	2080
ADHFE1	35
ADI1	159
ADIG	3
ADIPOQ	0
ADIPOQ_AS1	0
ADIPOR1	365
ADIPOR2	101
ADIRF	93
ADK	44
ADM	47
ADM2	5
ADM5	1
ADNP	317
ADNP_AS1	23
ADNP2	99
ADO	38
ADORA1	11
ADORA2A	3
ADORA2A_AS1	0
ADORA2B	20
ADORA3	0
ADPGK	49
ADPGK_AS1	1
ADPRH	87
ADPRHL1	33
ADPRHL2	86
ADPRM	9
ADRA1A	7
ADRA1B	0
ADRA1D	4
ADRA2A	34
ADRA2B	0
ADRA2C	0
ADRB1	109
ADRB2	17
ADRB3	0
ADRBK1	225
ADRBK2	55
ADRM1	204
ADSL	103
ADSS	512
ADSSL1	74
ADTRP	32
AEBP1	9
AEBP2	334
AEN	23
AES	1011
AFAP1	66
AFAP1_AS1	7
AFAP1L1	24
AFAP1L2	11
AFF1	596
AFF2	6
AFF3	4
AFF4	706
AFG3L1P	46
AFG3L2	145
AFM	0
AFMID	10
AFP	0
AFTPH	243
AGA	46
AGAP1	222
AGAP1_IT1	26
AGAP11	19
AGAP2	10
AGAP2_AS1	0
AGAP3	171
AGAP4	2
AGAP5	13
AGAP6	22
AGAP7P	0
AGAP9	4
AGBL1	4
AGBL1_AS1	2
AGBL2	240
AGBL3	35
AGBL4	48
AGBL4_IT1	12
AGBL5	129
AGBL5_AS1	0
AGER	18
AGFG1	150
AGFG2	260
AGGF1	178
AGK	59
AGL	310
AGMAT	3
AGMO	0
AGO1	284
AGO2	161
AGO3	54
AGO4	187
AGPAT1	72
AGPAT2	56
AGPAT3	215
AGPAT4	64
AGPAT4_IT1	7
AGPAT5	41
AGPS	158
AGR2	1239
AGR3	46
AGRN	449
AGRP	1
AGT	0
AGTPBP1	79
AGTR1	3
AGTR2	0
AGTRAP	40
AGXT	2
AGXT2	0
AHCTF1	167
AHCTF1P1	3
AHCY	62
AHCYL1	346
AHCYL2	256
AHDC1	157
AHI1	283
AHNAK	7954
AHNAK2	358
AHR	539
AHRR	8
AHSA1	402
AHSA2	193
AHSG	0
AHSP	0
AICDA	2
AIDA	10
AIF1	19
AIF1L	35
AIFM1	89
AIFM2	59
AIFM3	3
AIG1	38
AIM1	403
AIM1L	124
AIM2	4
AIMP1	225
AIMP2	33
AIP	18
AIPL1	1
AIRE	1
AIRN	4
AJAP1	11
AJUBA	47
AK1	156
AK2	117
AK3	128
AK4	1
AK5	1
AK6	30
AK7	829
AK8	71
AK9	860
AKAP1	135
AKAP10	89
AKAP11	394
AKAP12	66
AKAP13	1565
AKAP14	280
AKAP17A	150
AKAP2	0
AKAP3	13
AKAP4	2
AKAP5	9
AKAP6	234
AKAP7	21
AKAP8	283
AKAP8L	349
AKAP9	3251
AKIP1	34
AKIRIN1	97
AKIRIN2	48
AKNA	430
AKNAD1	0
AKR1A1	366
AKR1B1	135
AKR1B10	324
AKR1B15	11
AKR1C1	234
AKR1C2	745
AKR1C3	195
AKR1C4	4
AKR1C6P	1
AKR1C8P	8
AKR1D1	2
AKR1E2	9
AKR7A2	40
AKR7A2P1	1
AKR7A3	2
AKR7L	12
AKT1	273
AKT1S1	93
AKT2	125
AKT3	44
AKTIP	56
ALAD	131
ALAS1	289
ALAS2	0
ALB	2
ALCAM	2283
ALDH16A1	62
ALDH18A1	134
ALDH1A1	4007
ALDH1A2	32
ALDH1A3	346
ALDH1B1	10
ALDH1L1	111
ALDH1L1_AS1	2
ALDH1L1_AS2	0
ALDH1L2	17
ALDH2	193
ALDH3A1	7762
ALDH3A2	395
ALDH3B1	725
ALDH3B2	48
ALDH4A1	28
ALDH5A1	56
ALDH6A1	52
ALDH7A1	148
ALDH8A1	0
ALDH9A1	185
ALDOA	1480
ALDOB	0
ALDOC	12
ALG1	25
ALG10	28
ALG10B	35
ALG11	34
ALG12	40
ALG13	246
ALG14	11
ALG1L	1
ALG1L2	3
ALG1L9P	1
ALG2	77
ALG3	36
ALG5	59
ALG6	29
ALG8	24
ALG9	67
ALK	27
ALKBH1	10
ALKBH2	13
ALKBH3	68
ALKBH3_AS1	6
ALKBH4	13
ALKBH5	333
ALKBH6	34
ALKBH7	39
ALKBH8	42
ALLC	0
ALMS1	814
ALMS1_IT1	33
ALMS1P	21
ALOX12	17
ALOX12_AS1	2
ALOX12B	6
ALOX12P2	109
ALOX15	3764
ALOX15B	6
ALOX15P1	5
ALOX5	21
ALOX5AP	8
ALOXE3	5
ALPI	1
ALPK1	102
ALPK2	0
ALPK3	50
ALPL	46
ALPP	1
ALPPL2	1
ALS2	137
ALS2CL	244
ALS2CR11	1
ALS2CR12	256
ALX1	1
ALX3	8
ALX4	1
ALYREF	69
AMACR	4
AMBN	0
AMBP	5
AMBRA1	165
AMD1	249
AMDHD1	1
AMDHD2	32
AMELX	2
AMELY	0
AMER1	32
AMER2	0
AMER3	2
AMFR	143
AMH	320
AMHR2	0
AMICA1	38
AMIGO1	9
AMIGO2	18
AMIGO3	15
AMMECR1	64
AMMECR1L	65
AMN	5
AMN1	27
AMOT	307
AMOTL1	77
AMOTL2	86
AMPD1	2
AMPD2	48
AMPD3	294
AMPH	0
AMT	13
AMTN	0
AMY1A	0
AMY1B	0
AMY1C	0
AMY2A	0
AMY2B	42
AMZ1	1
AMZ2	111
AMZ2P1	24
ANAPC1	76
ANAPC10	22
ANAPC11	86
ANAPC13	73
ANAPC15	12
ANAPC16	218
ANAPC1P1	0
ANAPC2	90
ANAPC4	95
ANAPC5	226
ANAPC7	82
ANG	3
ANGEL1	45
ANGEL2	112
ANGPT1	12
ANGPT2	20
ANGPT4	0
ANGPTL1	37
ANGPTL2	29
ANGPTL3	2
ANGPTL4	6
ANGPTL5	5
ANGPTL6	0
ANGPTL7	11
ANHX	0
ANK1	15
ANK2	22
ANK3	1050
ANKAR	27
ANKDD1A	34
ANKDD1B	141
ANKEF1	78
ANKFN1	71
ANKFY1	266
ANKH	50
ANKHD1	19
ANKHD1_EIF4EBP3	1
ANKIB1	202
ANKK1	19
ANKLE1	5
ANKLE2	254
ANKMY1	129
ANKMY2	101
ANKRA2	152
ANKRD1	0
ANKRD10	107
ANKRD11	855
ANKRD12	712
ANKRD13A	208
ANKRD13B	1
ANKRD13C	154
ANKRD13D	75
ANKRD16	9
ANKRD17	1019
ANKRD18A	139
ANKRD18B	95
ANKRD18DP	0
ANKRD19P	7
ANKRD2	0
ANKRD20A1	0
ANKRD20A11P	10
ANKRD20A12P	1
ANKRD20A19P	2
ANKRD20A2	0
ANKRD20A3	1
ANKRD20A4	0
ANKRD20A5P	22
ANKRD20A8P	8
ANKRD20A9P	0
ANKRD22	14
ANKRD23	55
ANKRD24	10
ANKRD26	389
ANKRD26P1	0
ANKRD26P3	0
ANKRD27	98
ANKRD28	388
ANKRD29	2
ANKRD30A	0
ANKRD30B	0
ANKRD30BL	0
ANKRD30BP2	0
ANKRD30BP3	0
ANKRD31	6
ANKRD33	0
ANKRD33B	11
ANKRD34A	11
ANKRD34B	0
ANKRD34C	1
ANKRD34C_AS1	2
ANKRD35	213
ANKRD36	234
ANKRD36B	187
ANKRD36BP1	42
ANKRD36BP2	6
ANKRD36C	1741
ANKRD37	35
ANKRD39	24
ANKRD40	128
ANKRD42	404
ANKRD44	38
ANKRD44_IT1	5
ANKRD45	208
ANKRD46	19
ANKRD49	36
ANKRD50	147
ANKRD52	250
ANKRD53	2
ANKRD54	111
ANKRD55	0
ANKRD6	86
ANKRD60	0
ANKRD61	7
ANKRD62	5
ANKRD62P1_PARP4P3	0
ANKRD63	0
ANKRD65	97
ANKRD66	93
ANKRD7	0
ANKRD9	35
ANKS1A	269
ANKS1B	6
ANKS3	28
ANKS4B	0
ANKS6	160
ANKUB1	523
ANKZF1	272
ANLN	25
ANO1	54
ANO1_AS2	0
ANO10	37
ANO2	6
ANO3	0
ANO4	4
ANO5	42
ANO6	228
ANO7	9
ANO8	77
ANO9	57
ANOS1	115
ANP32A	535
ANP32A_IT1	7
ANP32AP1	3
ANP32B	1054
ANP32C	2
ANP32D	0
ANP32E	721
ANPEP	202
ANTXR1	285
ANTXR2	39
ANTXRL	0
ANTXRLP1	1
ANXA1	4924
ANXA10	6
ANXA11	784
ANXA13	1
ANXA2	1380
ANXA2P1	18
ANXA2P2	7
ANXA2P3	0
ANXA2R	9
ANXA3	185
ANXA4	80
ANXA5	476
ANXA6	19
ANXA7	425
ANXA8	3
ANXA8L1	4
ANXA9	18
AOAH	19
AOAH_IT1	1
AOC1	1
AOC2	8
AOC3	4
AOC4P	0
AOX1	3
AOX2P	3
AP1AR	157
AP1B1	243
AP1B1P1	0
AP1G1	494
AP1G2	110
AP1M1	47
AP1M2	201
AP1S1	63
AP1S2	6
AP1S3	31
AP2A1	153
AP2A2	103
AP2B1	453
AP2M1	361
AP2S1	50
AP3B1	406
AP3B2	7
AP3D1	659
AP3M1	106
AP3M2	83
AP3S1	59
AP3S2	12
AP4B1	38
AP4B1_AS1	1
AP4E1	105
AP4M1	17
AP4S1	30
AP5B1	64
AP5M1	81
AP5S1	26
AP5Z1	64
APAF1	86
APBA1	17
APBA2	14
APBA3	18
APBB1	81
APBB1IP	25
APBB2	104
APBB3	21
APC	338
APC2	41
APCDD1	26
APCDD1L	3
APCDD1L_AS1	0
APCS	0
APEH	108
APELA	4
APEX1	199
APEX2	35
APH1A	141
APH1B	39
API5	189
APIP	10
APITD1	1
APITD1_CORT	0
APLF	30
APLN	4
APLNR	0
APLP1	1
APLP2	3381
APMAP	80
APOA1	0
APOA1_AS	4
APOA1BP	47
APOA2	0
APOA4	0
APOA5	0
APOB	3
APOBEC1	3
APOBEC2	1
APOBEC3A	36
APOBEC3A_B	0
APOBEC3B	11
APOBEC3B_AS1	0
APOBEC3C	63
APOBEC3D	34
APOBEC3F	37
APOBEC3G	20
APOBEC3H	0
APOBEC4	142
APOBR	82
APOC1	1
APOC1P1	0
APOC2	0
APOC3	0
APOC4	0
APOC4_APOC2	0
APOD	49
APOE	76
APOF	0
APOH	0
APOL1	443
APOL2	211
APOL3	32
APOL4	30
APOL5	0
APOL6	500
APOLD1	18
APOM	10
APOO	54
APOOL	93
APOOP5	0
APOPT1	48
APP	2238
APPBP2	108
APPL1	168
APPL2	266
APRT	33
APTR	72
APTX	72
AQP1	8
AQP10	1
AQP11	5
AQP12A	0
AQP12B	0
AQP2	11
AQP3	2737
AQP4	32
AQP4_AS1	87
AQP5	353
AQP6	6
AQP7	6
AQP7P1	5
AQP7P3	0
AQP8	0
AQP9	2
AQR	254
AR	53
ARAF	104
ARAP1	420
ARAP2	301
ARAP3	54
ARC	2
ARCN1	488
AREG	49
AREL1	149
ARF1	365
ARF3	422
ARF4	221
ARF5	93
ARF6	505
ARFGAP1	126
ARFGAP2	164
ARFGAP3	279
ARFGEF1	756
ARFGEF2	370
ARFGEF3	945
ARFIP1	103
ARFIP2	149
ARFRP1	48
ARG1	4
ARG2	61
ARGFX	2
ARGFXP2	2
ARGLU1	694
ARHGAP1	117
ARHGAP10	58
ARHGAP11A	22
ARHGAP11B	6
ARHGAP12	317
ARHGAP15	2
ARHGAP17	130
ARHGAP18	774
ARHGAP19	28
ARHGAP19_SLIT1	0
ARHGAP20	18
ARHGAP21	313
ARHGAP22	7
ARHGAP23	226
ARHGAP24	81
ARHGAP25	18
ARHGAP26	176
ARHGAP26_AS1	3
ARHGAP26_IT1	0
ARHGAP27	169
ARHGAP28	8
ARHGAP29	60
ARHGAP30	346
ARHGAP31	20
ARHGAP31_AS1	4
ARHGAP32	905
ARHGAP33	33
ARHGAP35	521
ARHGAP36	0
ARHGAP39	243
ARHGAP4	19
ARHGAP40	7
ARHGAP42	120
ARHGAP44	63
ARHGAP5	869
ARHGAP5_AS1	15
ARHGAP6	17
ARHGAP8	1
ARHGAP9	30
ARHGDIA	325
ARHGDIB	165
ARHGDIG	0
ARHGEF1	122
ARHGEF10	18
ARHGEF10L	99
ARHGEF11	251
ARHGEF12	1137
ARHGEF15	2
ARHGEF16	94
ARHGEF17	78
ARHGEF18	193
ARHGEF19	25
ARHGEF2	89
ARHGEF25	2
ARHGEF26	77
ARHGEF26_AS1	20
ARHGEF28	480
ARHGEF3	114
ARHGEF3_AS1	1
ARHGEF33	31
ARHGEF34P	12
ARHGEF35	11
ARHGEF37	126
ARHGEF38	153
ARHGEF38_IT1	9
ARHGEF39	7
ARHGEF4	35
ARHGEF40	49
ARHGEF5	52
ARHGEF6	61
ARHGEF7	158
ARHGEF7_AS1	0
ARHGEF7_AS2	0
ARHGEF9	69
ARHGEF9_IT1	0
ARID1A	694
ARID1B	518
ARID2	235
ARID3A	5
ARID3B	31
ARID3C	1
ARID4A	282
ARID4B	622
ARID5A	34
ARID5B	347
ARIH1	405
ARIH2	194
ARIH2OS	4
ARL1	383
ARL10	1
ARL11	5
ARL13A	15
ARL13B	140
ARL14	2
ARL14EP	40
ARL14EPL	0
ARL15	17
ARL16	40
ARL17A	9
ARL17B	0
ARL2	11
ARL2_SNX15	0
ARL2BP	52
ARL3	489
ARL4A	151
ARL4C	77
ARL4D	47
ARL5A	104
ARL5B	63
ARL5C	0
ARL6	45
ARL6IP1	311
ARL6IP4	450
ARL6IP5	107
ARL6IP6	28
ARL8A	78
ARL8B	132
ARL9	3
ARMC1	58
ARMC10	41
ARMC12	0
ARMC2	316
ARMC2_AS1	42
ARMC3	637
