	gene_id_NPS_108_R1_
A1BG	2
A1BG_AS1	3
A1CF	2
A2M	34
A2M_AS1	3
A2ML1	11
A2MP1	3
A3GALT2	0
A4GALT	212
A4GNT	1
AA06	0
AAAS	40
AACS	134
AACSP1	7
AADAC	5
AADACL2	63
AADACL2_AS1	25
AADACL3	1
AADACL4	0
AADACP1	65
AADAT	32
AAED1	49
AAGAB	181
AAK1	256
AAMDC	58
AAMP	400
AANAT	0
AAR2	62
AARD	0
AARS	210
AARS2	49
AARSD1	0
AASDH	53
AASDHPPT	102
AASS	102
AATBC	8
AATF	316
AATK	11
AATK_AS1	0
ABALON	18
ABAT	125
ABCA1	63
ABCA10	28
ABCA11P	6
ABCA12	50
ABCA13	6162
ABCA17P	3
ABCA2	84
ABCA3	45
ABCA4	5
ABCA5	402
ABCA6	8
ABCA7	122
ABCA8	0
ABCA9	12
ABCA9_AS1	0
ABCB1	3
ABCB10	72
ABCB11	77
ABCB4	5
ABCB5	0
ABCB6	39
ABCB7	96
ABCB8	52
ABCB9	3
ABCC1	173
ABCC10	62
ABCC11	3
ABCC12	1
ABCC13	0
ABCC2	5
ABCC3	13
ABCC4	53
ABCC5	319
ABCC5_AS1	7
ABCC6	41
ABCC6P1	4
ABCC6P2	9
ABCC8	2
ABCC9	3
ABCD1	26
ABCD2	44
ABCD3	566
ABCD4	62
ABCE1	141
ABCF1	454
ABCF2	162
ABCF3	122
ABCG1	104
ABCG2	2
ABCG4	2
ABCG5	3
ABCG8	1
ABHD1	6
ABHD10	192
ABHD11	82
ABHD11_AS1	17
ABHD12	61
ABHD12B	56
ABHD13	122
ABHD14A	3
ABHD14A_ACY1	0
ABHD14B	115
ABHD15	33
ABHD16A	61
ABHD16B	22
ABHD17A	39
ABHD17B	93
ABHD17C	77
ABHD2	1266
ABHD3	47
ABHD4	38
ABHD5	127
ABHD6	65
ABHD8	8
ABI1	380
ABI2	325
ABI3	19
ABI3BP	27
ABL1	140
ABL2	113
ABLIM1	1170
ABLIM2	6
ABLIM3	5
ABO	52
ABR	306
ABRA	1
ABRACL	89
ABT1	88
ABTB1	43
ABTB2	13
ACAA1	88
ACAA2	19
ACACA	423
ACACB	124
ACAD10	60
ACAD11	12
ACAD8	43
ACAD9	65
ACADL	10
ACADM	266
ACADS	21
ACADSB	135
ACADVL	279
ACAN	0
ACAP1	35
ACAP2	407
ACAP3	44
ACAT1	267
ACAT2	30
ACBD3	808
ACBD4	27
ACBD5	184
ACBD6	97
ACBD7	105
ACCS	23
ACCSL	0
ACD	30
ACE	33
ACE2	15
ACER1	1
ACER2	63
ACER3	37
ACHE	8
ACIN1	898
ACKR1	1
ACKR2	22
ACKR3	25
ACKR4	1
ACLY	370
ACMSD	0
ACO1	90
ACO2	227
ACOT1	1
ACOT11	33
ACOT12	0
ACOT13	131
ACOT2	28
ACOT4	3
ACOT6	2
ACOT7	24
ACOT8	21
ACOT9	100
ACOX1	220
ACOX2	17
ACOX3	91
ACOXL	2
ACP1	229
ACP2	20
ACP5	11
ACP6	35
ACPP	12
ACPT	2
ACR	0
ACRBP	14
ACRC	8
ACRV1	0
ACSBG1	63
ACSBG2	2
ACSF2	53
ACSF3	38
ACSL1	79
ACSL3	395
ACSL4	120
ACSL5	137
ACSL6	2
ACSM1	7
ACSM2A	0
ACSM2B	0
ACSM3	6
ACSM4	0
ACSM5	0
ACSM6	2
ACSS1	201
ACSS2	70
ACSS3	56
ACTA1	1
ACTA2	15
ACTA2_AS1	0
ACTB	3494
ACTBL2	2
ACTC1	8
ACTG1	2706
ACTG1P17	3
ACTG1P20	5
ACTG1P4	4
ACTG2	1
ACTL10	5
ACTL6A	172
ACTL6B	2
ACTL7A	1
ACTL7B	0
ACTL8	0
ACTL9	0
ACTN1	307
ACTN1_AS1	0
ACTN2	0
ACTN3	0
ACTN4	1529
ACTR10	147
ACTR1A	96
ACTR1B	113
ACTR2	647
ACTR3	524
ACTR3B	27
ACTR3BP2	0
ACTR3BP5	0
ACTR3C	14
ACTR5	14
ACTR6	152
ACTR8	101
ACTRT1	0
ACTRT2	0
ACTRT3	3
ACVR1	78
ACVR1B	168
ACVR1C	806
ACVR2A	68
ACVR2B	69
ACVR2B_AS1	2
ACVRL1	2
ACY1	11
ACY3	0
ACYP1	96
ACYP2	8
ADA	18
ADAD1	0
ADAD2	7
ADAL	31
ADAM10	354
ADAM11	4
ADAM12	111
ADAM15	107
ADAM17	107
ADAM18	0
ADAM19	6
ADAM1A	18
ADAM2	0
ADAM20	12
ADAM20P1	7
ADAM21	2
ADAM21P1	0
ADAM22	34
ADAM23	1
ADAM28	534
ADAM29	0
ADAM30	0
ADAM32	17
ADAM33	1
ADAM3A	0
ADAM5	0
ADAM6	0
ADAM7	0
ADAM8	14
ADAM9	492
ADAMDEC1	5
ADAMTS1	5
ADAMTS10	0
ADAMTS12	6
ADAMTS13	12
ADAMTS14	11
ADAMTS15	4
ADAMTS16	2
ADAMTS17	27
ADAMTS18	14
ADAMTS19	2
ADAMTS19_AS1	2
ADAMTS2	7
ADAMTS20	0
ADAMTS3	24
ADAMTS4	1
ADAMTS5	1
ADAMTS6	2
ADAMTS7	3
ADAMTS7P1	3
