	gene_id_WB32_
A1BG	13
A1BG_AS1	15
A1CF	86
A2M	122
A2M_AS1	27
A2ML1	161
A2MP1	19
A3GALT2	37
A4GALT	17
A4GNT	34
AA06	14
AAAS	138
AACS	117
AACSP1	45
AADAC	11
AADACL2	8
AADACL2_AS1	8
AADACL3	47
AADACL4	25
AADACP1	6
AADAT	31
AAED1	22
AAGAB	71
AAK1	327
AAMDC	18
AAMP	70
AANAT	55
AAR2	60
AARD	17
AARS	115
AARS2	154
AARSD1	5
AASDH	54
AASDHPPT	20
AASS	69
AATBC	82
AATF	136
AATK	109
AATK_AS1	33
ABALON	27
ABAT	157
ABCA1	457
ABCA10	77
ABCA11P	9
ABCA12	128
ABCA13	223
ABCA17P	70
ABCA2	223
ABCA3	188
ABCA4	287
ABCA5	96
ABCA6	82
ABCA7	349
ABCA8	78
ABCA9	84
ABCA9_AS1	8
ABCB1	69
ABCB10	127
ABCB11	55
ABCB4	58
ABCB5	75
ABCB6	120
ABCB7	28
ABCB8	129
ABCB9	90
ABCC1	287
ABCC10	161
ABCC11	163
ABCC12	152
ABCC13	49
ABCC2	141
ABCC3	229
ABCC4	283
ABCC5	185
ABCC5_AS1	11
ABCC6	194
ABCC6P1	35
ABCC6P2	4
ABCC8	204
ABCC9	85
ABCD1	31
ABCD2	38
ABCD3	64
ABCD4	132
ABCE1	56
ABCF1	227
ABCF2	190
ABCF3	161
ABCG1	124
ABCG2	95
ABCG4	99
ABCG5	47
ABCG8	43
ABHD1	78
ABHD10	37
ABHD11	28
ABHD11_AS1	11
ABHD12	83
ABHD12B	45
ABHD13	36
ABHD14A	28
ABHD14A_ACY1	0
ABHD14B	62
ABHD15	56
ABHD16A	181
ABHD16B	15
ABHD17A	28
ABHD17B	27
ABHD17C	19
ABHD2	268
ABHD3	44
ABHD4	68
ABHD5	56
ABHD6	39
ABHD8	26
ABI1	122
ABI2	90
ABI3	52
ABI3BP	78
ABL1	147
ABL2	211
ABLIM1	204
ABLIM2	137
ABLIM3	181
ABO	55
ABR	178
ABRA	12
ABRACL	24
ABT1	35
ABTB1	153
ABTB2	116
ACAA1	92
ACAA2	26
ACACA	298
ACACB	302
ACAD10	159
ACAD11	11
ACAD8	70
ACAD9	117
ACADL	26
ACADM	66
ACADS	41
ACADSB	75
ACADVL	206
ACAN	197
ACAP1	183
ACAP2	242
ACAP3	93
ACAT1	56
ACAT2	29
ACBD3	64
ACBD4	67
ACBD5	65
ACBD6	57
ACBD7	60
ACCS	83
ACCSL	45
ACD	44
ACE	127
ACE2	18
ACER1	39
ACER2	48
ACER3	97
ACHE	71
ACIN1	333
ACKR1	39
ACKR2	39
ACKR3	30
ACKR4	16
ACLY	249
ACMSD	26
ACO1	77
ACO2	85
ACOT1	15
ACOT11	107
ACOT12	27
ACOT13	50
ACOT2	38
ACOT4	39
ACOT6	20
ACOT7	63
ACOT8	44
ACOT9	45
ACOX1	158
ACOX2	58
ACOX3	87
ACOXL	62
ACP1	58
ACP2	67
ACP5	41
ACP6	25
ACPP	54
ACPT	34
ACR	25
ACRBP	112
ACRC	38
ACRV1	16
ACSBG1	75
ACSBG2	88
ACSF2	90
ACSF3	96
ACSL1	554
ACSL3	86
ACSL4	54
ACSL5	112
ACSL6	142
ACSM1	30
ACSM2A	49
ACSM2B	69
ACSM3	24
ACSM4	25
ACSM5	53
ACSM6	22
ACSS1	105
ACSS2	99
ACSS3	30
ACTA1	22
ACTA2	25
ACTA2_AS1	25
ACTB	2612
ACTBL2	20
ACTC1	45
ACTG1	326
ACTG1P17	26
ACTG1P20	71
ACTG1P4	10
ACTG2	42
ACTL10	28
ACTL6A	36
ACTL6B	77
ACTL7A	24
ACTL7B	15
ACTL8	41
ACTL9	14
ACTN1	291
ACTN1_AS1	19
ACTN2	104
ACTN3	123
ACTN4	196
ACTR10	67
ACTR1A	134
ACTR1B	44
ACTR2	138
ACTR3	304
ACTR3B	60
ACTR3BP2	8
ACTR3BP5	12
ACTR3C	42
ACTR5	59
ACTR6	52
ACTR8	76
ACTRT1	10
ACTRT2	19
ACTRT3	18
ACVR1	57
ACVR1B	173
ACVR1C	53
ACVR2A	61
ACVR2B	143
ACVR2B_AS1	34
ACVRL1	78
ACY1	6
ACY3	32
ACYP1	14
ACYP2	11
ADA	82
ADAD1	33
ADAD2	48
ADAL	82
ADAM10	146
ADAM11	119
ADAM12	155
ADAM15	156
ADAM17	193
ADAM18	32
ADAM19	192
ADAM1A	33
ADAM2	26
ADAM20	20
ADAM20P1	30
ADAM21	28
ADAM21P1	25
ADAM22	103
ADAM23	71
ADAM28	93
ADAM29	25
ADAM30	28
ADAM32	28
ADAM33	100
ADAM3A	12
ADAM5	14
ADAM6	26
ADAM7	40
ADAM8	240
ADAM9	126
ADAMDEC1	28
ADAMTS1	34
ADAMTS10	161
ADAMTS12	87
ADAMTS13	197
ADAMTS14	175
ADAMTS15	99
ADAMTS16	72
ADAMTS17	141
ADAMTS18	78
ADAMTS19	57
ADAMTS19_AS1	21
ADAMTS2	136
ADAMTS20	92
ADAMTS3	61
ADAMTS4	102
ADAMTS5	53
ADAMTS6	100
ADAMTS7	120
ADAMTS7P1	67
ADAMTS8	73
ADAMTS9	110
ADAMTS9_AS1	45
ADAMTS9_AS2	21
ADAMTSL1	135
ADAMTSL2	125
ADAMTSL3	93
ADAMTSL4	112
ADAMTSL4_AS1	35
ADAMTSL5	72
ADAP1	98
ADAP2	116
ADAR	623
ADARB1	98
ADARB2	123
ADARB2_AS1	17
ADAT1	110
ADAT2	96
ADAT3	15
ADCK1	74
ADCK2	52
ADCK3	83
ADCK4	95
ADCK5	34
ADCY1	170
ADCY10	117
ADCY10P1	87
ADCY2	98
ADCY3	93
ADCY4	125
ADCY5	164
ADCY6	201
ADCY7	296
ADCY8	73
ADCY9	137
ADCYAP1	29
ADCYAP1R1	150
ADD1	176
ADD2	119
ADD3	148
ADD3_AS1	13
ADGB	51
ADGRA1	75
ADGRA1_AS1	9
ADGRA2	149
ADGRA3	53
ADGRB1	126
ADGRB2	161
ADGRB3	67
ADGRD1	118
ADGRE1	126
ADGRE2	213
ADGRE3	77
ADGRE4P	46
ADGRE5	523
ADGRF1	84
ADGRF2	68
ADGRF3	120
ADGRF4	47
ADGRF5	70
ADGRG1	205
ADGRG2	54
ADGRG3	199
ADGRG4	52
ADGRG5	82
ADGRG6	72
ADGRG7	39
ADGRL1	161
ADGRL2	43
ADGRL3	63
ADGRL3_AS1	11
ADGRL4	23
ADGRV1	198
ADH1A	18
ADH1B	27
ADH1C	16
ADH4	27
ADH5	30
ADH6	36
ADH7	23
ADHFE1	40
ADI1	88
ADIG	17
ADIPOQ	55
ADIPOQ_AS1	51
ADIPOR1	1616
ADIPOR2	165
ADIRF	22
ADK	29
ADM	78
ADM2	67
ADM5	26
ADNP	184
ADNP_AS1	9
ADNP2	94
ADO	28
ADORA1	51
ADORA2A	10
ADORA2A_AS1	103
ADORA2B	24
ADORA3	19
ADPGK	81
ADPGK_AS1	48
ADPRH	72
ADPRHL1	43
ADPRHL2	57
ADPRM	19
ADRA1A	66
ADRA1B	21
ADRA1D	18
ADRA2A	46
ADRA2B	49
ADRA2C	9
ADRB1	21
ADRB2	31
ADRB3	42
ADRBK1	232
ADRBK2	140
ADRM1	49
ADSL	76
ADSS	53
ADSSL1	43
ADTRP	28
AEBP1	67
AEBP2	78
AEN	63
AES	76
AFAP1	143
AFAP1_AS1	107
AFAP1L1	115
AFAP1L2	132
AFF1	362
AFF2	73
AFF3	179
AFF4	339
AFG3L1P	156
AFG3L2	82
AFM	36
AFMID	75
AFP	22
AFTPH	105
AGA	34
AGAP1	180
AGAP1_IT1	19
AGAP11	43
AGAP2	171
AGAP2_AS1	0
AGAP3	158
AGAP4	37
AGAP5	54
AGAP6	42
AGAP7P	20
AGAP9	35
AGBL1	74
AGBL1_AS1	14
AGBL2	89
AGBL3	43
AGBL4	63
AGBL4_IT1	7
AGBL5	153
AGBL5_AS1	6
AGER	87
AGFG1	364
AGFG2	141
AGGF1	166
AGK	65
AGL	83
AGMAT	53
AGMO	25
AGO1	223
AGO2	216
AGO3	49
AGO4	162
AGPAT1	102
AGPAT2	29
AGPAT3	165
AGPAT4	119
AGPAT4_IT1	25
AGPAT5	52
AGPS	102
AGR2	19
AGR3	15
AGRN	132
AGRP	21
AGT	45
AGTPBP1	311
AGTR1	22
AGTR2	9
AGTRAP	45
AGXT	56
AGXT2	60
AHCTF1	347
AHCTF1P1	40
AHCY	91
AHCYL1	118
AHCYL2	74
AHDC1	131
AHI1	91
AHNAK	5612
AHNAK2	259
AHR	273
AHRR	100
AHSA1	61
AHSA2	103
AHSG	46
AHSP	83
AICDA	46
AIDA	84
AIF1	131
AIF1L	93
AIFM1	45
AIFM2	88
AIFM3	106
AIG1	58
AIM1	211
AIM1L	163
AIM2	25
AIMP1	40
AIMP2	18
AIP	43
AIPL1	72
AIRE	63
AIRN	34
AJAP1	29
AJUBA	122
AK1	65
AK2	153
AK3	60
AK4	76
AK5	43
AK6	17
AK7	78
AK8	73
AK9	133
AKAP1	119
AKAP10	94
AKAP11	93
AKAP12	111
AKAP13	908
AKAP14	23
AKAP17A	146
AKAP2	4
AKAP3	25
AKAP4	16
AKAP5	66
AKAP6	110
AKAP7	309
AKAP8	173
AKAP8L	132
AKAP9	390
AKIP1	26
AKIRIN1	99
AKIRIN2	86
AKNA	473
AKNAD1	62
AKR1A1	51
AKR1B1	62
AKR1B10	46
AKR1B15	56
AKR1C1	27
AKR1C2	46
AKR1C3	31
AKR1C4	15
AKR1C6P	28
AKR1C8P	21
AKR1D1	41
AKR1E2	73
AKR7A2	95
AKR7A2P1	15
AKR7A3	30
AKR7L	34
AKT1	121
AKT1S1	61
AKT2	151
AKT3	128
AKTIP	29
ALAD	113
ALAS1	91
ALAS2	1469
ALB	31
ALCAM	72
ALDH16A1	112
ALDH18A1	91
ALDH1A1	41
ALDH1A2	47
ALDH1A3	80
ALDH1B1	72
ALDH1L1	89
ALDH1L1_AS1	10
ALDH1L1_AS2	23
ALDH1L2	90
ALDH2	65
ALDH3A1	42
ALDH3A2	75
ALDH3B1	92
ALDH3B2	57
ALDH4A1	119
ALDH5A1	123
ALDH6A1	72
ALDH7A1	95
ALDH8A1	47
ALDH9A1	48
ALDOA	303
ALDOB	32
ALDOC	66
ALG1	81
ALG10	18
ALG10B	44
ALG11	19
ALG12	48
ALG13	68
ALG14	20
ALG1L	28
ALG1L2	44
ALG1L9P	54
ALG2	58
ALG3	69
ALG5	26
ALG6	48
ALG8	55
ALG9	123
ALK	162
ALKBH1	33
ALKBH2	27
ALKBH3	45
ALKBH3_AS1	53
ALKBH4	22
ALKBH5	95
ALKBH6	57
ALKBH7	22
ALKBH8	56
ALLC	45
ALMS1	171
ALMS1_IT1	16
ALMS1P	27
ALOX12	91
ALOX12_AS1	17
ALOX12B	71
ALOX12P2	63
ALOX15	64
ALOX15B	73
ALOX15P1	32
ALOX5	180
ALOX5AP	63
ALOXE3	162
ALPI	53
ALPK1	96
ALPK2	107
ALPK3	175
ALPL	178
ALPP	49
ALPPL2	45
ALS2	117
ALS2CL	143
ALS2CR11	65
ALS2CR12	636
ALX1	4
ALX3	40
ALX4	56
ALYREF	38
AMACR	12
AMBN	18
AMBP	57
AMBRA1	158
AMD1	146
AMDHD1	33
AMDHD2	36
AMELX	7
AMELY	8
AMER1	60
AMER2	63
AMER3	65
AMFR	230
AMH	10
AMHR2	91
AMICA1	96
AMIGO1	31
AMIGO2	43
AMIGO3	25
AMMECR1	58
AMMECR1L	136
AMN	20
AMN1	41
AMOT	53
AMOTL1	130
AMOTL2	118
AMPD1	44
AMPD2	204
AMPD3	135
AMPH	51
AMT	92
AMTN	17
AMY1A	0
AMY1B	0
AMY1C	0
AMY2A	7
AMY2B	19
AMZ1	95
AMZ2	30
AMZ2P1	46
ANAPC1	93
ANAPC10	19
ANAPC11	38
ANAPC13	35
ANAPC15	29
ANAPC16	77
ANAPC1P1	30
ANAPC2	59
ANAPC4	72
ANAPC5	111
ANAPC7	119
ANG	8
ANGEL1	88
ANGEL2	77
ANGPT1	34
ANGPT2	41
ANGPT4	53
ANGPTL1	23
ANGPTL2	38
ANGPTL3	15
ANGPTL4	33
ANGPTL5	21
ANGPTL6	39
ANGPTL7	47
ANHX	50
ANK1	510
ANK2	174
ANK3	248
ANKAR	57
ANKDD1A	97
ANKDD1B	48
ANKEF1	31
ANKFN1	48
ANKFY1	265
ANKH	176
ANKHD1	7
ANKHD1_EIF4EBP3	4
ANKIB1	139
ANKK1	82
ANKLE1	83
ANKLE2	152
ANKMY1	102
ANKMY2	27
ANKRA2	25
ANKRD1	32
ANKRD10	111
ANKRD11	333
ANKRD12	527
ANKRD13A	188
ANKRD13B	46
ANKRD13C	119
ANKRD13D	118
ANKRD16	34
ANKRD17	283
ANKRD18A	59
ANKRD18B	34
ANKRD18DP	35
ANKRD19P	27
ANKRD2	77
ANKRD20A1	0
ANKRD20A11P	18
ANKRD20A12P	7
ANKRD20A19P	50
ANKRD20A2	0
ANKRD20A3	2
ANKRD20A4	24
ANKRD20A5P	30
ANKRD20A8P	41
ANKRD20A9P	262
ANKRD22	38
ANKRD23	44
ANKRD24	133
ANKRD26	93
ANKRD26P1	52
ANKRD26P3	48
ANKRD27	160
ANKRD28	204
ANKRD29	49
ANKRD30A	34
ANKRD30B	55
ANKRD30BL	27
ANKRD30BP2	18
ANKRD30BP3	22
ANKRD31	65
ANKRD33	37
ANKRD33B	139
ANKRD34A	82
ANKRD34B	31
ANKRD34C	37
ANKRD34C_AS1	6
ANKRD35	96
ANKRD36	184
ANKRD36B	96
ANKRD36BP1	48
ANKRD36BP2	649
ANKRD36C	193
ANKRD37	6
ANKRD39	20
ANKRD40	76
ANKRD42	145
ANKRD44	179
ANKRD44_IT1	38
ANKRD45	58
ANKRD46	53
ANKRD49	25
ANKRD50	47
ANKRD52	366
ANKRD53	38
ANKRD54	55
ANKRD55	51
ANKRD6	88
ANKRD60	76
ANKRD61	35
ANKRD62	50
ANKRD62P1_PARP4P3	25
ANKRD63	6
ANKRD65	24
ANKRD66	13
ANKRD7	5
ANKRD9	21
ANKS1A	125
ANKS1B	95
ANKS3	76
ANKS4B	29
ANKS6	121
ANKUB1	23
ANKZF1	112
ANLN	125
ANO1	129
ANO1_AS2	22
ANO10	54
ANO2	86
ANO3	65
ANO4	85
ANO5	71
ANO6	195
ANO7	128
ANO8	81
ANO9	87
ANOS1	39
ANP32A	99
ANP32A_IT1	71
ANP32AP1	5
ANP32B	134
ANP32C	13
ANP32D	5
ANP32E	152
ANPEP	294
ANTXR1	108
ANTXR2	137
ANTXRL	74
ANTXRLP1	25
ANXA1	224
ANXA10	18
ANXA11	229
ANXA13	63
ANXA2	186
ANXA2P1	21
ANXA2P2	13
ANXA2P3	7
ANXA2R	14
ANXA3	89
ANXA4	62
ANXA5	91
ANXA6	232
ANXA7	104
ANXA8	17
ANXA8L1	22
ANXA9	94
AOAH	129
AOAH_IT1	19
AOC1	40
AOC2	62
AOC3	106
AOC4P	46
AOX1	92
AOX2P	102
AP1AR	37
AP1B1	153
AP1B1P1	24
AP1G1	293
AP1G2	100
AP1M1	61
AP1M2	92
AP1S1	63
AP1S2	46
AP1S3	63
AP2A1	166
AP2A2	127
AP2B1	215
AP2M1	160
AP2S1	45
AP3B1	181
AP3B2	156
AP3D1	180
AP3M1	75
AP3M2	100
AP3S1	36
AP3S2	16
AP4B1	48
AP4B1_AS1	24
AP4E1	97
AP4M1	75
AP4S1	107
AP5B1	199
AP5M1	30
AP5S1	43
AP5Z1	131
APAF1	128
APBA1	96
