	gene_id_Covid7_R1_
A1BG	2
A1BG_AS1	2
A1CF	4
A2M	13
A2M_AS1	4
A2ML1	2
A2MP1	2
A3GALT2	1
A4GALT	177
A4GNT	0
AA06	0
AAAS	43
AACS	71
AACSP1	20
AADAC	2
AADACL2	0
AADACL2_AS1	2
AADACL3	0
AADACL4	0
AADACP1	25
AADAT	7
AAED1	22
AAGAB	113
AAK1	181
AAMDC	20
AAMP	365
AANAT	0
AAR2	49
AARD	2
AARS	206
AARS2	30
AARSD1	0
AASDH	27
AASDHPPT	51
AASS	9
AATBC	12
AATF	285
AATK	13
AATK_AS1	1
ABALON	25
ABAT	77
ABCA1	218
ABCA10	3
ABCA11P	5
ABCA12	20
ABCA13	742
ABCA17P	3
ABCA2	60
ABCA3	19
ABCA4	5
ABCA5	50
ABCA6	3
ABCA7	150
ABCA8	2
ABCA9	2
ABCA9_AS1	0
ABCB1	16
ABCB10	34
ABCB11	26
ABCB4	5
ABCB5	0
ABCB6	18
ABCB7	10
ABCB8	36
ABCB9	6
ABCC1	105
ABCC10	38
ABCC11	2
ABCC12	0
ABCC13	0
ABCC2	10
ABCC3	13
ABCC4	6
ABCC5	93
ABCC5_AS1	8
ABCC6	22
ABCC6P1	0
ABCC6P2	2
ABCC8	0
ABCC9	1
ABCD1	83
ABCD2	10
ABCD3	220
ABCD4	41
ABCE1	34
ABCF1	334
ABCF2	87
ABCF3	83
ABCG1	152
ABCG2	1
ABCG4	4
ABCG5	0
ABCG8	0
ABHD1	1
ABHD10	44
ABHD11	103
ABHD11_AS1	10
ABHD12	92
ABHD12B	13
ABHD13	29
ABHD14A	0
ABHD14A_ACY1	0
ABHD14B	61
ABHD15	44
ABHD16A	58
ABHD16B	13
ABHD17A	39
ABHD17B	43
ABHD17C	69
ABHD2	378
ABHD3	12
ABHD4	29
ABHD5	41
ABHD6	34
ABHD8	16
ABI1	198
ABI2	98
ABI3	84
ABI3BP	0
ABL1	170
ABL2	58
ABLIM1	551
ABLIM2	14
ABLIM3	18
ABO	56
ABR	304
ABRA	2
ABRACL	59
ABT1	34
ABTB1	42
ABTB2	30
ACAA1	67
ACAA2	5
ACACA	103
ACACB	83
ACAD10	24
ACAD11	2
ACAD8	58
ACAD9	48
ACADL	2
ACADM	74
ACADS	20
ACADSB	33
ACADVL	284
ACAN	4
ACAP1	63
ACAP2	166
ACAP3	65
ACAT1	55
ACAT2	11
ACBD3	616
ACBD4	26
ACBD5	144
ACBD6	54
ACBD7	50
ACCS	17
ACCSL	0
ACD	21
ACE	28
ACE2	29
ACER1	0
ACER2	17
ACER3	19
ACHE	10
ACIN1	861
ACKR1	2
ACKR2	9
ACKR3	8
ACKR4	2
ACLY	193
ACMSD	1
ACO1	26
ACO2	174
ACOT1	5
ACOT11	15
ACOT12	0
ACOT13	80
ACOT2	40
ACOT4	3
ACOT6	0
ACOT7	44
ACOT8	13
ACOT9	48
ACOX1	130
ACOX2	10
ACOX3	69
ACOXL	2
ACP1	69
ACP2	42
ACP5	24
ACP6	18
ACPP	6
ACPT	4
ACR	1
ACRBP	5
ACRC	8
ACRV1	1
ACSBG1	21
ACSBG2	1
ACSF2	40
ACSF3	52
ACSL1	63
ACSL3	116
ACSL4	96
ACSL5	82
ACSL6	5
ACSM1	4
ACSM2A	1
ACSM2B	0
ACSM3	5
ACSM4	0
ACSM5	1
ACSM6	3
ACSS1	105
ACSS2	61
ACSS3	20
ACTA1	2
ACTA2	7
ACTA2_AS1	0
ACTB	4723
ACTBL2	5
ACTC1	6
ACTG1	2045
ACTG1P17	1
ACTG1P20	5
ACTG1P4	5
ACTG2	3
ACTL10	16
ACTL6A	61
ACTL6B	3
ACTL7A	2
ACTL7B	4
ACTL8	0
ACTL9	0
ACTN1	187
ACTN1_AS1	0
ACTN2	0
ACTN3	0
ACTN4	1194
ACTR10	43
ACTR1A	115
ACTR1B	70
ACTR2	499
ACTR3	315
ACTR3B	23
ACTR3BP2	0
ACTR3BP5	0
ACTR3C	5
ACTR5	21
ACTR6	60
ACTR8	66
ACTRT1	0
ACTRT2	0
ACTRT3	3
ACVR1	24
ACVR1B	92
ACVR1C	1427
ACVR2A	21
ACVR2B	63
ACVR2B_AS1	3
ACVRL1	11
ACY1	4
ACY3	6
ACYP1	41
ACYP2	17
ADA	30
ADAD1	0
ADAD2	6
ADAL	21
ADAM10	163
ADAM11	2
ADAM12	33
ADAM15	79
ADAM17	40
ADAM18	0
ADAM19	215
ADAM1A	15
ADAM2	0
ADAM20	0
ADAM20P1	2
ADAM21	3
ADAM21P1	0
ADAM22	5
ADAM23	5
ADAM28	105
ADAM29	1
ADAM30	1
ADAM32	2
ADAM33	1
ADAM3A	1
ADAM5	0
ADAM6	0
ADAM7	0
ADAM8	35
ADAM9	150
ADAMDEC1	10
ADAMTS1	1
ADAMTS10	6
ADAMTS12	2
ADAMTS13	15
ADAMTS14	2
ADAMTS15	2
ADAMTS16	2
ADAMTS17	6
ADAMTS18	4
ADAMTS19	2
ADAMTS19_AS1	0
ADAMTS2	11
ADAMTS20	3
ADAMTS3	4
ADAMTS4	4
ADAMTS5	4
ADAMTS6	5
ADAMTS7	1
ADAMTS7P1	3
ADAMTS8	64
ADAMTS9	6
ADAMTS9_AS1	1
ADAMTS9_AS2	0
ADAMTSL1	333
ADAMTSL2	7
ADAMTSL3	37
ADAMTSL4	28
ADAMTSL4_AS1	7
ADAMTSL5	10
ADAP1	55
ADAP2	45
ADAR	725
ADARB1	56
ADARB2	22
ADARB2_AS1	2
ADAT1	29
ADAT2	12
ADAT3	10
ADCK1	17
ADCK2	48
ADCK3	83
ADCK4	86
ADCK5	16
ADCY1	3
ADCY10	1
ADCY10P1	2
ADCY2	57
ADCY3	16
ADCY4	16
ADCY5	8
ADCY6	62
ADCY7	43
ADCY8	7
ADCY9	51
ADCYAP1	7
ADCYAP1R1	0
ADD1	349
ADD2	13
ADD3	263
ADD3_AS1	1
ADGB	98
ADGRA1	1
ADGRA1_AS1	0
ADGRA2	7
ADGRA3	8
ADGRB1	6
ADGRB2	13
ADGRB3	1
ADGRD1	1
ADGRE1	1
ADGRE2	29
ADGRE3	0
ADGRE4P	2
ADGRE5	114
ADGRF1	90
ADGRF2	1
ADGRF3	35
ADGRF4	1
ADGRF5	3
ADGRG1	93
ADGRG2	7
ADGRG3	7
ADGRG4	1
ADGRG5	10
ADGRG6	225
ADGRG7	1
ADGRL1	83
ADGRL2	8
ADGRL3	5
ADGRL3_AS1	0
ADGRL4	0
ADGRV1	35
ADH1A	3
ADH1B	0
ADH1C	631
ADH4	13
ADH5	99
ADH6	9
ADH7	276
ADHFE1	7
ADI1	123
ADIG	0
ADIPOQ	0
ADIPOQ_AS1	0
ADIPOR1	153
ADIPOR2	49
ADIRF	16
ADK	51
ADM	19
ADM2	12
ADM5	4
ADNP	93
ADNP_AS1	27
ADNP2	39
ADO	83
ADORA1	15
ADORA2A	2
ADORA2A_AS1	2
ADORA2B	15
ADORA3	0
ADPGK	35
ADPGK_AS1	2
ADPRH	39
ADPRHL1	29
ADPRHL2	48
ADPRM	4
ADRA1A	16
ADRA1B	21
ADRA1D	22
ADRA2A	16
ADRA2B	5
ADRA2C	2
ADRB1	76
ADRB2	4
ADRB3	0
ADRBK1	347
ADRBK2	78
ADRM1	186
ADSL	54
ADSS	156
ADSSL1	30
ADTRP	27
AEBP1	16
AEBP2	289
AEN	34
AES	764
AFAP1	45
AFAP1_AS1	7
AFAP1L1	24
AFAP1L2	9
AFF1	274
AFF2	4
AFF3	7
AFF4	259
AFG3L1P	13
AFG3L2	82
AFM	0
AFMID	19
AFP	0
AFTPH	123
AGA	13
AGAP1	137
AGAP1_IT1	22
AGAP11	1
AGAP2	52
AGAP2_AS1	2
AGAP3	110
AGAP4	3
AGAP5	3
AGAP6	2
AGAP7P	0
AGAP9	2
AGBL1	4
AGBL1_AS1	0
AGBL2	57
AGBL3	20
AGBL4	13
AGBL4_IT1	8
AGBL5	127
AGBL5_AS1	0
AGER	7
AGFG1	81
AGFG2	119
AGGF1	156
AGK	103
AGL	31
AGMAT	29
AGMO	1
AGO1	162
AGO2	95
AGO3	15
AGO4	109
AGPAT1	55
AGPAT2	46
AGPAT3	168
AGPAT4	17
AGPAT4_IT1	4
AGPAT5	48
AGPS	88
AGR2	321
AGR3	18
AGRN	380
AGRP	1
AGT	0
AGTPBP1	45
AGTR1	1
AGTR2	0
AGTRAP	46
AGXT	1
AGXT2	1
AHCTF1	56
AHCTF1P1	1
AHCY	61
AHCYL1	194
AHCYL2	205
AHDC1	102
AHI1	99
AHNAK	1280
AHNAK2	91
AHR	440
AHRR	7
AHSA1	395
AHSA2	117
AHSG	0
AHSP	0
AICDA	5
AIDA	20
AIF1	66
AIF1L	30
AIFM1	69
AIFM2	54
AIFM3	9
AIG1	9
AIM1	159
AIM1L	12
AIM2	10
AIMP1	148
AIMP2	18
AIP	72
AIPL1	4
AIRE	0
AIRN	11
AJAP1	2
AJUBA	33
AK1	141
AK2	77
AK3	113
AK4	4
AK5	0
AK6	15
AK7	452
AK8	34
AK9	275
AKAP1	73
AKAP10	63
AKAP11	150
AKAP12	56
AKAP13	679
AKAP14	66
AKAP17A	125
AKAP2	4
AKAP3	12
AKAP4	1
AKAP5	16
AKAP6	39
AKAP7	15
AKAP8	159
AKAP8L	208
AKAP9	785
AKIP1	28
AKIRIN1	115
AKIRIN2	75
AKNA	364
AKNAD1	0
AKR1A1	288
AKR1B1	19
AKR1B10	15
AKR1B15	3
AKR1C1	52
AKR1C2	38
