	gene_id_NPS_99_R1_
A1BG	10
A1BG_AS1	6
A1CF	3
A2M	304
A2M_AS1	6
A2ML1	69
A2MP1	0
A3GALT2	1
A4GALT	377
A4GNT	0
AA06	0
AAAS	62
AACS	100
AACSP1	10
AADAC	9
AADACL2	39
AADACL2_AS1	24
AADACL3	3
AADACL4	0
AADACP1	86
AADAT	23
AAED1	60
AAGAB	238
AAK1	389
AAMDC	53
AAMP	643
AANAT	2
AAR2	60
AARD	0
AARS	238
AARS2	48
AARSD1	5
AASDH	37
AASDHPPT	121
AASS	102
AATBC	20
AATF	431
AATK	23
AATK_AS1	3
ABALON	28
ABAT	120
ABCA1	195
ABCA10	12
ABCA11P	22
ABCA12	103
ABCA13	5926
ABCA17P	2
ABCA2	114
ABCA3	33
ABCA4	25
ABCA5	381
ABCA6	16
ABCA7	222
ABCA8	3
ABCA9	14
ABCA9_AS1	0
ABCB1	10
ABCB10	95
ABCB11	66
ABCB4	15
ABCB5	6
ABCB6	60
ABCB7	84
ABCB8	50
ABCB9	5
ABCC1	209
ABCC10	84
ABCC11	1
ABCC12	1
ABCC13	0
ABCC2	5
ABCC3	64
ABCC4	157
ABCC5	411
ABCC5_AS1	4
ABCC6	18
ABCC6P1	2
ABCC6P2	6
ABCC8	0
ABCC9	26
ABCD1	38
ABCD2	60
ABCD3	560
ABCD4	68
ABCE1	170
ABCF1	796
ABCF2	175
ABCF3	153
ABCG1	187
ABCG2	1
ABCG4	0
ABCG5	3
ABCG8	0
ABHD1	15
ABHD10	193
ABHD11	70
ABHD11_AS1	14
ABHD12	62
ABHD12B	123
ABHD13	217
ABHD14A	8
ABHD14A_ACY1	0
ABHD14B	112
ABHD15	37
ABHD16A	104
ABHD16B	21
ABHD17A	60
ABHD17B	142
ABHD17C	112
ABHD2	1257
ABHD3	53
ABHD4	70
ABHD5	223
ABHD6	45
ABHD8	20
ABI1	712
ABI2	264
ABI3	53
ABI3BP	6
ABL1	159
ABL2	126
ABLIM1	1502
ABLIM2	21
ABLIM3	11
ABO	52
ABR	384
ABRA	0
ABRACL	189
ABT1	173
ABTB1	76
ABTB2	24
ACAA1	128
ACAA2	13
ACACA	504
ACACB	121
ACAD10	82
ACAD11	29
ACAD8	145
ACAD9	113
ACADL	9
ACADM	449
ACADS	39
ACADSB	190
ACADVL	328
ACAN	2
ACAP1	57
ACAP2	571
ACAP3	104
ACAT1	171
ACAT2	70
ACBD3	1109
ACBD4	31
ACBD5	232
ACBD6	167
ACBD7	77
ACCS	24
ACCSL	0
ACD	25
ACE	40
ACE2	41
ACER1	0
ACER2	56
ACER3	79
ACHE	3
ACIN1	1168
ACKR1	2
ACKR2	31
ACKR3	49
ACKR4	18
ACLY	350
ACMSD	0
ACO1	129
ACO2	281
ACOT1	16
ACOT11	33
ACOT12	0
ACOT13	231
ACOT2	29
ACOT4	11
ACOT6	3
ACOT7	45
ACOT8	36
ACOT9	113
ACOX1	335
ACOX2	45
ACOX3	140
ACOXL	3
ACP1	256
ACP2	48
ACP5	29
ACP6	54
ACPP	25
ACPT	1
ACR	6
ACRBP	6
ACRC	15
ACRV1	0
ACSBG1	39
ACSBG2	3
ACSF2	106
ACSF3	73
ACSL1	322
ACSL3	569
ACSL4	166
ACSL5	159
ACSL6	8
ACSM1	14
ACSM2A	0
ACSM2B	0
ACSM3	3
ACSM4	0
ACSM5	4
ACSM6	7
ACSS1	182
ACSS2	75
ACSS3	95
ACTA1	2
ACTA2	15
ACTA2_AS1	0
ACTB	5853
ACTBL2	2
ACTC1	2
ACTG1	4117
ACTG1P17	10
ACTG1P20	12
ACTG1P4	9
ACTG2	1
ACTL10	14
ACTL6A	237
ACTL6B	1
ACTL7A	0
ACTL7B	0
ACTL8	0
ACTL9	0
ACTN1	314
ACTN1_AS1	0
ACTN2	0
ACTN3	0
ACTN4	2239
ACTR10	187
ACTR1A	130
ACTR1B	62
ACTR2	1031
ACTR3	671
ACTR3B	65
ACTR3BP2	0
ACTR3BP5	0
ACTR3C	24
ACTR5	15
ACTR6	189
ACTR8	152
ACTRT1	0
ACTRT2	1
ACTRT3	12
ACVR1	76
ACVR1B	152
ACVR1C	355
ACVR2A	85
ACVR2B	78
ACVR2B_AS1	3
ACVRL1	3
ACY1	15
ACY3	9
ACYP1	136
ACYP2	37
ADA	7
ADAD1	0
ADAD2	11
ADAL	34
ADAM10	461
ADAM11	7
ADAM12	71
ADAM15	179
ADAM17	158
ADAM18	0
ADAM19	27
ADAM1A	29
ADAM2	0
ADAM20	5
ADAM20P1	3
ADAM21	7
ADAM21P1	0
ADAM22	22
ADAM23	9
ADAM28	825
ADAM29	2
ADAM30	0
ADAM32	33
ADAM33	0
ADAM3A	0
ADAM5	0
ADAM6	0
ADAM7	0
ADAM8	51
ADAM9	671
ADAMDEC1	39
ADAMTS1	4
ADAMTS10	0
ADAMTS12	4
ADAMTS13	5
ADAMTS14	8
ADAMTS15	11
ADAMTS16	8
ADAMTS17	27
ADAMTS18	2
ADAMTS19	0
ADAMTS19_AS1	2
ADAMTS2	3
ADAMTS20	1
ADAMTS3	4
ADAMTS4	6
ADAMTS5	0
ADAMTS6	3
ADAMTS7	1
ADAMTS7P1	3
ADAMTS8	20
ADAMTS9	15
ADAMTS9_AS1	0
ADAMTS9_AS2	0
ADAMTSL1	96
ADAMTSL2	1
ADAMTSL3	32
ADAMTSL4	100
ADAMTSL4_AS1	27
ADAMTSL5	4
ADAP1	24
ADAP2	20
ADAR	1096
ADARB1	29
ADARB2	32
ADARB2_AS1	1
ADAT1	89
ADAT2	89
ADAT3	3
ADCK1	23
ADCK2	113
ADCK3	131
ADCK4	73
ADCK5	14
ADCY1	2
ADCY10	2
ADCY10P1	13
ADCY2	85
ADCY3	38
ADCY4	6
ADCY5	21
ADCY6	118
ADCY7	61
ADCY8	0
ADCY9	129
ADCYAP1	0
ADCYAP1R1	0
ADD1	669
ADD2	6
ADD3	644
ADD3_AS1	0
ADGB	860
ADGRA1	1
ADGRA1_AS1	0
ADGRA2	0
ADGRA3	103
ADGRB1	6
ADGRB2	12
ADGRB3	3
ADGRD1	2
ADGRE1	10
ADGRE2	62
ADGRE3	15
ADGRE4P	14
ADGRE5	171
ADGRF1	398
ADGRF2	4
ADGRF3	23
ADGRF4	7
ADGRF5	16
ADGRG1	502
ADGRG2	12
ADGRG3	25
ADGRG4	1
ADGRG5	10
ADGRG6	28
ADGRG7	0
ADGRL1	51
ADGRL2	68
ADGRL3	25
ADGRL3_AS1	0
ADGRL4	0
ADGRV1	265
ADH1A	2
ADH1B	2
ADH1C	1834
ADH4	21
ADH5	171
ADH6	67
ADH7	1729
ADHFE1	38
ADI1	372
ADIG	0
ADIPOQ	0
ADIPOQ_AS1	0
ADIPOR1	551
ADIPOR2	137
ADIRF	152
ADK	114
ADM	115
ADM2	5
ADM5	0
ADNP	423
ADNP_AS1	58
ADNP2	119
ADO	51
ADORA1	5
ADORA2A	4
ADORA2A_AS1	9
ADORA2B	39
ADORA3	0
ADPGK	65
ADPGK_AS1	8
ADPRH	48
ADPRHL1	26
ADPRHL2	112
ADPRM	13
ADRA1A	12
ADRA1B	1
ADRA1D	2
ADRA2A	17
ADRA2B	5
ADRA2C	3
ADRB1	111
ADRB2	33
ADRB3	0
ADRBK1	268
ADRBK2	65
ADRM1	327
ADSL	143
ADSS	452
ADSSL1	89
ADTRP	55
AEBP1	6
AEBP2	646
AEN	27
AES	1613
AFAP1	88
AFAP1_AS1	8
AFAP1L1	26
AFAP1L2	17
AFF1	739
AFF2	8
AFF3	15
AFF4	719
AFG3L1P	35
AFG3L2	304
AFM	0
AFMID	41
AFP	0
AFTPH	318
AGA	59
AGAP1	242
AGAP1_IT1	16
AGAP11	18
AGAP2	29
AGAP2_AS1	4
AGAP3	161
AGAP4	3
AGAP5	3
AGAP6	19
AGAP7P	9
AGAP9	15
AGBL1	2
AGBL1_AS1	4
AGBL2	221
AGBL3	32
AGBL4	33
AGBL4_IT1	4
AGBL5	206
AGBL5_AS1	0
AGER	16
AGFG1	181
AGFG2	311
AGGF1	260
AGK	83
AGL	402
AGMAT	26
AGMO	0
AGO1	362
AGO2	168
AGO3	79
AGO4	184
AGPAT1	96
AGPAT2	78
AGPAT3	257
AGPAT4	29
AGPAT4_IT1	0
AGPAT5	72
AGPS	222
AGR2	1679
AGR3	96
AGRN	325
AGRP	1
AGT	0
AGTPBP1	134
AGTR1	2
AGTR2	0
AGTRAP	62
AGXT	0
AGXT2	0
AHCTF1	239
AHCTF1P1	7
AHCY	104
AHCYL1	581
AHCYL2	456
AHDC1	147
AHI1	312
AHNAK	8412
AHNAK2	489
AHR	894
AHRR	4
AHSA1	717
AHSA2	167
AHSG	0
AHSP	0
AICDA	1
AIDA	37
AIF1	87
AIF1L	42
AIFM1	151
AIFM2	83
AIFM3	7
AIG1	98
AIM1	660
AIM1L	31
AIM2	5
AIMP1	394
AIMP2	38
AIP	68
AIPL1	0
AIRE	0
AIRN	4
AJAP1	30
AJUBA	57
AK1	560
AK2	173
AK3	185
AK4	10
AK5	4
AK6	31
AK7	1212
AK8	143
AK9	709
AKAP1	167
AKAP10	132
AKAP11	557
AKAP12	84
AKAP13	1448
AKAP14	509
AKAP17A	112
AKAP2	1
AKAP3	45
AKAP4	0
AKAP5	14
AKAP6	306
AKAP7	33
AKAP8	291
AKAP8L	305
AKAP9	2868
AKIP1	48
AKIRIN1	167
AKIRIN2	89
AKNA	422
AKNAD1	1
AKR1A1	581
AKR1B1	72
AKR1B10	226
AKR1B15	13
AKR1C1	226
AKR1C2	511
AKR1C3	204
AKR1C4	3
AKR1C6P	1
AKR1C8P	5
AKR1D1	0
AKR1E2	12
AKR7A2	71
AKR7A2P1	0
AKR7A3	3
AKR7L	5
AKT1	399
AKT1S1	196
AKT2	146
AKT3	45
AKTIP	103
ALAD	204
ALAS1	303
ALAS2	2
ALB	1
ALCAM	2788
ALDH16A1	73
ALDH18A1	199
ALDH1A1	8109
ALDH1A2	47
ALDH1A3	223
ALDH1B1	20
ALDH1L1	244
ALDH1L1_AS1	1
ALDH1L1_AS2	6
ALDH1L2	18
ALDH2	518
ALDH3A1	6829
ALDH3A2	535
ALDH3B1	869
ALDH3B2	76
ALDH4A1	25
ALDH5A1	130
ALDH6A1	72
ALDH7A1	254
ALDH8A1	1
ALDH9A1	230
ALDOA	2367
ALDOB	0
ALDOC	12
ALG1	20
ALG10	31
ALG10B	54
ALG11	63
ALG12	34
ALG13	216
ALG14	13
ALG1L	9
ALG1L2	0
ALG1L9P	1
ALG2	76
ALG3	63
ALG5	77
ALG6	38
ALG8	24
ALG9	60
ALK	14
ALKBH1	18
ALKBH2	28
ALKBH3	71
ALKBH3_AS1	6
ALKBH4	13
ALKBH5	428
ALKBH6	55
ALKBH7	43
ALKBH8	49
ALLC	1
ALMS1	756
ALMS1_IT1	15
ALMS1P	16
ALOX12	13
ALOX12_AS1	6
ALOX12B	6
ALOX12P2	96
ALOX15	5684
ALOX15B	21
ALOX15P1	10
ALOX5	31
ALOX5AP	22
ALOXE3	0
ALPI	0
ALPK1	163
ALPK2	1
ALPK3	70
ALPL	259
ALPP	11
ALPPL2	14
ALS2	170
ALS2CL	142
ALS2CR11	3
ALS2CR12	187
ALX1	0
ALX3	2
ALX4	2
ALYREF	83
AMACR	6
AMBN	0
AMBP	0
AMBRA1	151
AMD1	450
AMDHD1	2
AMDHD2	34
AMELX	4
AMELY	0
AMER1	48
AMER2	0
AMER3	1
AMFR	201
AMH	332
AMHR2	0
AMICA1	111
AMIGO1	12
AMIGO2	26
AMIGO3	18
AMMECR1	68
AMMECR1L	67
AMN	1
AMN1	31
AMOT	410
AMOTL1	114
AMOTL2	99
AMPD1	4
AMPD2	96
AMPD3	237
AMPH	1
AMT	15
AMTN	0
AMY1A	0
AMY1B	0
AMY1C	0
AMY2A	0
AMY2B	65
AMZ1	6
AMZ2	187
AMZ2P1	74
ANAPC1	76
ANAPC10	32
ANAPC11	208
ANAPC13	155
ANAPC15	40
ANAPC16	343
ANAPC1P1	1
ANAPC2	85
ANAPC4	154
ANAPC5	270
ANAPC7	158
ANG	9
ANGEL1	59
ANGEL2	135
ANGPT1	11
ANGPT2	24
ANGPT4	1
ANGPTL1	25
ANGPTL2	9
ANGPTL3	3
ANGPTL4	3
ANGPTL5	11
ANGPTL6	1
ANGPTL7	0
ANHX	0
ANK1	19
ANK2	48
ANK3	1335
ANKAR	24
ANKDD1A	30
ANKDD1B	123
ANKEF1	95
ANKFN1	81
ANKFY1	306
ANKH	76
ANKHD1	22
ANKHD1_EIF4EBP3	8
ANKIB1	211
ANKK1	15
ANKLE1	5
ANKLE2	231
ANKMY1	153
ANKMY2	160
ANKRA2	227
ANKRD1	2
ANKRD10	88
ANKRD11	1068
