	gene_id_NP57_R1_
A1BG	1
A1BG_AS1	0
A1CF	0
A2M	7
A2M_AS1	1
A2ML1	1452
A2MP1	1
A3GALT2	13
A4GALT	77
A4GNT	0
AA06	0
AAAS	7
AACS	22
AACSP1	7
AADAC	0
AADACL2	6
AADACL2_AS1	2
AADACL3	0
AADACL4	0
AADACP1	0
AADAT	1
AAED1	7
AAGAB	69
AAK1	209
AAMDC	12
AAMP	134
AANAT	8
AAR2	9
AARD	0
AARS	28
AARS2	6
AARSD1	0
AASDH	4
AASDHPPT	6
AASS	9
AATBC	6
AATF	182
AATK	138
AATK_AS1	0
ABALON	3
ABAT	97
ABCA1	636
ABCA10	4
ABCA11P	0
ABCA12	19
ABCA13	346
ABCA17P	0
ABCA2	73
ABCA3	11
ABCA4	10
ABCA5	83
ABCA6	2
ABCA7	268
ABCA8	24
ABCA9	0
ABCA9_AS1	0
ABCB1	6
ABCB10	12
ABCB11	27
ABCB4	2
ABCB5	2
ABCB6	18
ABCB7	5
ABCB8	33
ABCB9	54
ABCC1	94
ABCC10	12
ABCC11	3
ABCC12	1
ABCC13	0
ABCC2	4
ABCC3	10
ABCC4	7
ABCC5	65
ABCC5_AS1	4
ABCC6	6
ABCC6P1	0
ABCC6P2	1
ABCC8	0
ABCC9	0
ABCD1	131
ABCD2	2
ABCD3	69
ABCD4	25
ABCE1	18
ABCF1	466
ABCF2	16
ABCF3	44
ABCG1	106
ABCG2	0
ABCG4	2
ABCG5	0
ABCG8	0
ABHD1	0
ABHD10	3
ABHD11	28
ABHD11_AS1	13
ABHD12	52
ABHD12B	3
ABHD13	32
ABHD14A	0
ABHD14A_ACY1	0
ABHD14B	2
ABHD15	18
ABHD16A	29
ABHD16B	36
ABHD17A	27
ABHD17B	85
ABHD17C	82
ABHD2	194
ABHD3	48
ABHD4	47
ABHD5	550
ABHD6	6
ABHD8	19
ABI1	299
ABI2	22
ABI3	51
ABI3BP	1
ABL1	54
ABL2	84
ABLIM1	725
ABLIM2	10
ABLIM3	305
ABO	13
ABR	134
ABRA	0
ABRACL	57
ABT1	26
ABTB1	149
ABTB2	315
ACAA1	125
ACAA2	25
ACACA	133
ACACB	18
ACAD10	13
ACAD11	3
ACAD8	86
ACAD9	35
ACADL	0
ACADM	101
ACADS	5
ACADSB	12
ACADVL	212
ACAN	21
ACAP1	97
ACAP2	277
ACAP3	130
ACAT1	1
ACAT2	16
ACBD3	241
ACBD4	20
ACBD5	50
ACBD6	8
ACBD7	1
ACCS	12
ACCSL	0
ACD	16
ACE	13
ACE2	4
ACER1	0
ACER2	2
ACER3	24
ACHE	20
ACIN1	828
ACKR1	0
ACKR2	20
ACKR3	1
ACKR4	0
ACLY	79
ACMSD	0
ACO1	36
ACO2	40
ACOT1	0
ACOT11	18
ACOT12	0
ACOT13	49
ACOT2	6
ACOT4	1
ACOT6	0
ACOT7	6
ACOT8	5
ACOT9	56
ACOX1	349
ACOX2	0
ACOX3	23
ACOXL	11
ACP1	9
ACP2	16
ACP5	11
ACP6	17
ACPP	19
ACPT	0
ACR	1
ACRBP	5
ACRC	17
ACRV1	1
ACSBG1	2
ACSBG2	0
ACSF2	5
ACSF3	18
ACSL1	1395
ACSL3	110
ACSL4	76
ACSL5	54
ACSL6	5
ACSM1	1
ACSM2A	0
ACSM2B	0
ACSM3	4
ACSM4	1
ACSM5	0
ACSM6	1
ACSS1	11
ACSS2	42
ACSS3	3
ACTA1	0
ACTA2	13
ACTA2_AS1	2
ACTB	11919
ACTBL2	2
ACTC1	0
ACTG1	7585
ACTG1P17	0
ACTG1P20	5
ACTG1P4	1
ACTG2	0
ACTL10	3
ACTL6A	15
ACTL6B	0
ACTL7A	0
ACTL7B	0
ACTL8	0
ACTL9	3
ACTN1	323
ACTN1_AS1	0
ACTN2	0
ACTN3	1
ACTN4	2354
ACTR10	16
ACTR1A	64
ACTR1B	17
ACTR2	424
ACTR3	573
ACTR3B	1
ACTR3BP2	0
ACTR3BP5	0
ACTR3C	8
ACTR5	3
ACTR6	19
ACTR8	42
ACTRT1	0
ACTRT2	2
ACTRT3	2
ACVR1	18
ACVR1B	43
ACVR1C	337
ACVR2A	15
ACVR2B	18
ACVR2B_AS1	5
ACVRL1	1
ACY1	3
ACY3	0
ACYP1	83
ACYP2	3
ADA	25
ADAD1	0
ADAD2	1
ADAL	4
ADAM10	247
ADAM11	3
ADAM12	4
ADAM15	20
ADAM17	107
ADAM18	1
ADAM19	232
ADAM1A	3
ADAM2	0
ADAM20	2
ADAM20P1	0
ADAM21	1
ADAM21P1	0
ADAM22	3
ADAM23	15
ADAM28	42
ADAM29	0
ADAM30	3
ADAM32	14
ADAM33	1
ADAM3A	2
ADAM5	0
ADAM6	0
ADAM7	1
ADAM8	240
ADAM9	566
ADAMDEC1	3
ADAMTS1	15
ADAMTS10	0
ADAMTS12	2
ADAMTS13	1
ADAMTS14	9
ADAMTS15	5
ADAMTS16	2
ADAMTS17	16
ADAMTS18	3
ADAMTS19	0
ADAMTS19_AS1	1
ADAMTS2	4
ADAMTS20	0
ADAMTS3	10
ADAMTS4	2
ADAMTS5	1
ADAMTS6	7
ADAMTS7	0
ADAMTS7P1	4
ADAMTS8	7
ADAMTS9	0
ADAMTS9_AS1	0
ADAMTS9_AS2	0
ADAMTSL1	29
ADAMTSL2	0
ADAMTSL3	1
