	gene_id_FLU_22_S38_
ADGRF4	0
ADGRF5	0
ADGRG1	507
ADGRG2	59
ADGRG3	998
ADGRG4	2
ADGRG5	329
ADGRG6	34
ADGRG7	0
ADGRL1	103
ADGRL2	1
ADGRL3	4
ADGRL3_AS1	0
ADGRL4	0
ADGRV1	41
ADH1A	2
ADH1B	0
ADH1C	0
ADH4	9
ADH5	964
ADH6	7
ADH7	0
ADHFE1	118
ADI1	647
ADIG	1
ADIPOQ	1
ADIPOQ_AS1	0
ADIPOR1	29722
ADIPOR2	1116
ADIRF	7
ADK	591
ADM	1559
ADM2	2
ADM5	6
ADNP	2470
ADNP_AS1	83
ADNP2	652
ADO	550
ADORA1	0
ADORA2A	70
ADORA2A_AS1	266
ADORA2B	71
ADORA3	22
ADPGK	2414
ADPGK_AS1	132
ADPRH	252
ADPRHL1	3
ADPRHL2	297
ADPRM	210
ADRA1A	1
ADRA1B	0
ADRA1D	0
ADRA2A	11
ADRA2B	3
ADRA2C	1
ADRB1	4
ADRB2	945
ADRB3	0
ADRBK1	2619
ADRBK2	2399
ADRM1	318
ADSL	723
ADSS	1164
ADSSL1	9
ADTRP	70
AEBP1	12
AEBP2	1162
AEN	548
AES	1052
AFAP1	125
AFAP1_AS1	19
AFAP1L1	5
AFAP1L2	52
AFF1	4652
AFF2	509
AFF3	145
AFF4	3685
AFG3L1P	330
AFG3L2	525
AFM	0
AFMID	57
AFP	0
AFTPH	3182
AGA	377
AGAP1	110
AGAP1_IT1	0
AGAP11	1
AGAP2	458
AGAP2_AS1	0
AGAP3	140
AGAP4	92
AGAP5	56
AGAP6	151
AGAP7P	37
AGAP9	16
AGBL1	0
AGBL1_AS1	0
AGBL2	22
AGBL3	90
AGBL4	0
AGBL4_IT1	1
AGBL5	310
AGBL5_AS1	1
AGER	231
AGFG1	5203
AGFG2	239
AGGF1	1076
AGK	818
AGL	1092
AGMAT	116
AGMO	2
AGO1	1142
AGO2	1150
AGO3	921
AGO4	5898
AGPAT1	101
AGPAT2	239
AGPAT3	888
AGPAT4	680
AGPAT4_IT1	113
AGPAT5	392
AGPS	1858
AGR2	1
AGR3	0
AGRN	108
AGRP	7
AGT	0
AGTPBP1	6780
AGTR1	0
AGTR2	0
AGTRAP	461
AGXT	0
AGXT2	0
AHCTF1	6499
AHCTF1P1	35
AHCY	207
AHCYL1	1248
AHCYL2	370
AHDC1	65
AHI1	254
AHNAK	66579
AHNAK2	18
AHR	9516
AHRR	17
AHSA1	572
AHSA2	1319
AHSG	0
AHSP	779
AICDA	1
AIDA	834
AIF1	1440
AIF1L	0
AIFM1	367
AIFM2	60
AIFM3	56
AIG1	255
AIM1	4844
AIM1L	23
AIM2	522
AIMP1	542
AIMP2	66
AIP	286
AIPL1	0
AIRE	5
AIRN	79
AJAP1	6
AJUBA	9
AK1	90
AK2	1945
AK3	670
AK4	23
AK5	244
AK6	46
AK7	5
AK8	2
AK9	286
AKAP1	239
AKAP10	1394
AKAP11	2594
AKAP12	52
AKAP13	15210
AKAP14	9
AKAP17A	1203
AKAP2	0
AKAP3	21
AKAP4	0
AKAP5	202
AKAP6	36
AKAP7	408
AKAP8	859
AKAP8L	1044
AKAP9	5409
AKIP1	86
AKIRIN1	2041
AKIRIN2	945
AKNA	4020
AKNAD1	2
AKR1A1	490
AKR1B1	395
AKR1B10	0
AKR1B15	0
AKR1C1	18
AKR1C2	7
AKR1C3	82
AKR1C4	13
AKR1C6P	14
AKR1C8P	6
AKR1D1	2
AKR1E2	166
AKR7A2	294
AKR7A2P1	7
AKR7A3	6
AKR7L	3
AKT1	1635
AKT1S1	71
AKT2	1106
AKT3	1286
AKTIP	629
ALAD	490
ALAS1	412
ALAS2	80654
ALB	1
ALCAM	1806
ALDH16A1	360
ALDH18A1	399
ALDH1A1	469
ALDH1A2	35
ALDH1A3	17
ALDH1B1	88
ALDH1L1	0
ALDH1L1_AS1	0
ALDH1L1_AS2	0
ALDH1L2	93
ALDH2	617
ALDH3A1	0
ALDH3A2	579
ALDH3B1	549
ALDH3B2	1
ALDH4A1	35
ALDH5A1	697
ALDH6A1	272
ALDH7A1	5
ALDH8A1	9
ALDH9A1	880
ALDOA	3910
ALDOB	12
ALDOC	110
ALG1	178
ALG10	266
ALG10B	346
ALG11	101
ALG12	197
ALG13	1290
ALG14	77
ALG1L	6
ALG1L2	7
ALG1L9P	23
ALG2	451
ALG3	86
ALG5	295
ALG6	689
ALG8	213
ALG9	329
ALK	60
ALKBH1	178
ALKBH2	55
ALKBH3	304
ALKBH3_AS1	19
ALKBH4	93
ALKBH5	1592
ALKBH6	48
ALKBH7	133
ALKBH8	337
ALLC	1
ALMS1	2202
ALMS1_IT1	62
ALMS1P	7
ALOX12	134
ALOX12_AS1	19
ALOX12B	12
ALOX12P2	14
ALOX15	340
ALOX15B	0
ALOX15P1	16
ALOX5	5739
ALOX5AP	2384
ALOXE3	0
ALPI	0
ALPK1	4053
ALPK2	54
ALPK3	75
ALPL	1970
ALPP	0
ALPPL2	0
ALS2	575
ALS2CL	83
ALS2CR11	35
ALS2CR12	365
ALX1	0
ALX3	32
ALX4	8
ALYREF	496
AMACR	4
AMBN	0
AMBP	0
AMBRA1	534
AMD1	3591
AMDHD1	43
AMDHD2	104
AMELX	1
AMELY	0
AMER1	108
