	gene_id_WB2_
A1BG	6
A1BG_AS1	1
A1CF	2
A2M	919
A2M_AS1	204
A2ML1	1
A2MP1	59
A3GALT2	3
A4GALT	8
A4GNT	0
AA06	0
AAAS	36
AACS	27
AACSP1	0
AADAC	0
AADACL2	0
AADACL2_AS1	0
AADACL3	0
AADACL4	0
AADACP1	0
AADAT	0
AAED1	51
AAGAB	166
AAK1	891
AAMDC	11
AAMP	130
AANAT	7
AAR2	150
AARD	0
AARS	194
AARS2	105
AARSD1	1
AASDH	59
AASDHPPT	75
AASS	22
AATBC	34
AATF	376
AATK	125
AATK_AS1	0
ABALON	75
ABAT	34
ABCA1	508
ABCA10	16
ABCA11P	8
ABCA12	0
ABCA13	12
ABCA17P	0
ABCA2	573
ABCA3	36
ABCA4	0
ABCA5	254
ABCA6	4
ABCA7	375
ABCA8	0
ABCA9	3
ABCA9_AS1	0
ABCB1	247
ABCB10	316
ABCB11	0
ABCB4	12
ABCB5	7
ABCB6	15
ABCB7	135
ABCB8	63
ABCB9	7
ABCC1	398
ABCC10	111
ABCC11	0
ABCC12	0
ABCC13	45
ABCC2	14
ABCC3	195
ABCC4	583
ABCC5	110
ABCC5_AS1	1
ABCC6	10
ABCC6P1	1
ABCC6P2	0
ABCC8	0
ABCC9	0
ABCD1	81
ABCD2	35
ABCD3	65
ABCD4	148
ABCE1	189
ABCF1	400
ABCF2	76
ABCF3	295
ABCG1	55
ABCG2	46
ABCG4	0
ABCG5	0
ABCG8	0
ABHD1	8
ABHD10	67
ABHD11	20
ABHD11_AS1	0
ABHD12	92
ABHD12B	0
ABHD13	234
ABHD14A	33
ABHD14A_ACY1	0
ABHD14B	137
ABHD15	62
ABHD16A	186
ABHD16B	8
ABHD17A	340
ABHD17B	73
ABHD17C	10
ABHD2	1005
ABHD3	77
ABHD4	67
ABHD5	117
ABHD6	24
ABHD8	19
ABI1	795
ABI2	119
ABI3	108
ABI3BP	5
ABL1	217
ABL2	165
ABLIM1	445
ABLIM2	17
ABLIM3	76
ABO	0
ABR	316
ABRA	2
ABRACL	76
ABT1	190
ABTB1	489
ABTB2	21
ACAA1	240
ACAA2	130
ACACA	158
ACACB	73
ACAD10	50
ACAD11	26
ACAD8	50
ACAD9	107
ACADL	1
ACADM	53
ACADS	38
ACADSB	63
ACADVL	982
ACAN	1
ACAP1	576
ACAP2	720
ACAP3	110
ACAT1	81
ACAT2	33
ACBD3	288
ACBD4	26
ACBD5	214
ACBD6	103
ACBD7	4
ACCS	24
ACCSL	1
ACD	33
ACE	4
ACE2	0
ACER1	0
ACER2	22
ACER3	110
ACHE	4
ACIN1	1114
ACKR1	4
ACKR2	6
ACKR3	7
ACKR4	17
ACLY	505
ACMSD	1
ACO1	25
ACO2	254
ACOT1	3
ACOT11	4
ACOT12	1
ACOT13	67
ACOT2	44
ACOT4	2
ACOT6	0
ACOT7	24
ACOT8	46
ACOT9	111
ACOX1	137
ACOX2	0
ACOX3	34
ACOXL	5
ACP1	311
ACP2	42
ACP5	63
ACP6	13
ACPP	53
ACPT	10
ACR	0
ACRBP	129
ACRC	9
ACRV1	1
ACSBG1	2
ACSBG2	1
ACSF2	29
ACSF3	125
ACSL1	1240
ACSL3	245
ACSL4	268
ACSL5	195
ACSL6	66
ACSM1	3
ACSM2A	0
