	gene_id_NPS_226_R1_
A1BG	0
A1BG_AS1	0
A1CF	0
A2M	2
A2M_AS1	0
A2ML1	0
A2MP1	0
A3GALT2	0
A4GALT	10
A4GNT	0
AA06	0
AAAS	7
AACS	9
AACSP1	0
AADAC	0
AADACL2	1
AADACL2_AS1	0
AADACL3	3
AADACL4	0
AADACP1	0
AADAT	0
AAED1	0
AAGAB	9
AAK1	17
AAMDC	1
AAMP	36
AANAT	1
AAR2	3
AARD	1
AARS	19
AARS2	5
AARSD1	0
AASDH	0
AASDHPPT	4
AASS	6
AATBC	1
AATF	55
AATK	15
AATK_AS1	0
ABALON	4
ABAT	6
ABCA1	14
ABCA10	1
ABCA11P	1
ABCA12	1
ABCA13	470
ABCA17P	0
ABCA2	13
ABCA3	14
ABCA4	4
ABCA5	11
ABCA6	0
ABCA7	43
ABCA8	0
ABCA9	0
ABCA9_AS1	0
ABCB1	2
ABCB10	3
ABCB11	1
ABCB4	1
ABCB5	0
ABCB6	12
ABCB7	1
ABCB8	12
ABCB9	0
ABCC1	11
ABCC10	13
ABCC11	0
ABCC12	0
ABCC13	0
ABCC2	1
ABCC3	2
ABCC4	0
ABCC5	35
ABCC5_AS1	0
ABCC6	14
ABCC6P1	0
ABCC6P2	0
ABCC8	0
ABCC9	3
ABCD1	12
ABCD2	0
ABCD3	39
ABCD4	6
ABCE1	1
ABCF1	45
ABCF2	4
ABCF3	13
ABCG1	8
ABCG2	0
ABCG4	0
ABCG5	0
ABCG8	0
ABHD1	0
ABHD10	2
ABHD11	16
ABHD11_AS1	1
ABHD12	6
ABHD12B	8
ABHD13	4
ABHD14A	0
ABHD14A_ACY1	0
ABHD14B	1
ABHD15	1
ABHD16A	15
ABHD16B	1
ABHD17A	3
ABHD17B	3
ABHD17C	6
ABHD2	30
ABHD3	2
ABHD4	1
ABHD5	3
ABHD6	2
ABHD8	0
ABI1	42
ABI2	10
ABI3	2
ABI3BP	0
ABL1	19
ABL2	4
ABLIM1	34
ABLIM2	0
ABLIM3	0
ABO	5
ABR	35
ABRA	1
ABRACL	2
ABT1	9
ABTB1	10
ABTB2	2
ACAA1	8
ACAA2	0
ACACA	25
ACACB	17
ACAD10	8
ACAD11	1
ACAD8	9
ACAD9	7
ACADL	0
ACADM	3
ACADS	2
ACADSB	0
ACADVL	37
ACAN	0
ACAP1	5
ACAP2	7
ACAP3	10
ACAT1	7
ACAT2	2
ACBD3	64
ACBD4	4
ACBD5	87
ACBD6	2
ACBD7	9
ACCS	7
ACCSL	0
ACD	1
ACE	2
ACE2	9
ACER1	0
ACER2	1
ACER3	3
ACHE	0
ACIN1	156
ACKR1	0
ACKR2	0
ACKR3	0
ACKR4	0
ACLY	41
ACMSD	0
ACO1	6
ACO2	13
ACOT1	0
ACOT11	23
ACOT12	0
ACOT13	1
ACOT2	0
ACOT4	0
ACOT6	0
ACOT7	6
ACOT8	0
ACOT9	11
ACOX1	5
ACOX2	0
ACOX3	9
ACOXL	1
ACP1	5
ACP2	1
ACP5	1
ACP6	2
ACPP	0
ACPT	0
ACR	0
ACRBP	5
ACRC	0
ACRV1	0
ACSBG1	4
ACSBG2	0
ACSF2	23
ACSF3	9
ACSL1	9
ACSL3	12
ACSL4	0
ACSL5	4
ACSL6	1
ACSM1	0
ACSM2A	0
ACSM2B	1
ACSM3	0
ACSM4	0
ACSM5	0
ACSM6	0
ACSS1	15
ACSS2	8
ACSS3	1
ACTA1	0
ACTA2	163
ACTA2_AS1	0
ACTB	176
ACTBL2	0
ACTC1	0
ACTG1	121
ACTG1P17	0
ACTG1P20	0
ACTG1P4	0
ACTG2	0
ACTL10	1
ACTL6A	3
ACTL6B	0
ACTL7A	0
ACTL7B	1
ACTL8	0
ACTL9	0
ACTN1	23
ACTN1_AS1	0
ACTN2	3
ACTN3	0
ACTN4	132
ACTR10	2
ACTR1A	10
ACTR1B	5
ACTR2	40
ACTR3	15
ACTR3B	2
ACTR3BP2	0
ACTR3BP5	0
ACTR3C	4
ACTR5	0
ACTR6	7
ACTR8	28
ACTRT1	0
ACTRT2	1
ACTRT3	0
ACVR1	7
ACVR1B	6
ACVR1C	1576
ACVR2A	1
ACVR2B	2
ACVR2B_AS1	0
ACVRL1	0
ACY1	0
ACY3	0
ACYP1	6
ACYP2	1
ADA	0
ADAD1	0
ADAD2	1
ADAL	0
ADAM10	22
ADAM11	0
ADAM12	0
ADAM15	12
ADAM17	3
ADAM18	0
ADAM19	10
ADAM1A	0
ADAM2	0
ADAM20	0
ADAM20P1	3
ADAM21	0
ADAM21P1	0
ADAM22	0
ADAM23	3
ADAM28	26
ADAM29	0
ADAM30	0
ADAM32	2
ADAM33	0
ADAM3A	0
ADAM5	0
ADAM6	0
ADAM7	0
ADAM8	3
ADAM9	19
ADAMDEC1	4
ADAMTS1	0
ADAMTS10	0
ADAMTS12	0
ADAMTS13	1
ADAMTS14	2
ADAMTS15	13
ADAMTS16	2
ADAMTS17	3
ADAMTS18	6
ADAMTS19	0
ADAMTS19_AS1	0
ADAMTS2	0
ADAMTS20	0
ADAMTS3	0
ADAMTS4	0
ADAMTS5	0
ADAMTS6	0
ADAMTS7	0
ADAMTS7P1	0
ADAMTS8	2
ADAMTS9	5
ADAMTS9_AS1	0
ADAMTS9_AS2	0
ADAMTSL1	124
ADAMTSL2	1
ADAMTSL3	2
ADAMTSL4	14
ADAMTSL4_AS1	0
ADAMTSL5	11
ADAP1	5
ADAP2	0
ADAR	89
ADARB1	3
ADARB2	52
ADARB2_AS1	0
ADAT1	1
ADAT2	3
ADAT3	0
ADCK1	30
ADCK2	2074
ADCK3	13
ADCK4	18
ADCK5	2
ADCY1	1
ADCY10	0
ADCY10P1	1
ADCY2	7
ADCY3	4
ADCY4	1
ADCY5	4
ADCY6	9
ADCY7	1
ADCY8	0
ADCY9	18
ADCYAP1	0
ADCYAP1R1	0
ADD1	96
ADD2	1
ADD3	23
ADD3_AS1	0
ADGB	51
ADGRA1	0
ADGRA1_AS1	0
ADGRA2	0
ADGRA3	3
ADGRB1	9
ADGRB2	1
ADGRB3	0
ADGRD1	0
ADGRE1	0
ADGRE2	10
ADGRE3	0
ADGRE4P	1
ADGRE5	30
ADGRF1	7
ADGRF2	0
ADGRF3	10
ADGRF4	0
ADGRF5	2
ADGRG1	15
ADGRG2	0
ADGRG3	1
ADGRG4	0
ADGRG5	0
ADGRG6	0
ADGRG7	0
ADGRL1	3
ADGRL2	0
ADGRL3	0
ADGRL3_AS1	0
ADGRL4	0
ADGRV1	13
ADH1A	0
ADH1B	0
ADH1C	33
ADH4	0
ADH5	10
ADH6	0
ADH7	103
ADHFE1	0
ADI1	5
ADIG	0
ADIPOQ	0
ADIPOQ_AS1	0
ADIPOR1	25
ADIPOR2	3
ADIRF	0
ADK	7
ADM	2
ADM2	7
ADM5	0
ADNP	10
ADNP_AS1	0
ADNP2	1
ADO	0
ADORA1	3
ADORA2A	0
ADORA2A_AS1	0
ADORA2B	0
ADORA3	0
ADPGK	4
ADPGK_AS1	2
ADPRH	9
ADPRHL1	1
ADPRHL2	14
ADPRM	0
ADRA1A	1
ADRA1B	0
ADRA1D	2
ADRA2A	0
ADRA2B	0
ADRA2C	0
ADRB1	8
ADRB2	2
ADRB3	1
ADRBK1	15
ADRBK2	9
ADRM1	18
ADSL	1
ADSS	11
ADSSL1	2
ADTRP	2
AEBP1	4
AEBP2	133
AEN	2
AES	68
AFAP1	19
AFAP1_AS1	1
AFAP1L1	8
AFAP1L2	0
AFF1	52
AFF2	2
AFF3	6
AFF4	20
AFG3L1P	2
AFG3L2	14
AFM	0
AFMID	5
AFP	0
AFTPH	14
AGA	4
AGAP1	16
AGAP1_IT1	3
AGAP11	1
AGAP2	6
AGAP2_AS1	0
AGAP3	34
AGAP4	0
AGAP5	0
AGAP6	0
AGAP7P	0
AGAP9	0
AGBL1	0
AGBL1_AS1	0
AGBL2	24
AGBL3	1
AGBL4	5
AGBL4_IT1	2
AGBL5	10
AGBL5_AS1	0
AGER	4
AGFG1	2
AGFG2	7
AGGF1	5
AGK	8
AGL	3
AGMAT	3
AGMO	0
AGO1	10
AGO2	5
AGO3	3
AGO4	11
AGPAT1	1
AGPAT2	13
AGPAT3	16
AGPAT4	4
AGPAT4_IT1	0
AGPAT5	6
AGPS	5
AGR2	27
AGR3	2
AGRN	104
AGRP	0
AGT	0
AGTPBP1	8
AGTR1	0
AGTR2	0
AGTRAP	1
AGXT	0
AGXT2	1
AHCTF1	9
AHCTF1P1	0
AHCY	0
AHCYL1	12
AHCYL2	40
AHDC1	11
AHI1	36
AHNAK	407
AHNAK2	47
AHR	19
AHRR	1
AHSA1	37
AHSA2	73
AHSG	0
AHSP	0
AICDA	0
AIDA	3
AIF1	6
AIF1L	4
AIFM1	3
AIFM2	5
AIFM3	3
AIG1	2
AIM1	17
AIM1L	3
AIM2	7
AIMP1	21
AIMP2	1
AIP	3
AIPL1	0
AIRE	1
AIRN	0
AJAP1	11
AJUBA	2
AK1	24
AK2	0
AK3	6
AK4	0
AK5	1
AK6	1
AK7	107
AK8	7
AK9	233
AKAP1	7
AKAP10	18
AKAP11	11
AKAP12	4
AKAP13	106
AKAP14	12
AKAP17A	81
AKAP2	4
AKAP3	6
AKAP4	0
AKAP5	0
AKAP6	23
AKAP7	3
AKAP8	43
AKAP8L	128
AKAP9	285
AKIP1	1
AKIRIN1	4
AKIRIN2	5
AKNA	65
AKNAD1	0
AKR1A1	17
AKR1B1	11
AKR1B10	5
AKR1B15	0
AKR1C1	4
AKR1C2	19
AKR1C3	0
AKR1C4	0
AKR1C6P	0
AKR1C8P	0
AKR1D1	0
AKR1E2	4
AKR7A2	0
AKR7A2P1	0
AKR7A3	0
AKR7L	0
AKT1	15
AKT1S1	3
AKT2	11
AKT3	0
AKTIP	10
ALAD	16
ALAS1	6
ALAS2	0
ALB	0
ALCAM	81
ALDH16A1	14
ALDH18A1	10
ALDH1A1	182
ALDH1A2	5
ALDH1A3	5
ALDH1B1	0
ALDH1L1	20
ALDH1L1_AS1	0
ALDH1L1_AS2	0
ALDH1L2	3
ALDH2	9
ALDH3A1	191
ALDH3A2	10
ALDH3B1	77
ALDH3B2	5
ALDH4A1	1
ALDH5A1	1
ALDH6A1	5
ALDH7A1	3
ALDH8A1	0
ALDH9A1	6
ALDOA	95
ALDOB	0
ALDOC	3
ALG1	3
ALG10	0
ALG10B	0
ALG11	4
ALG12	0
ALG13	13
ALG14	0
ALG1L	0
ALG1L2	0
ALG1L9P	0
ALG2	6
ALG3	3
ALG5	1
ALG6	0
ALG8	1
ALG9	2
ALK	0
ALKBH1	0
ALKBH2	0
ALKBH3	5
ALKBH3_AS1	0
ALKBH4	0
ALKBH5	28
ALKBH6	8
ALKBH7	2
ALKBH8	0
ALLC	0
ALMS1	66
ALMS1_IT1	3
ALMS1P	7
ALOX12	0
ALOX12_AS1	0
ALOX12B	0
ALOX12P2	17
ALOX15	308
ALOX15B	0
ALOX15P1	0
ALOX5	0
ALOX5AP	0
ALOXE3	0
ALPI	0
ALPK1	7
ALPK2	0
ALPK3	12
ALPL	28
ALPP	0
ALPPL2	0
ALS2	8
ALS2CL	61
ALS2CR11	0
ALS2CR12	41
ALX1	0
ALX3	0
ALX4	0
ALYREF	2
AMACR	4
AMBN	0
AMBP	12
AMBRA1	17
AMD1	5
AMDHD1	0
AMDHD2	5
AMELX	0
AMELY	0
AMER1	5
AMER2	0
AMER3	0
AMFR	7
AMH	2
AMHR2	1
AMICA1	2
AMIGO1	0
AMIGO2	0
AMIGO3	2
AMMECR1	1
AMMECR1L	6
AMN	1
AMN1	2
AMOT	14
AMOTL1	4
AMOTL2	10
AMPD1	0
AMPD2	10
AMPD3	24
AMPH	1
AMT	1
AMTN	0
AMY1A	0
AMY1B	0
AMY1C	0
AMY2A	0
AMY2B	0
AMZ1	4
AMZ2	2
AMZ2P1	1
ANAPC1	2
ANAPC10	0
ANAPC11	1
ANAPC13	2
ANAPC15	0
ANAPC16	10
ANAPC1P1	0
ANAPC2	12
ANAPC4	8
ANAPC5	13
ANAPC7	8
ANG	0
ANGEL1	0
ANGEL2	6
ANGPT1	3
ANGPT2	0
ANGPT4	0
ANGPTL1	3
ANGPTL2	2
ANGPTL3	0
ANGPTL4	0
ANGPTL5	0
ANGPTL6	0
ANGPTL7	0
ANHX	0
ANK1	2
ANK2	1
ANK3	85
ANKAR	0
ANKDD1A	5
ANKDD1B	20
ANKEF1	5
ANKFN1	7
ANKFY1	23
ANKH	1
ANKHD1	0
ANKHD1_EIF4EBP3	0
ANKIB1	11
ANKK1	0
ANKLE1	0
ANKLE2	19
ANKMY1	30
ANKMY2	3
ANKRA2	5
ANKRD1	0
ANKRD10	1
ANKRD11	172
ANKRD12	42
ANKRD13A	8
ANKRD13B	1
ANKRD13C	4
ANKRD13D	11
ANKRD16	2
ANKRD17	97
ANKRD18A	20
ANKRD18B	12
ANKRD18DP	0
ANKRD19P	0
ANKRD2	1
ANKRD20A1	0
ANKRD20A11P	0
ANKRD20A12P	0
ANKRD20A19P	1
ANKRD20A2	0
ANKRD20A3	0
ANKRD20A4	3
ANKRD20A5P	6
ANKRD20A8P	2
ANKRD20A9P	1
ANKRD22	0
ANKRD23	21
ANKRD24	0
ANKRD26	41
ANKRD26P1	0
ANKRD26P3	0
ANKRD27	16
ANKRD28	18
ANKRD29	0
ANKRD30A	3
ANKRD30B	0
ANKRD30BL	0
ANKRD30BP2	0
ANKRD30BP3	0
ANKRD31	0
ANKRD33	0
ANKRD33B	2
ANKRD34A	0
ANKRD34B	0
ANKRD34C	0
ANKRD34C_AS1	0
ANKRD35	28
ANKRD36	34
ANKRD36B	14
ANKRD36BP1	0
ANKRD36BP2	0
ANKRD36C	96
ANKRD37	2
ANKRD39	1
ANKRD40	5
ANKRD42	85
ANKRD44	5
ANKRD44_IT1	1
ANKRD45	18
ANKRD46	2
ANKRD49	0
ANKRD50	5
ANKRD52	10
ANKRD53	1
ANKRD54	10
ANKRD55	0
ANKRD6	12
ANKRD60	0
ANKRD61	0
ANKRD62	1
ANKRD62P1_PARP4P3	0
ANKRD63	0
ANKRD65	15
ANKRD66	5
ANKRD7	0
ANKRD9	0
ANKS1A	26
ANKS1B	0
ANKS3	11
ANKS4B	0
ANKS6	10
ANKUB1	20
ANKZF1	50
ANLN	0
ANO1	2
ANO1_AS2	0
ANO10	1
ANO2	1
ANO3	4
ANO4	0
ANO5	7
ANO6	7
ANO7	0
ANO8	2
ANO9	0
ANOS1	2
ANP32A	58
ANP32A_IT1	2
ANP32AP1	0
ANP32B	163
ANP32C	1
ANP32D	0
ANP32E	127
ANPEP	24
ANTXR1	7
ANTXR2	2
ANTXRL	0
ANTXRLP1	0
ANXA1	206
ANXA10	0
ANXA11	31
ANXA13	0
ANXA2	38
ANXA2P1	0
ANXA2P2	0
ANXA2P3	0
ANXA2R	0
ANXA3	12
ANXA4	8
ANXA5	9
ANXA6	5
ANXA7	11
ANXA8	0
ANXA8L1	1
ANXA9	0
AOAH	0
AOAH_IT1	0
AOC1	3
AOC2	2
AOC3	1
AOC4P	0
AOX1	0
AOX2P	0
AP1AR	4
AP1B1	19
AP1B1P1	0
AP1G1	9
AP1G2	9
AP1M1	2
AP1M2	15
AP1S1	5
AP1S2	0
AP1S3	4
AP2A1	27
AP2A2	15
AP2B1	37
AP2M1	18
AP2S1	3
AP3B1	35
AP3B2	0
AP3D1	216
AP3M1	4
AP3M2	4
AP3S1	0
AP3S2	0
AP4B1	5
AP4B1_AS1	0
AP4E1	2
AP4M1	7
AP4S1	3
AP5B1	9
AP5M1	7
AP5S1	2
AP5Z1	5
APAF1	6
APBA1	0
APBA2	0
APBA3	4
APBB1	8
APBB1IP	5
APBB2	4
APBB3	3
APC	13
APC2	80
APCDD1	4
APCDD1L	1
APCDD1L_AS1	2
APCS	0
APEH	19
APELA	0
APEX1	17
APEX2	2
APH1A	5
APH1B	0
API5	13
APIP	0
APITD1	0
APITD1_CORT	0
APLF	0
APLN	2
APLNR	0
APLP1	0
APLP2	210
APMAP	2
APOA1	0
APOA1_AS	0
APOA1BP	1
APOA2	0
APOA4	0
APOA5	0
APOB	0
APOBEC1	0
APOBEC2	0
APOBEC3A	1
APOBEC3A_B	0
APOBEC3B	0
APOBEC3B_AS1	0
APOBEC3C	7
APOBEC3D	6
APOBEC3F	17
APOBEC3G	2
APOBEC3H	0
APOBEC4	11
APOBR	13
APOC1	0
APOC1P1	1
APOC2	0
APOC3	0
APOC4	0
APOC4_APOC2	0
APOD	24
APOE	9
APOF	0
APOH	0
APOL1	179
APOL2	15
APOL3	14
APOL4	7
APOL5	0
APOL6	67
APOLD1	2
APOM	1
APOO	1
APOOL	1
APOOP5	0
APOPT1	5
APP	111
APPBP2	10
APPL1	5
APPL2	14
APRT	5
APTR	3
APTX	3
AQP1	2
AQP10	0
AQP11	0
AQP12A	0
AQP12B	0
AQP2	0
AQP3	135
AQP4	2
AQP4_AS1	1
AQP5	53
AQP6	0
AQP7	4
AQP7P1	0
AQP7P3	0
AQP8	2
AQP9	2
AQR	18
AR	0
ARAF	14
ARAP1	49
ARAP2	21
ARAP3	9
ARC	2
ARCN1	19
AREG	0
AREL1	9
ARF1	25
ARF3	34
ARF4	5
ARF5	7
ARF6	31
ARFGAP1	11
ARFGAP2	18
ARFGAP3	27
ARFGEF1	21
ARFGEF2	13
ARFGEF3	59
ARFIP1	6
ARFIP2	8
ARFRP1	6
ARG1	0
ARG2	1
ARGFX	3
ARGFXP2	0
ARGLU1	381
ARHGAP1	9
ARHGAP10	1
ARHGAP11A	0
ARHGAP11B	0
ARHGAP12	21
ARHGAP15	0
ARHGAP17	2
ARHGAP18	58
ARHGAP19	3
ARHGAP19_SLIT1	0
ARHGAP20	4
ARHGAP21	658
ARHGAP22	0
ARHGAP23	14
ARHGAP24	5
ARHGAP25	11
ARHGAP26	20
ARHGAP26_AS1	0
ARHGAP26_IT1	0
ARHGAP27	25
ARHGAP28	0
ARHGAP29	0
ARHGAP30	27
ARHGAP31	4
ARHGAP31_AS1	0
ARHGAP32	19
ARHGAP33	7
ARHGAP35	11
ARHGAP36	0
ARHGAP39	39
ARHGAP4	5
ARHGAP40	3
ARHGAP42	8
ARHGAP44	61
ARHGAP5	11
ARHGAP5_AS1	1
ARHGAP6	2
ARHGAP8	0
ARHGAP9	5
ARHGDIA	25
ARHGDIB	12
ARHGDIG	0
ARHGEF1	30
ARHGEF10	0
ARHGEF10L	4
ARHGEF11	13
ARHGEF12	30
ARHGEF15	1
ARHGEF16	9
ARHGEF17	8
ARHGEF18	15
ARHGEF19	7
ARHGEF2	20
ARHGEF25	0
ARHGEF26	0
ARHGEF26_AS1	0
ARHGEF28	28
ARHGEF3	5
ARHGEF3_AS1	0
ARHGEF33	3
ARHGEF34P	0
ARHGEF35	0
ARHGEF37	9
ARHGEF38	21
ARHGEF38_IT1	0
ARHGEF39	4
ARHGEF4	5
ARHGEF40	9
ARHGEF5	3
ARHGEF6	11
ARHGEF7	14
ARHGEF7_AS1	0
ARHGEF7_AS2	0
ARHGEF9	8
ARHGEF9_IT1	0
ARID1A	33
ARID1B	51
ARID2	12
ARID3A	2
ARID3B	4
ARID3C	0
ARID4A	27
ARID4B	193
ARID5A	7
ARID5B	15
ARIH1	58
ARIH2	25
ARIH2OS	1
ARL1	12
ARL10	0
ARL11	2
ARL13A	0
ARL13B	18
ARL14	0
ARL14EP	2
ARL14EPL	0
ARL15	0
ARL16	2
ARL17A	0
ARL17B	0
ARL2	1
ARL2_SNX15	0
ARL2BP	0
ARL3	22
ARL4A	3
ARL4C	3
ARL4D	7
ARL5A	50
ARL5B	0
ARL5C	0
ARL6	0
ARL6IP1	8
ARL6IP4	93
ARL6IP5	6
ARL6IP6	1
ARL8A	1
ARL8B	2
ARL9	0
ARMC1	0
ARMC10	1
ARMC12	0
ARMC2	21
ARMC2_AS1	3
ARMC3	48
ARMC4	33
ARMC5	3
ARMC6	2
