	gene_id_NPS_335_R1_
A1BG	0
A1BG_AS1	0
A1CF	0
A2M	0
A2M_AS1	0
A2ML1	34425
A2MP1	0
A3GALT2	0
A4GALT	586
A4GNT	0
AA06	0
AAAS	67
AACS	110
AACSP1	0
AADAC	0
AADACL2	0
AADACL2_AS1	0
AADACL3	0
AADACL4	0
AADACP1	0
AADAT	0
AAED1	0
AAGAB	397
AAK1	1209
AAMDC	315
AAMP	2527
AANAT	0
AAR2	53
AARD	0
AARS	94
AARS2	65
AARSD1	0
AASDH	0
AASDHPPT	15
AASS	19
AATBC	118
AATF	828
AATK	130
AATK_AS1	0
ABALON	104
ABAT	294
ABCA1	1197
ABCA10	45
ABCA11P	25
ABCA12	36
ABCA13	725
ABCA17P	0
ABCA2	0
ABCA3	6
ABCA4	0
ABCA5	699
ABCA6	0
ABCA7	1313
ABCA8	0
ABCA9	0
ABCA9_AS1	0
ABCB1	0
ABCB10	3
ABCB11	39
ABCB4	3
ABCB5	0
ABCB6	0
ABCB7	105
ABCB8	119
ABCB9	278
ABCC1	208
ABCC10	0
ABCC11	0
ABCC12	0
ABCC13	0
ABCC2	0
ABCC3	38
ABCC4	24
ABCC5	23
ABCC5_AS1	0
ABCC6	0
ABCC6P1	0
ABCC6P2	0
ABCC8	0
ABCC9	0
ABCD1	269
ABCD2	0
ABCD3	777
ABCD4	190
ABCE1	4
ABCF1	4234
ABCF2	89
ABCF3	248
ABCG1	536
ABCG2	0
ABCG4	1
ABCG5	0
ABCG8	0
ABHD1	0
ABHD10	0
ABHD11	317
ABHD11_AS1	190
ABHD12	408
ABHD12B	83
ABHD13	374
ABHD14A	0
ABHD14A_ACY1	0
ABHD14B	58
ABHD15	5
ABHD16A	78
ABHD16B	338
ABHD17A	121
ABHD17B	1425
ABHD17C	776
ABHD2	516
ABHD3	715
ABHD4	332
ABHD5	9119
ABHD6	3
ABHD8	204
ABI1	5866
ABI2	20
ABI3	6
ABI3BP	43
ABL1	113
ABL2	39
ABLIM1	23095
ABLIM2	70
ABLIM3	2009
ABO	21
ABR	621
ABRA	0
ABRACL	2083
ABT1	98
ABTB1	107
ABTB2	2695
ACAA1	1098
ACAA2	37
ACACA	585
ACACB	20
ACAD10	2
ACAD11	1
ACAD8	890
ACAD9	166
ACADL	0
ACADM	3297
ACADS	55
ACADSB	0
ACADVL	774
ACAN	3
ACAP1	168
ACAP2	1885
ACAP3	402
ACAT1	43
ACAT2	41
ACBD3	2291
ACBD4	22
ACBD5	252
ACBD6	18
ACBD7	0
ACCS	2
ACCSL	0
ACD	32
ACE	4
ACE2	90
ACER1	0
ACER2	41
ACER3	367
ACHE	642
ACIN1	4260
ACKR1	0
ACKR2	58
ACKR3	26
ACKR4	3
ACLY	245
ACMSD	1
ACO1	1
ACO2	304
ACOT1	123
ACOT11	49
ACOT12	0
ACOT13	225
ACOT2	441
ACOT4	123
ACOT6	0
ACOT7	40
ACOT8	161
ACOT9	234
ACOX1	3916
ACOX2	0
ACOX3	111
ACOXL	11
ACP1	418
ACP2	13
ACP5	10
ACP6	0
ACPP	69
ACPT	0
ACR	47
ACRBP	23
ACRC	64
ACRV1	0
ACSBG1	0
ACSBG2	0
ACSF2	10
ACSF3	1
ACSL1	1430
ACSL3	1341
ACSL4	46
ACSL5	123
ACSL6	0
ACSM1	0
ACSM2A	0
ACSM2B	0
ACSM3	0
ACSM4	0
ACSM5	0
ACSM6	0
ACSS1	0
ACSS2	23
ACSS3	0
ACTA1	0
ACTA2	49
ACTA2_AS1	0
ACTB	140868
ACTBL2	0
ACTC1	14
ACTG1	133993
ACTG1P17	0
ACTG1P20	3
ACTG1P4	0
ACTG2	8
ACTL10	21
ACTL6A	167
ACTL6B	0
ACTL7A	0
ACTL7B	0
ACTL8	0
ACTL9	0
ACTN1	260
ACTN1_AS1	0
ACTN2	85
ACTN3	0
ACTN4	44886
ACTR10	334
ACTR1A	800
ACTR1B	23
ACTR2	6317
ACTR3	5771
ACTR3B	0
ACTR3BP2	0
ACTR3BP5	0
ACTR3C	0
ACTR5	56
ACTR6	50
ACTR8	179
ACTRT1	0
ACTRT2	0
ACTRT3	0
ACVR1	129
ACVR1B	650
ACVR1C	144
ACVR2A	108
ACVR2B	73
ACVR2B_AS1	0
ACVRL1	0
ACY1	0
ACY3	0
ACYP1	2
ACYP2	0
ADA	0
ADAD1	0
ADAD2	48
ADAL	28
ADAM10	2672
ADAM11	6
ADAM12	1
ADAM15	99
ADAM17	590
ADAM18	0
ADAM19	10
ADAM1A	50
ADAM2	0
ADAM20	29
ADAM20P1	61
ADAM21	3
ADAM21P1	0
ADAM22	18
ADAM23	2
ADAM28	53
ADAM29	0
ADAM30	0
ADAM32	24
ADAM33	1
ADAM3A	0
ADAM5	0
ADAM6	0
ADAM7	0
ADAM8	327
ADAM9	6443
ADAMDEC1	0
ADAMTS1	98
ADAMTS10	2
ADAMTS12	1
ADAMTS13	48
ADAMTS14	2
ADAMTS15	0
ADAMTS16	0
ADAMTS17	6
ADAMTS18	0
ADAMTS19	1
ADAMTS19_AS1	0
ADAMTS2	0
ADAMTS20	0
ADAMTS3	1
ADAMTS4	0
ADAMTS5	0
ADAMTS6	17
ADAMTS7	0
ADAMTS7P1	0
ADAMTS8	45
ADAMTS9	6
ADAMTS9_AS1	0
ADAMTS9_AS2	0
ADAMTSL1	9
ADAMTSL2	0
ADAMTSL3	0
ADAMTSL4	1711
ADAMTSL4_AS1	103
ADAMTSL5	29
ADAP1	334
ADAP2	3
ADAR	3910
ADARB1	15
ADARB2	2532
ADARB2_AS1	0
ADAT1	57
ADAT2	112
ADAT3	2
ADCK1	13
ADCK2	228
ADCK3	48
ADCK4	4
ADCK5	53
ADCY1	0
ADCY10	25
ADCY10P1	13
ADCY2	61
ADCY3	0
ADCY4	12
ADCY5	0
ADCY6	72
ADCY7	13
ADCY8	7
ADCY9	3617
ADCYAP1	0
ADCYAP1R1	0
ADD1	1830
ADD2	2
ADD3	597
ADD3_AS1	16
ADGB	13
ADGRA1	4
ADGRA1_AS1	0
ADGRA2	0
ADGRA3	0
ADGRB1	11
ADGRB2	75
ADGRB3	0
ADGRD1	0
ADGRE1	0
ADGRE2	232
ADGRE3	84
ADGRE4P	0
ADGRE5	1086
ADGRF1	6615
ADGRF2	0
ADGRF3	14
ADGRF4	0
ADGRF5	0
ADGRG1	184
ADGRG2	1
ADGRG3	157
ADGRG4	1
ADGRG5	4
ADGRG6	1107
ADGRG7	0
ADGRL1	39
ADGRL2	222
ADGRL3	0
ADGRL3_AS1	0
ADGRL4	0
ADGRV1	2
ADH1A	0
ADH1B	0
ADH1C	76
ADH4	0
ADH5	0
ADH6	0
ADH7	62
ADHFE1	0
ADI1	381
ADIG	0
ADIPOQ	0
ADIPOQ_AS1	0
ADIPOR1	12123
ADIPOR2	4768
ADIRF	1304
ADK	278
ADM	7842
ADM2	11
ADM5	4
ADNP	1144
ADNP_AS1	55
ADNP2	630
ADO	3
ADORA1	2
ADORA2A	53
ADORA2A_AS1	136
ADORA2B	36
ADORA3	0
ADPGK	24
ADPGK_AS1	67
ADPRH	6
ADPRHL1	1
ADPRHL2	41
ADPRM	81
ADRA1A	6
ADRA1B	1
ADRA1D	6
ADRA2A	0
ADRA2B	0
ADRA2C	1
ADRB1	88
ADRB2	139
ADRB3	0
ADRBK1	1898
ADRBK2	6
ADRM1	1440
ADSL	37
ADSS	172
ADSSL1	22
ADTRP	0
AEBP1	0
AEBP2	1472
AEN	189
AES	3887
AFAP1	19
AFAP1_AS1	0
AFAP1L1	0
AFAP1L2	826
AFF1	886
AFF2	35
AFF3	0
AFF4	7975
AFG3L1P	22
AFG3L2	296
AFM	0
AFMID	85
AFP	0
AFTPH	2168
AGA	80
AGAP1	184
AGAP1_IT1	16
AGAP11	134
AGAP2	10
AGAP2_AS1	0
AGAP3	279
AGAP4	80
AGAP5	0
AGAP6	0
AGAP7P	2
AGAP9	2
AGBL1	0
AGBL1_AS1	0
AGBL2	0
AGBL3	9
AGBL4	0
AGBL4_IT1	0
AGBL5	72
AGBL5_AS1	0
AGER	63
AGFG1	1286
AGFG2	6522
AGGF1	321
AGK	54
AGL	35
AGMAT	0
AGMO	0
AGO1	180
AGO2	591
AGO3	88
AGO4	194
AGPAT1	69
AGPAT2	13
AGPAT3	268
AGPAT4	97
AGPAT4_IT1	0
AGPAT5	0
AGPS	64
AGR2	210
AGR3	8
AGRN	2577
AGRP	0
AGT	0
AGTPBP1	361
AGTR1	0
AGTR2	0
AGTRAP	74
AGXT	7
AGXT2	0
AHCTF1	226
AHCTF1P1	0
AHCY	3517
AHCYL1	455
AHCYL2	231
AHDC1	1063
AHI1	118
AHNAK	20624
AHNAK2	4958
AHR	1623
AHRR	97
AHSA1	803
AHSA2	315
AHSG	0
AHSP	0
AICDA	0
AIDA	112
AIF1	166
AIF1L	22515
AIFM1	19
AIFM2	207
AIFM3	0
AIG1	67
AIM1	3698
AIM1L	9548
AIM2	59
AIMP1	392
AIMP2	103
AIP	10
AIPL1	0
AIRE	5
AIRN	132
AJAP1	0
AJUBA	576
AK1	421
AK2	20
AK3	524
AK4	6
AK5	0
AK6	28
AK7	0
AK8	65
AK9	155
AKAP1	48
AKAP10	745
AKAP11	788
AKAP12	0
AKAP13	3355
AKAP14	0
AKAP17A	1069
AKAP2	64
AKAP3	0
AKAP4	0
AKAP5	0
AKAP6	48
AKAP7	0
AKAP8	633
AKAP8L	554
AKAP9	2600
AKIP1	84
AKIRIN1	771
AKIRIN2	1895
AKNA	259
AKNAD1	0
AKR1A1	652
AKR1B1	0
AKR1B10	3
AKR1B15	0
AKR1C1	7
AKR1C2	83
AKR1C3	0
AKR1C4	0
AKR1C6P	0
AKR1C8P	0
AKR1D1	0
AKR1E2	11
AKR7A2	37
AKR7A2P1	0
AKR7A3	0
AKR7L	0
AKT1	438
AKT1S1	1517
AKT2	425
AKT3	14
AKTIP	216
ALAD	96
ALAS1	752
ALAS2	0
ALB	0
ALCAM	882
ALDH16A1	87
ALDH18A1	101
ALDH1A1	221
ALDH1A2	0
ALDH1A3	7082
ALDH1B1	17
ALDH1L1	508
ALDH1L1_AS1	0
ALDH1L1_AS2	0
ALDH1L2	0
ALDH2	54
ALDH3A1	1890
ALDH3A2	321
ALDH3B1	284
ALDH3B2	102
ALDH4A1	20
ALDH5A1	6
ALDH6A1	29
ALDH7A1	51
ALDH8A1	27
ALDH9A1	75
ALDOA	5922
ALDOB	0
ALDOC	54
ALG1	0
ALG10	0
ALG10B	0
ALG11	58
ALG12	125
ALG13	294
ALG14	5
ALG1L	0
ALG1L2	0
ALG1L9P	0
ALG2	264
ALG3	46
ALG5	142
ALG6	0
ALG8	0
ALG9	68
ALK	43
ALKBH1	38
ALKBH2	32
ALKBH3	21
ALKBH3_AS1	0
ALKBH4	19
ALKBH5	307
ALKBH6	252
ALKBH7	0
ALKBH8	0
ALLC	0
ALMS1	152
ALMS1_IT1	0
ALMS1P	0
ALOX12	4872
ALOX12_AS1	0
ALOX12B	94
ALOX12P2	101
ALOX15	215
ALOX15B	9
ALOX15P1	0
ALOX5	184
ALOX5AP	237
ALOXE3	11
ALPI	0
ALPK1	269
ALPK2	0
ALPK3	88
ALPL	223
ALPP	0
ALPPL2	92
ALS2	54
ALS2CL	1436
ALS2CR11	0
ALS2CR12	39
ALX1	0
ALX3	0
ALX4	1
ALYREF	116
AMACR	2
AMBN	0
AMBP	3
AMBRA1	932
AMD1	363
AMDHD1	0
AMDHD2	203
AMELX	0
AMELY	0
AMER1	46
AMER2	0
AMER3	1
AMFR	777
AMH	81
AMHR2	0
AMICA1	410
AMIGO1	0
AMIGO2	0
AMIGO3	39
AMMECR1	140
AMMECR1L	117
AMN	105
AMN1	121
AMOT	0
AMOTL1	209
AMOTL2	6970
AMPD1	0
AMPD2	139
AMPD3	408
AMPH	0
AMT	46
AMTN	87
AMY1A	0
AMY1B	0
AMY1C	0
AMY2A	0
AMY2B	17
AMZ1	1
AMZ2	65
AMZ2P1	2
ANAPC1	28
ANAPC10	14
ANAPC11	433
ANAPC13	48
ANAPC15	0
ANAPC16	251
ANAPC1P1	0
ANAPC2	164
ANAPC4	0
ANAPC5	93
ANAPC7	218
ANG	0
ANGEL1	26
ANGEL2	33
ANGPT1	13
ANGPT2	2
ANGPT4	0
ANGPTL1	0
ANGPTL2	75
ANGPTL3	0
ANGPTL4	1315
ANGPTL5	0
ANGPTL6	0
ANGPTL7	0
ANHX	0
ANK1	1
ANK2	0
ANK3	162
ANKAR	0
ANKDD1A	17
ANKDD1B	0
ANKEF1	5
ANKFN1	0
ANKFY1	643
ANKH	81
ANKHD1	117
ANKHD1_EIF4EBP3	0
ANKIB1	334
ANKK1	0
ANKLE1	0
ANKLE2	1938
ANKMY1	193
ANKMY2	84
ANKRA2	399
ANKRD1	0
ANKRD10	102
ANKRD11	3846
ANKRD12	4656
ANKRD13A	5376
ANKRD13B	0
ANKRD13C	445
ANKRD13D	371
ANKRD16	0
ANKRD17	2507
ANKRD18A	0
ANKRD18B	50
ANKRD18DP	0
ANKRD19P	0
ANKRD2	0
ANKRD20A1	0
ANKRD20A11P	354
ANKRD20A12P	0
ANKRD20A19P	0
ANKRD20A2	0
ANKRD20A3	0
ANKRD20A4	0
ANKRD20A5P	365
ANKRD20A8P	0
ANKRD20A9P	11
ANKRD22	59
ANKRD23	41
ANKRD24	7
ANKRD26	142
ANKRD26P1	0
ANKRD26P3	0
ANKRD27	441
ANKRD28	329
ANKRD29	0
ANKRD30A	0
ANKRD30B	0
ANKRD30BL	0
ANKRD30BP2	0
ANKRD30BP3	0
ANKRD31	15
ANKRD33	0
ANKRD33B	0
ANKRD34A	22
ANKRD34B	0
ANKRD34C	0
ANKRD34C_AS1	0
ANKRD35	76
ANKRD36	781
ANKRD36B	948
ANKRD36BP1	219
ANKRD36BP2	8
ANKRD36C	15572
ANKRD37	189
ANKRD39	2
ANKRD40	383
ANKRD42	512
ANKRD44	34
ANKRD44_IT1	0
ANKRD45	0
ANKRD46	7
ANKRD49	16
ANKRD50	51
ANKRD52	304
ANKRD53	0
ANKRD54	14
ANKRD55	0
ANKRD6	23
ANKRD60	0
ANKRD61	0
ANKRD62	9
ANKRD62P1_PARP4P3	0
ANKRD63	0
ANKRD65	132
ANKRD66	0
ANKRD7	0
ANKRD9	264
ANKS1A	400
ANKS1B	0
ANKS3	11
ANKS4B	34
ANKS6	150
ANKUB1	0
ANKZF1	240
ANLN	44
ANO1	85
ANO1_AS2	0
ANO10	95
ANO2	16
ANO3	4
ANO4	0
ANO5	3
ANO6	179
ANO7	3
ANO8	1355
ANO9	1
ANOS1	0
ANP32A	7751
ANP32A_IT1	58
ANP32AP1	0
ANP32B	3038
ANP32C	30
ANP32D	0
ANP32E	305
ANPEP	390
ANTXR1	0
ANTXR2	85
ANTXRL	0
ANTXRLP1	0
ANXA1	50180
ANXA10	0
ANXA11	23296
ANXA13	0
ANXA2	14417
ANXA2P1	109
ANXA2P2	27
ANXA2P3	0
ANXA2R	0
ANXA3	1207
ANXA4	29
ANXA5	114
ANXA6	67
ANXA7	266
ANXA8	0
ANXA8L1	70
ANXA9	1103
AOAH	22
AOAH_IT1	0
AOC1	23
AOC2	49
AOC3	8
AOC4P	0
AOX1	0
AOX2P	38
AP1AR	207
AP1B1	1184
AP1B1P1	0
AP1G1	2890
AP1G2	141
AP1M1	0
AP1M2	290
AP1S1	368
AP1S2	93
AP1S3	14
AP2A1	385
AP2A2	502
AP2B1	96
AP2M1	1441
AP2S1	242
AP3B1	1459
AP3B2	0
AP3D1	4892
AP3M1	219
AP3M2	15
AP3S1	515
AP3S2	13
AP4B1	222
AP4B1_AS1	36
AP4E1	691
AP4M1	38
AP4S1	41
AP5B1	503
AP5M1	230
AP5S1	20
AP5Z1	457
APAF1	522
APBA1	53
APBA2	0
APBA3	42
APBB1	0
APBB1IP	153
APBB2	91
APBB3	195
APC	717
APC2	81
APCDD1	0
APCDD1L	0
APCDD1L_AS1	0
APCS	0
APEH	103
APELA	8
APEX1	7
APEX2	91
APH1A	224
APH1B	0
API5	202
APIP	0
APITD1	0
APITD1_CORT	0
APLF	36
APLN	0
APLNR	0
APLP1	109
APLP2	5302
APMAP	158
APOA1	0
APOA1_AS	0
APOA1BP	25
APOA2	0
APOA4	0
APOA5	0
APOB	0
APOBEC1	0
APOBEC2	0
APOBEC3A	62
APOBEC3A_B	0
APOBEC3B	174
APOBEC3B_AS1	0
APOBEC3C	175
APOBEC3D	0
APOBEC3F	79
APOBEC3G	0
APOBEC3H	0
APOBEC4	2
APOBR	814
APOC1	5
APOC1P1	0
APOC2	0
APOC3	0
APOC4	0
APOC4_APOC2	0
APOD	0
APOE	59
APOF	0
APOH	0
APOL1	102
APOL2	224
APOL3	56
APOL4	0
APOL5	13
APOL6	1213
APOLD1	213
APOM	0
APOO	19
APOOL	271
APOOP5	0
APOPT1	189
APP	1829
APPBP2	314
APPL1	62
APPL2	135
APRT	0
APTR	130
APTX	85
AQP1	2
AQP10	0
AQP11	4
AQP12A	0
AQP12B	0
AQP2	0
AQP3	1217
AQP4	5
AQP4_AS1	0
AQP5	131
AQP6	0
AQP7	18
AQP7P1	30
AQP7P3	0
AQP8	15
AQP9	740
AQR	828
AR	1
ARAF	229
ARAP1	761
ARAP2	1389
ARAP3	84
ARC	34
ARCN1	626
AREG	1988
AREL1	735
ARF1	3614
ARF3	924
ARF4	2926
ARF5	131
ARF6	29755
ARFGAP1	158
ARFGAP2	482
ARFGAP3	132
ARFGEF1	1066
ARFGEF2	842
ARFGEF3	741
ARFIP1	267
ARFIP2	236
ARFRP1	240
ARG1	0
ARG2	45
ARGFX	23
ARGFXP2	42
ARGLU1	6455
ARHGAP1	627
ARHGAP10	1823
ARHGAP11A	0
ARHGAP11B	0
ARHGAP12	779
ARHGAP15	22
ARHGAP17	1625
ARHGAP18	40
ARHGAP19	1
ARHGAP19_SLIT1	0
ARHGAP20	99
ARHGAP21	1077
ARHGAP22	1
ARHGAP23	317
ARHGAP24	17
ARHGAP25	273
ARHGAP26	671
ARHGAP26_AS1	0
ARHGAP26_IT1	0
ARHGAP27	4638
ARHGAP28	0
ARHGAP29	69
ARHGAP30	2922
ARHGAP31	15
ARHGAP31_AS1	45
ARHGAP32	4161
ARHGAP33	0
ARHGAP35	248
ARHGAP36	0
ARHGAP39	51
ARHGAP4	69
ARHGAP40	1044
ARHGAP42	26
ARHGAP44	1
ARHGAP5	1995
ARHGAP5_AS1	96
ARHGAP6	0
ARHGAP8	0
ARHGAP9	202
ARHGDIA	3559
ARHGDIB	17340
ARHGDIG	0
ARHGEF1	340
ARHGEF10	86
ARHGEF10L	2072
ARHGEF11	966
ARHGEF12	3117
ARHGEF15	0
ARHGEF16	369
ARHGEF17	65
ARHGEF18	1328
ARHGEF19	9
ARHGEF2	6582
ARHGEF25	0
ARHGEF26	917
ARHGEF26_AS1	1
ARHGEF28	175
ARHGEF3	172
ARHGEF3_AS1	0
ARHGEF33	0
ARHGEF34P	45
ARHGEF35	123
ARHGEF37	361
ARHGEF38	143
ARHGEF38_IT1	0
ARHGEF39	18
ARHGEF4	75
ARHGEF40	307
ARHGEF5	150
ARHGEF6	24
ARHGEF7	664
ARHGEF7_AS1	0
ARHGEF7_AS2	0
ARHGEF9	117
ARHGEF9_IT1	0
ARID1A	3328
ARID1B	1089
ARID2	648
ARID3A	1369
ARID3B	292
ARID3C	0
ARID4A	1311
ARID4B	1932
ARID5A	178
ARID5B	7438
ARIH1	2141
ARIH2	617
ARIH2OS	14
ARL1	398
ARL10	0
ARL11	1
ARL13A	5
ARL13B	12
ARL14	54
ARL14EP	71
ARL14EPL	0
ARL15	55
ARL16	348
ARL17A	8
ARL17B	0
ARL2	12
ARL2_SNX15	1
ARL2BP	0
ARL3	303
ARL4A	442
ARL4C	4628
ARL4D	272
ARL5A	150
ARL5B	313
ARL5C	21
ARL6	0
ARL6IP1	1819
ARL6IP4	1800
