	gene_id_FLU_45_
FAM184B	78
FAM185A	273
FAM186A	0
FAM186B	17
FAM187B	0
FAM188A	460
FAM188B	0
FAM189A1	1
FAM189A2	0
FAM189B	31
FAM192A	665
FAM193A	934
FAM193B	661
FAM195A	28
FAM195B	63
FAM196A	2
FAM196B	459
FAM197Y2	0
FAM197Y5	0
FAM198A	0
FAM198B	599
FAM199X	468
FAM19A1	8
FAM19A2	16
FAM19A3	0
FAM19A4	0
FAM19A5	0
FAM200A	46
FAM200B	242
FAM201A	4
FAM204A	319
FAM205A	1
FAM205BP	0
FAM205C	0
FAM206A	95
FAM207A	42
FAM208A	2372
FAM208B	1353
FAM209A	11
FAM209B	9
FAM20A	175
FAM20B	644
FAM20C	77
FAM210A	101
FAM210B	1215
FAM212A	5
FAM212B	1295
FAM212B_AS1	0
FAM213A	10
FAM213B	29
FAM214A	868
FAM214B	394
FAM215A	0
FAM216A	65
FAM216B	0
FAM217A	2
FAM217B	430
FAM218A	7
FAM219A	151
FAM219B	351
FAM21A	584
FAM21C	889
FAM21EP	4
FAM220A	103
FAM221A	20
FAM221B	0
FAM222A	0
FAM222A_AS1	0
FAM222B	87
FAM223A	0
FAM223B	0
FAM224A	0
FAM224B	0
FAM225A	3
FAM225B	0
FAM226A	0
FAM226B	0
FAM227A	3
FAM227B	55
FAM228A	4
FAM228B	311
FAM229A	9
FAM229B	6
FAM230B	0
FAM230C	0
FAM231A	0
FAM231B	0
FAM231C	0
FAM231D	0
FAM24A	0
FAM24B	14
FAM24B_CUZD1	0
FAM25A	0
FAM25BP	0
FAM25C	0
FAM25G	0
FAM26D	0
FAM26E	9
FAM26F	73
FAM27B	0
FAM27C	0
FAM27E2	0
FAM27E3	5
FAM27L	0
FAM32A	499
FAM35A	313
FAM35BP	0
FAM35DP	2
FAM3A	104
FAM3B	3
FAM3C	124
FAM3D	0
FAM41AY1	0
FAM41AY2	0
FAM41C	0
FAM43A	61
FAM43B	0
FAM45A	448
FAM45B	5
FAM46A	490
FAM46B	1
FAM46C	7063
FAM46D	0
FAM47A	0
FAM47B	0
FAM47C	0
FAM47E	2
FAM47E_STBD1	0
FAM49A	1189
FAM49B	2339
FAM50A	191
FAM50B	25
FAM53A	4
FAM53B	1252
FAM53B_AS1	57
FAM53C	825
FAM57A	11
FAM57B	0
FAM58A	84
FAM60A	326
FAM63A	975
FAM63B	313
FAM64A	0
FAM65A	707
FAM65B	13154
FAM65C	121
FAM66A	0
FAM66B	5
FAM66C	14
FAM66D	5
FAM66E	0
FAM69A	181
FAM69B	27
FAM69C	0
FAM71A	1
FAM71B	0
FAM71C	0
FAM71D	2
FAM71E1	0
FAM71E2	0
FAM71F1	1
FAM71F2	72
FAM72A	8
FAM72B	5
FAM72C	0
FAM72D	3
FAM73A	300
FAM73B	168
FAM74A1	0
FAM74A3	0
FAM74A4	0
FAM74A6	0
FAM74A7	0
FAM76A	150
FAM76B	467
FAM78A	624
FAM78B	0
FAM81A	3
FAM81B	14
FAM83A	0
FAM83A_AS1	0
FAM83B	0
FAM83C	0
FAM83C_AS1	0
FAM83D	19
FAM83E	0
FAM83F	0
FAM83G	20
FAM83H	12
FAM83H_AS1	0
FAM84A	1
FAM84B	109
FAM86B1	5
FAM86B2	1
FAM86B3P	182
FAM86C1	11
FAM86C2P	1
FAM86DP	19
FAM86EP	8
FAM86FP	22
FAM86HP	6
FAM86JP	0
FAM87A	0
FAM87B	20
FAM89A	10
FAM89B	110
FAM8A1	943
FAM90A1	9
FAM90A10P	0
FAM90A25P	2
FAM90A27P	0
FAM90A2P	0
FAM90A7P	0
FAM91A1	1094
FAM92A1	72
FAM92A1P2	0
FAM92B	0
FAM95A	0
FAM95B1	4
FAM95C	15
FAM96A	188
FAM96B	65
FAM98A	102
FAM98B	254
FAM98C	85
FAM99A	0
FAM99B	0
FAM9A	0
FAM9B	0
FAM9C	0
FAN1	354
FANCA	175
FANCB	97
FANCC	63
FANCD2	243
FANCD2OS	1
FANCE	51
FANCF	92
FANCG	42
FANCI	196
FANCL	346
FANCM	212
FANK1	7
FANK1_AS1	0
FAP	0
FAR1	1160
FAR2	500
FAR2P1	0
FAR2P2	0
FARP1	75
FARP2	171
FARS2	158
FARSA	117
FARSB	234
FAS	766
FAS_AS1	28
FASLG	21
FASN	226
FASTK	102
FASTKD1	221
FASTKD2	278
FASTKD3	74
FASTKD5	268
FAT1	72
FAT2	54
FAT3	0
FAT4	9
FATE1	0
FAU	1622
FAXC	0
FAXDC2	299
FBF1	70
FBL	314
FBLIM1	3
FBLL1	0
FBLN1	0
FBLN2	16
FBLN5	25
FBLN7	19
FBN1	12
FBN2	201
FBN3	0
FBP1	74
FBP2	0
FBRS	521
FBRSL1	187
FBXL12	62
FBXL13	320
FBXL14	62
FBXL15	55
FBXL16	35
FBXL17	247
FBXL18	135
FBXL19	76
FBXL19_AS1	8
FBXL2	64
FBXL20	960
FBXL21	0
FBXL22	11
FBXL3	859
FBXL4	528
FBXL5	4257
FBXL6	41
FBXL7	0
FBXL8	24
FBXO10	38
FBXO11	1331
FBXO15	5
FBXO16	0
FBXO17	3
FBXO18	644
FBXO2	1
FBXO21	300
FBXO22	138
FBXO22_AS1	0
FBXO24	3
FBXO25	118
FBXO27	0
FBXO28	289
FBXO3	291
FBXO3_AS1	0
FBXO30	388
FBXO31	129
FBXO32	224
FBXO33	492
FBXO34	400
FBXO36	16
FBXO38	1088
FBXO39	14
FBXO4	74
FBXO40	42
FBXO41	108
FBXO42	449
FBXO43	8
FBXO44	97
FBXO45	98
FBXO46	89
FBXO47	4
FBXO48	51
FBXO5	45
FBXO6	67
FBXO7	7249
FBXO8	148
FBXO9	828
FBXW10	0
FBXW11	612
FBXW12	0
FBXW2	917
FBXW4	238
FBXW4P1	33
FBXW5	656
FBXW7	1905
FBXW8	115
FBXW9	9
FCAMR	0
FCAR	826
FCER1A	80
FCER1G	911
FCER2	65
FCF1	184
FCGBP	55
FCGR1A	318
FCGR1B	236
FCGR1C	118
FCGR2A	5446
FCGR2B	111
FCGR2C	553
FCGR3A	1944
FCGR3B	9184
FCGRT	1521
FCHO1	671
FCHO2	2654
FCHSD1	410
FCHSD2	1613
FCMR	385
FCN1	3487
FCN2	0
FCN3	0
FCRL1	512
FCRL2	157
FCRL3	252
FCRL4	1
FCRL5	246
FCRL6	85
FCRLA	62
FCRLB	4
FDCSP	0
FDFT1	664
FDPS	188
FDPSP2	29
FDX1	134
FDX1L	11
FDXACB1	33
FDXR	20
FECH	664
FEM1A	266
FEM1B	717
FEM1C	596
FEN1	86
FENDRR	0
FER	317
FER1L4	5
FER1L5	0
FER1L6	3
FER1L6_AS1	0
FER1L6_AS2	0
FERD3L	0
FERMT1	4
FERMT2	7
FERMT3	1223
FES	1048
FETUB	0
FEV	0
FEZ1	9
FEZ2	308
FEZF1	0
FEZF1_AS1	0
FEZF2	0
FFAR1	1
FFAR2	1465
FFAR3	10
FFAR4	0
FGA	0
FGB	0
FGD1	19
FGD2	595
FGD3	2751
FGD4	1162
FGD5	1
FGD5_AS1	1062
FGD5P1	1
FGD6	279
FGF1	0
FGF10	0
FGF10_AS1	0
FGF11	7
FGF12	0
FGF12_AS1	0
FGF13	26
FGF13_AS1	1
FGF14	0
FGF14_AS1	0
FGF14_AS2	2
FGF14_IT1	0
FGF16	1
FGF17	0
FGF18	0
FGF19	0
FGF2	5
FGF20	0
FGF21	0
FGF22	0
FGF23	0
FGF3	0
FGF4	0
FGF5	0
FGF6	1
FGF7	1
FGF8	8
FGF9	20
FGFBP1	0
FGFBP2	102
FGFBP3	6
FGFR1	44
FGFR1OP	422
FGFR1OP2	1178
FGFR2	10
FGFR3	0
FGFR4	0
FGFRL1	52
FGG	0
FGGY	230
FGL1	1
FGL2	3287
FGR	4097
FH	121
FHAD1	4
FHDC1	105
FHIT	21
FHL1	204
FHL2	27
FHL3	211
FHL5	0
FHOD1	487
FHOD3	16
FIBCD1	0
FIBIN	0
FIBP	160
FICD	59
FIG4	409
FIGF	0
FIGLA	0
FIGN	0
FIGNL1	118
FIGNL2	9
FILIP1	2
FILIP1L	24
FIP1L1	743
FIRRE	27
FIS1	266
FITM1	6
FITM2	10
FIZ1	16
FJX1	0
FKBP10	0
FKBP11	124
FKBP14	62
FKBP15	1837
FKBP1A	513
FKBP1A_SDCBP2	0
FKBP1AP1	68
FKBP1B	44
FKBP2	66
FKBP3	513
FKBP4	160
FKBP5	1699
FKBP6	0
FKBP7	3
FKBP8	4024
FKBP9	38
FKBP9P1	0
FKBPL	41
FKRP	71
FKSG29	50
FKTN	146
FLAD1	114
FLCN	567
FLG	0
FLG_AS1	0
FLG2	1
FLI1	1922
FLII	2368
FLJ10038	203
FLJ12825	3
FLJ13224	18
FLJ16171	0
FLJ16779	0
FLJ20021	10
FLJ21408	5
FLJ22447	7
FLJ22763	0
FLJ23867	35
FLJ25758	0
FLJ26245	0
FLJ26850	0
FLJ27354	27
FLJ30679	0
FLJ31104	2
FLJ31356	21
FLJ31662	0
FLJ32255	343
FLJ33360	5
FLJ33534	0
FLJ33581	0
FLJ34503	0
FLJ35934	0
FLJ36000	0
FLJ36777	0
FLJ37035	0
FLJ37201	13
FLJ37453	99
FLJ37505	0
FLJ38122	4
FLJ38576	2
FLJ40194	2
FLJ40288	0
FLJ41200	0
FLJ41278	0
FLJ41941	0
FLJ42102	0
FLJ42351	12
FLJ42393	21
FLJ42627	14
FLJ42969	0
FLJ43315	1
FLJ43879	0
FLJ44635	80
FLJ45079	8
FLJ45513	40
FLJ46066	0
FLJ46284	0
FLJ46906	2
FLNA	17758
FLNB	514
FLNC	1
FLOT1	1073
FLOT2	2390
FLRT1	4
FLRT2	0
FLRT3	0
FLT1	20
FLT3	176
FLT3LG	90
FLT4	40
FLVCR1	300
FLVCR1_AS1	9
FLVCR2	99
FLYWCH1	147
FLYWCH2	34
FMN1	387
FMN2	0
FMNL1	6267
FMNL2	88
FMNL3	277
FMO1	0
FMO2	0
FMO3	0
FMO4	20
FMO5	134
FMO6P	0
FMO9P	0
FMOD	4
FMR1	777
FMR1_AS1	1
FMR1NB	0
FN1	72
FN3K	15
FN3KRP	97
FNBP1	2565
FNBP1L	79
FNBP4	1013
FNDC1	0
FNDC3A	1085
FNDC3B	2356
FNDC4	0
FNDC5	22
FNDC7	3
FNDC8	10
FNDC9	99
FNIP1	2322
FNIP2	211
FNTA	574
FNTB	4
FOCAD	413
FOCAD_AS1	1
FOLH1	0
FOLH1B	0
FOLR1	2
FOLR2	21
FOLR3	44
FOPNL	283
FOS	4004
FOSB	72
FOSL1	9
FOSL2	1431
FOXA1	0
FOXA2	0
FOXA3	0
FOXB1	0
FOXB2	0
FOXC1	7
FOXC2	0
FOXC2_AS1	0
FOXCUT	0
FOXD1	0
FOXD2	4
FOXD2_AS1	13
FOXD3	0
FOXD3_AS1	0
FOXD4	0
FOXD4L1	1
FOXD4L3	0
FOXD4L4	0
FOXD4L5	0
FOXD4L6	0
FOXE1	2
FOXE3	0
FOXF1	0
FOXF2	0
FOXG1	0
FOXG1_AS1	0
FOXH1	2
FOXI1	5
FOXI2	0
FOXI3	0
FOXJ1	1
FOXJ2	515
FOXJ3	962
FOXK1	501
FOXK2	299
FOXL1	0
FOXL2	0
FOXL2NB	0
FOXM1	48
FOXN1	0
FOXN2	1230
FOXN3	1991
FOXN3_AS1	9
FOXN3_AS2	32
FOXN4	0
FOXO1	906
FOXO3	3089
FOXO3B	41
FOXO4	449
FOXO6	0
FOXP1	1525
FOXP1_AS1	42
FOXP2	0
FOXP3	36
FOXP4	37
FOXP4_AS1	4
FOXQ1	0
FOXR1	0
FOXR2	0
FOXRED1	51
FOXRED2	11
FOXS1	0
FPGS	90
FPGT	143
FPGT_TNNI3K	0
FPR1	3039
FPR2	1036
FPR3	9
FRA10AC1	259
FRAS1	0
FRAT1	554
FRAT2	1329
FREM1	0
FREM2	0
FREM3	2
FRG1	174
FRG1BP	93
FRG1CP	201
FRG1DP	18
FRG1HP	164
FRG1JP	10
FRG2	0
FRG2B	0
FRG2C	0
FRG2DP	0
FRG2EP	0
FRK	0
FRMD1	0
FRMD3	127
FRMD4A	221
FRMD4B	417
FRMD5	30
FRMD6	5
FRMD6_AS1	3
FRMD6_AS2	0
FRMD7	7
FRMD8	470
FRMD8P1	1
FRMPD1	0
FRMPD2	0
FRMPD2B	0
FRMPD3	18
FRMPD3_AS1	0
FRMPD4	2
FRRS1	47
FRRS1L	0
FRS2	335
FRS3	16
FRY	2924
FRY_AS1	30
FRYL	2646
FRZB	0
FSBP	0
FSCB	0
FSCN1	14
FSCN2	16
FSCN3	19
FSD1	0
FSD1L	94
FSD2	13
FSHB	0
FSHR	0
FSIP1	9
FSIP2	30
FST	0
FSTL1	51
FSTL3	24
FSTL4	2
FSTL5	0
FTCD	1
FTCDNL1	13
FTH1	22503
FTH1P18	0
FTH1P3	18
FTHL17	0
FTL	24456
FTLP10	0
FTMT	0
FTO	321
FTO_IT1	22
FTSJ1	139
FTSJ2	84
FTSJ3	215
FTX	233
FUBP1	1089
FUBP3	205
FUCA1	88
FUCA2	173
FUK	76
FUNDC1	63
FUNDC2	170
FUNDC2P2	0
FUOM	45
FURIN	1470
FUS	754
FUT1	0
FUT10	43
FUT11	98
FUT2	6
FUT3	0
FUT4	185
FUT5	0
FUT6	1
FUT7	117
FUT8	381
FUT8_AS1	5
FUT9	0
FUZ	97
FXN	78
FXR1	1338
FXR2	206
FXYD1	6
FXYD2	1
FXYD3	1
FXYD4	0
FXYD5	403
FXYD6	11
FXYD6_FXYD2	0
FXYD7	2
FYB	8755
FYCO1	776
FYN	1473
FYTTD1	431
FZD1	85
FZD10	0
FZD10_AS1	0
FZD2	37
FZD3	53
FZD4	2
FZD5	55
FZD6	21
FZD7	0
FZD8	5
FZD9	0
FZR1	396
G0S2	352
G2E3	349
G3BP1	966
G3BP2	1208
G6PC	0
G6PC2	0
G6PC3	42
G6PD	727
GAA	457
GAB1	476
GAB2	1571
GAB3	666
GAB4	0
GABARAP	1135
GABARAPL1	394
GABARAPL2	755
GABARAPL3	0
GABBR1	425
GABBR2	0
GABPA	524
GABPB1	291
GABPB1_AS1	137
GABPB2	200
GABRA1	0
GABRA2	0
GABRA3	0
GABRA4	0
GABRA5	0
GABRA6	0
GABRB1	3
GABRB2	0
GABRB3	0
GABRD	1
GABRE	1
GABRG1	0
GABRG2	0
GABRG3	0
GABRG3_AS1	0
GABRP	0
GABRQ	0
GABRR1	0
GABRR2	82
GABRR3	0
GACAT1	0
GACAT2	0
GACAT3	0
GAD1	1
GAD2	0
GADD45A	45
GADD45B	261
GADD45G	13
GADD45GIP1	81
GADL1	1
GAGE1	0
GAGE10	1
GAGE12B	0
GAGE12C	0
GAGE12D	0
GAGE12E	0
GAGE12F	0
GAGE12G	0
GAGE12H	0
GAGE12I	0
GAGE12J	0
GAGE13	0
GAGE2A	0
GAGE2B	0
GAGE2C	0
GAGE2D	0
GAGE2E	0
GAGE4	0
GAGE5	0
GAGE6	0
GAGE7	0
GAGE8	0
GAK	1174
GAL	0
GAL3ST1	0
GAL3ST2	0
GAL3ST3	0
GAL3ST4	31
GALC	358
GALE	50
GALK1	73
GALK2	284
GALM	180
GALNS	289
GALNT1	718
GALNT10	675
GALNT11	349
GALNT12	38
GALNT13	0
GALNT14	55
GALNT15	0
GALNT16	0
GALNT18	0
GALNT2	290
GALNT3	241
GALNT4	8
GALNT5	19
GALNT6	116
GALNT7	488
GALNT8	0
GALNT9	3
GALNTL5	0
GALNTL6	0
GALP	0
GALR1	0
GALR2	6
GALR3	0
GALT	194
GAMT	23
GAN	131
GANAB	865
GANC	567
GAP43	0
GAPDH	6112
GAPDHS	15
GAPLINC	0
GAPT	312
GAPVD1	1755
GAR1	20
GAREM	6
GAREML	5
GARNL3	39
GARS	546
GART	358
GAS1	1
GAS2	2
GAS2L1	52
GAS2L1P2	0
GAS2L2	3
GAS2L3	115
GAS5	457
GAS5_AS1	17
GAS6	62
GAS6_AS1	11
GAS6_AS2	0
GAS7	2184
GAS8	23
GAS8_AS1	2
GAST	0
GATA1	73
GATA2	47
GATA2_AS1	2
GATA3	117
GATA3_AS1	0
GATA4	0
GATA5	0
GATA6	0
GATA6_AS1	0
GATAD1	247
GATAD2A	1210
GATAD2B	926
GATB	91
GATC	368
GATM	10
GATS	121
GATSL2	107
GATSL3	20
GBA	157
GBA2	584
GBA3	0
GBAP1	27
GBAS	254
GBAT2	2
GBE1	191
GBF1	978
GBGT1	199
GBP1	1224
GBP1P1	3
GBP2	4570
GBP3	338
GBP4	665
GBP5	4381
GBP6	38
GBP7	8
GBX1	1
GBX2	0
GC	0
GCA	1877
GCAT	33
GCC1	411
GCC2	2004
GCDH	87
GCFC2	276
GCG	0
GCGR	0
GCH1	206
GCHFR	39
GCK	3
GCKR	0
GCLC	497
GCLM	250
GCM1	45
GCM2	0
GCN1	978
GCNT1	188
GCNT2	184
GCNT3	3
GCNT4	68
GCNT7	97
GCOM1	1
GCSAM	115
GCSAML	12
GCSAML_AS1	0
GCSH	9
GCSHP3	32
GDA	0
GDAP1	72
GDAP1L1	11
GDAP2	860
GDE1	450
GDF1	0
GDF10	0
GDF11	75
GDF15	38
GDF2	0
GDF3	0
GDF5	0
GDF6	0
GDF7	5
GDF9	7
GDI1	642
GDI2	1893
GDNF	0
GDNF_AS1	0
GDPD1	30
GDPD2	0
GDPD3	116
GDPD4	1
GDPD5	93
GDPGP1	10
GEM	2
GEMIN2	26
GEMIN4	83
GEMIN5	171
GEMIN6	36
GEMIN7	57
GEMIN8	68
GEMIN8P4	4
GEN1	180
GET4	258
GFAP	0
GFER	56
GFI1	62
GFI1B	137
GFM1	380
GFM2	324
GFOD1	73
GFOD2	199
GFPT1	441
GFPT2	3
GFRA1	0
GFRA2	6
GFRA3	0
GFRA4	0
GFRAL	0
GFY	0
GGA1	332
GGA2	695
GGA3	676
GGACT	46
GGCT	84
GGCX	203
GGH	15
GGN	5
GGNBP1	0
GGNBP2	1026
GGPS1	222
GGT1	91
GGT3P	0
GGT5	3
GGT6	1
GGT7	52
GGT8P	8
GGTA1P	74
GGTLC1	0
GGTLC2	0
GH1	1
GH2	0
GHDC	110
GHET1	0
GHITM	894
GHR	0
GHRH	2
GHRHR	0
GHRL	71
GHRLOS	109
GHSR	3
GID4	130
GID8	693
GIF	17
GIGYF1	711
GIGYF2	1333
GIMAP1	309
GIMAP1_GIMAP5	0
GIMAP2	568
GIMAP4	1677
GIMAP5	0
GIMAP6	816
GIMAP7	617
GIMAP8	685
GIMD1	0
GIN1	121
GINM1	248
GINS1	29
GINS2	29
GINS3	11
GINS4	16
GIP	0
GIPC1	24
GIPC2	2
GIPC3	22
GIPR	15
GIT1	273
GIT2	2647
GJA1	0
GJA10	0
GJA3	9
GJA4	6
GJA5	0
GJA8	0
GJA9	0
GJA9_MYCBP	1
GJB1	0
GJB2	0
GJB3	2
GJB4	0
GJB5	1
GJB6	3
GJB7	27
GJC1	0
GJC2	11
GJC3	0
GJD2	0
GJD3	2
GJD4	0
GK	1614
GK2	0
GK3P	109
GK5	337
GKAP1	259
GKN1	0
GKN2	0
GLA	114
GLB1	473
GLB1L	56
GLB1L2	7
GLB1L3	4
GLCCI1	375
GLCE	116
GLDC	87
GLDN	2
GLE1	534
GLG1	2339
GLI1	143
GLI2	0
GLI3	0
GLI4	56
GLIDR	3
GLIPR1	1133
GLIPR1L1	8
GLIPR1L2	1
GLIPR2	1068
GLIS1	0
GLIS2	11
GLIS2_AS1	0
GLIS3	4
GLIS3_AS1	0
GLMN	106
GLMP	25
GLO1	248
GLOD4	220
GLOD5	3
GLP1R	0
GLP2R	3
GLRA1	3
GLRA2	1
GLRA3	0
GLRA4	0
GLRB	0
GLRX	497
GLRX2	39
GLRX3	215
GLRX5	400
GLS	1818
GLS2	41
GLT1D1	2166
GLT6D1	0
GLT8D1	213
GLT8D2	10
GLTP	280
GLTPD2	10
GLTSCR1	64
GLTSCR1L	1121
GLTSCR2	1513
GLUD1	779
GLUD1P3	23
GLUD1P7	0
GLUD2	0
GLUL	8559
GLYAT	0
GLYATL1	5
GLYATL2	2
GLYATL3	0
GLYCAM1	0
GLYCTK	104
GLYCTK_AS1	16
GLYR1	749
GM140	0
GM2A	316
GMCL1	313
GMCL1P1	0
GMDS	109
GMDS_AS1	62
GMEB1	262
GMEB2	246
GMFB	272
GMFG	1643
GMIP	3324
GML	0
GMNC	0
GMNN	46
GMPPA	72
GMPPB	71
GMPR	254
GMPR2	669
GMPS	634
GNA11	27
GNA12	176
GNA13	2802
GNA14	1
GNA14_AS1	0
GNA15	110
GNAI1	5
GNAI2	3856
GNAI3	1355
GNAL	82
GNAO1	28
GNAQ	2061
GNAS	6108
GNAS_AS1	3
GNAT1	0
GNAT2	136
GNAT3	0
GNAZ	179
GNB1	2851
GNB1L	11
GNB2	2139
GNB2L1	4370
GNB3	4
GNB4	775
GNB5	179
GNE	323
GNG10	20
GNG11	497
GNG12	0
GNG12_AS1	32
GNG13	0
GNG2	1046
GNG3	8
GNG4	0
GNG5	300
GNG7	108
GNG8	2
GNGT1	0
GNGT2	32
GNL1	251
GNL2	302
GNL3	345
GNL3L	984
GNLY	406
GNMT	21
GNPAT	415
GNPDA1	118
GNPDA2	115
GNPNAT1	205
GNPTAB	953
GNPTG	252
GNRH1	78
GNRH2	4
GNRHR	34
GNRHR2	5
GNS	2223
GOLGA1	628
GOLGA2	442
GOLGA2P10	1
GOLGA2P2Y	0
GOLGA2P3Y	0
GOLGA2P5	66
GOLGA2P6	3
GOLGA2P7	0
GOLGA2P9	0
GOLGA3	1035
GOLGA4	2060
GOLGA5	374
GOLGA6A	1
GOLGA6B	0
GOLGA6C	3
GOLGA6D	0
GOLGA6L1	0
GOLGA6L10	1
GOLGA6L17P	0
GOLGA6L2	0
GOLGA6L22	0
GOLGA6L3	0
GOLGA6L4	1
GOLGA6L5P	4
GOLGA6L6	0
GOLGA6L7P	0
GOLGA6L9	32
GOLGA7	379
GOLGA7B	23
GOLGA8A	366
GOLGA8B	315
GOLGA8CP	0
GOLGA8DP	0
GOLGA8EP	0
GOLGA8F	0
GOLGA8G	0
GOLGA8H	0
GOLGA8IP	0
GOLGA8J	1
GOLGA8K	0
GOLGA8M	0
GOLGA8N	30
GOLGA8O	5
GOLGA8R	15
GOLGA8S	1
GOLGA8T	0
GOLGB1	2599
GOLIM4	243
GOLM1	78
GOLPH3	668
GOLPH3L	229
GOLT1A	0
GOLT1B	270
GON4L	1580
GOPC	424
GORAB	112
GORASP1	232
GORASP2	133
GOSR1	477
GOSR2	409
GOT1	57
GOT1L1	0
GOT2	176
GP1BA	108
GP1BB	0
GP2	0
GP5	19
GP6	58
GP9	58
GPA33	35
GPAA1	109
GPALPP1	223
GPAM	71
GPANK1	187
GPAT2	14
GPAT3	293
GPAT4	532
GPATCH1	321
GPATCH11	263
GPATCH2	244
GPATCH2L	1272
GPATCH3	67
GPATCH4	99
GPATCH8	866
GPBAR1	31
GPBP1	2229
GPBP1L1	1856
GPC1	14
GPC2	11
GPC3	0
GPC4	4
GPC5	1
GPC5_AS1	0
GPC5_AS2	0
GPC6	0
GPC6_AS1	0
GPC6_AS2	0
GPCPD1	3685
GPD1	4
GPD1L	239
GPD2	308
GPER1	26
GPHA2	0
GPHB5	0
GPHN	93
GPI	443
GPIHBP1	0
GPKOW	154
GPLD1	65
GPM6A	2
GPM6B	88
GPN1	205
GPN2	86
GPN3	120
GPNMB	2
GPR1	1
GPR1_AS	2
GPR101	0
GPR107	738
GPR108	317
GPR119	0
GPR12	0
GPR132	250
GPR135	10
GPR137	53
GPR137B	97
GPR137C	8
GPR139	0
GPR141	80
GPR142	0
GPR143	14
GPR146	93
GPR148	0
GPR149	0
GPR15	46
GPR150	3
GPR151	0
GPR152	12
GPR153	7
GPR155	852
GPR156	0
GPR157	12
GPR158	0
GPR158_AS1	0
GPR160	192
GPR161	10
GPR162	73
GPR17	4
GPR171	236
GPR173	2
GPR174	213
GPR176	0
GPR179	4
GPR18	156
GPR180	100
GPR182	3
GPR183	605
GPR19	5
GPR20	0
GPR21	16
GPR22	81
GPR25	3
GPR26	0
GPR27	38
GPR3	26
GPR31	0
GPR32	0
GPR33	0
GPR34	51
GPR35	28
GPR37	0
GPR37L1	6
GPR39	0
GPR4	0
GPR45	1
GPR50	0
GPR52	52
GPR55	42
GPR6	0
GPR61	7
GPR62	2
GPR63	12
GPR65	540
GPR68	176
GPR75	37
GPR75_ASB3	0
GPR78	0
GPR82	69
GPR83	9
GPR84	6
GPR85	0
GPR87	5
GPR88	2
GPR89A	60
GPR89B	76
GPRASP1	178
GPRASP2	0
GPRC5A	3
GPRC5B	7
GPRC5C	0
GPRC5D	12
GPRC6A	0
GPRIN1	7
GPRIN2	0
GPRIN3	1141
GPS1	235
GPS2	253
GPSM1	26
GPSM2	248
GPSM3	717
GPT	1
GPT2	9
GPX1	1030
GPX2	64
GPX3	94
GPX4	332
GPX5	0
GPX6	0
GPX7	31
GPX8	0
GRAMD1A	916
GRAMD1B	150
GRAMD1C	94
GRAMD2	1
GRAMD3	36
GRAMD4	296
GRAP	94
GRAP2	897
GRAPL	0
GRASP	60
GRB10	194
GRB14	5
GRB2	2798
GRB7	0
GREB1	11
GREB1L	53
GREM1	0
GREM2	7
GRHL1	14
GRHL2	10
GRHL3	0
GRHPR	231
GRIA1	0
GRIA2	0
GRIA3	1
GRIA4	0
GRID1	0
GRID1_AS1	0
GRID2	0
GRID2IP	9
GRIFIN	0
GRIK1	61
GRIK1_AS1	0
GRIK1_AS2	18
GRIK2	0
GRIK3	0
GRIK4	4
GRIK5	0
GRIN1	1
GRIN2A	0
GRIN2B	0
GRIN2C	19
GRIN2D	7
GRIN3A	58
GRIN3B	13
GRINA	650
GRIP1	62
GRIP2	72
GRIPAP1	676
GRK1	0
GRK4	9
GRK5	229
GRK6	1738
GRK7	4
GRM1	0
GRM2	11
GRM3	2
GRM4	2
GRM5	0
GRM5_AS1	0
GRM6	0
GRM7	4
GRM7_AS1	0
GRM7_AS2	0
GRM7_AS3	0
GRM8	0
GRN	2171
GRP	0
GRPEL1	118
GRPEL2	158
GRPR	2
GRSF1	483
GRTP1	22
GRTP1_AS1	0
GRWD1	69
GRXCR1	0
GRXCR2	0
GS1_124K5.11	211
GS1_24F4.2	0
GS1_259H13.2	3
GS1_279B7.1	0
GS1_594A7.3	0
GS1_600G8.3	0
GSAP	762
GSC	0
GSC2	0
GSDMA	1
GSDMB	153
GSDMC	0
GSDMD	507
GSE1	591
GSG1	0
GSG1L	0
GSG1L2	0
GSG2	14
GSK3A	294
GSK3B	1466
GSKIP	107
GSN	1049
GSN_AS1	44
GSPT1	2559
GSPT2	45
GSR	693
GSS	111
GSTA1	0
GSTA2	0
GSTA3	0
GSTA4	9
GSTA5	0
GSTA7P	0
GSTCD	47
GSTK1	1012
GSTM1	52
GSTM2	42
GSTM2P1	0
GSTM3	38
GSTM4	52
GSTM5	1
GSTO1	239
GSTO2	24
GSTP1	299
GSTT1	0
GSTT2	0
GSTT2B	0
GSTTP1	0
GSTTP2	2
GSTZ1	46
GSX1	0
GSX2	0
GTDC1	481
GTF2A1	532
GTF2A1L	0
GTF2A2	160
GTF2B	304
GTF2E1	163
GTF2E2	284
GTF2F1	380
GTF2F2	238
GTF2H1	416
GTF2H2	0
GTF2H2B	17
GTF2H2C	2
GTF2H2C_2	0
GTF2H3	147
GTF2H4	33
GTF2H5	44
GTF2I	314
GTF2IP1	8
GTF2IP20	34
GTF2IP4	0
GTF2IRD1	2
GTF2IRD1P1	3
GTF2IRD2	10
GTF2IRD2B	38
GTF3A	708
GTF3C1	767
GTF3C2	257
GTF3C2_AS1	3
GTF3C3	325
GTF3C4	155
