	gene_id_NP51_R1_
A1BG	1
A1BG_AS1	0
A1CF	0
A2M	6
A2M_AS1	0
A2ML1	87
A2MP1	3
A3GALT2	4
A4GALT	28
A4GNT	0
AA06	0
AAAS	1
AACS	13
AACSP1	24
AADAC	0
AADACL2	2
AADACL2_AS1	1
AADACL3	0
AADACL4	0
AADACP1	2
AADAT	0
AAED1	3
AAGAB	5
AAK1	33
AAMDC	0
AAMP	19
AANAT	3
AAR2	6
AARD	0
AARS	15
AARS2	2
AARSD1	0
AASDH	0
AASDHPPT	4
AASS	1
AATBC	6
AATF	42
AATK	54
AATK_AS1	0
ABALON	1
ABAT	6
ABCA1	174
ABCA10	1
ABCA11P	0
ABCA12	6
ABCA13	140
ABCA17P	1
ABCA2	44
ABCA3	11
ABCA4	3
ABCA5	8
ABCA6	0
ABCA7	69
ABCA8	0
ABCA9	0
ABCA9_AS1	0
ABCB1	5
ABCB10	2
ABCB11	0
ABCB4	5
ABCB5	1
ABCB6	10
ABCB7	1
ABCB8	8
ABCB9	2
ABCC1	32
ABCC10	4
ABCC11	2
ABCC12	2
ABCC13	0
ABCC2	16
ABCC3	1
ABCC4	5
ABCC5	27
ABCC5_AS1	0
ABCC6	6
ABCC6P1	2
ABCC6P2	0
ABCC8	0
ABCC9	2
ABCD1	8
ABCD2	1
ABCD3	14
ABCD4	4
ABCE1	5
ABCF1	78
ABCF2	10
ABCF3	13
ABCG1	25
ABCG2	0
ABCG4	9
ABCG5	0
ABCG8	0
ABHD1	2
ABHD10	3
ABHD11	2
ABHD11_AS1	2
ABHD12	23
ABHD12B	3
ABHD13	5
ABHD14A	0
ABHD14A_ACY1	0
ABHD14B	7
ABHD15	0
ABHD16A	15
ABHD16B	12
ABHD17A	11
ABHD17B	7
ABHD17C	12
ABHD2	61
ABHD3	21
ABHD4	20
ABHD5	25
ABHD6	2
ABHD8	2
ABI1	36
ABI2	15
ABI3	13
ABI3BP	0
ABL1	25
ABL2	13
ABLIM1	71
ABLIM2	14
ABLIM3	9
ABO	4
ABR	75
ABRA	1
ABRACL	5
ABT1	7
ABTB1	106
ABTB2	12
ACAA1	21
ACAA2	0
ACACA	26
ACACB	10
ACAD10	9
ACAD11	1
ACAD8	6
ACAD9	7
ACADL	0
ACADM	5
ACADS	1
ACADSB	2
ACADVL	33
ACAN	0
ACAP1	23
ACAP2	50
ACAP3	6
ACAT1	7
ACAT2	1
ACBD3	50
ACBD4	12
ACBD5	182
ACBD6	13
ACBD7	7
ACCS	22
ACCSL	0
ACD	2
ACE	103
ACE2	2
ACER1	0
ACER2	1
ACER3	2
ACHE	2
ACIN1	136
ACKR1	0
ACKR2	0
ACKR3	1
ACKR4	0
ACLY	33
ACMSD	0
ACO1	18
ACO2	19
ACOT1	0
ACOT11	0
ACOT12	0
ACOT13	15
ACOT2	4
ACOT4	2
ACOT6	0
ACOT7	6
ACOT8	3
ACOT9	14
ACOX1	28
ACOX2	1
ACOX3	20
ACOXL	93
ACP1	9
ACP2	3
ACP5	6
ACP6	7
ACPP	1
ACPT	1
ACR	0
ACRBP	1
ACRC	2
ACRV1	0
ACSBG1	3
ACSBG2	0
ACSF2	3
ACSF3	9
ACSL1	657
ACSL3	10
ACSL4	20
ACSL5	20
ACSL6	1
ACSM1	0
ACSM2A	1
ACSM2B	0
ACSM3	2
ACSM4	0
ACSM5	0
ACSM6	1
ACSS1	15
ACSS2	15
ACSS3	5
ACTA1	5
ACTA2	106
ACTA2_AS1	0
ACTB	2023
ACTBL2	0
ACTC1	1
ACTG1	636
ACTG1P17	2
ACTG1P20	1
ACTG1P4	0
ACTG2	1
ACTL10	7
ACTL6A	5
ACTL6B	1
ACTL7A	0
ACTL7B	0
ACTL8	1
ACTL9	0
ACTN1	103
ACTN1_AS1	0
ACTN2	5
ACTN3	0
ACTN4	217
ACTR10	2
ACTR1A	12
ACTR1B	10
ACTR2	88
ACTR3	93
ACTR3B	2
ACTR3BP2	0
ACTR3BP5	0
ACTR3C	0
ACTR5	3
ACTR6	6
ACTR8	6
ACTRT1	0
ACTRT2	4
ACTRT3	0
ACVR1	4
ACVR1B	30
ACVR1C	3596
ACVR2A	15
ACVR2B	7
ACVR2B_AS1	0
ACVRL1	2
ACY1	0
ACY3	0
ACYP1	5
ACYP2	4
ADA	38
ADAD1	0
ADAD2	1
ADAL	1
ADAM10	52
ADAM11	4
ADAM12	6
ADAM15	6
ADAM17	40
ADAM18	0
ADAM19	21
ADAM1A	9
ADAM2	0
ADAM20	0
ADAM20P1	1
ADAM21	1
ADAM21P1	0
ADAM22	2
ADAM23	3
ADAM28	32
ADAM29	0
ADAM30	0
ADAM32	1
ADAM33	1
ADAM3A	0
ADAM5	1
ADAM6	0
ADAM7	1
ADAM8	146
ADAM9	59
ADAMDEC1	2
ADAMTS1	0
ADAMTS10	4
ADAMTS12	2
ADAMTS13	14
ADAMTS14	1
ADAMTS15	12
ADAMTS16	2
ADAMTS17	1
ADAMTS18	13
ADAMTS19	0
ADAMTS19_AS1	0
ADAMTS2	6
ADAMTS20	0
ADAMTS3	34
ADAMTS4	1
ADAMTS5	7
ADAMTS6	6
ADAMTS7	1
ADAMTS7P1	1
ADAMTS8	9
ADAMTS9	2
ADAMTS9_AS1	0
ADAMTS9_AS2	0
ADAMTSL1	458
ADAMTSL2	5
ADAMTSL3	1
