	gene_id_WB30_
A1BG	8
A1BG_AS1	0
A1CF	1
A2M	10
A2M_AS1	3
A2ML1	4
A2MP1	2
A3GALT2	4
A4GALT	10
A4GNT	0
AA06	0
AAAS	6
AACS	14
AACSP1	0
AADAC	0
AADACL2	0
AADACL2_AS1	0
AADACL3	0
AADACL4	0
AADACP1	0
AADAT	0
AAED1	4
AAGAB	104
AAK1	421
AAMDC	0
AAMP	50
AANAT	12
AAR2	29
AARD	0
AARS	245
AARS2	30
AARSD1	0
AASDH	37
AASDHPPT	29
AASS	19
AATBC	18
AATF	117
AATK	159
AATK_AS1	0
ABALON	163
ABAT	37
ABCA1	1826
ABCA10	4
ABCA11P	3
ABCA12	0
ABCA13	71
ABCA17P	0
ABCA2	643
ABCA3	11
ABCA4	2
ABCA5	48
ABCA6	20
ABCA7	327
ABCA8	0
ABCA9	1
ABCA9_AS1	0
ABCB1	56
ABCB10	437
ABCB11	0
ABCB4	24
ABCB5	19
ABCB6	70
ABCB7	81
ABCB8	12
ABCB9	4
ABCC1	218
ABCC10	29
ABCC11	1
ABCC12	0
ABCC13	50
ABCC2	12
ABCC3	313
ABCC4	1358
ABCC5	103
ABCC5_AS1	0
ABCC6	12
ABCC6P1	0
ABCC6P2	0
ABCC8	0
ABCC9	0
ABCD1	69
ABCD2	7
ABCD3	29
ABCD4	62
ABCE1	116
ABCF1	214
ABCF2	28
ABCF3	68
ABCG1	273
ABCG2	157
ABCG4	3
ABCG5	1
ABCG8	0
ABHD1	3
ABHD10	11
ABHD11	6
ABHD11_AS1	1
ABHD12	33
ABHD12B	2
ABHD13	118
ABHD14A	3
ABHD14A_ACY1	0
ABHD14B	30
ABHD15	1
ABHD16A	199
ABHD16B	22
ABHD17A	175
ABHD17B	30
ABHD17C	5
ABHD2	937
ABHD3	49
ABHD4	153
ABHD5	136
ABHD6	1
ABHD8	18
ABI1	456
ABI2	129
ABI3	19
ABI3BP	6
ABL1	32
ABL2	98
ABLIM1	402
ABLIM2	0
ABLIM3	323
ABO	19
ABR	119
ABRA	4
ABRACL	16
ABT1	56
ABTB1	632
ABTB2	19
ACAA1	117
ACAA2	17
ACACA	118
ACACB	13
ACAD10	16
ACAD11	1
ACAD8	54
ACAD9	39
ACADL	1
ACADM	108
ACADS	11
ACADSB	20
ACADVL	232
ACAN	7
ACAP1	453
ACAP2	631
ACAP3	36
ACAT1	42
ACAT2	27
ACBD3	85
ACBD4	21
ACBD5	74
ACBD6	61
ACBD7	1
ACCS	17
ACCSL	4
ACD	6
ACE	4
ACE2	0
ACER1	2
ACER2	97
ACER3	153
ACHE	58
ACIN1	436
ACKR1	34
ACKR2	1
ACKR3	0
ACKR4	1
ACLY	170
ACMSD	3
ACO1	15
ACO2	95
ACOT1	0
ACOT11	0
ACOT12	0
ACOT13	57
ACOT2	14
ACOT4	0
ACOT6	0
ACOT7	29
ACOT8	31
ACOT9	93
ACOX1	94
ACOX2	0
ACOX3	14
ACOXL	0
ACP1	246
ACP2	4
ACP5	84
ACP6	12
ACPP	14
ACPT	2
ACR	0
ACRBP	418
ACRC	13
ACRV1	0
ACSBG1	7
ACSBG2	3
ACSF2	10
ACSF3	74
ACSL1	6559
ACSL3	160
ACSL4	202
ACSL5	66
ACSL6	117
ACSM1	3
ACSM2A	0
ACSM2B	0
ACSM3	20
ACSM4	0
ACSM5	1
ACSM6	0
