	gene_id_NPS-618_
A1BG	0
A1BG_AS1	0
A1CF	0
A2M	0
A2M_AS1	0
A2ML1	1
A2MP1	0
A3GALT2	0
A4GALT	28
A4GNT	0
AA06	0
AAAS	1
AACS	20
AACSP1	0
AADAC	4
AADACL2	5
AADACL2_AS1	0
AADACL3	0
AADACL4	0
AADACP1	5
AADAT	0
AAED1	1
AAGAB	15
AAK1	24
AAMDC	15
AAMP	30
AANAT	0
AAR2	0
AARD	0
AARS	18
AARS2	3
AARSD1	0
AASDH	6
AASDHPPT	5
AASS	2
AATBC	1
AATF	66
AATK	8
AATK_AS1	0
ABALON	0
ABAT	12
ABCA1	7
ABCA10	6
ABCA11P	8
ABCA12	12
ABCA13	222
ABCA17P	0
ABCA2	7
ABCA3	3
ABCA4	0
ABCA5	18
ABCA6	3
ABCA7	26
ABCA8	0
ABCA9	3
ABCA9_AS1	0
ABCB1	0
ABCB10	0
ABCB11	17
ABCB4	0
ABCB5	3
ABCB6	0
ABCB7	12
ABCB8	3
ABCB9	0
ABCC1	20
ABCC10	4
ABCC11	0
ABCC12	0
ABCC13	0
ABCC2	0
ABCC3	0
ABCC4	0
ABCC5	28
ABCC5_AS1	0
ABCC6	2
ABCC6P1	0
ABCC6P2	0
ABCC8	0
ABCC9	1
ABCD1	4
ABCD2	0
ABCD3	7
ABCD4	2
ABCE1	0
ABCF1	90
ABCF2	17
ABCF3	0
ABCG1	2
ABCG2	0
ABCG4	0
ABCG5	0
ABCG8	0
ABHD1	0
ABHD10	0
ABHD11	7
ABHD11_AS1	0
ABHD12	9
ABHD12B	1
ABHD13	7
ABHD14A	0
ABHD14A_ACY1	0
ABHD14B	0
ABHD15	3
ABHD16A	25
ABHD16B	0
ABHD17A	2
ABHD17B	10
ABHD17C	0
ABHD2	60
ABHD3	0
ABHD4	4
ABHD5	7
ABHD6	0
ABHD8	0
ABI1	33
ABI2	9
ABI3	0
ABI3BP	0
ABL1	8
ABL2	3
ABLIM1	58
ABLIM2	0
ABLIM3	0
ABO	17
ABR	40
ABRA	0
ABRACL	9
ABT1	11
ABTB1	12
ABTB2	1
ACAA1	9
ACAA2	0
ACACA	13
ACACB	11
ACAD10	4
ACAD11	0
ACAD8	1
ACAD9	7
ACADL	0
ACADM	1
ACADS	3
ACADSB	0
ACADVL	51
ACAN	1
ACAP1	1
ACAP2	24
ACAP3	21
ACAT1	2
ACAT2	0
ACBD3	137
ACBD4	1
ACBD5	51
ACBD6	18
ACBD7	0
ACCS	3
ACCSL	0
ACD	1
ACE	6
ACE2	0
ACER1	0
ACER2	0
ACER3	0
ACHE	0
ACIN1	316
ACKR1	0
ACKR2	0
ACKR3	0
ACKR4	0
ACLY	18
ACMSD	0
ACO1	4
ACO2	23
ACOT1	0
ACOT11	2
ACOT12	0
ACOT13	0
ACOT2	4
ACOT4	0
ACOT6	0
ACOT7	1
ACOT8	1
ACOT9	16
ACOX1	8
ACOX2	0
ACOX3	19
ACOXL	2
ACP1	0
ACP2	6
ACP5	4
ACP6	1
ACPP	0
ACPT	0
ACR	0
ACRBP	0
ACRC	0
ACRV1	0
ACSBG1	3
ACSBG2	0
ACSF2	5
ACSF3	9
ACSL1	13
ACSL3	9
ACSL4	0
ACSL5	3
ACSL6	0
ACSM1	0
ACSM2A	0
ACSM2B	0
ACSM3	0
ACSM4	0
ACSM5	0
ACSM6	0
ACSS1	13
ACSS2	0
ACSS3	0
ACTA1	0
ACTA2	25
ACTA2_AS1	0
ACTB	362
ACTBL2	0
ACTC1	1
ACTG1	289
ACTG1P17	0
ACTG1P20	2
ACTG1P4	0
ACTG2	0
ACTL10	1
ACTL6A	5
ACTL6B	0
ACTL7A	0
ACTL7B	0
ACTL8	0
ACTL9	0
ACTN1	10
ACTN1_AS1	0
ACTN2	0
ACTN3	0
ACTN4	242
ACTR10	0
ACTR1A	1
ACTR1B	1
ACTR2	69
ACTR3	32
ACTR3B	0
ACTR3BP2	0
ACTR3BP5	0
ACTR3C	1
ACTR5	0
ACTR6	10
ACTR8	13
ACTRT1	0
ACTRT2	0
ACTRT3	0
ACVR1	0
ACVR1B	19
ACVR1C	698
ACVR2A	0
ACVR2B	3
ACVR2B_AS1	9
ACVRL1	0
ACY1	0
ACY3	0
ACYP1	10
ACYP2	0
ADA	0
ADAD1	0
ADAD2	0
ADAL	0
ADAM10	15
ADAM11	0
ADAM12	4
ADAM15	16
ADAM17	1
ADAM18	0
ADAM19	4
ADAM1A	12
ADAM2	0
ADAM20	0
ADAM20P1	0
ADAM21	0
ADAM21P1	0
ADAM22	0
ADAM23	0
ADAM28	4
ADAM29	0
ADAM30	0
ADAM32	0
ADAM33	0
ADAM3A	0
ADAM5	0
ADAM6	0
ADAM7	0
ADAM8	6
ADAM9	29
ADAMDEC1	2
ADAMTS1	0
ADAMTS10	0
ADAMTS12	0
ADAMTS13	1
ADAMTS14	1
ADAMTS15	3
ADAMTS16	0
ADAMTS17	0
ADAMTS18	5
ADAMTS19	0
ADAMTS19_AS1	0
ADAMTS2	0
ADAMTS20	0
ADAMTS3	0
ADAMTS4	0
ADAMTS5	0
ADAMTS6	1
ADAMTS7	0
ADAMTS7P1	0
ADAMTS8	5
ADAMTS9	2
ADAMTS9_AS1	0
ADAMTS9_AS2	0
ADAMTSL1	11
ADAMTSL2	0
ADAMTSL3	0
ADAMTSL4	3
ADAMTSL4_AS1	3
ADAMTSL5	4
ADAP1	9
ADAP2	0
ADAR	126
ADARB1	1
ADARB2	7
ADARB2_AS1	0
ADAT1	0
ADAT2	0
ADAT3	1
ADCK1	0
ADCK2	107
ADCK3	2
ADCK4	18
ADCK5	1
ADCY1	0
ADCY10	0
ADCY10P1	1
ADCY2	17
ADCY3	6
ADCY4	0
ADCY5	2
ADCY6	16
ADCY7	4
ADCY8	1
ADCY9	32
ADCYAP1	0
ADCYAP1R1	0
ADD1	51
ADD2	0
ADD3	42
ADD3_AS1	0
ADGB	60
ADGRA1	1
ADGRA1_AS1	0
ADGRA2	0
ADGRA3	1
ADGRB1	0
ADGRB2	0
ADGRB3	0
ADGRD1	0
ADGRE1	0
ADGRE2	7
ADGRE3	0
ADGRE4P	0
ADGRE5	75
ADGRF1	37
ADGRF2	0
ADGRF3	0
ADGRF4	0
ADGRF5	2
ADGRG1	28
ADGRG2	0
ADGRG3	0
ADGRG4	0
ADGRG5	0
ADGRG6	0
ADGRG7	0
ADGRL1	0
ADGRL2	1
ADGRL3	0
ADGRL3_AS1	0
ADGRL4	0
ADGRV1	8
ADH1A	0
ADH1B	0
ADH1C	3
ADH4	0
ADH5	14
ADH6	1
ADH7	64
ADHFE1	0
ADI1	3
ADIG	0
ADIPOQ	0
ADIPOQ_AS1	0
ADIPOR1	42
ADIPOR2	3
ADIRF	0
ADK	9
ADM	0
ADM2	3
ADM5	0
ADNP	14
ADNP_AS1	4
ADNP2	6
ADO	5
ADORA1	7
ADORA2A	0
ADORA2A_AS1	0
ADORA2B	0
ADORA3	0
ADPGK	0
ADPGK_AS1	0
ADPRH	14
ADPRHL1	0
ADPRHL2	36
ADPRM	0
ADRA1A	0
ADRA1B	0
ADRA1D	0
ADRA2A	0
ADRA2B	0
ADRA2C	0
ADRB1	3
ADRB2	2
ADRB3	0
ADRBK1	46
ADRBK2	5
ADRM1	44
ADSL	0
ADSS	15
ADSSL1	11
ADTRP	0
AEBP1	2
AEBP2	142
AEN	1
AES	61
AFAP1	30
AFAP1_AS1	0
AFAP1L1	0
AFAP1L2	0
AFF1	39
AFF2	0
AFF3	0
AFF4	28
AFG3L1P	0
AFG3L2	16
AFM	0
AFMID	6
AFP	0
AFTPH	1
AGA	0
AGAP1	13
AGAP1_IT1	0
AGAP11	0
AGAP2	6
AGAP2_AS1	0
AGAP3	11
AGAP4	2
AGAP5	0
AGAP6	0
AGAP7P	0
AGAP9	0
AGBL1	0
AGBL1_AS1	0
AGBL2	38
AGBL3	1
AGBL4	10
AGBL4_IT1	0
AGBL5	33
AGBL5_AS1	0
AGER	1
AGFG1	0
AGFG2	20
AGGF1	7
AGK	1
AGL	13
AGMAT	12
AGMO	0
AGO1	6
AGO2	11
AGO3	12
AGO4	6
AGPAT1	0
AGPAT2	3
AGPAT3	19
AGPAT4	12
AGPAT4_IT1	9
AGPAT5	9
AGPS	13
AGR2	58
AGR3	0
AGRN	85
AGRP	0
AGT	0
AGTPBP1	28
AGTR1	0
AGTR2	0
AGTRAP	5
AGXT	0
AGXT2	0
AHCTF1	1
AHCTF1P1	0
AHCY	1
AHCYL1	13
AHCYL2	8
AHDC1	8
AHI1	18
AHNAK	592
AHNAK2	87
AHR	40
AHRR	0
AHSA1	123
AHSA2	39
AHSG	0
AHSP	0
AICDA	1
AIDA	2
AIF1	0
AIF1L	1
AIFM1	1
AIFM2	1
AIFM3	0
AIG1	5
AIM1	16
AIM1L	14
AIM2	1
AIMP1	23
AIMP2	0
AIP	8
AIPL1	0
AIRE	3
AIRN	0
AJAP1	9
AJUBA	0
AK1	35
AK2	7
AK3	12
AK4	0
AK5	0
AK6	0
AK7	129
AK8	12
AK9	337
AKAP1	2
AKAP10	7
AKAP11	20
AKAP12	5
AKAP13	90
AKAP14	16
AKAP17A	62
AKAP2	0
AKAP3	2
AKAP4	0
AKAP5	2
AKAP6	4
AKAP7	0
AKAP8	60
AKAP8L	110
AKAP9	255
AKIP1	12
AKIRIN1	1
AKIRIN2	3
AKNA	103
AKNAD1	1
AKR1A1	9
AKR1B1	3
AKR1B10	9
AKR1B15	0
AKR1C1	24
AKR1C2	24
AKR1C3	5
AKR1C4	0
AKR1C6P	0
AKR1C8P	0
AKR1D1	0
AKR1E2	0
AKR7A2	15
AKR7A2P1	0
AKR7A3	0
AKR7L	0
AKT1	45
AKT1S1	17
AKT2	9
AKT3	0
AKTIP	1
ALAD	5
ALAS1	13
ALAS2	0
ALB	0
ALCAM	98
ALDH16A1	10
ALDH18A1	19
ALDH1A1	203
ALDH1A2	0
ALDH1A3	8
ALDH1B1	0
ALDH1L1	10
ALDH1L1_AS1	0
ALDH1L1_AS2	0
ALDH1L2	0
ALDH2	5
ALDH3A1	723
ALDH3A2	11
ALDH3B1	172
ALDH3B2	5
ALDH4A1	0
ALDH5A1	2
ALDH6A1	0
ALDH7A1	0
ALDH8A1	0
ALDH9A1	13
ALDOA	133
ALDOB	1
ALDOC	0
ALG1	0
ALG10	0
ALG10B	0
ALG11	6
ALG12	3
ALG13	15
ALG14	0
ALG1L	0
ALG1L2	0
ALG1L9P	0
ALG2	0
ALG3	0
ALG5	0
ALG6	0
ALG8	2
ALG9	3
ALK	3
ALKBH1	0
ALKBH2	0
ALKBH3	0
ALKBH3_AS1	0
ALKBH4	0
ALKBH5	14
ALKBH6	10
ALKBH7	2
ALKBH8	2
ALLC	0
ALMS1	60
ALMS1_IT1	0
ALMS1P	7
ALOX12	0
ALOX12_AS1	0
ALOX12B	0
ALOX12P2	12
ALOX15	340
ALOX15B	1
ALOX15P1	0
ALOX5	0
ALOX5AP	0
ALOXE3	0
ALPI	0
ALPK1	13
ALPK2	0
ALPK3	28
ALPL	38
ALPP	0
ALPPL2	0
ALS2	14
ALS2CL	49
ALS2CR11	0
ALS2CR12	66
ALX1	0
ALX3	0
ALX4	0
ALYREF	20
AMACR	0
AMBN	0
AMBP	0
AMBRA1	23
AMD1	4
AMDHD1	0
AMDHD2	6
AMELX	0
AMELY	0
AMER1	5
AMER2	0
AMER3	0
AMFR	0
AMH	4
AMHR2	0
AMICA1	13
AMIGO1	0
AMIGO2	6
AMIGO3	5
AMMECR1	0
AMMECR1L	1
AMN	5
AMN1	6
AMOT	24
AMOTL1	0
AMOTL2	1
AMPD1	0
AMPD2	1
AMPD3	32
AMPH	1
AMT	0
AMTN	0
AMY1A	0
AMY1B	0
AMY1C	0
AMY2A	0
AMY2B	0
AMZ1	1
AMZ2	1
AMZ2P1	0
ANAPC1	0
ANAPC10	0
ANAPC11	4
ANAPC13	8
ANAPC15	0
ANAPC16	71
ANAPC1P1	0
ANAPC2	9
ANAPC4	1
ANAPC5	16
ANAPC7	12
ANG	0
ANGEL1	1
ANGEL2	9
ANGPT1	0
ANGPT2	0
ANGPT4	0
ANGPTL1	0
ANGPTL2	0
ANGPTL3	0
ANGPTL4	0
ANGPTL5	0
ANGPTL6	0
ANGPTL7	0
ANHX	0
ANK1	0
ANK2	0
ANK3	82
ANKAR	0
ANKDD1A	9
ANKDD1B	14
ANKEF1	4
ANKFN1	8
ANKFY1	30
ANKH	5
ANKHD1	0
ANKHD1_EIF4EBP3	0
ANKIB1	28
ANKK1	10
ANKLE1	0
ANKLE2	5
ANKMY1	35
ANKMY2	2
ANKRA2	2
ANKRD1	0
ANKRD10	2
ANKRD11	130
ANKRD12	88
ANKRD13A	7
ANKRD13B	0
ANKRD13C	1
ANKRD13D	10
ANKRD16	0
ANKRD17	105
ANKRD18A	13
ANKRD18B	25
ANKRD18DP	0
ANKRD19P	5
ANKRD2	0
ANKRD20A1	0
ANKRD20A11P	0
ANKRD20A12P	0
ANKRD20A19P	0
ANKRD20A2	0
ANKRD20A3	0
ANKRD20A4	0
ANKRD20A5P	9
ANKRD20A8P	0
ANKRD20A9P	0
ANKRD22	4
ANKRD23	28
ANKRD24	4
ANKRD26	17
ANKRD26P1	0
ANKRD26P3	0
ANKRD27	10
ANKRD28	22
ANKRD29	0
ANKRD30A	0
ANKRD30B	0
ANKRD30BL	2
ANKRD30BP2	0
ANKRD30BP3	0
ANKRD31	0
ANKRD33	0
ANKRD33B	0
ANKRD34A	0
ANKRD34B	0
ANKRD34C	0
ANKRD34C_AS1	0
ANKRD35	8
ANKRD36	29
ANKRD36B	26
ANKRD36BP1	0
ANKRD36BP2	0
ANKRD36C	198
ANKRD37	0
ANKRD39	1
ANKRD40	23
ANKRD42	40
ANKRD44	1
ANKRD44_IT1	0
ANKRD45	15
ANKRD46	3
ANKRD49	2
ANKRD50	1
ANKRD52	7
ANKRD53	0
ANKRD54	2
ANKRD55	0
ANKRD6	20
ANKRD60	0
ANKRD61	0
ANKRD62	0
ANKRD62P1_PARP4P3	0
ANKRD63	0
ANKRD65	6
ANKRD66	9
ANKRD7	0
ANKRD9	0
ANKS1A	16
ANKS1B	0
ANKS3	2
ANKS4B	0
ANKS6	13
ANKUB1	37
ANKZF1	76
ANLN	0
ANO1	0
ANO1_AS2	0
ANO10	2
ANO2	0
ANO3	0
ANO4	0
ANO5	0
ANO6	5
ANO7	0
ANO8	13
ANO9	0
ANOS1	1
ANP32A	74
ANP32A_IT1	0
ANP32AP1	0
ANP32B	202
ANP32C	0
ANP32D	0
ANP32E	100
ANPEP	8
ANTXR1	0
ANTXR2	13
ANTXRL	0
ANTXRLP1	0
ANXA1	412
ANXA10	0
ANXA11	88
ANXA13	0
ANXA2	115
ANXA2P1	0
ANXA2P2	7
ANXA2P3	0
ANXA2R	1
ANXA3	19
ANXA4	19
ANXA5	17
ANXA6	4
ANXA7	26
ANXA8	0
ANXA8L1	0
ANXA9	1
AOAH	0
AOAH_IT1	0
AOC1	0
AOC2	0
AOC3	2
AOC4P	0
AOX1	0
AOX2P	0
AP1AR	0
AP1B1	10
AP1B1P1	0
AP1G1	25
AP1G2	25
AP1M1	5
AP1M2	0
AP1S1	19
AP1S2	2
AP1S3	9
AP2A1	30
AP2A2	21
AP2B1	28
AP2M1	26
AP2S1	3
AP3B1	23
AP3B2	0
AP3D1	328
AP3M1	4
AP3M2	8
AP3S1	4
AP3S2	3
AP4B1	4
AP4B1_AS1	0
AP4E1	7
AP4M1	0
AP4S1	1
AP5B1	16
AP5M1	1
AP5S1	0
AP5Z1	4
APAF1	1
APBA1	3
APBA2	0
APBA3	0
APBB1	4
APBB1IP	12
APBB2	4
APBB3	1
APC	13
APC2	4
APCDD1	4
APCDD1L	0
APCDD1L_AS1	2
APCS	0
APEH	10
APELA	0
APEX1	0
APEX2	3
APH1A	20
APH1B	0
API5	13
APIP	0
APITD1	0
APITD1_CORT	0
APLF	6
APLN	0
APLNR	0
APLP1	0
APLP2	258
APMAP	3
APOA1	0
APOA1_AS	0
APOA1BP	0
APOA2	0
APOA4	0
APOA5	0
APOB	0
APOBEC1	0
APOBEC2	0
APOBEC3A	6
APOBEC3A_B	0
APOBEC3B	0
APOBEC3B_AS1	0
APOBEC3C	10
APOBEC3D	13
APOBEC3F	20
APOBEC3G	9
APOBEC3H	0
APOBEC4	6
APOBR	9
APOC1	0
APOC1P1	0
APOC2	0
APOC3	0
APOC4	0
APOC4_APOC2	0
APOD	18
APOE	0
APOF	0
APOH	0
APOL1	989
APOL2	35
APOL3	19
APOL4	0
APOL5	0
APOL6	121
APOLD1	2
APOM	0
APOO	7
APOOL	3
APOOP5	0
APOPT1	1
APP	125
APPBP2	0
APPL1	10
APPL2	15
APRT	9
APTR	0
APTX	3
AQP1	4
AQP10	0
AQP11	0
AQP12A	0
AQP12B	0
AQP2	0
AQP3	116
AQP4	0
AQP4_AS1	7
AQP5	0
AQP6	0
AQP7	2
AQP7P1	0
AQP7P3	0
AQP8	0
AQP9	0
AQR	28
AR	9
ARAF	14
ARAP1	41
ARAP2	13
ARAP3	3
ARC	3
ARCN1	19
AREG	0
AREL1	1
ARF1	47
ARF3	57
ARF4	11
ARF5	0
ARF6	55
ARFGAP1	11
ARFGAP2	19
ARFGAP3	16
ARFGEF1	40
ARFGEF2	5
ARFGEF3	54
ARFIP1	13
ARFIP2	10
ARFRP1	0
ARG1	0
ARG2	0
ARGFX	0
ARGFXP2	0
ARGLU1	290
ARHGAP1	22
ARHGAP10	0
ARHGAP11A	0
ARHGAP11B	0
ARHGAP12	30
ARHGAP15	5
ARHGAP17	11
ARHGAP18	40
ARHGAP19	2
ARHGAP19_SLIT1	0
ARHGAP20	0
ARHGAP21	42
ARHGAP22	0
ARHGAP23	10
ARHGAP24	10
ARHGAP25	2
ARHGAP26	8
ARHGAP26_AS1	0
ARHGAP26_IT1	0
ARHGAP27	40
ARHGAP28	0
ARHGAP29	0
ARHGAP30	39
ARHGAP31	1
ARHGAP31_AS1	0
ARHGAP32	11
ARHGAP33	1
ARHGAP35	9
ARHGAP36	0
ARHGAP39	72
ARHGAP4	2
ARHGAP40	0
ARHGAP42	4
ARHGAP44	12
ARHGAP5	43
ARHGAP5_AS1	9
ARHGAP6	0
ARHGAP8	0
ARHGAP9	5
ARHGDIA	26
ARHGDIB	65
ARHGDIG	0
ARHGEF1	46
ARHGEF10	2
ARHGEF10L	15
ARHGEF11	17
ARHGEF12	41
ARHGEF15	0
ARHGEF16	6
ARHGEF17	8
ARHGEF18	52
ARHGEF19	9
ARHGEF2	22
ARHGEF25	0
ARHGEF26	2
ARHGEF26_AS1	0
ARHGEF28	21
ARHGEF3	12
ARHGEF3_AS1	0
ARHGEF33	17
ARHGEF34P	0
ARHGEF35	0
ARHGEF37	9
ARHGEF38	1
ARHGEF38_IT1	0
ARHGEF39	0
ARHGEF4	1
ARHGEF40	4
ARHGEF5	0
ARHGEF6	5
ARHGEF7	7
ARHGEF7_AS1	0
ARHGEF7_AS2	0
ARHGEF9	13
ARHGEF9_IT1	0
ARID1A	59
ARID1B	91
ARID2	13
ARID3A	1
ARID3B	0
ARID3C	0
ARID4A	9
ARID4B	282
ARID5A	8
ARID5B	21
ARIH1	53
ARIH2	10
ARIH2OS	0
ARL1	21
ARL10	0
ARL11	3
ARL13A	1
ARL13B	3
ARL14	0
ARL14EP	0
ARL14EPL	0
ARL15	0
ARL16	1
ARL17A	0
ARL17B	0
ARL2	0
ARL2_SNX15	0
ARL2BP	1
ARL3	21
ARL4A	0
ARL4C	7
ARL4D	0
ARL5A	4
ARL5B	0
ARL5C	0
ARL6	1
ARL6IP1	25
ARL6IP4	133
ARL6IP5	0
ARL6IP6	4
ARL8A	12
ARL8B	7
ARL9	0
ARMC1	0
ARMC10	0
ARMC12	0
ARMC2	11
ARMC2_AS1	0
ARMC3	79
ARMC4	14
ARMC5	5
ARMC6	6
ARMC7	0
