	gene_id_NPS_142_R1_
A1BG	1
A1BG_AS1	4
A1CF	0
A2M	118
A2M_AS1	11
A2ML1	5
A2MP1	0
A3GALT2	0
A4GALT	306
A4GNT	1
AA06	0
AAAS	69
AACS	122
AACSP1	5
AADAC	7
AADACL2	55
AADACL2_AS1	32
AADACL3	0
AADACL4	0
AADACP1	40
AADAT	58
AAED1	29
AAGAB	200
AAK1	396
AAMDC	58
AAMP	631
AANAT	6
AAR2	36
AARD	0
AARS	207
AARS2	44
AARSD1	7
AASDH	65
AASDHPPT	151
AASS	130
AATBC	24
AATF	374
AATK	7
AATK_AS1	2
ABALON	22
ABAT	171
ABCA1	291
ABCA10	34
ABCA11P	13
ABCA12	53
ABCA13	6274
ABCA17P	6
ABCA2	77
ABCA3	47
ABCA4	17
ABCA5	428
ABCA6	11
ABCA7	235
ABCA8	1
ABCA9	15
ABCA9_AS1	0
ABCB1	19
ABCB10	80
ABCB11	153
ABCB4	15
ABCB5	13
ABCB6	55
ABCB7	90
ABCB8	46
ABCB9	8
ABCC1	278
ABCC10	92
ABCC11	0
ABCC12	0
ABCC13	5
ABCC2	17
ABCC3	63
ABCC4	231
ABCC5	465
ABCC5_AS1	9
ABCC6	32
ABCC6P1	3
ABCC6P2	9
ABCC8	0
ABCC9	35
ABCD1	32
ABCD2	28
ABCD3	577
ABCD4	71
ABCE1	137
ABCF1	575
ABCF2	143
ABCF3	132
ABCG1	270
ABCG2	0
ABCG4	1
ABCG5	0
ABCG8	0
ABHD1	4
ABHD10	159
ABHD11	98
ABHD11_AS1	14
ABHD12	69
ABHD12B	75
ABHD13	139
ABHD14A	6
ABHD14A_ACY1	0
ABHD14B	100
ABHD15	41
ABHD16A	90
ABHD16B	10
ABHD17A	50
ABHD17B	123
ABHD17C	97
ABHD2	1094
ABHD3	52
ABHD4	50
ABHD5	179
ABHD6	28
ABHD8	18
ABI1	558
ABI2	312
ABI3	34
ABI3BP	15
ABL1	180
ABL2	122
ABLIM1	949
ABLIM2	22
ABLIM3	13
ABO	136
ABR	341
ABRA	6
ABRACL	146
ABT1	120
ABTB1	56
ABTB2	21
ACAA1	116
ACAA2	14
ACACA	531
ACACB	162
ACAD10	107
ACAD11	25
ACAD8	115
ACAD9	116
ACADL	1
ACADM	297
ACADS	32
ACADSB	146
ACADVL	341
ACAN	0
ACAP1	52
ACAP2	564
ACAP3	85
ACAT1	192
ACAT2	26
ACBD3	785
ACBD4	24
ACBD5	159
ACBD6	153
ACBD7	125
ACCS	41
ACCSL	0
ACD	32
ACE	41
ACE2	20
ACER1	0
ACER2	26
ACER3	81
ACHE	2
ACIN1	1210
ACKR1	0
ACKR2	21
ACKR3	65
ACKR4	14
ACLY	323
ACMSD	0
ACO1	81
ACO2	198
ACOT1	4
ACOT11	50
ACOT12	0
ACOT13	210
ACOT2	34
ACOT4	2
ACOT6	0
ACOT7	34
ACOT8	33
ACOT9	89
ACOX1	335
ACOX2	43
ACOX3	120
ACOXL	5
ACP1	217
ACP2	38
ACP5	31
ACP6	67
ACPP	21
ACPT	0
ACR	1
ACRBP	6
ACRC	7
ACRV1	1
ACSBG1	37
ACSBG2	1
ACSF2	100
ACSF3	54
ACSL1	153
ACSL3	391
ACSL4	141
ACSL5	142
ACSL6	18
ACSM1	14
ACSM2A	0
ACSM2B	0
ACSM3	14
ACSM4	0
ACSM5	1
ACSM6	6
ACSS1	205
ACSS2	102
ACSS3	111
ACTA1	0
ACTA2	9
ACTA2_AS1	2
ACTB	3953
ACTBL2	2
ACTC1	4
ACTG1	3586
ACTG1P17	6
ACTG1P20	18
ACTG1P4	1
ACTG2	3
ACTL10	12
ACTL6A	155
ACTL6B	1
ACTL7A	3
ACTL7B	2
ACTL8	0
ACTL9	0
ACTN1	336
ACTN1_AS1	0
ACTN2	0
ACTN3	1
ACTN4	2172
ACTR10	141
ACTR1A	112
ACTR1B	73
ACTR2	628
ACTR3	478
ACTR3B	36
ACTR3BP2	0
ACTR3BP5	0
ACTR3C	35
ACTR5	21
ACTR6	157
ACTR8	151
ACTRT1	0
ACTRT2	0
ACTRT3	8
ACVR1	122
ACVR1B	168
ACVR1C	564
ACVR2A	101
ACVR2B	47
ACVR2B_AS1	3
ACVRL1	11
ACY1	8
ACY3	13
ACYP1	86
ACYP2	20
ADA	23
ADAD1	1
ADAD2	14
ADAL	46
ADAM10	404
ADAM11	8
ADAM12	141
ADAM15	147
ADAM17	110
ADAM18	1
ADAM19	25
ADAM1A	24
ADAM2	0
ADAM20	18
ADAM20P1	8
ADAM21	0
ADAM21P1	0
ADAM22	43
ADAM23	3
ADAM28	1225
ADAM29	0
ADAM30	0
ADAM32	26
ADAM33	2
ADAM3A	0
ADAM5	0
ADAM6	0
ADAM7	3
ADAM8	22
ADAM9	637
ADAMDEC1	14
ADAMTS1	0
ADAMTS10	8
ADAMTS12	9
ADAMTS13	17
ADAMTS14	10
ADAMTS15	19
ADAMTS16	5
ADAMTS17	20
ADAMTS18	7
ADAMTS19	2
ADAMTS19_AS1	0
ADAMTS2	4
ADAMTS20	0
ADAMTS3	9
ADAMTS4	3
ADAMTS5	0
ADAMTS6	9
ADAMTS7	5
ADAMTS7P1	4
ADAMTS8	22
ADAMTS9	31
ADAMTS9_AS1	2
ADAMTS9_AS2	3
ADAMTSL1	88
ADAMTSL2	4
ADAMTSL3	16
ADAMTSL4	31
ADAMTSL4_AS1	7
ADAMTSL5	2
ADAP1	47
ADAP2	43
ADAR	898
ADARB1	24
ADARB2	41
ADARB2_AS1	0
ADAT1	95
ADAT2	69
ADAT3	18
ADCK1	29
ADCK2	37
ADCK3	85
ADCK4	78
ADCK5	20
ADCY1	15
ADCY10	1
ADCY10P1	4
ADCY2	135
ADCY3	42
ADCY4	5
ADCY5	21
ADCY6	129
ADCY7	47
ADCY8	1
ADCY9	188
ADCYAP1	1
ADCYAP1R1	0
ADD1	604
ADD2	13
ADD3	414
ADD3_AS1	4
ADGB	747
ADGRA1	0
ADGRA1_AS1	0
ADGRA2	4
ADGRA3	122
ADGRB1	5
ADGRB2	23
ADGRB3	6
ADGRD1	1
ADGRE1	2
ADGRE2	15
ADGRE3	3
ADGRE4P	6
ADGRE5	156
ADGRF1	298
ADGRF2	7
ADGRF3	21
ADGRF4	2
ADGRF5	111
ADGRG1	501
ADGRG2	9
ADGRG3	6
ADGRG4	0
ADGRG5	9
ADGRG6	87
ADGRG7	0
ADGRL1	70
ADGRL2	42
ADGRL3	14
ADGRL3_AS1	0
ADGRL4	0
ADGRV1	364
ADH1A	9
ADH1B	0
ADH1C	1248
ADH4	10
ADH5	166
ADH6	66
ADH7	1925
ADHFE1	39
ADI1	182
ADIG	0
ADIPOQ	0
ADIPOQ_AS1	0
ADIPOR1	656
ADIPOR2	115
ADIRF	153
ADK	81
ADM	10
ADM2	2
ADM5	2
ADNP	514
ADNP_AS1	33
ADNP2	92
ADO	38
ADORA1	6
ADORA2A	0
ADORA2A_AS1	8
ADORA2B	51
ADORA3	0
ADPGK	73
ADPGK_AS1	0
ADPRH	43
ADPRHL1	37
ADPRHL2	139
ADPRM	5
ADRA1A	10
ADRA1B	0
ADRA1D	8
ADRA2A	28
ADRA2B	6
ADRA2C	2
ADRB1	136
ADRB2	19
ADRB3	4
ADRBK1	283
ADRBK2	102
ADRM1	284
ADSL	121
ADSS	440
ADSSL1	82
ADTRP	47
AEBP1	25
AEBP2	585
AEN	24
AES	1421
AFAP1	95
AFAP1_AS1	8
AFAP1L1	32
AFAP1L2	10
AFF1	751
AFF2	0
AFF3	17
AFF4	643
AFG3L1P	42
AFG3L2	275
AFM	0
AFMID	30
AFP	1
AFTPH	273
AGA	61
AGAP1	289
AGAP1_IT1	29
AGAP11	21
AGAP2	9
AGAP2_AS1	2
AGAP3	190
AGAP4	17
AGAP5	25
AGAP6	22
AGAP7P	3
AGAP9	24
AGBL1	2
AGBL1_AS1	0
AGBL2	325
AGBL3	43
AGBL4	58
AGBL4_IT1	8
AGBL5	211
AGBL5_AS1	1
AGER	37
AGFG1	141
AGFG2	181
AGGF1	249
AGK	104
AGL	330
AGMAT	23
AGMO	0
AGO1	324
AGO2	155
AGO3	63
AGO4	204
AGPAT1	72
AGPAT2	94
AGPAT3	259
AGPAT4	35
AGPAT4_IT1	1
AGPAT5	69
AGPS	154
AGR2	1340
AGR3	124
AGRN	393
AGRP	3
AGT	2
AGTPBP1	106
AGTR1	0
AGTR2	0
AGTRAP	39
AGXT	5
AGXT2	0
AHCTF1	286
AHCTF1P1	2
AHCY	141
