	gene_id_NP64_R1_
A1BG	0
A1BG_AS1	1
A1CF	0
A2M	6
A2M_AS1	0
A2ML1	21
A2MP1	2
A3GALT2	3
A4GALT	28
A4GNT	0
AA06	0
AAAS	3
AACS	14
AACSP1	10
AADAC	0
AADACL2	0
AADACL2_AS1	0
AADACL3	2
AADACL4	0
AADACP1	0
AADAT	0
AAED1	0
AAGAB	7
AAK1	32
AAMDC	1
AAMP	21
AANAT	15
AAR2	6
AARD	0
AARS	4
AARS2	3
AARSD1	0
AASDH	0
AASDHPPT	0
AASS	3
AATBC	2
AATF	66
AATK	42
AATK_AS1	0
ABALON	6
ABAT	11
ABCA1	47
ABCA10	0
ABCA11P	1
ABCA12	17
ABCA13	180
ABCA17P	0
ABCA2	29
ABCA3	27
ABCA4	6
ABCA5	4
ABCA6	1
ABCA7	146
ABCA8	2
ABCA9	0
ABCA9_AS1	0
ABCB1	2
ABCB10	1
ABCB11	5
ABCB4	2
ABCB5	1
ABCB6	14
ABCB7	1
ABCB8	10
ABCB9	1
ABCC1	36
ABCC10	10
ABCC11	0
ABCC12	0
ABCC13	0
ABCC2	4
ABCC3	20
ABCC4	6
ABCC5	21
ABCC5_AS1	0
ABCC6	2
ABCC6P1	1
ABCC6P2	0
ABCC8	0
ABCC9	2
ABCD1	39
ABCD2	1
ABCD3	7
ABCD4	3
ABCE1	3
ABCF1	71
ABCF2	8
ABCF3	17
ABCG1	17
ABCG2	0
ABCG4	0
ABCG5	0
ABCG8	2
ABHD1	0
ABHD10	1
ABHD11	11
ABHD11_AS1	5
ABHD12	17
ABHD12B	5
ABHD13	8
ABHD14A	1
ABHD14A_ACY1	0
ABHD14B	2
ABHD15	0
ABHD16A	36
ABHD16B	20
ABHD17A	7
ABHD17B	4
ABHD17C	7
ABHD2	59
ABHD3	9
ABHD4	3
ABHD5	39
ABHD6	3
ABHD8	4
ABI1	56
ABI2	4
ABI3	18
ABI3BP	2
ABL1	19
ABL2	37
ABLIM1	50
ABLIM2	12
ABLIM3	4
ABO	1
ABR	59
ABRA	0
ABRACL	2
ABT1	8
ABTB1	101
ABTB2	30
ACAA1	37
ACAA2	3
ACACA	21
ACACB	12
ACAD10	9
ACAD11	0
ACAD8	13
ACAD9	7
ACADL	0
ACADM	3
ACADS	1
ACADSB	2
ACADVL	49
ACAN	72
ACAP1	29
ACAP2	50
ACAP3	20
ACAT1	1
ACAT2	1
ACBD3	74
ACBD4	1
ACBD5	52
ACBD6	11
ACBD7	2
ACCS	0
ACCSL	1
ACD	3
ACE	16
ACE2	1
ACER1	2
ACER2	1
ACER3	2
ACHE	5
ACIN1	230
ACKR1	0
ACKR2	9
ACKR3	0
ACKR4	0
ACLY	23
ACMSD	0
ACO1	56
ACO2	13
ACOT1	0
ACOT11	2
ACOT12	0
ACOT13	11
ACOT2	51
ACOT4	0
ACOT6	0
ACOT7	6
ACOT8	5
ACOT9	58
ACOX1	10
ACOX2	1
ACOX3	14
ACOXL	13
ACP1	3
ACP2	5
ACP5	6
ACP6	8
ACPP	2
ACPT	0
ACR	1
ACRBP	8
ACRC	1
ACRV1	0
ACSBG1	0
ACSBG2	0
ACSF2	9
ACSF3	4
ACSL1	770
ACSL3	15
ACSL4	10
ACSL5	17
ACSL6	1
ACSM1	0
ACSM2A	0
ACSM2B	0
ACSM3	2
ACSM4	3
ACSM5	1
ACSM6	0
ACSS1	3
ACSS2	20
ACSS3	9
ACTA1	4
ACTA2	25
ACTA2_AS1	0
ACTB	2624
ACTBL2	2
ACTC1	1
ACTG1	576
ACTG1P17	0
ACTG1P20	2
ACTG1P4	0
ACTG2	0
ACTL10	1
ACTL6A	1
ACTL6B	1
ACTL7A	0
ACTL7B	1
ACTL8	0
ACTL9	0
ACTN1	205
ACTN1_AS1	1
ACTN2	4
ACTN3	1
ACTN4	269
ACTR10	3
ACTR1A	7
ACTR1B	9
ACTR2	73
ACTR3	100
ACTR3B	0
ACTR3BP2	0
ACTR3BP5	0
ACTR3C	0
ACTR5	3
ACTR6	4
ACTR8	12
ACTRT1	0
ACTRT2	10
ACTRT3	0
ACVR1	2
ACVR1B	9
ACVR1C	1361
ACVR2A	3
ACVR2B	1
ACVR2B_AS1	0
ACVRL1	12
ACY1	0
ACY3	0
ACYP1	121
ACYP2	1
ADA	25
ADAD1	3
ADAD2	1
ADAL	0
ADAM10	23
ADAM11	4
ADAM12	5
ADAM15	22
ADAM17	10
ADAM18	0
ADAM19	39
ADAM1A	3
ADAM2	0
ADAM20	0
ADAM20P1	0
ADAM21	1
ADAM21P1	0
ADAM22	0
ADAM23	0
ADAM28	12
ADAM29	0
ADAM30	0
ADAM32	1
ADAM33	1
ADAM3A	0
ADAM5	0
ADAM6	0
ADAM7	1
ADAM8	224
ADAM9	76
ADAMDEC1	1
ADAMTS1	3
ADAMTS10	1
ADAMTS12	1
ADAMTS13	2
ADAMTS14	0
ADAMTS15	4
ADAMTS16	0
ADAMTS17	0
ADAMTS18	2
ADAMTS19	2
ADAMTS19_AS1	0
ADAMTS2	12
ADAMTS20	0
ADAMTS3	14
ADAMTS4	10
ADAMTS5	0
ADAMTS6	2
ADAMTS7	2
ADAMTS7P1	51
ADAMTS8	5
ADAMTS9	8
ADAMTS9_AS1	0
ADAMTS9_AS2	0
ADAMTSL1	79
ADAMTSL2	4
ADAMTSL3	3
ADAMTSL4	420
ADAMTSL4_AS1	69
ADAMTSL5	3
ADAP1	17
ADAP2	1
ADAR	409
ADARB1	9
ADARB2	9
ADARB2_AS1	0
ADAT1	3
ADAT2	3
ADAT3	1
ADCK1	10
ADCK2	235
ADCK3	7
ADCK4	6
ADCK5	2
ADCY1	5
ADCY10	1
ADCY10P1	4
ADCY2	0
ADCY3	1
ADCY4	17
ADCY5	10
ADCY6	14
ADCY7	44
ADCY8	16
ADCY9	13
ADCYAP1	3
ADCYAP1R1	0
ADD1	79
ADD2	1
ADD3	29
ADD3_AS1	1
ADGB	4
ADGRA1	6
ADGRA1_AS1	0
ADGRA2	17
ADGRA3	2
ADGRB1	5
