	gene_id_NPS_319_R1_
A1BG	7
A1BG_AS1	6
A1CF	17
A2M	264
A2M_AS1	12
A2ML1	95
A2MP1	5
A3GALT2	15
A4GALT	1354
A4GNT	0
AA06	0
AAAS	267
AACS	374
AACSP1	33
AADAC	12
AADACL2	434
AADACL2_AS1	149
AADACL3	0
AADACL4	0
AADACP1	182
AADAT	127
AAED1	78
AAGAB	614
AAK1	1550
AAMDC	125
AAMP	2012
AANAT	8
AAR2	210
AARD	0
AARS	949
AARS2	206
AARSD1	3
AASDH	256
AASDHPPT	401
AASS	341
AATBC	181
AATF	1451
AATK	57
AATK_AS1	3
ABALON	86
ABAT	440
ABCA1	727
ABCA10	293
ABCA11P	103
ABCA12	89
ABCA13	24671
ABCA17P	4
ABCA2	579
ABCA3	138
ABCA4	96
ABCA5	1810
ABCA6	98
ABCA7	1262
ABCA8	3
ABCA9	155
ABCA9_AS1	0
ABCB1	39
ABCB10	257
ABCB11	396
ABCB4	16
ABCB5	31
ABCB6	347
ABCB7	235
ABCB8	339
ABCB9	57
ABCC1	1053
ABCC10	428
ABCC11	5
ABCC12	0
ABCC13	0
ABCC2	47
ABCC3	226
ABCC4	373
ABCC5	1995
ABCC5_AS1	28
ABCC6	251
ABCC6P1	54
ABCC6P2	30
ABCC8	4
ABCC9	21
ABCD1	223
ABCD2	140
ABCD3	1569
ABCD4	329
ABCE1	433
ABCF1	3016
ABCF2	548
ABCF3	541
ABCG1	572
ABCG2	0
ABCG4	4
ABCG5	6
ABCG8	2
ABHD1	22
ABHD10	292
ABHD11	509
ABHD11_AS1	52
ABHD12	274
ABHD12B	138
ABHD13	419
ABHD14A	20
ABHD14A_ACY1	0
ABHD14B	234
ABHD15	141
ABHD16A	395
ABHD16B	69
ABHD17A	179
ABHD17B	422
ABHD17C	143
ABHD2	2699
ABHD3	239
ABHD4	170
ABHD5	339
ABHD6	222
ABHD8	44
ABI1	1830
ABI2	1113
ABI3	174
ABI3BP	58
ABL1	627
ABL2	498
ABLIM1	2642
ABLIM2	60
ABLIM3	45
ABO	113
ABR	1842
ABRA	5
ABRACL	224
ABT1	252
ABTB1	194
ABTB2	103
ACAA1	489
ACAA2	42
ACACA	1999
ACACB	937
ACAD10	478
ACAD11	89
ACAD8	267
ACAD9	611
ACADL	46
ACADM	551
ACADS	64
ACADSB	324
ACADVL	1639
ACAN	11
ACAP1	190
ACAP2	1698
ACAP3	544
ACAT1	422
ACAT2	80
ACBD3	3212
ACBD4	113
ACBD5	506
ACBD6	483
ACBD7	402
ACCS	222
ACCSL	1
ACD	97
ACE	105
ACE2	163
ACER1	2
ACER2	141
ACER3	198
ACHE	42
ACIN1	7442
ACKR1	0
ACKR2	39
ACKR3	71
ACKR4	85
ACLY	1042
ACMSD	8
ACO1	552
ACO2	850
ACOT1	12
ACOT11	261
