	gene_id_NPS_343_R1_
A1BG	0
A1BG_AS1	3
A1CF	4
A2M	40
A2M_AS1	16
A2ML1	57
A2MP1	3
A3GALT2	3
A4GALT	462
A4GNT	0
AA06	0
AAAS	107
AACS	193
AACSP1	12
AADAC	8
AADACL2	114
AADACL2_AS1	34
AADACL3	0
AADACL4	0
AADACP1	65
AADAT	64
AAED1	53
AAGAB	299
AAK1	479
AAMDC	62
AAMP	781
AANAT	0
AAR2	63
AARD	0
AARS	324
AARS2	102
AARSD1	7
AASDH	89
AASDHPPT	95
AASS	146
AATBC	36
AATF	655
AATK	30
AATK_AS1	0
ABALON	46
ABAT	142
ABCA1	105
ABCA10	40
ABCA11P	30
ABCA12	202
ABCA13	10481
ABCA17P	4
ABCA2	215
ABCA3	30
ABCA4	57
ABCA5	570
ABCA6	20
ABCA7	455
ABCA8	2
ABCA9	27
ABCA9_AS1	0
ABCB1	12
ABCB10	112
ABCB11	320
ABCB4	10
ABCB5	6
ABCB6	102
ABCB7	122
ABCB8	207
ABCB9	4
ABCC1	649
ABCC10	159
ABCC11	7
ABCC12	1
ABCC13	25
ABCC2	9
ABCC3	148
ABCC4	92
ABCC5	554
ABCC5_AS1	11
ABCC6	89
ABCC6P1	11
ABCC6P2	0
ABCC8	0
ABCC9	6
ABCD1	48
ABCD2	78
ABCD3	728
ABCD4	129
ABCE1	154
ABCF1	1022
ABCF2	182
ABCF3	212
ABCG1	173
ABCG2	3
ABCG4	0
ABCG5	15
ABCG8	0
ABHD1	9
ABHD10	154
ABHD11	289
ABHD11_AS1	36
ABHD12	127
ABHD12B	99
ABHD13	127
ABHD14A	3
ABHD14A_ACY1	0
ABHD14B	97
ABHD15	51
ABHD16A	184
ABHD16B	29
ABHD17A	64
ABHD17B	142
ABHD17C	85
ABHD2	2168
ABHD3	84
ABHD4	45
ABHD5	150
ABHD6	94
ABHD8	15
ABI1	716
ABI2	472
ABI3	17
ABI3BP	49
ABL1	258
ABL2	165
ABLIM1	1770
ABLIM2	23
ABLIM3	19
ABO	316
ABR	552
ABRA	2
ABRACL	110
ABT1	91
ABTB1	46
ABTB2	25
ACAA1	164
ACAA2	12
ACACA	793
ACACB	364
ACAD10	101
ACAD11	22
ACAD8	152
ACAD9	139
ACADL	9
ACADM	180
ACADS	51
ACADSB	150
ACADVL	836
ACAN	4
ACAP1	77
ACAP2	580
ACAP3	233
ACAT1	145
ACAT2	35
ACBD3	1656
ACBD4	37
ACBD5	210
ACBD6	141
ACBD7	103
ACCS	36
ACCSL	0
ACD	44
ACE	58
ACE2	41
ACER1	0
ACER2	80
ACER3	79
ACHE	11
ACIN1	2363
ACKR1	0
ACKR2	55
ACKR3	13
ACKR4	8
ACLY	429
ACMSD	0
ACO1	125
ACO2	423
ACOT1	0
ACOT11	122
ACOT12	0
ACOT13	201
ACOT2	25
ACOT4	6
ACOT6	0
ACOT7	26
ACOT8	49
ACOT9	178
ACOX1	309
ACOX2	21
ACOX3	238
ACOXL	27
ACP1	233
ACP2	73
ACP5	15
ACP6	95
ACPP	22
ACPT	7
ACR	9
ACRBP	22
ACRC	17
ACRV1	0
ACSBG1	79
ACSBG2	8
ACSF2	185
ACSF3	149
ACSL1	222
ACSL3	525
ACSL4	74
ACSL5	305
ACSL6	5
ACSM1	15
ACSM2A	0
ACSM2B	0
ACSM3	9
ACSM4	0
ACSM5	0
ACSM6	11
ACSS1	243
ACSS2	106
ACSS3	96
ACTA1	0
ACTA2	19
ACTA2_AS1	0
ACTB	4408
ACTBL2	2
ACTC1	4
ACTG1	3688
ACTG1P17	5
ACTG1P20	10
ACTG1P4	11
ACTG2	1
ACTL10	10
ACTL6A	136
ACTL6B	0
ACTL7A	0
ACTL7B	0
ACTL8	0
ACTL9	0
ACTN1	465
ACTN1_AS1	0
ACTN2	0
ACTN3	1
ACTN4	2786
ACTR10	120
ACTR1A	102
ACTR1B	122
ACTR2	744
ACTR3	575
ACTR3B	65
ACTR3BP2	0
ACTR3BP5	0
ACTR3C	28
ACTR5	46
ACTR6	207
ACTR8	153
ACTRT1	0
ACTRT2	2
ACTRT3	2
ACVR1	132
ACVR1B	233
ACVR1C	354
ACVR2A	95
ACVR2B	87
ACVR2B_AS1	12
ACVRL1	3
ACY1	0
ACY3	5
ACYP1	90
ACYP2	20
ADA	12
ADAD1	0
ADAD2	2
ADAL	60
ADAM10	519
ADAM11	5
ADAM12	286
ADAM15	305
ADAM17	230
ADAM18	0
ADAM19	13
ADAM1A	63
ADAM2	0
ADAM20	13
ADAM20P1	15
ADAM21	11
ADAM21P1	0
ADAM22	30
ADAM23	2
ADAM28	579
ADAM29	0
ADAM30	0
ADAM32	46
ADAM33	0
ADAM3A	0
ADAM5	0
ADAM6	0
ADAM7	0
ADAM8	33
ADAM9	741
ADAMDEC1	6
ADAMTS1	1
ADAMTS10	9
ADAMTS12	4
ADAMTS13	31
ADAMTS14	12
ADAMTS15	13
ADAMTS16	3
ADAMTS17	60
ADAMTS18	7
ADAMTS19	0
ADAMTS19_AS1	0
ADAMTS2	0
ADAMTS20	0
ADAMTS3	18
ADAMTS4	3
ADAMTS5	0
ADAMTS6	8
ADAMTS7	3
ADAMTS7P1	18
ADAMTS8	18
ADAMTS9	40
ADAMTS9_AS1	0
ADAMTS9_AS2	0
ADAMTSL1	42
ADAMTSL2	0
ADAMTSL3	53
ADAMTSL4	78
ADAMTSL4_AS1	28
ADAMTSL5	5
ADAP1	43
ADAP2	13
ADAR	1279
ADARB1	35
ADARB2	59
ADARB2_AS1	3
ADAT1	95
ADAT2	85
ADAT3	10
ADCK1	165
ADCK2	147
ADCK3	116
ADCK4	216
ADCK5	34
ADCY1	4
