	gene_id_Covid5_R1_
A1BG	1
A1BG_AS1	0
A1CF	0
A2M	0
A2M_AS1	0
A2ML1	0
A2MP1	1
A3GALT2	0
A4GALT	3
A4GNT	0
AA06	0
AAAS	0
AACS	6
AACSP1	4
AADAC	0
AADACL2	0
AADACL2_AS1	0
AADACL3	0
AADACL4	0
AADACP1	0
AADAT	0
AAED1	0
AAGAB	0
AAK1	20
AAMDC	0
AAMP	1
AANAT	0
AAR2	2
AARD	0
AARS	1
AARS2	2
AARSD1	0
AASDH	0
AASDHPPT	2
AASS	2
AATBC	1
AATF	4
AATK	11
AATK_AS1	0
ABALON	0
ABAT	3
ABCA1	2
ABCA10	1
ABCA11P	0
ABCA12	6
ABCA13	6
ABCA17P	2
ABCA2	2
ABCA3	8
ABCA4	2
ABCA5	7
ABCA6	0
ABCA7	6
ABCA8	0
ABCA9	0
ABCA9_AS1	0
ABCB1	0
ABCB10	0
ABCB11	1
ABCB4	0
ABCB5	3
ABCB6	0
ABCB7	0
ABCB8	4
ABCB9	2
ABCC1	4
ABCC10	4
ABCC11	0
ABCC12	0
ABCC13	0
ABCC2	1
ABCC3	4
ABCC4	4
ABCC5	1
ABCC5_AS1	0
ABCC6	1
ABCC6P1	0
ABCC6P2	0
ABCC8	1
ABCC9	2
ABCD1	1
ABCD2	0
ABCD3	1
ABCD4	0
ABCE1	0
ABCF1	1
ABCF2	5
ABCF3	8
ABCG1	3
ABCG2	0
ABCG4	5
ABCG5	1
ABCG8	0
ABHD1	1
ABHD10	2
ABHD11	1
ABHD11_AS1	2
ABHD12	5
ABHD12B	1
ABHD13	0
ABHD14A	0
ABHD14A_ACY1	0
ABHD14B	2
ABHD15	1
ABHD16A	2
ABHD16B	2
ABHD17A	0
ABHD17B	0
ABHD17C	0
ABHD2	1
ABHD3	1
ABHD4	1
ABHD5	0
ABHD6	1
ABHD8	1
ABI1	8
ABI2	2
ABI3	8
ABI3BP	1
ABL1	12
ABL2	2
ABLIM1	4
ABLIM2	7
ABLIM3	2
ABO	1
ABR	12
ABRA	0
ABRACL	0
ABT1	0
ABTB1	2
ABTB2	14
ACAA1	2
ACAA2	1
ACACA	5
ACACB	3
ACAD10	0
ACAD11	0
ACAD8	6
ACAD9	1
ACADL	3
ACADM	3
ACADS	0
ACADSB	3
ACADVL	3
ACAN	3
ACAP1	0
ACAP2	0
ACAP3	2
ACAT1	1
ACAT2	1
ACBD3	15
ACBD4	4
ACBD5	50
ACBD6	4
ACBD7	0
ACCS	3
ACCSL	2
ACD	2
ACE	32
ACE2	1
ACER1	3
ACER2	0
ACER3	0
ACHE	1
ACIN1	14
ACKR1	0
ACKR2	0
ACKR3	0
ACKR4	0
ACLY	2
ACMSD	0
ACO1	1
ACO2	5
ACOT1	0
ACOT11	5
ACOT12	0
ACOT13	3
ACOT2	0
ACOT4	1
ACOT6	0
ACOT7	1
ACOT8	2
ACOT9	0
ACOX1	5
ACOX2	2
ACOX3	0
ACOXL	5
ACP1	1
ACP2	1
ACP5	1
ACP6	2
ACPP	0
ACPT	7
ACR	0
ACRBP	0
ACRC	1
ACRV1	0
ACSBG1	0
ACSBG2	1
ACSF2	0
ACSF3	1
ACSL1	5
ACSL3	2
ACSL4	1
ACSL5	1
ACSL6	1
ACSM1	3
ACSM2A	0
ACSM2B	0
ACSM3	1
ACSM4	2
ACSM5	0
ACSM6	0
ACSS1	4
ACSS2	1
ACSS3	0
ACTA1	11
ACTA2	58
ACTA2_AS1	0
ACTB	56
ACTBL2	2
ACTC1	2
ACTG1	63
ACTG1P17	0
ACTG1P20	0
ACTG1P4	0
ACTG2	3
ACTL10	0
ACTL6A	0
ACTL6B	4
ACTL7A	3
ACTL7B	12
ACTL8	0
ACTL9	1
ACTN1	4
ACTN1_AS1	0
ACTN2	1
ACTN3	0
ACTN4	11
ACTR10	0
ACTR1A	3
ACTR1B	1
ACTR2	8
ACTR3	3
ACTR3B	0
ACTR3BP2	0
ACTR3BP5	0
ACTR3C	1
ACTR5	0
ACTR6	3
ACTR8	0
ACTRT1	1
ACTRT2	1
ACTRT3	0
ACVR1	0
ACVR1B	1
ACVR1C	1139
ACVR2A	16
ACVR2B	4
ACVR2B_AS1	0
ACVRL1	3
ACY1	0
ACY3	0
ACYP1	11
ACYP2	0
ADA	23
ADAD1	0
ADAD2	1
ADAL	1
ADAM10	1
ADAM11	4
ADAM12	1
ADAM15	0
ADAM17	2
ADAM18	0
ADAM19	3
ADAM1A	0
ADAM2	0
ADAM20	1
ADAM20P1	0
ADAM21	0
ADAM21P1	0
ADAM22	7
ADAM23	9
ADAM28	5
ADAM29	1
ADAM30	1
ADAM32	0
ADAM33	1
ADAM3A	0
ADAM5	0
ADAM6	0
ADAM7	1
ADAM8	2
ADAM9	2
ADAMDEC1	0
ADAMTS1	0
ADAMTS10	12
ADAMTS12	4
ADAMTS13	0
ADAMTS14	0
ADAMTS15	6
ADAMTS16	2
ADAMTS17	3
ADAMTS18	5
ADAMTS19	0
ADAMTS19_AS1	0
ADAMTS2	7
ADAMTS20	0
ADAMTS3	1
ADAMTS4	1
ADAMTS5	20
ADAMTS6	3
ADAMTS7	4
ADAMTS7P1	2
ADAMTS8	2
ADAMTS9	2
ADAMTS9_AS1	0
ADAMTS9_AS2	0
ADAMTSL1	74
ADAMTSL2	4
ADAMTSL3	0
