	gene_id_NPS_106_R1_
A1BG	1
A1BG_AS1	1
A1CF	3
A2M	295
A2M_AS1	4
A2ML1	16
A2MP1	1
A3GALT2	0
A4GALT	363
A4GNT	1
AA06	0
AAAS	73
AACS	81
AACSP1	14
AADAC	11
AADACL2	44
AADACL2_AS1	19
AADACL3	0
AADACL4	2
AADACP1	72
AADAT	52
AAED1	53
AAGAB	248
AAK1	494
AAMDC	65
AAMP	463
AANAT	0
AAR2	81
AARD	4
AARS	268
AARS2	51
AARSD1	5
AASDH	59
AASDHPPT	140
AASS	80
AATBC	14
AATF	393
AATK	6
AATK_AS1	1
ABALON	30
ABAT	123
ABCA1	156
ABCA10	40
ABCA11P	14
ABCA12	170
ABCA13	7190
ABCA17P	4
ABCA2	132
ABCA3	37
ABCA4	19
ABCA5	478
ABCA6	10
ABCA7	188
ABCA8	2
ABCA9	9
ABCA9_AS1	0
ABCB1	21
ABCB10	88
ABCB11	180
ABCB4	3
ABCB5	4
ABCB6	104
ABCB7	93
ABCB8	74
ABCB9	3
ABCC1	364
ABCC10	82
ABCC11	2
ABCC12	0
ABCC13	2
ABCC2	7
ABCC3	84
ABCC4	228
ABCC5	491
ABCC5_AS1	15
ABCC6	24
ABCC6P1	4
ABCC6P2	1
ABCC8	1
ABCC9	4
ABCD1	30
ABCD2	56
ABCD3	594
ABCD4	102
ABCE1	184
ABCF1	628
ABCF2	175
ABCF3	196
ABCG1	136
ABCG2	1
ABCG4	0
ABCG5	4
ABCG8	0
ABHD1	5
ABHD10	154
ABHD11	137
ABHD11_AS1	14
ABHD12	65
ABHD12B	96
ABHD13	177
ABHD14A	6
ABHD14A_ACY1	0
ABHD14B	146
ABHD15	37
ABHD16A	101
ABHD16B	37
ABHD17A	42
ABHD17B	107
ABHD17C	70
ABHD2	1347
ABHD3	52
ABHD4	37
ABHD5	148
ABHD6	54
ABHD8	10
ABI1	635
ABI2	360
ABI3	32
ABI3BP	3
ABL1	200
ABL2	156
ABLIM1	1542
ABLIM2	18
ABLIM3	16
ABO	23
ABR	440
ABRA	0
ABRACL	130
ABT1	127
ABTB1	52
ABTB2	29
ACAA1	129
ACAA2	13
ACACA	664
ACACB	217
ACAD10	106
ACAD11	23
ACAD8	85
ACAD9	113
ACADL	8
ACADM	377
ACADS	36
ACADSB	189
ACADVL	356
ACAN	1
ACAP1	41
ACAP2	587
ACAP3	81
ACAT1	159
ACAT2	45
ACBD3	863
ACBD4	22
ACBD5	208
ACBD6	115
ACBD7	157
ACCS	36
ACCSL	0
ACD	30
ACE	57
ACE2	44
ACER1	0
ACER2	48
ACER3	76
ACHE	2
ACIN1	1234
ACKR1	3
ACKR2	17
ACKR3	69
ACKR4	15
ACLY	377
ACMSD	1
ACO1	130
ACO2	227
ACOT1	9
ACOT11	50
ACOT12	0
ACOT13	177
ACOT2	42
ACOT4	0
ACOT6	0
ACOT7	40
ACOT8	29
ACOT9	124
ACOX1	257
ACOX2	29
ACOX3	130
ACOXL	0
ACP1	244
ACP2	53
ACP5	44
ACP6	81
ACPP	22
ACPT	4
ACR	3
ACRBP	3
ACRC	11
ACRV1	0
ACSBG1	65
ACSBG2	3
ACSF2	97
ACSF3	62
ACSL1	220
ACSL3	459
ACSL4	170
ACSL5	163
ACSL6	2
ACSM1	3
ACSM2A	0
ACSM2B	0
ACSM3	22
ACSM4	0
ACSM5	3
ACSM6	3
ACSS1	186
ACSS2	123
ACSS3	110
ACTA1	0
ACTA2	14
ACTA2_AS1	0
ACTB	4277
ACTBL2	1
ACTC1	3
ACTG1	2895
ACTG1P17	3
ACTG1P20	25
ACTG1P4	3
ACTG2	2
ACTL10	10
ACTL6A	162
ACTL6B	0
ACTL7A	1
ACTL7B	0
ACTL8	0
ACTL9	1
ACTN1	271
ACTN1_AS1	0
ACTN2	2
ACTN3	0
ACTN4	2051
ACTR10	206
ACTR1A	127
ACTR1B	94
ACTR2	713
ACTR3	645
ACTR3B	50
ACTR3BP2	0
ACTR3BP5	0
ACTR3C	17
ACTR5	25
ACTR6	210
ACTR8	151
ACTRT1	0
