	gene_id_NPS_112_R1_
A1BG	3
A1BG_AS1	1
A1CF	5
A2M	296
A2M_AS1	6
A2ML1	47
A2MP1	4
A3GALT2	3
A4GALT	681
A4GNT	0
AA06	0
AAAS	71
AACS	176
AACSP1	55
AADAC	19
AADACL2	60
AADACL2_AS1	16
AADACL3	2
AADACL4	0
AADACP1	26
AADAT	64
AAED1	56
AAGAB	325
AAK1	732
AAMDC	86
AAMP	748
AANAT	0
AAR2	63
AARD	0
AARS	290
AARS2	77
AARSD1	6
AASDH	94
AASDHPPT	170
AASS	152
AATBC	24
AATF	452
AATK	29
AATK_AS1	0
ABALON	45
ABAT	110
ABCA1	678
ABCA10	29
ABCA11P	38
ABCA12	238
ABCA13	5292
ABCA17P	2
ABCA2	107
ABCA3	42
ABCA4	43
ABCA5	376
ABCA6	15
ABCA7	388
ABCA8	9
ABCA9	5
ABCA9_AS1	0
ABCB1	21
ABCB10	125
ABCB11	259
ABCB4	9
ABCB5	5
ABCB6	139
ABCB7	121
ABCB8	117
ABCB9	15
ABCC1	594
ABCC10	111
ABCC11	2
ABCC12	1
ABCC13	0
ABCC2	16
ABCC3	185
ABCC4	246
ABCC5	497
ABCC5_AS1	8
ABCC6	23
ABCC6P1	0
ABCC6P2	3
ABCC8	3
ABCC9	4
ABCD1	99
ABCD2	31
ABCD3	929
ABCD4	147
ABCE1	282
ABCF1	887
ABCF2	284
ABCF3	262
ABCG1	307
ABCG2	1
ABCG4	2
ABCG5	1
ABCG8	0
ABHD1	4
ABHD10	183
ABHD11	171
ABHD11_AS1	10
ABHD12	126
ABHD12B	38
ABHD13	216
ABHD14A	6
ABHD14A_ACY1	0
ABHD14B	179
ABHD15	80
ABHD16A	177
ABHD16B	54
ABHD17A	48
ABHD17B	139
ABHD17C	175
ABHD2	1536
ABHD3	78
ABHD4	90
ABHD5	305
ABHD6	67
ABHD8	39
ABI1	876
ABI2	340
ABI3	42
ABI3BP	16
ABL1	341
ABL2	197
ABLIM1	2059
ABLIM2	26
ABLIM3	59
ABO	256
ABR	543
ABRA	3
ABRACL	177
ABT1	192
ABTB1	87
ABTB2	26
ACAA1	150
ACAA2	27
ACACA	770
ACACB	211
ACAD10	101
ACAD11	29
ACAD8	239
ACAD9	163
ACADL	7
ACADM	357
ACADS	60
ACADSB	239
ACADVL	526
ACAN	2
ACAP1	57
ACAP2	854
ACAP3	144
ACAT1	192
ACAT2	70
ACBD3	1046
ACBD4	37
ACBD5	288
ACBD6	259
ACBD7	88
ACCS	39
ACCSL	0
ACD	50
ACE	60
ACE2	53
ACER1	0
ACER2	100
ACER3	145
ACHE	16
ACIN1	1608
ACKR1	5
ACKR2	29
ACKR3	15
ACKR4	16
ACLY	519
ACMSD	3
ACO1	207
ACO2	305
ACOT1	10
ACOT11	43
ACOT12	0
ACOT13	207
ACOT2	32
ACOT4	5
ACOT6	0
ACOT7	100
ACOT8	24
ACOT9	173
ACOX1	522
ACOX2	52
ACOX3	180
ACOXL	3
ACP1	348
ACP2	80
ACP5	68
ACP6	106
ACPP	38
ACPT	2
ACR	2
ACRBP	4
ACRC	24
ACRV1	1
ACSBG1	38
ACSBG2	9
ACSF2	152
ACSF3	89
ACSL1	360
ACSL3	732
ACSL4	269
ACSL5	209
ACSL6	10
ACSM1	12
ACSM2A	0
ACSM2B	0
ACSM3	20
ACSM4	4
ACSM5	4
ACSM6	7
ACSS1	150
ACSS2	174
ACSS3	163
ACTA1	2
ACTA2	19
ACTA2_AS1	1
ACTB	6860
ACTBL2	14
ACTC1	5
ACTG1	4533
ACTG1P17	5
ACTG1P20	33
ACTG1P4	14
ACTG2	1
ACTL10	19
ACTL6A	240
ACTL6B	5
ACTL7A	1
ACTL7B	3
ACTL8	0
ACTL9	0
ACTN1	513
ACTN1_AS1	2
ACTN2	0
ACTN3	1
ACTN4	3034
ACTR10	190
ACTR1A	285
ACTR1B	148
ACTR2	1074
ACTR3	822
ACTR3B	43
ACTR3BP2	0
ACTR3BP5	0
ACTR3C	24
ACTR5	32
ACTR6	160
ACTR8	204
ACTRT1	0
ACTRT2	0
ACTRT3	6
ACVR1	119
ACVR1B	245
ACVR1C	1257
ACVR2A	165
ACVR2B	138
ACVR2B_AS1	13
ACVRL1	19
ACY1	21
ACY3	18
ACYP1	84
ACYP2	41
ADA	22
ADAD1	0
ADAD2	9
ADAL	83
ADAM10	675
ADAM11	9
ADAM12	126
ADAM15	311
ADAM17	311
ADAM18	0
ADAM19	53
ADAM1A	49
ADAM2	0
ADAM20	23
ADAM20P1	17
ADAM21	3
ADAM21P1	0
ADAM22	22
ADAM23	5
ADAM28	1079
ADAM29	2
ADAM30	0
ADAM32	14
ADAM33	1
ADAM3A	1
ADAM5	0
ADAM6	0
ADAM7	3
ADAM8	66
ADAM9	1092
ADAMDEC1	31
ADAMTS1	27
ADAMTS10	4
ADAMTS12	14
ADAMTS13	13
ADAMTS14	4
ADAMTS15	8
ADAMTS16	4
ADAMTS17	39
ADAMTS18	12
ADAMTS19	4
ADAMTS19_AS1	1
ADAMTS2	27
ADAMTS20	0
ADAMTS3	14
ADAMTS4	2
ADAMTS5	1
ADAMTS6	11
ADAMTS7	1
ADAMTS7P1	4
ADAMTS8	13
ADAMTS9	102
ADAMTS9_AS1	0
ADAMTS9_AS2	5
ADAMTSL1	132
ADAMTSL2	0
ADAMTSL3	20
ADAMTSL4	79
ADAMTSL4_AS1	14
ADAMTSL5	11
ADAP1	38
ADAP2	21
ADAR	1797
ADARB1	24
ADARB2	36
ADARB2_AS1	6
ADAT1	119
ADAT2	88
ADAT3	8
ADCK1	40
ADCK2	98
ADCK3	225
ADCK4	107
ADCK5	34
ADCY1	14
ADCY10	2
ADCY10P1	23
ADCY2	93
ADCY3	61
ADCY4	21
ADCY5	15
ADCY6	307
ADCY7	72
ADCY8	3
ADCY9	213
ADCYAP1	1
ADCYAP1R1	2
ADD1	886
ADD2	5
ADD3	782
ADD3_AS1	13
ADGB	634
ADGRA1	1
ADGRA1_AS1	0
