	gene_id_WB4_
A1BG	6
A1BG_AS1	5
A1CF	45
A2M	19
A2M_AS1	7
A2ML1	44
A2MP1	12
A3GALT2	6
A4GALT	17
A4GNT	7
AA06	4
AAAS	26
AACS	29
AACSP1	12
AADAC	5
AADACL2	13
AADACL2_AS1	6
AADACL3	21
AADACL4	16
AADACP1	4
AADAT	12
AAED1	2
AAGAB	21
AAK1	72
AAMDC	7
AAMP	23
AANAT	21
AAR2	8
AARD	5
AARS	40
AARS2	51
AARSD1	0
AASDH	12
AASDHPPT	8
AASS	22
AATBC	42
AATF	23
AATK	26
AATK_AS1	18
ABALON	11
ABAT	34
ABCA1	124
ABCA10	23
ABCA11P	1
ABCA12	52
ABCA13	60
ABCA17P	26
ABCA2	52
ABCA3	57
ABCA4	78
ABCA5	29
ABCA6	27
ABCA7	105
ABCA8	33
ABCA9	30
ABCA9_AS1	4
ABCB1	29
ABCB10	23
ABCB11	20
ABCB4	25
ABCB5	34
ABCB6	28
ABCB7	16
ABCB8	61
ABCB9	27
ABCC1	68
ABCC10	39
ABCC11	54
ABCC12	36
ABCC13	28
ABCC2	42
ABCC3	47
ABCC4	71
ABCC5	57
ABCC5_AS1	4
ABCC6	57
ABCC6P1	14
ABCC6P2	3
ABCC8	67
ABCC9	38
ABCD1	34
ABCD2	13
ABCD3	13
ABCD4	28
ABCE1	11
ABCF1	42
ABCF2	42
ABCF3	34
ABCG1	41
ABCG2	20
ABCG4	41
ABCG5	12
ABCG8	16
ABHD1	14
ABHD10	11
ABHD11	17
ABHD11_AS1	4
ABHD12	30
ABHD12B	11
ABHD13	15
ABHD14A	9
ABHD14A_ACY1	0
ABHD14B	26
ABHD15	14
ABHD16A	40
ABHD16B	3
ABHD17A	9
ABHD17B	8
ABHD17C	3
ABHD2	57
ABHD3	13
ABHD4	20
ABHD5	17
ABHD6	10
ABHD8	14
ABI1	19
ABI2	26
ABI3	13
ABI3BP	22
ABL1	40
ABL2	51
ABLIM1	46
ABLIM2	56
ABLIM3	43
ABO	28
ABR	78
ABRA	9
ABRACL	3
ABT1	12
ABTB1	36
ABTB2	50
ACAA1	19
ACAA2	8
ACACA	66
ACACB	95
ACAD10	32
ACAD11	0
ACAD8	12
ACAD9	26
ACADL	4
ACADM	11
ACADS	17
ACADSB	23
ACADVL	52
ACAN	62
ACAP1	58
ACAP2	46
ACAP3	18
ACAT1	14
ACAT2	11
