	gene_id_NPS_328_R1_
A1BG	0
A1BG_AS1	2
A1CF	4
A2M	593
A2M_AS1	19
A2ML1	142
A2MP1	2
A3GALT2	0
A4GALT	1367
A4GNT	0
AA06	0
AAAS	196
AACS	554
AACSP1	19
AADAC	10
AADACL2	243
AADACL2_AS1	101
AADACL3	0
AADACL4	1
AADACP1	104
AADAT	270
AAED1	96
AAGAB	572
AAK1	1470
AAMDC	165
AAMP	1935
AANAT	8
AAR2	146
AARD	0
AARS	815
AARS2	242
AARSD1	16
AASDH	161
AASDHPPT	309
AASS	351
AATBC	50
AATF	1886
AATK	30
AATK_AS1	6
ABALON	101
ABAT	400
ABCA1	818
ABCA10	121
ABCA11P	76
ABCA12	759
ABCA13	18742
ABCA17P	15
ABCA2	333
ABCA3	81
ABCA4	96
ABCA5	1210
ABCA6	21
ABCA7	739
ABCA8	2
ABCA9	28
ABCA9_AS1	0
ABCB1	82
ABCB10	169
ABCB11	501
ABCB4	30
ABCB5	21
ABCB6	318
ABCB7	255
ABCB8	291
ABCB9	42
ABCC1	1039
ABCC10	384
ABCC11	13
ABCC12	0
ABCC13	1
ABCC2	40
ABCC3	482
ABCC4	497
ABCC5	2018
ABCC5_AS1	25
ABCC6	45
ABCC6P1	1
ABCC6P2	5
ABCC8	0
ABCC9	14
ABCD1	126
ABCD2	129
ABCD3	2003
ABCD4	336
ABCE1	421
ABCF1	2781
ABCF2	576
ABCF3	604
ABCG1	766
ABCG2	0
ABCG4	1
ABCG5	11
ABCG8	1
ABHD1	22
ABHD10	396
ABHD11	531
ABHD11_AS1	67
ABHD12	319
ABHD12B	186
ABHD13	563
ABHD14A	26
ABHD14A_ACY1	0
ABHD14B	433
ABHD15	159
ABHD16A	440
ABHD16B	97
ABHD17A	152
ABHD17B	371
ABHD17C	175
ABHD2	4373
ABHD3	141
ABHD4	204
ABHD5	511
ABHD6	208
ABHD8	47
ABI1	2022
ABI2	861
ABI3	130
ABI3BP	29
ABL1	702
ABL2	438
ABLIM1	4372
ABLIM2	81
ABLIM3	14
ABO	862
ABR	1420
ABRA	5
ABRACL	334
ABT1	511
ABTB1	205
ABTB2	44
ACAA1	330
ACAA2	30
ACACA	1722
ACACB	704
ACAD10	373
ACAD11	48
ACAD8	423
ACAD9	442
ACADL	34
ACADM	871
ACADS	111
ACADSB	392
ACADVL	1464
ACAN	0
ACAP1	254
ACAP2	1715
ACAP3	406
ACAT1	496
ACAT2	231
ACBD3	4397
ACBD4	120
ACBD5	862
ACBD6	573
ACBD7	319
ACCS	165
ACCSL	0
ACD	52
ACE	151
ACE2	116
ACER1	0
ACER2	118
ACER3	197
ACHE	77
ACIN1	6324
ACKR1	2
ACKR2	64
ACKR3	137
ACKR4	59
ACLY	1115
ACMSD	3
ACO1	309
ACO2	1035
ACOT1	61
ACOT11	187
ACOT12	3
ACOT13	473
ACOT2	169
ACOT4	4
ACOT6	0
ACOT7	186
ACOT8	88
ACOT9	311
ACOX1	923
ACOX2	132
ACOX3	781
ACOXL	4
ACP1	607
ACP2	209
ACP5	75
ACP6	241
ACPP	47
ACPT	7
ACR	7
ACRBP	64
ACRC	32
ACRV1	3
ACSBG1	172
ACSBG2	6
ACSF2	344
ACSF3	218
ACSL1	609
ACSL3	1039
ACSL4	266
ACSL5	494
ACSL6	41
ACSM1	15
ACSM2A	0
ACSM2B	0
ACSM3	29
ACSM4	2
ACSM5	4
ACSM6	15
ACSS1	503
ACSS2	286
ACSS3	234
ACTA1	7
ACTA2	51
ACTA2_AS1	3
ACTB	14746
ACTBL2	6
ACTC1	6
ACTG1	9777
ACTG1P17	17
ACTG1P20	29
ACTG1P4	16
ACTG2	10
ACTL10	40
ACTL6A	425
ACTL6B	2
ACTL7A	5
ACTL7B	0
ACTL8	0
ACTL9	1
ACTN1	1022
ACTN1_AS1	0
ACTN2	0
ACTN3	2
ACTN4	7142
ACTR10	447
ACTR1A	389
ACTR1B	302
ACTR2	2533
ACTR3	1264
ACTR3B	105
ACTR3BP2	0
ACTR3BP5	0
ACTR3C	65
ACTR5	76
ACTR6	455
ACTR8	600
ACTRT1	0
ACTRT2	0
ACTRT3	17
ACVR1	275
ACVR1B	689
ACVR1C	1087
ACVR2A	293
ACVR2B	305
ACVR2B_AS1	60
ACVRL1	25
ACY1	32
ACY3	30
ACYP1	292
ACYP2	75
ADA	26
ADAD1	0
ADAD2	33
ADAL	124
ADAM10	1265
ADAM11	17
ADAM12	604
ADAM15	711
ADAM17	582
ADAM18	0
ADAM19	191
ADAM1A	159
ADAM2	0
ADAM20	46
ADAM20P1	50
ADAM21	23
ADAM21P1	0
ADAM22	84
ADAM23	14
ADAM28	2556
ADAM29	6
ADAM30	1
ADAM32	57
ADAM33	2
ADAM3A	2
ADAM5	0
ADAM6	0
ADAM7	0
ADAM8	127
ADAM9	1514
ADAMDEC1	88
ADAMTS1	8
ADAMTS10	10
ADAMTS12	3
ADAMTS13	39
ADAMTS14	16
ADAMTS15	14
ADAMTS16	13
ADAMTS17	161
ADAMTS18	4
ADAMTS19	8
ADAMTS19_AS1	6
ADAMTS2	6
ADAMTS20	0
ADAMTS3	16
ADAMTS4	16
ADAMTS5	3
ADAMTS6	15
ADAMTS7	27
ADAMTS7P1	17
ADAMTS8	75
ADAMTS9	66
ADAMTS9_AS1	1
ADAMTS9_AS2	4
ADAMTSL1	63
ADAMTSL2	7
ADAMTSL3	51
ADAMTSL4	279
ADAMTSL4_AS1	44
ADAMTSL5	12
ADAP1	90
ADAP2	77
ADAR	3816
ADARB1	101
ADARB2	170
ADARB2_AS1	13
ADAT1	411
ADAT2	407
ADAT3	29
ADCK1	112
ADCK2	270
ADCK3	525
ADCK4	325
ADCK5	59
ADCY1	21
ADCY10	9
ADCY10P1	23
ADCY2	333
ADCY3	158
ADCY4	101
ADCY5	14
ADCY6	521
ADCY7	171
ADCY8	1
ADCY9	616
ADCYAP1	0
ADCYAP1R1	2
ADD1	2202
ADD2	8
ADD3	1621
ADD3_AS1	19
ADGB	3272
ADGRA1	0
ADGRA1_AS1	0
ADGRA2	31
ADGRA3	482
ADGRB1	5
ADGRB2	88
ADGRB3	9
ADGRD1	6
ADGRE1	5
ADGRE2	95
ADGRE3	7
ADGRE4P	30
ADGRE5	748
ADGRF1	1287
ADGRF2	19
ADGRF3	100
ADGRF4	2
ADGRF5	38
ADGRG1	1356
ADGRG2	32
ADGRG3	15
ADGRG4	0
ADGRG5	43
ADGRG6	80
ADGRG7	0
ADGRL1	195
ADGRL2	173
ADGRL3	27
ADGRL3_AS1	0
ADGRL4	0
ADGRV1	680
ADH1A	19
ADH1B	1
ADH1C	4484
ADH4	83
ADH5	625
ADH6	326
ADH7	5929
ADHFE1	158
ADI1	833
ADIG	2
ADIPOQ	0
ADIPOQ_AS1	0
ADIPOR1	1941
ADIPOR2	404
ADIRF	347
ADK	198
ADM	73
ADM2	12
ADM5	12
ADNP	1304
ADNP_AS1	255
ADNP2	321
ADO	94
ADORA1	2
ADORA2A	1
ADORA2A_AS1	5
ADORA2B	95
ADORA3	2
ADPGK	197
ADPGK_AS1	19
ADPRH	205
ADPRHL1	137
ADPRHL2	458
ADPRM	62
ADRA1A	20
ADRA1B	1
ADRA1D	0
ADRA2A	88
ADRA2B	1
ADRA2C	12
ADRB1	452
ADRB2	62
ADRB3	3
ADRBK1	1224
ADRBK2	361
ADRM1	1266
ADSL	323
ADSS	1287
ADSSL1	366
ADTRP	182
AEBP1	46
AEBP2	2507
AEN	81
AES	5817
AFAP1	247
AFAP1_AS1	32
AFAP1L1	89
AFAP1L2	82
AFF1	2312
AFF2	6
AFF3	93
AFF4	2029
AFG3L1P	117
AFG3L2	912
AFM	0
AFMID	81
AFP	1
AFTPH	800
AGA	216
AGAP1	850
AGAP1_IT1	88
AGAP11	65
AGAP2	88
AGAP2_AS1	1
AGAP3	715
AGAP4	28
AGAP5	56
AGAP6	43
AGAP7P	1
AGAP9	152
AGBL1	21
AGBL1_AS1	1
AGBL2	917
AGBL3	180
AGBL4	81
AGBL4_IT1	18
AGBL5	791
AGBL5_AS1	0
AGER	123
AGFG1	481
AGFG2	806
AGGF1	794
AGK	323
AGL	844
AGMAT	34
AGMO	3
AGO1	1214
AGO2	748
AGO3	265
AGO4	735
AGPAT1	339
AGPAT2	267
AGPAT3	839
AGPAT4	126
AGPAT4_IT1	0
AGPAT5	200
AGPS	404
AGR2	4361
AGR3	203
AGRN	1630
AGRP	7
AGT	4
AGTPBP1	321
AGTR1	2
AGTR2	0
AGTRAP	171
