	gene_id_WB26_
A1BG	31
A1BG_AS1	4
A1CF	1
A2M	671
A2M_AS1	125
A2ML1	3
A2MP1	50
A3GALT2	1
A4GALT	0
A4GNT	0
AA06	0
AAAS	59
AACS	62
AACSP1	0
AADAC	0
AADACL2	0
AADACL2_AS1	0
AADACL3	0
AADACL4	0
AADACP1	0
AADAT	0
AAED1	35
AAGAB	164
AAK1	1181
AAMDC	23
AAMP	328
AANAT	3
AAR2	95
AARD	0
AARS	287
AARS2	154
AARSD1	3
AASDH	85
AASDHPPT	169
AASS	27
AATBC	257
AATF	271
AATK	191
AATK_AS1	0
ABALON	154
ABAT	121
ABCA1	248
ABCA10	17
ABCA11P	20
ABCA12	3
ABCA13	10
ABCA17P	1
ABCA2	410
ABCA3	47
ABCA4	0
ABCA5	164
ABCA6	7
ABCA7	1010
ABCA8	0
ABCA9	1
ABCA9_AS1	0
ABCB1	131
ABCB10	606
ABCB11	2
ABCB4	13
ABCB5	19
ABCB6	39
ABCB7	181
ABCB8	107
ABCB9	14
ABCC1	494
ABCC10	221
ABCC11	0
ABCC12	0
ABCC13	150
ABCC2	17
ABCC3	155
ABCC4	687
ABCC5	302
ABCC5_AS1	1
ABCC6	62
ABCC6P1	0
ABCC6P2	0
ABCC8	0
ABCC9	0
ABCD1	116
ABCD2	193
ABCD3	167
ABCD4	184
ABCE1	304
ABCF1	314
ABCF2	170
ABCF3	202
ABCG1	97
ABCG2	126
ABCG4	0
ABCG5	3
ABCG8	0
ABHD1	7
ABHD10	122
ABHD11	21
ABHD11_AS1	1
ABHD12	53
ABHD12B	8
ABHD13	196
ABHD14A	24
ABHD14A_ACY1	0
ABHD14B	134
ABHD15	113
ABHD16A	256
ABHD16B	27
ABHD17A	348
ABHD17B	119
ABHD17C	4
ABHD2	1685
ABHD3	178
ABHD4	112
ABHD5	228
ABHD6	49
ABHD8	34
ABI1	724
ABI2	147
ABI3	160
ABI3BP	12
ABL1	186
ABL2	217
ABLIM1	939
ABLIM2	8
ABLIM3	34
ABO	7
ABR	650
ABRA	12
ABRACL	170
ABT1	161
ABTB1	935
ABTB2	23
ACAA1	307
ACAA2	150
ACACA	194
ACACB	116
ACAD10	127
ACAD11	23
ACAD8	99
ACAD9	173
ACADL	0
ACADM	253
ACADS	74
ACADSB	106
ACADVL	663
ACAN	4
ACAP1	741
ACAP2	1468
ACAP3	150
ACAT1	117
ACAT2	66
ACBD3	195
ACBD4	53
ACBD5	174
ACBD6	166
ACBD7	0
ACCS	54
ACCSL	3
ACD	38
ACE	28
ACE2	0
ACER1	2
ACER2	55
ACER3	210
ACHE	29
ACIN1	962
ACKR1	26
ACKR2	17
ACKR3	15
ACKR4	6
ACLY	738
ACMSD	7
ACO1	118
ACO2	237
ACOT1	2
ACOT11	3
ACOT12	3
ACOT13	116
ACOT2	30
ACOT4	2
ACOT6	0
ACOT7	13
ACOT8	63
ACOT9	167
