	gene_id_NPS_321_R1_
A1BG	19
A1BG_AS1	18
A1CF	11
A2M	352
A2M_AS1	39
A2ML1	23
A2MP1	6
A3GALT2	7
A4GALT	914
A4GNT	1
AA06	0
AAAS	269
AACS	465
AACSP1	5
AADAC	8
AADACL2	532
AADACL2_AS1	319
AADACL3	3
AADACL4	0
AADACP1	181
AADAT	736
AAED1	129
AAGAB	732
AAK1	1816
AAMDC	244
AAMP	1919
AANAT	0
AAR2	197
AARD	0
AARS	1385
AARS2	275
AARSD1	20
AASDH	273
AASDHPPT	538
AASS	611
AATBC	48
AATF	1659
AATK	22
AATK_AS1	0
ABALON	68
ABAT	794
ABCA1	590
ABCA10	463
ABCA11P	83
ABCA12	89
ABCA13	34468
ABCA17P	4
ABCA2	777
ABCA3	201
ABCA4	95
ABCA5	3420
ABCA6	207
ABCA7	839
ABCA8	0
ABCA9	186
ABCA9_AS1	0
ABCB1	25
ABCB10	475
ABCB11	118
ABCB4	13
ABCB5	33
ABCB6	236
ABCB7	409
ABCB8	329
ABCB9	40
ABCC1	997
ABCC10	364
ABCC11	15
ABCC12	1
ABCC13	0
ABCC2	50
ABCC3	291
ABCC4	748
ABCC5	2822
ABCC5_AS1	32
ABCC6	233
ABCC6P1	63
ABCC6P2	39
ABCC8	9
ABCC9	320
ABCD1	107
ABCD2	339
ABCD3	2089
ABCD4	390
ABCE1	513
ABCF1	2308
ABCF2	704
ABCF3	650
ABCG1	1570
ABCG2	2
ABCG4	2
ABCG5	8
ABCG8	0
ABHD1	11
ABHD10	570
ABHD11	512
ABHD11_AS1	140
ABHD12	287
ABHD12B	465
ABHD13	644
ABHD14A	51
ABHD14A_ACY1	0
ABHD14B	534
ABHD15	158
ABHD16A	386
ABHD16B	113
ABHD17A	98
ABHD17B	599
ABHD17C	298
ABHD2	6458
ABHD3	252
ABHD4	156
ABHD5	535
ABHD6	246
ABHD8	86
ABI1	2465
ABI2	1871
ABI3	100
ABI3BP	72
ABL1	822
ABL2	550
ABLIM1	3380
ABLIM2	49
ABLIM3	0
ABO	157
ABR	1693
ABRA	11
ABRACL	226
ABT1	477
ABTB1	219
ABTB2	52
ACAA1	486
ACAA2	119
ACACA	2679
ACACB	820
ACAD10	383
ACAD11	169
ACAD8	284
ACAD9	536
ACADL	102
ACADM	1912
ACADS	95
ACADSB	547
ACADVL	1047
ACAN	0
ACAP1	138
ACAP2	1973
ACAP3	312
ACAT1	908
ACAT2	206
ACBD3	3065
ACBD4	97
ACBD5	939
ACBD6	597
ACBD7	550
ACCS	124
ACCSL	0
ACD	162
ACE	194
ACE2	58
ACER1	0
ACER2	66
ACER3	174
ACHE	13
ACIN1	6375
ACKR1	11
ACKR2	49
ACKR3	239
ACKR4	79
ACLY	1364
ACMSD	3
ACO1	357
ACO2	1094
ACOT1	28
ACOT11	242
ACOT12	0
ACOT13	580
ACOT2	118
ACOT4	20
ACOT6	2
ACOT7	84
ACOT8	136
ACOT9	252
ACOX1	1205
ACOX2	130
ACOX3	493
ACOXL	19
ACP1	927
ACP2	165
ACP5	49
ACP6	352
ACPP	48
ACPT	9
ACR	5
ACRBP	44
ACRC	29
ACRV1	2
ACSBG1	357
ACSBG2	13
ACSF2	401
ACSF3	270
ACSL1	245
ACSL3	1415
ACSL4	471
ACSL5	520
ACSL6	41
ACSM1	29
ACSM2A	0
ACSM2B	0
ACSM3	86
ACSM4	383
ACSM5	0
ACSM6	41
ACSS1	1024
ACSS2	269
ACSS3	438
ACTA1	4
ACTA2	73
ACTA2_AS1	3
ACTB	14944
ACTBL2	21
ACTC1	4
ACTG1	9662
ACTG1P17	19
ACTG1P20	57
ACTG1P4	21
ACTG2	3
ACTL10	34
ACTL6A	614
ACTL6B	0
ACTL7A	1
ACTL7B	0
ACTL8	0
ACTL9	0
ACTN1	1458
ACTN1_AS1	0
ACTN2	0
ACTN3	1
ACTN4	5875
ACTR10	687
ACTR1A	547
ACTR1B	443
ACTR2	2694
ACTR3	1984
ACTR3B	177
ACTR3BP2	0
ACTR3BP5	0
ACTR3C	118
ACTR5	66
ACTR6	752
ACTR8	537
ACTRT1	0
ACTRT2	2
ACTRT3	47
ACVR1	358
ACVR1B	952
ACVR1C	692
ACVR2A	408
ACVR2B	532
ACVR2B_AS1	47
ACVRL1	21
ACY1	35
ACY3	9
ACYP1	699
ACYP2	135
ADA	23
ADAD1	0
ADAD2	45
ADAL	188
ADAM10	1608
ADAM11	14
ADAM12	888
ADAM15	252
ADAM17	457
ADAM18	0
ADAM19	83
ADAM1A	220
ADAM2	2
ADAM20	62
ADAM20P1	57
ADAM21	33
ADAM21P1	0
ADAM22	231
ADAM23	23
ADAM28	7966
ADAM29	4
ADAM30	0
ADAM32	54
ADAM33	1
ADAM3A	0
ADAM5	0
ADAM6	0
ADAM7	3
ADAM8	36
ADAM9	1463
ADAMDEC1	18
ADAMTS1	13
ADAMTS10	7
ADAMTS12	38
ADAMTS13	58
ADAMTS14	68
ADAMTS15	62
ADAMTS16	21
ADAMTS17	50
ADAMTS18	23
ADAMTS19	21
ADAMTS19_AS1	2
ADAMTS2	10
ADAMTS20	2
ADAMTS3	41
ADAMTS4	8
ADAMTS5	4
ADAMTS6	71
ADAMTS7	0
ADAMTS7P1	25
ADAMTS8	118
ADAMTS9	261
ADAMTS9_AS1	14
ADAMTS9_AS2	59
ADAMTSL1	165
ADAMTSL2	9
ADAMTSL3	75
ADAMTSL4	69
ADAMTSL4_AS1	26
ADAMTSL5	40
ADAP1	111
ADAP2	126
ADAR	3982
ADARB1	121
ADARB2	152
ADARB2_AS1	0
ADAT1	355
ADAT2	315
ADAT3	38
ADCK1	142
ADCK2	138
ADCK3	458
ADCK4	426
ADCK5	64
ADCY1	46
ADCY10	8
ADCY10P1	74
ADCY2	814
ADCY3	194
ADCY4	14
ADCY5	75
ADCY6	428
ADCY7	147
ADCY8	2
ADCY9	1055
ADCYAP1	0
ADCYAP1R1	1
ADD1	3046
ADD2	49
ADD3	2080
ADD3_AS1	23
ADGB	6584
ADGRA1	5
ADGRA1_AS1	0
ADGRA2	16
ADGRA3	781
ADGRB1	1
ADGRB2	69
ADGRB3	39
ADGRD1	3
ADGRE1	3
ADGRE2	33
ADGRE3	7
ADGRE4P	17
ADGRE5	301
ADGRF1	560
ADGRF2	100
ADGRF3	88
ADGRF4	34
ADGRF5	154
ADGRG1	1272
ADGRG2	33
ADGRG3	17
ADGRG4	4
ADGRG5	14
ADGRG6	201
ADGRG7	0
ADGRL1	747
ADGRL2	322
ADGRL3	218
ADGRL3_AS1	2
ADGRL4	1
ADGRV1	2825
ADH1A	14
ADH1B	1
ADH1C	2858
ADH4	58
ADH5	616
ADH6	717
ADH7	2198
ADHFE1	366
ADI1	851
ADIG	0
ADIPOQ	0
ADIPOQ_AS1	0
ADIPOR1	2934
ADIPOR2	454
ADIRF	304
ADK	255
ADM	32
ADM2	12
ADM5	9
ADNP	2060
ADNP_AS1	178
ADNP2	356
ADO	163
ADORA1	8
ADORA2A	0
ADORA2A_AS1	5
ADORA2B	219
ADORA3	5
ADPGK	306
ADPGK_AS1	32
ADPRH	226
ADPRHL1	88
ADPRHL2	871
ADPRM	87
ADRA1A	6
ADRA1B	2
ADRA1D	3
ADRA2A	51
ADRA2B	15
ADRA2C	10
ADRB1	459
ADRB2	60
ADRB3	0
ADRBK1	868
ADRBK2	592
ADRM1	1051
ADSL	498
ADSS	2435
ADSSL1	352
ADTRP	162
AEBP1	40
AEBP2	2886
AEN	62
AES	6222
AFAP1	291
AFAP1_AS1	24
AFAP1L1	71
AFAP1L2	113
AFF1	3640
AFF2	12
AFF3	61
AFF4	2779
AFG3L1P	121
AFG3L2	996
AFM	0
AFMID	130
AFP	0
AFTPH	1083
AGA	186
AGAP1	1153
AGAP1_IT1	59
AGAP11	49
AGAP2	69
AGAP2_AS1	0
AGAP3	844
AGAP4	53
AGAP5	57
AGAP6	74
AGAP7P	40
AGAP9	57
AGBL1	14
AGBL1_AS1	2
AGBL2	2982
AGBL3	246
AGBL4	516
AGBL4_IT1	84
AGBL5	956
AGBL5_AS1	2
AGER	70
AGFG1	771
AGFG2	537
AGGF1	1195
AGK	380
AGL	1374
AGMAT	53
AGMO	0
AGO1	1526
AGO2	847
AGO3	375
AGO4	1047
AGPAT1	423
AGPAT2	244
AGPAT3	1428
AGPAT4	273
AGPAT4_IT1	21
AGPAT5	305
AGPS	675
AGR2	3915
AGR3	622
AGRN	1084
AGRP	10
AGT	12
AGTPBP1	504
AGTR1	4
AGTR2	0
AGTRAP	258
AGXT	1
AGXT2	0
AHCTF1	1407
AHCTF1P1	45
AHCY	390
AHCYL1	2074
AHCYL2	1098
AHDC1	874
AHI1	1532
AHNAK	33015
AHNAK2	1383
AHR	1433
AHRR	4
AHSA1	3000
AHSA2	1330
AHSG	6
AHSP	0
AICDA	3
AIDA	127
AIF1	84
AIF1L	99
AIFM1	413
AIFM2	218
AIFM3	14
AIG1	303
AIM1	1663
AIM1L	19
AIM2	6
AIMP1	1349
AIMP2	126
AIP	144
AIPL1	2
AIRE	0
AIRN	22
AJAP1	27
AJUBA	470
AK1	2569
AK2	732
AK3	636
AK4	55
AK5	7
AK6	190
AK7	7939
AK8	1080
AK9	6656
AKAP1	605
AKAP10	712
AKAP11	2798
AKAP12	237
AKAP13	6090
AKAP14	2051
AKAP17A	470
AKAP2	7
AKAP3	221
AKAP4	1
AKAP5	88
AKAP6	2130
AKAP7	230
AKAP8	1043
AKAP8L	1472
AKAP9	20591
AKIP1	268
AKIRIN1	701
AKIRIN2	322
AKNA	2717
AKNAD1	1
AKR1A1	1481
AKR1B1	246
AKR1B10	109
AKR1B15	1
AKR1C1	279
AKR1C2	286
AKR1C3	378
AKR1C4	18
AKR1C6P	4
AKR1C8P	36
AKR1D1	0
AKR1E2	24
AKR7A2	346
AKR7A2P1	2
AKR7A3	36
AKR7L	55
AKT1	1176
AKT1S1	539
AKT2	828
AKT3	536
AKTIP	404
ALAD	599
ALAS1	1342
ALAS2	2
ALB	8
ALCAM	9852
ALDH16A1	228
ALDH18A1	797
ALDH1A1	15845
ALDH1A2	66
ALDH1A3	533
ALDH1B1	83
ALDH1L1	553
ALDH1L1_AS1	4
ALDH1L1_AS2	12
ALDH1L2	91
ALDH2	1525
ALDH3A1	8655
ALDH3A2	2278
ALDH3B1	7017
ALDH3B2	282
ALDH4A1	121
ALDH5A1	465
ALDH6A1	419
ALDH7A1	974
ALDH8A1	2
ALDH9A1	972
ALDOA	5444
ALDOB	3
ALDOC	60
ALG1	118
ALG10	152
ALG10B	315
ALG11	288
ALG12	161
ALG13	1078
ALG14	68
ALG1L	12
ALG1L2	7
ALG1L9P	51
ALG2	432
ALG3	180
ALG5	241
ALG6	154
ALG8	178
ALG9	274
ALK	78
ALKBH1	97
ALKBH2	80
ALKBH3	330
ALKBH3_AS1	34
ALKBH4	64
ALKBH5	2572
ALKBH6	229
ALKBH7	213
ALKBH8	291
ALLC	0
ALMS1	6943
ALMS1_IT1	115
ALMS1P	188
ALOX12	38
ALOX12_AS1	6
ALOX12B	13
ALOX12P2	353
ALOX15	27355
ALOX15B	8
ALOX15P1	16
ALOX5	55
ALOX5AP	9
ALOXE3	3
ALPI	0
ALPK1	523
ALPK2	0
ALPK3	312
ALPL	183
ALPP	0
ALPPL2	0
ALS2	844
ALS2CL	206
ALS2CR11	50
ALS2CR12	2572
ALX1	5
ALX3	14
ALX4	4
ALYREF	279
AMACR	25
AMBN	0
AMBP	4
AMBRA1	581
AMD1	969
AMDHD1	4
AMDHD2	107
AMELX	4
AMELY	10
AMER1	130
AMER2	20
AMER3	4
AMFR	966
AMH	462
AMHR2	3
AMICA1	125
AMIGO1	90
AMIGO2	130
AMIGO3	86
AMMECR1	245
AMMECR1L	278
AMN	30
AMN1	240
AMOT	1762
AMOTL1	412
AMOTL2	249
AMPD1	6
AMPD2	188
AMPD3	1337
AMPH	47
AMT	245
AMTN	1
AMY1A	0
AMY1B	0
AMY1C	0
AMY2A	0
AMY2B	273
AMZ1	5
AMZ2	882
AMZ2P1	277
ANAPC1	431
ANAPC10	149
ANAPC11	802
ANAPC13	523
ANAPC15	126
ANAPC16	1524
ANAPC1P1	2
ANAPC2	382
ANAPC4	366
ANAPC5	1311
ANAPC7	431
ANG	6
ANGEL1	161
ANGEL2	543
ANGPT1	196
ANGPT2	65
ANGPT4	9
ANGPTL1	112
ANGPTL2	90
ANGPTL3	25
ANGPTL4	21
ANGPTL5	88
ANGPTL6	4
ANGPTL7	16
ANHX	0
ANK1	13
ANK2	600
ANK3	8159
ANKAR	155
ANKDD1A	69
ANKDD1B	1008
ANKEF1	495
ANKFN1	932
ANKFY1	1199
ANKH	331
ANKHD1	51
ANKHD1_EIF4EBP3	20
ANKIB1	982
ANKK1	202
ANKLE1	8
ANKLE2	938
ANKMY1	977
ANKMY2	646
ANKRA2	1541
ANKRD1	0
ANKRD10	519
ANKRD11	4571
ANKRD12	4320
ANKRD13A	692
ANKRD13B	27
ANKRD13C	738
ANKRD13D	337
ANKRD16	137
ANKRD17	5081
ANKRD18A	882
ANKRD18B	408
ANKRD18DP	3
ANKRD19P	28
ANKRD2	0
ANKRD20A1	0
ANKRD20A11P	40
ANKRD20A12P	4
ANKRD20A19P	15
ANKRD20A2	0
ANKRD20A3	0
ANKRD20A4	71
ANKRD20A5P	35
ANKRD20A8P	19
ANKRD20A9P	4
ANKRD22	5
ANKRD23	322
ANKRD24	106
ANKRD26	2847
ANKRD26P1	0
ANKRD26P3	2
ANKRD27	559
ANKRD28	1739
ANKRD29	76
ANKRD30A	35
ANKRD30B	0
ANKRD30BL	1
ANKRD30BP2	0
ANKRD30BP3	0
ANKRD31	160
ANKRD33	0
ANKRD33B	33
ANKRD34A	57
ANKRD34B	6
ANKRD34C	0
ANKRD34C_AS1	0
ANKRD35	1219
ANKRD36	1447
ANKRD36B	539
ANKRD36BP1	181
ANKRD36BP2	32
ANKRD36C	1049
ANKRD37	223
ANKRD39	178
ANKRD40	698
ANKRD42	2443
ANKRD44	261
ANKRD44_IT1	23
ANKRD45	1371
ANKRD46	163
ANKRD49	217
ANKRD50	834
ANKRD52	1005
ANKRD53	54
ANKRD54	840
ANKRD55	5
ANKRD6	570
ANKRD60	2
ANKRD61	42
ANKRD62	800
ANKRD62P1_PARP4P3	3
ANKRD63	0
ANKRD65	930
ANKRD66	1074
ANKRD7	0
ANKRD9	32
ANKS1A	1439
ANKS1B	75
ANKS3	172
ANKS4B	6
ANKS6	627
ANKUB1	2989
ANKZF1	1774
ANLN	121
ANO1	151
ANO1_AS2	3
ANO10	160
ANO2	91
ANO3	13
ANO4	237
ANO5	54
ANO6	1459
ANO7	21
ANO8	70
ANO9	155
ANOS1	1105
ANP32A	3670
ANP32A_IT1	65
ANP32AP1	24
ANP32B	7807
ANP32C	15
ANP32D	0
ANP32E	5380
ANPEP	981
ANTXR1	1568
ANTXR2	244
ANTXRL	0
ANTXRLP1	2
ANXA1	13148
ANXA10	19
ANXA11	2334
ANXA13	0
ANXA2	6742
ANXA2P1	75
ANXA2P2	17
ANXA2P3	2
ANXA2R	10
ANXA3	366
ANXA4	880
ANXA5	2495
ANXA6	310
ANXA7	1638
ANXA8	62
ANXA8L1	52
ANXA9	81
AOAH	61
AOAH_IT1	4
AOC1	8
AOC2	36
AOC3	16
AOC4P	0
AOX1	21
AOX2P	2
AP1AR	424
AP1B1	1408
AP1B1P1	0
AP1G1	2357
AP1G2	319
AP1M1	304
AP1M2	1084
AP1S1	377
AP1S2	50
AP1S3	137
AP2A1	1045
AP2A2	579
AP2B1	3036
AP2M1	2241
AP2S1	235
AP3B1	1490
AP3B2	66
AP3D1	3863
AP3M1	568
AP3M2	662
AP3S1	289
AP3S2	92
AP4B1	175
AP4B1_AS1	5
AP4E1	433
AP4M1	115
AP4S1	302
AP5B1	245
AP5M1	392
AP5S1	138
AP5Z1	375
APAF1	377
APBA1	141
APBA2	25
APBA3	88
APBB1	725
APBB1IP	72
APBB2	978
APBB3	144
APC	1625
APC2	110
APCDD1	428
APCDD1L	0
APCDD1L_AS1	1
APCS	0
APEH	489
APELA	18
APEX1	1212
APEX2	137
APH1A	498
APH1B	325
API5	1040
APIP	79
APITD1	15
APITD1_CORT	0
APLF	276
APLN	5
APLNR	0
APLP1	119
APLP2	19392
APMAP	484
APOA1	0
APOA1_AS	11
APOA1BP	208
APOA2	0
APOA4	1
APOA5	2
APOB	5
APOBEC1	0
APOBEC2	68
APOBEC3A	2
APOBEC3A_B	0
APOBEC3B	12
APOBEC3B_AS1	0
APOBEC3C	450
APOBEC3D	179
APOBEC3F	273
APOBEC3G	139
APOBEC3H	3
APOBEC4	1764
APOBR	198
APOC1	2
APOC1P1	2
APOC2	0
APOC3	0
APOC4	0
APOC4_APOC2	2
APOD	670
APOE	90
APOF	17
APOH	0
APOL1	726
APOL2	381
APOL3	128
APOL4	107
APOL5	1
APOL6	1232
APOLD1	46
APOM	24
APOO	322
APOOL	516
APOOP5	0
APOPT1	272
APP	13754
APPBP2	856
APPL1	1542
APPL2	2264
APRT	264
APTR	380
APTX	400
AQP1	84
AQP10	4
AQP11	67
AQP12A	0
AQP12B	0
AQP2	63
AQP3	6789
AQP4	310
AQP4_AS1	591
AQP5	1197
AQP6	52
AQP7	117
AQP7P1	28
AQP7P3	2
AQP8	0
AQP9	2
AQR	1183
AR	401
ARAF	480
ARAP1	1755
ARAP2	1081
ARAP3	270
ARC	2
ARCN1	2620
AREG	23
AREL1	642
ARF1	2216
ARF3	2473
ARF4	1030
ARF5	436
ARF6	1892
ARFGAP1	372
ARFGAP2	933
ARFGAP3	1011
ARFGEF1	3588
ARFGEF2	1531
ARFGEF3	7878
ARFIP1	459
ARFIP2	1284
ARFRP1	329
ARG1	10
ARG2	196
ARGFX	2
ARGFXP2	27
ARGLU1	3714
ARHGAP1	707
ARHGAP10	153
ARHGAP11A	105
ARHGAP11B	6
ARHGAP12	1660
ARHGAP15	21
ARHGAP17	546
ARHGAP18	5972
ARHGAP19	117
ARHGAP19_SLIT1	0
ARHGAP20	126
ARHGAP21	1664
ARHGAP22	58
ARHGAP23	951
ARHGAP24	728
ARHGAP25	117
ARHGAP26	464
ARHGAP26_AS1	11
ARHGAP26_IT1	0
ARHGAP27	275
ARHGAP28	55
ARHGAP29	297
ARHGAP30	445
ARHGAP31	110
ARHGAP31_AS1	23
ARHGAP32	4084
ARHGAP33	419
ARHGAP35	2391
ARHGAP36	1
ARHGAP39	1731
ARHGAP4	85
ARHGAP40	0
ARHGAP42	363
ARHGAP44	692
ARHGAP5	4830
ARHGAP5_AS1	104
ARHGAP6	63
ARHGAP8	2
ARHGAP9	53
ARHGDIA	1645
ARHGDIB	453
ARHGDIG	31
ARHGEF1	668
ARHGEF10	136
ARHGEF10L	248
ARHGEF11	1436
ARHGEF12	5041
ARHGEF15	2
ARHGEF16	147
ARHGEF17	544
ARHGEF18	805
ARHGEF19	165
ARHGEF2	572
ARHGEF25	10
ARHGEF26	582
ARHGEF26_AS1	175
ARHGEF28	2206
ARHGEF3	397
ARHGEF3_AS1	10
ARHGEF33	370
ARHGEF34P	51
ARHGEF35	116
ARHGEF37	559
ARHGEF38	1126
ARHGEF38_IT1	25
ARHGEF39	13
ARHGEF4	191
ARHGEF40	170
ARHGEF5	199
ARHGEF6	447
ARHGEF7	961
ARHGEF7_AS1	0
ARHGEF7_AS2	0
ARHGEF9	414
ARHGEF9_IT1	0
ARID1A	4128
ARID1B	3126
ARID2	1362
ARID3A	40
ARID3B	128
ARID3C	2
ARID4A	1261
ARID4B	3594
ARID5A	87
ARID5B	1373
ARIH1	1810
ARIH2	994
ARIH2OS	27
ARL1	1993
ARL10	10
ARL11	80
ARL13A	38
ARL13B	1362
ARL14	0
ARL14EP	401
ARL14EPL	8
ARL15	81
ARL16	235
ARL17A	83
ARL17B	0
ARL2	60
ARL2_SNX15	0
ARL2BP	297
ARL3	3474
ARL4A	809
ARL4C	229
ARL4D	277
ARL5A	563
ARL5B	166
ARL5C	0
ARL6	442
ARL6IP1	1810
ARL6IP4	4248
ARL6IP5	721
ARL6IP6	153
ARL8A	545
ARL8B	486
ARL9	14
ARMC1	285
ARMC10	180
ARMC12	8
ARMC2	3454
ARMC2_AS1	248
ARMC3	7314
ARMC4	3570
ARMC5	162
ARMC6	173
ARMC7	303
ARMC8	815
ARMC9	811
ARMCX1	70
ARMCX2	132
ARMCX3	879
ARMCX4	570
ARMCX5	151
ARMCX5_GPRASP2	8
ARMCX6	107
ARMS2	5
ARMT1	456
ARNT	1302
ARNT2	105
ARNTL	231
ARNTL2	182
ARNTL2_AS1	2
ARPC1A	1089
ARPC1B	393
ARPC2	1287
ARPC3	1757
