	gene_id_FLU_29_S179_
A1BG	2
A1BG_AS1	0
A1CF	0
A2M	218
A2M_AS1	44
A2ML1	7
A2MP1	6
A3GALT2	19
A4GALT	0
A4GNT	0
AA06	0
AAAS	10
AACS	17
AACSP1	0
AADAC	0
AADACL2	0
AADACL2_AS1	0
AADACL3	0
AADACL4	0
AADACP1	0
AADAT	0
AAED1	14
AAGAB	157
AAK1	670
AAMDC	3
AAMP	64
AANAT	15
AAR2	17
AARD	2
AARS	156
AARS2	28
AARSD1	0
AASDH	75
AASDHPPT	72
AASS	17
AATBC	46
AATF	289
AATK	212
AATK_AS1	0
ABALON	18
ABAT	242
ABCA1	2470
ABCA10	31
ABCA11P	2
ABCA12	2
ABCA13	261
ABCA17P	0
ABCA2	398
ABCA3	4
ABCA4	1
ABCA5	256
ABCA6	4
ABCA7	680
ABCA8	1
ABCA9	2
ABCA9_AS1	0
ABCB1	30
ABCB10	131
ABCB11	6
ABCB4	1
ABCB5	2
ABCB6	42
ABCB7	78
ABCB8	6
ABCB9	1
ABCC1	158
ABCC10	31
ABCC11	5
ABCC12	3
ABCC13	79
ABCC2	83
ABCC3	77
ABCC4	349
ABCC5	386
ABCC5_AS1	1
ABCC6	14
ABCC6P1	0
ABCC6P2	0
ABCC8	0
ABCC9	2
ABCD1	27
ABCD2	46
ABCD3	118
ABCD4	44
ABCE1	68
ABCF1	120
ABCF2	44
ABCF3	85
ABCG1	254
ABCG2	46
ABCG4	0
ABCG5	0
ABCG8	0
ABHD1	3
ABHD10	43
ABHD11	14
ABHD11_AS1	5
ABHD12	18
ABHD12B	406
ABHD13	633
ABHD14A	8
ABHD14A_ACY1	0
ABHD14B	12
ABHD15	24
ABHD16A	350
ABHD16B	8
ABHD17A	66
ABHD17B	74
ABHD17C	56
ABHD2	2689
ABHD3	842
ABHD4	138
ABHD5	2942
ABHD6	7
ABHD8	6
ABI1	1443
ABI2	57
ABI3	30
ABI3BP	51
ABL1	34
ABL2	503
ABLIM1	251
ABLIM2	1
ABLIM3	44
ABO	0
ABR	497
ABRA	13
ABRACL	53
ABT1	62
ABTB1	579
ABTB2	16
ACAA1	392
ACAA2	58
ACACA	57
ACACB	26
ACAD10	75
ACAD11	3
ACAD8	87
ACAD9	54
ACADL	1
ACADM	65
ACADS	2
ACADSB	51
ACADVL	438
ACAN	1
ACAP1	846
ACAP2	5340
ACAP3	43
ACAT1	40
ACAT2	31
ACBD3	250
ACBD4	6
ACBD5	162
ACBD6	56
ACBD7	9
ACCS	30
ACCSL	0
ACD	9
ACE	0
ACE2	44
ACER1	0
ACER2	16
ACER3	550
ACHE	13
ACIN1	1175
ACKR1	1
ACKR2	1
ACKR3	8
ACKR4	2
ACLY	457
ACMSD	1
ACO1	242
ACO2	64
ACOT1	2
ACOT11	0
ACOT12	0
ACOT13	261
ACOT2	3
ACOT4	4
ACOT6	0
ACOT7	3
ACOT8	27
ACOT9	265
ACOX1	2547
ACOX2	5
ACOX3	37
ACOXL	9
ACP1	304
ACP2	12
ACP5	24
ACP6	61
ACPP	268
ACPT	0
ACR	0
ACRBP	43
ACRC	148
ACRV1	0
ACSBG1	1
ACSBG2	0
ACSF2	11
ACSF3	56
ACSL1	49414
ACSL3	917
ACSL4	2878
ACSL5	353
ACSL6	36
ACSM1	0
ACSM2A	0
ACSM2B	3
ACSM3	1
ACSM4	1
ACSM5	1
ACSM6	0
ACSS1	49
ACSS2	120
ACSS3	6
ACTA1	0
ACTA2	19
ACTA2_AS1	14
ACTB	23584
ACTBL2	0
ACTC1	0
ACTG1	6553
ACTG1P17	3
ACTG1P20	36
ACTG1P4	4
ACTG2	0
ACTL10	0
ACTL6A	34
ACTL6B	0
ACTL7A	0
ACTL7B	0
ACTL8	1
ACTL9	1
ACTN1	2176
ACTN1_AS1	0
ACTN2	1
ACTN3	0
ACTN4	1036
ACTR10	168
ACTR1A	430
ACTR1B	47
ACTR2	4980
ACTR3	6963
ACTR3B	20
ACTR3BP2	0
ACTR3BP5	0
ACTR3C	10
ACTR5	20
ACTR6	43
ACTR8	68
ACTRT1	0
ACTRT2	0
ACTRT3	1
ACVR1	71
ACVR1B	154
ACVR1C	0
ACVR2A	51
ACVR2B	12
ACVR2B_AS1	0
ACVRL1	7
ACY1	0
ACY3	1
ACYP1	1
ACYP2	11
ADA	19
ADAD1	2
ADAD2	0
ADAL	20
ADAM10	2720
ADAM11	0
ADAM12	5
ADAM15	33
ADAM17	927
ADAM18	0
ADAM19	1520
ADAM1A	30
ADAM2	1
ADAM20	23
ADAM20P1	12
ADAM21	2
ADAM21P1	0
ADAM22	45
ADAM23	7
ADAM28	49
ADAM29	0
ADAM30	1
ADAM32	16
ADAM33	0
ADAM3A	0
ADAM5	0
ADAM6	0
ADAM7	6
ADAM8	2207
ADAM9	493
ADAMDEC1	1
ADAMTS1	1
ADAMTS10	2
ADAMTS12	0
ADAMTS13	1
ADAMTS14	2
ADAMTS15	3
ADAMTS16	0
ADAMTS17	1
ADAMTS18	1
ADAMTS19	0
ADAMTS19_AS1	0
ADAMTS2	45
