	gene_id_NPS-364_
A1BG	1
A1BG_AS1	0
A1CF	0
A2M	3
A2M_AS1	0
A2ML1	0
A2MP1	0
A3GALT2	0
A4GALT	3
A4GNT	0
AA06	0
AAAS	2
AACS	12
AACSP1	0
AADAC	0
AADACL2	0
AADACL2_AS1	0
AADACL3	0
AADACL4	0
AADACP1	0
AADAT	0
AAED1	0
AAGAB	6
AAK1	13
AAMDC	1
AAMP	23
AANAT	1
AAR2	2
AARD	0
AARS	9
AARS2	0
AARSD1	0
AASDH	0
AASDHPPT	0
AASS	1
AATBC	0
AATF	33
AATK	1
AATK_AS1	0
ABALON	1
ABAT	4
ABCA1	9
ABCA10	0
ABCA11P	0
ABCA12	0
ABCA13	57
ABCA17P	0
ABCA2	2
ABCA3	3
ABCA4	0
ABCA5	1
ABCA6	0
ABCA7	11
ABCA8	0
ABCA9	0
ABCA9_AS1	0
ABCB1	2
ABCB10	2
ABCB11	1
ABCB4	0
ABCB5	0
ABCB6	1
ABCB7	2
ABCB8	10
ABCB9	0
ABCC1	9
ABCC10	1
ABCC11	0
ABCC12	0
ABCC13	0
ABCC2	1
ABCC3	0
ABCC4	1
ABCC5	1
ABCC5_AS1	0
ABCC6	0
ABCC6P1	0
ABCC6P2	0
ABCC8	0
ABCC9	0
ABCD1	15
ABCD2	0
ABCD3	5
ABCD4	2
ABCE1	0
ABCF1	26
ABCF2	10
ABCF3	5
ABCG1	3
ABCG2	0
ABCG4	0
ABCG5	0
ABCG8	3
ABHD1	0
ABHD10	0
ABHD11	3
ABHD11_AS1	0
ABHD12	0
ABHD12B	0
ABHD13	0
ABHD14A	0
ABHD14A_ACY1	0
ABHD14B	0
ABHD15	0
ABHD16A	7
ABHD16B	1
ABHD17A	0
ABHD17B	1
ABHD17C	3
ABHD2	6
ABHD3	0
ABHD4	0
ABHD5	0
ABHD6	0
ABHD8	0
ABI1	11
ABI2	0
ABI3	4
ABI3BP	0
ABL1	7
ABL2	2
ABLIM1	6
ABLIM2	2
ABLIM3	0
ABO	1
ABR	11
ABRA	0
ABRACL	2
ABT1	7
ABTB1	4
ABTB2	5
ACAA1	4
ACAA2	1
ACACA	5
ACACB	7
ACAD10	0
ACAD11	0
ACAD8	1
ACAD9	3
ACADL	0
ACADM	1
ACADS	0
ACADSB	0
ACADVL	28
ACAN	0
ACAP1	6
ACAP2	12
ACAP3	4
ACAT1	4
ACAT2	0
ACBD3	50
ACBD4	0
ACBD5	11
ACBD6	1
ACBD7	0
ACCS	0
ACCSL	0
ACD	0
ACE	1
ACE2	5
ACER1	0
ACER2	0
ACER3	0
ACHE	1
ACIN1	82
ACKR1	0
ACKR2	1
ACKR3	0
ACKR4	0
ACLY	21
ACMSD	0
ACO1	5
ACO2	6
ACOT1	0
ACOT11	0
ACOT12	0
ACOT13	5
ACOT2	0
ACOT4	0
ACOT6	0
ACOT7	4
ACOT8	1
ACOT9	3
ACOX1	5
ACOX2	1
ACOX3	8
ACOXL	0
ACP1	1
ACP2	2
ACP5	3
ACP6	2
ACPP	0
ACPT	0
ACR	0
ACRBP	6
ACRC	2
ACRV1	0
ACSBG1	0
ACSBG2	0
ACSF2	1
ACSF3	3
ACSL1	25
ACSL3	2
ACSL4	2
ACSL5	1
ACSL6	0
ACSM1	0
ACSM2A	0
ACSM2B	0
ACSM3	0
ACSM4	0
ACSM5	0
ACSM6	0
ACSS1	5
ACSS2	3
ACSS3	1
ACTA1	1
ACTA2	1
ACTA2_AS1	0
ACTB	395
ACTBL2	3
ACTC1	5
ACTG1	223
ACTG1P17	0
ACTG1P20	3
ACTG1P4	0
ACTG2	0
ACTL10	0
ACTL6A	3
ACTL6B	0
ACTL7A	0
ACTL7B	0
ACTL8	0
ACTL9	0
ACTN1	19
ACTN1_AS1	0
ACTN2	1
ACTN3	0
ACTN4	81
ACTR10	2
ACTR1A	3
ACTR1B	2
ACTR2	21
ACTR3	27
ACTR3B	1
ACTR3BP2	0
ACTR3BP5	0
ACTR3C	0
ACTR5	1
ACTR6	3
ACTR8	4
ACTRT1	0
ACTRT2	1
ACTRT3	0
ACVR1	4
ACVR1B	3
ACVR1C	175
ACVR2A	0
ACVR2B	0
ACVR2B_AS1	0
ACVRL1	0
ACY1	0
ACY3	0
ACYP1	4
ACYP2	1
ADA	1
ADAD1	0
ADAD2	0
ADAL	0
ADAM10	7
ADAM11	0
ADAM12	1
ADAM15	2
ADAM17	4
ADAM18	0
ADAM19	48
ADAM1A	1
ADAM2	0
ADAM20	1
ADAM20P1	1
ADAM21	2
ADAM21P1	0
ADAM22	0
ADAM23	0
ADAM28	13
ADAM29	0
ADAM30	0
ADAM32	0
ADAM33	0
ADAM3A	0
ADAM5	0
ADAM6	0
ADAM7	0
ADAM8	5
ADAM9	11
ADAMDEC1	3
ADAMTS1	1
ADAMTS10	0
ADAMTS12	0
ADAMTS13	1
ADAMTS14	1
ADAMTS15	1
ADAMTS16	0
ADAMTS17	0
ADAMTS18	7
ADAMTS19	0
ADAMTS19_AS1	0
ADAMTS2	1
ADAMTS20	0
ADAMTS3	0
ADAMTS4	0
ADAMTS5	0
ADAMTS6	0
ADAMTS7	0
ADAMTS7P1	1
ADAMTS8	1
ADAMTS9	2
ADAMTS9_AS1	0
ADAMTS9_AS2	0
ADAMTSL1	55
ADAMTSL2	1
ADAMTSL3	4
ADAMTSL4	6
