	gene_id_NPS_132_R1_
A1BG	4
A1BG_AS1	3
A1CF	5
A2M	530
A2M_AS1	12
A2ML1	26
A2MP1	0
A3GALT2	4
A4GALT	521
A4GNT	0
AA06	1
AAAS	113
AACS	226
AACSP1	7
AADAC	11
AADACL2	103
AADACL2_AS1	47
AADACL3	1
AADACL4	0
AADACP1	154
AADAT	88
AAED1	66
AAGAB	339
AAK1	671
AAMDC	128
AAMP	961
AANAT	2
AAR2	80
AARD	0
AARS	486
AARS2	84
AARSD1	0
AASDH	119
AASDHPPT	197
AASS	209
AATBC	17
AATF	595
AATK	9
AATK_AS1	2
ABALON	33
ABAT	236
ABCA1	240
ABCA10	57
ABCA11P	42
ABCA12	120
ABCA13	11290
ABCA17P	1
ABCA2	133
ABCA3	79
ABCA4	40
ABCA5	652
ABCA6	13
ABCA7	323
ABCA8	12
ABCA9	4
ABCA9_AS1	0
ABCB1	20
ABCB10	84
ABCB11	139
ABCB4	16
ABCB5	13
ABCB6	112
ABCB7	141
ABCB8	82
ABCB9	4
ABCC1	391
ABCC10	110
ABCC11	14
ABCC12	3
ABCC13	0
ABCC2	12
ABCC3	55
ABCC4	326
ABCC5	542
ABCC5_AS1	7
ABCC6	53
ABCC6P1	11
ABCC6P2	8
ABCC8	1
ABCC9	33
ABCD1	59
ABCD2	53
ABCD3	974
ABCD4	122
ABCE1	227
ABCF1	769
ABCF2	276
ABCF3	231
ABCG1	316
ABCG2	1
ABCG4	0
ABCG5	3
ABCG8	0
ABHD1	1
ABHD10	282
ABHD11	100
ABHD11_AS1	22
ABHD12	80
ABHD12B	105
ABHD13	199
ABHD14A	13
ABHD14A_ACY1	0
ABHD14B	211
ABHD15	84
ABHD16A	176
ABHD16B	28
ABHD17A	67
ABHD17B	186
ABHD17C	168
ABHD2	1501
ABHD3	115
ABHD4	75
ABHD5	354
ABHD6	67
ABHD8	39
ABI1	962
ABI2	494
ABI3	66
ABI3BP	26
ABL1	275
ABL2	213
ABLIM1	1965
ABLIM2	8
ABLIM3	19
ABO	230
ABR	588
ABRA	5
ABRACL	186
ABT1	192
ABTB1	91
ABTB2	30
ACAA1	171
ACAA2	40
ACACA	870
ACACB	199
ACAD10	134
ACAD11	32
ACAD8	154
ACAD9	189
ACADL	21
ACADM	518
ACADS	41
ACADSB	275
ACADVL	473
ACAN	4
ACAP1	94
ACAP2	1044
ACAP3	115
ACAT1	315
ACAT2	113
ACBD3	1182
ACBD4	39
ACBD5	302
ACBD6	224
ACBD7	100
ACCS	29
ACCSL	1
ACD	57
ACE	74
ACE2	41
ACER1	0
ACER2	61
ACER3	153
ACHE	12
ACIN1	1708
ACKR1	1
ACKR2	36
ACKR3	80
ACKR4	28
ACLY	655
ACMSD	3
ACO1	232
ACO2	443
ACOT1	15
ACOT11	66
ACOT12	0
ACOT13	268
ACOT2	49
ACOT4	3
ACOT6	0
ACOT7	79
ACOT8	52
ACOT9	193
ACOX1	517
ACOX2	71
ACOX3	229
ACOXL	3
ACP1	409
ACP2	68
ACP5	30
ACP6	107
ACPP	40
ACPT	2
ACR	1
ACRBP	12
ACRC	15
ACRV1	0
ACSBG1	104
ACSBG2	1
ACSF2	153
ACSF3	145
ACSL1	250
ACSL3	887
ACSL4	295
ACSL5	268
ACSL6	17
ACSM1	19
ACSM2A	0
ACSM2B	0
ACSM3	18
ACSM4	8
ACSM5	4
ACSM6	5
ACSS1	305
ACSS2	152
ACSS3	160
ACTA1	3
ACTA2	55
ACTA2_AS1	0
ACTB	7219
ACTBL2	7
ACTC1	3
ACTG1	5978
ACTG1P17	9
ACTG1P20	25
ACTG1P4	6
ACTG2	11
ACTL10	14
ACTL6A	236
ACTL6B	2
ACTL7A	2
ACTL7B	0
ACTL8	1
ACTL9	1
ACTN1	479
ACTN1_AS1	1
ACTN2	0
ACTN3	1
ACTN4	2902
ACTR10	301
ACTR1A	223
ACTR1B	163
ACTR2	1187
ACTR3	1134
ACTR3B	60
ACTR3BP2	0
ACTR3BP5	0
ACTR3C	36
ACTR5	36
ACTR6	277
ACTR8	267
ACTRT1	0
ACTRT2	0
ACTRT3	8
ACVR1	150
ACVR1B	204
ACVR1C	908
ACVR2A	156
ACVR2B	133
ACVR2B_AS1	13
ACVRL1	12
ACY1	16
ACY3	24
ACYP1	141
ACYP2	55
ADA	27
ADAD1	0
ADAD2	3
ADAL	70
ADAM10	679
ADAM11	6
ADAM12	226
ADAM15	220
ADAM17	213
ADAM18	0
ADAM19	75
ADAM1A	50
ADAM2	0
ADAM20	9
ADAM20P1	18
ADAM21	10
ADAM21P1	2
ADAM22	59
ADAM23	3
ADAM28	2000
ADAM29	0
ADAM30	0
ADAM32	14
ADAM33	8
ADAM3A	0
ADAM5	0
ADAM6	0
ADAM7	0
ADAM8	38
ADAM9	950
ADAMDEC1	56
ADAMTS1	3
ADAMTS10	5
ADAMTS12	10
ADAMTS13	24
ADAMTS14	8
ADAMTS15	12
ADAMTS16	13
ADAMTS17	46
ADAMTS18	7
ADAMTS19	7
ADAMTS19_AS1	5
ADAMTS2	10
ADAMTS20	0
ADAMTS3	25
ADAMTS4	8
ADAMTS5	3
ADAMTS6	12
ADAMTS7	2
ADAMTS7P1	2
ADAMTS8	24
ADAMTS9	52
ADAMTS9_AS1	1
ADAMTS9_AS2	12
ADAMTSL1	186
ADAMTSL2	1
ADAMTSL3	37
ADAMTSL4	45
ADAMTSL4_AS1	15
ADAMTSL5	6
ADAP1	36
ADAP2	75
ADAR	1670
ADARB1	41
ADARB2	56
ADARB2_AS1	0
ADAT1	130
ADAT2	116
ADAT3	11
ADCK1	57
ADCK2	205
ADCK3	184
ADCK4	124
ADCK5	14
ADCY1	8
ADCY10	7
ADCY10P1	16
ADCY2	222
ADCY3	50
ADCY4	16
ADCY5	32
ADCY6	219
ADCY7	99
ADCY8	4
ADCY9	304
ADCYAP1	8
ADCYAP1R1	0
ADD1	1092
ADD2	4
ADD3	975
ADD3_AS1	11
ADGB	857
ADGRA1	0
ADGRA1_AS1	0
ADGRA2	12
ADGRA3	172
ADGRB1	12
ADGRB2	28
ADGRB3	8
ADGRD1	1
ADGRE1	0
ADGRE2	35
ADGRE3	7
ADGRE4P	22
ADGRE5	248
ADGRF1	567
ADGRF2	10
ADGRF3	55
ADGRF4	12
ADGRF5	78
ADGRG1	589
ADGRG2	25
ADGRG3	2
ADGRG4	2
ADGRG5	26
ADGRG6	80
ADGRG7	0
ADGRL1	56
ADGRL2	168
ADGRL3	18
ADGRL3_AS1	0
ADGRL4	3
ADGRV1	360
ADH1A	32
ADH1B	9
ADH1C	2396
ADH4	55
ADH5	241
ADH6	70
ADH7	3574
ADHFE1	93
ADI1	528
ADIG	0
ADIPOQ	0
ADIPOQ_AS1	0
ADIPOR1	822
ADIPOR2	233
ADIRF	171
ADK	121
ADM	16
ADM2	18
ADM5	11
ADNP	809
ADNP_AS1	94
ADNP2	160
ADO	127
ADORA1	7
ADORA2A	0
ADORA2A_AS1	4
ADORA2B	67
ADORA3	4
ADPGK	139
ADPGK_AS1	11
ADPRH	91
ADPRHL1	64
ADPRHL2	153
ADPRM	28
ADRA1A	23
ADRA1B	0
ADRA1D	9
ADRA2A	64
ADRA2B	3
ADRA2C	4
ADRB1	119
ADRB2	50
ADRB3	0
ADRBK1	454
ADRBK2	171
ADRM1	317
ADSL	157
ADSS	801
ADSSL1	79
ADTRP	161
AEBP1	48
AEBP2	753
AEN	59
AES	2198
AFAP1	130
AFAP1_AS1	13
AFAP1L1	36
AFAP1L2	30
AFF1	1162
AFF2	3
AFF3	62
AFF4	1256
AFG3L1P	60
AFG3L2	427
AFM	0
AFMID	84
AFP	1
AFTPH	475
AGA	93
AGAP1	476
AGAP1_IT1	37
AGAP11	16
AGAP2	43
AGAP2_AS1	5
AGAP3	282
AGAP4	15
AGAP5	18
AGAP6	37
AGAP7P	2
AGAP9	27
AGBL1	0
AGBL1_AS1	0
AGBL2	527
AGBL3	73
AGBL4	51
AGBL4_IT1	5
AGBL5	306
AGBL5_AS1	0
AGER	27
AGFG1	263
AGFG2	227
AGGF1	460
AGK	168
AGL	529
AGMAT	19
AGMO	0
AGO1	529
AGO2	227
AGO3	170
AGO4	316
AGPAT1	156
AGPAT2	65
AGPAT3	373
AGPAT4	56
AGPAT4_IT1	9
AGPAT5	135
AGPS	403
AGR2	3136
AGR3	147
AGRN	470
AGRP	6
AGT	0
AGTPBP1	226
AGTR1	7
AGTR2	2
AGTRAP	52
AGXT	0
AGXT2	1
AHCTF1	390
AHCTF1P1	6
AHCY	193
AHCYL1	816
AHCYL2	443
AHDC1	207
AHI1	450
AHNAK	14977
AHNAK2	639
AHR	1198
AHRR	6
AHSA1	1202
AHSA2	417
AHSG	0
AHSP	0
AICDA	3
AIDA	46
AIF1	150
AIF1L	18
AIFM1	238
AIFM2	100
AIFM3	10
AIG1	118
AIM1	1041
AIM1L	26
AIM2	24
AIMP1	521
AIMP2	43
AIP	83
AIPL1	2
AIRE	0
AIRN	11
AJAP1	20
AJUBA	137
AK1	487
AK2	356
AK3	212
AK4	15
AK5	6
AK6	127
AK7	1880
AK8	181
AK9	1324
AKAP1	234
AKAP10	209
AKAP11	1040
AKAP12	259
AKAP13	2298
AKAP14	574
AKAP17A	156
AKAP2	0
AKAP3	59
AKAP4	1
AKAP5	18
AKAP6	454
AKAP7	66
AKAP8	327
AKAP8L	471
AKAP9	5217
AKIP1	84
AKIRIN1	258
AKIRIN2	139
AKNA	824
AKNAD1	0
AKR1A1	854
AKR1B1	102
AKR1B10	86
AKR1B15	6
AKR1C1	193
AKR1C2	679
AKR1C3	311
AKR1C4	10
AKR1C6P	2
AKR1C8P	13
AKR1D1	2
AKR1E2	13
AKR7A2	138
AKR7A2P1	2
AKR7A3	11
AKR7L	8
AKT1	527
AKT1S1	212
AKT2	280
AKT3	137
AKTIP	113
ALAD	223
ALAS1	417
ALAS2	1
ALB	1
ALCAM	3898
ALDH16A1	57
ALDH18A1	402
ALDH1A1	10045
ALDH1A2	112
ALDH1A3	178
ALDH1B1	37
ALDH1L1	261
ALDH1L1_AS1	0
ALDH1L1_AS2	3
ALDH1L2	34
ALDH2	668
ALDH3A1	8376
ALDH3A2	842
ALDH3B1	1365
ALDH3B2	126
ALDH4A1	62
ALDH5A1	205
ALDH6A1	166
ALDH7A1	388
ALDH8A1	1
ALDH9A1	509
ALDOA	2984
ALDOB	3
ALDOC	26
ALG1	36
ALG10	34
ALG10B	99
ALG11	94
ALG12	66
ALG13	440
ALG14	17
ALG1L	14
ALG1L2	0
ALG1L9P	11
ALG2	191
ALG3	106
ALG5	90
ALG6	57
ALG8	46
ALG9	117
